書名,書籍網站,作者,出版社,ISBN,圖片網址
Advances in Computer Science for Engineering and Education IV,https://www.kingstone.com.tw//basic/203c108754134?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Zhengbing,Hu",Springer    ,https://cdn.kingstone.com.tw/english/images/product/4718/9783030804718.jpg,9783030804718
Research in Computer Science in the Bulgarian Academy of Sciences,https://www.kingstone.com.tw//basic/203c108670779?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Krassimir T,Atanassov",Springer    ,https://cdn.kingstone.com.tw/english/images/product/2838/9783030722838.jpg,9783030722838
"Advances in Intelligent Systems, Computer Science and Digital Economics II",https://www.kingstone.com.tw//basic/203c108518749?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Zhengbing,Hu",Springer    ,https://cdn.kingstone.com.tw/english/images/product/4770/9783030804770.jpg,9783030804770
Computer Science - Cacic 2020,https://www.kingstone.com.tw//basic/203c106308506?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Patricia,Pesado",Springer    ,https://cdn.kingstone.com.tw/english/images/product/8356/9783030758356.jpg,9783030758356
Advances in Core Computer Science-Based Technologies,https://www.kingstone.com.tw//basic/203c109277410?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"George A,Tsihrintzis",Springer    ,https://cdn.kingstone.com.tw/english/images/product/1985/9783030411985.jpg,9783030411985
General Computer Science,https://www.kingstone.com.tw//basic/203c106355860?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Guld,Amosi Kikwata",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/3720/9786203383720.jpg,9786203383720
Essential Computer Science,https://www.kingstone.com.tw//basic/203c106228109?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Paul D,Crutcher",Apress      ,https://cdn.kingstone.com.tw/english/images/product/1063/9781484271063.jpg,9781484271063
Research Ethics in Computer Science,https://www.kingstone.com.tw//basic/203c108547246?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Napoleon,Dhavamany",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/4220/9783659344220.jpg,9783659344220
Smart Learning Objects for Smart Education in Computer Science,https://www.kingstone.com.tw//basic/203c109198128?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Vytautas,Stuikys",Springer    ,https://cdn.kingstone.com.tw/english/images/product/6638/9783319386638.jpg,9783319386638
"Advances and Applications in Computer Science, Electronics and Industrial Engineering",https://www.kingstone.com.tw//basic/203c108563464?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Marcelo V,Garc穩a",Springer    ,https://cdn.kingstone.com.tw/english/images/product/5645/9789813345645.jpg,9789813345645
Innovations in Computer Science and Engineering,https://www.kingstone.com.tw//basic/203c103203665?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Harvinder Singh,Saini",Springer    ,https://cdn.kingstone.com.tw/english/images/product/0457/9789811520457.jpg,9789811520457
Advances in Electrical and Electronic Engineering and Computer Science,https://www.kingstone.com.tw//basic/203c106365969?zone=english&lid=search&actid=WISE&kw=Computer-Science&pi=0,"Zahriladha,Zakaria",Springer    ,https://cdn.kingstone.com.tw/english/images/product/4899/9789813364899.jpg,9789813364899
