書名,書籍網站,作者,出版社,ISBN,圖片網址
Computer Architecture and Organization,https://www.kingstone.com.tw//basic/203c106379431?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Anuja,Jadhav",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/7314/9786203847314.jpg,9786203847314
AI for Computer Architecture,https://www.kingstone.com.tw//basic/203c101306171?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Lizhong,Chen",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/9861/9781681739861.jpg,9781681739861
AI for Computer Architecture,https://www.kingstone.com.tw//basic/203c011390748?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Lizhong,Chen",Morgan & Claypool,https://cdn.kingstone.com.tw/english/images/product/9847/9781681739847.jpg,9781681739847
Computer Architecture,https://www.kingstone.com.tw//basic/203c008120902?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Ken,Spiner",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/4647/9781641724647.jpg,9781641724647
Essentials of Computer Architecture,https://www.kingstone.com.tw//basic/203c007600113?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Comer,Douglas",CRC Press,https://cdn.kingstone.com.tw/english/images/product/3959/9780367573959.jpg,9780367573959
Advanced Computer Architecture,https://www.kingstone.com.tw//basic/203c200332996?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Dezun,Dong",Springer    ,https://cdn.kingstone.com.tw/english/images/product/1342/9789811581342.jpg,9789811581342
Computer Architecture Tutorial Using an FPGAARM & Verilog Introductions,https://www.kingstone.com.tw//basic/203c200600762?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Robert,Dunne",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2477/9780970112477.jpg,9780970112477
Computer Architecture Tutorial Using an FPGAARM & Verilog Introductions,https://www.kingstone.com.tw//basic/203c200600763?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Robert,Dunne",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2484/9780970112484.jpg,9780970112484
Applying Perceptrons to Speculation in Computer Architecture,https://www.kingstone.com.tw//basic/203c011448312?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Michael,Black",AV Akademikerverlag,https://cdn.kingstone.com.tw/english/images/product/6992/9783639416992.jpg,9783639416992
"Modern Computer Architecture and OrganizationLearn x86, ARM, and RISC-V architectures and",https://www.kingstone.com.tw//basic/203c005102246?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Jim,Ledin",Packt       ,https://cdn.kingstone.com.tw/english/images/product/4397/9781838984397.jpg,9781838984397
Computer Architecture MCQs,https://www.kingstone.com.tw//basic/203c108180074?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Arshad,Iqbal",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/6351/9781073846351.jpg,9781073846351
Advanced Computer Architecture,https://www.kingstone.com.tw//basic/203c109224438?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Chao,Li",Springer    ,https://cdn.kingstone.com.tw/english/images/product/4222/9789811324222.jpg,9789811324222
Computer Architecture,https://www.kingstone.com.tw//basic/203c404120516?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Hennessy, John L.",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/7270/9780124077270.jpg,9780124077270
Computer Architecture,https://www.kingstone.com.tw//basic/203c308728581?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Mehrotra, Deepti",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/4927/9781842654927.jpg,9781842654927
Learning Computer Architecture With Raspberry Pi,https://www.kingstone.com.tw//basic/2034550213632?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Eben,Upton",Baker & Tayl,https://cdn.kingstone.com.tw/english/images/product/3938/9781119183938.jpg,9781119183938
Dark Silicon’s Impact on Computer Architecture,https://www.kingstone.com.tw//basic/203c410764705?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Taylor, Michael B.",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/3532/9781627053532.jpg,9781627053532
Computer Architecture and Organization,https://www.kingstone.com.tw//basic/203c109360814?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Franklin, Manoj",Prentice H  ,https://cdn.kingstone.com.tw/english/images/product/6703/9780136156703.jpg,9780136156703
Learning Computer Architecture With Raspberry Pi,https://www.kingstone.com.tw//basic/203c406396421?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Upton, Eben",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0420/9781118900420.jpg,9781118900420
Computer Architecture FPGA,https://www.kingstone.com.tw//basic/203c109328645?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Strelzoff, Andrew",Prentice H  ,https://cdn.kingstone.com.tw/english/images/product/0598/9780136060598.jpg,9780136060598
Computer Architecture,https://www.kingstone.com.tw//basic/203c312119253?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Hennessy, John L.",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/8728/9780123838728.jpg,9780123838728
Computer Architecture Interview Questions You’ll Most Likely Be Asked,https://www.kingstone.com.tw//basic/203c212604084?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,Vibrant Publishers,Ingram      ,https://cdn.kingstone.com.tw/english/images/product/6326/9781463706326.jpg,9781463706326
VLSI and Computer Architecture,https://www.kingstone.com.tw//basic/203c109412937?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Watanabe, Kenzo (EDT)",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0756/9781606920756.jpg,9781606920756
Computer Architecture,https://www.kingstone.com.tw//basic/203c109218401?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Hennessy, John L.",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/4900/9780123704900.jpg,9780123704900
Digital Design and Computer Architecture,https://www.kingstone.com.tw//basic/203c109234904?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=0,"Harris, David Money",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/4979/9780123704979.jpg,9780123704979
Introduction to 80x86 Assembly Language and Computer Architecture,https://www.kingstone.com.tw//basic/203c308283707?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=1,"Detmer, Richard C.",Jones &     ,https://cdn.kingstone.com.tw/english/images/product/2239/9780763772239.jpg,9780763772239
Schaum’s Outline of Computer Architecture,https://www.kingstone.com.tw//basic/203c510403030?zone=english&lid=search&actid=WISE&kw=Computer-architecture&pi=1,"Carter, Nicholas",McGraw-Hill ,https://cdn.kingstone.com.tw/english/images/product/2078/9780071362078.jpg,9780071362078
