書名,書籍網站,作者,出版社,ISBN,圖片網址
網路機器人、網路蜘蛛與網路爬蟲,https://www.kingstone.com.tw//basic/2014713133939?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,Michael Schr,碁峰資訊  ,9789861816517,https://cdn.kingstone.com.tw/book/images/product/20147/2014713133939/2014713133939b.jpg
設計搜尋引擎-網路爬蟲原理完整剖析,https://www.kingstone.com.tw//basic/2014713171733?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,王亮,佳魁      ,9789866381102,https://cdn.kingstone.com.tw/book/images/product/20147/2014713171733/2014713171733b.jpg
王者歸來：自己動手寫網路爬蟲,https://www.kingstone.com.tw//basic/2014713317735?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,羅剛,佳魁      ,9789866007279,https://cdn.kingstone.com.tw/book/images/product/20147/2014713317735/2014713317735b.jpg
網路機器人、網路蜘蛛與網路爬蟲第二版：PHP/cURL程式設計指南,https://www.kingstone.com.tw//basic/2014713372307?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,Michael Schrenk,碁峰資訊  ,9789862765951,https://cdn.kingstone.com.tw/book/images/product/20147/2014713372307/2014713372307b.jpg
Excel VBA實戰技巧|金融數據x網路爬蟲,https://www.kingstone.com.tw//basic/2014713574923?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,廖敏宏（廖志煌）,碁峰資訊  ,9789865020835,https://cdn.kingstone.com.tw/book/images/product/20147/2014713574923/2014713574923b.jpg
跟著阿才學Python：從基礎到網路爬蟲應用,https://www.kingstone.com.tw//basic/2014713596161?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,蔡文龍、蔡捷雲、歐志信,碁峰資訊  ,9789865024987,https://cdn.kingstone.com.tw/book/images/product/20147/2014713596161/2014713596161b.jpg
STP行銷策略之Python商業應用實戰|網路爬蟲x機器學習x數據分析,https://www.kingstone.com.tw//basic/2014713602541?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,羅凱揚、蘇宇暉、鍾皓軒、楊超霆,碁峰資訊  ,9789865025878,https://cdn.kingstone.com.tw/book/images/product/20147/2014713602541/2014713602541b.jpg
王者歸來：自己動手寫網路爬蟲[第2版],https://www.kingstone.com.tw//basic/2013120385955?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,羅剛.王振東,佳魁      ,9789863793335,https://cdn.kingstone.com.tw/book/images/product/20131/2013120385955/2013120385955b.jpg
不止是測試：Python網路爬蟲王者Selenium,https://www.kingstone.com.tw//basic/2013120407534?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,蟲師,佳魁      ,9789863794127,https://cdn.kingstone.com.tw/book/images/product/20131/2013120407534/2013120407534b.jpg
Python網路爬蟲實戰,https://www.kingstone.com.tw//basic/2013120444546?zone=book&lid=search&actid=WISE&kw=ETL%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2&pi=0,胡松濤,松崗      ,9789572246450,https://cdn.kingstone.com.tw/book/images/product/20131/2013120444546/2013120444546b.jpg
