書名,書籍網站,作者,出版社,ISBN,圖片網址
Excel 2021,https://www.kingstone.com.tw//basic/203c109953318?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Maxwell,Ruell",Ingram      ,9781919628554,https://cdn.kingstone.com.tw/english/images/product/8554/9781919628554.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c109952897?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Albion,Jensen",Ingram      ,9781914378768,https://cdn.kingstone.com.tw/english/images/product/8768/9781914378768.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c108693070?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Albion,Jensen",Ingram      ,9781914378751,https://cdn.kingstone.com.tw/english/images/product/8751/9781914378751.jpg
Excel VBA 職場即用255招【第二版】：不會寫程式也能看懂的VBA無痛指導,https://www.kingstone.com.tw//basic/2013120599482?zone=book&lid=search&actid=WISE&kw=Excel&pi=0,Excel Home,電腦人    ,9789572049198,https://cdn.kingstone.com.tw/book/images/product/20131/2013120599482/2013120599482b.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c108470361?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Egbert,Peters",Ingram      ,9781803350905,https://cdn.kingstone.com.tw/english/images/product/0905/9781803350905.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c108525274?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Tyler,Webster",Ingram      ,9781802734195,https://cdn.kingstone.com.tw/english/images/product/4195/9781802734195.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c108525275?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Tyler,Webster",Ingram      ,9781802734218,https://cdn.kingstone.com.tw/english/images/product/4218/9781802734218.jpg
Excel,https://www.kingstone.com.tw//basic/203c106385711?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Kevin,Clark",Ingram      ,9781393793144,https://cdn.kingstone.com.tw/english/images/product/3144/9781393793144.jpg
Excel VBA for Physicists,https://www.kingstone.com.tw//basic/203c109243319?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Bernard V,Liengme",Ingram      ,9781643279039,https://cdn.kingstone.com.tw/english/images/product/9039/9781643279039.jpg
Excel Essentials 2019,https://www.kingstone.com.tw//basic/203c109920695?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"M L,Humphrey",Ingram      ,9781637440650,https://cdn.kingstone.com.tw/english/images/product/0650/9781637440650.jpg
Excel Essentials 2019,https://www.kingstone.com.tw//basic/203c109920693?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"M L,Humphrey",Ingram      ,9781637440551,https://cdn.kingstone.com.tw/english/images/product/0551/9781637440551.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c108463362?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Darren,Shepherd",Ingram      ,9781803256047,https://cdn.kingstone.com.tw/english/images/product/6047/9781803256047.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c108447796?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Darren,Shepherd",Ingram      ,9781803256030,https://cdn.kingstone.com.tw/english/images/product/6030/9781803256030.jpg
Excel VBA,https://www.kingstone.com.tw//basic/203c108590038?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Peter,Bradley",Ingram      ,9781393707066,https://cdn.kingstone.com.tw/english/images/product/7066/9781393707066.jpg
MOS國際認證應考指南：Microsoft Excel Expert （Excel and Excel 2019）|Exam MO－201,https://www.kingstone.com.tw//basic/2014713620071?zone=book&lid=search&actid=WISE&kw=Excel&pi=0,王仲麒,碁峰資訊  ,9789865029029,https://cdn.kingstone.com.tw/book/images/product/20147/2014713620071/2014713620071b.jpg
Excel 2021,https://www.kingstone.com.tw//basic/203c108615728?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"David,Page",Ingram      ,9781801641685,https://cdn.kingstone.com.tw/english/images/product/1685/9781801641685.jpg
Excel自動化作業|使用巨集與VBA,https://www.kingstone.com.tw//basic/2014713622075?zone=book&lid=search&actid=WISE&kw=Excel&pi=0,古川順平,碁峰資訊  ,9789865028916,https://cdn.kingstone.com.tw/book/images/product/20147/2014713622075/2014713622075b.jpg
Excel VBA,https://www.kingstone.com.tw//basic/203c106228277?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Peter,Bradley",Ingram      ,9781393392262,https://cdn.kingstone.com.tw/english/images/product/2262/9781393392262.jpg
Excel財會、進銷存、門市銷售  設計寶典,https://www.kingstone.com.tw//basic/2013120598690?zone=book&lid=search&actid=WISE&kw=Excel&pi=0,孫惠民,經瑋      ,9789576154812,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598690/2013120598690b.jpg
實戰Excel人力資源管理工作現場,https://www.kingstone.com.tw//basic/2014713622495?zone=book&lid=search&actid=WISE&kw=Excel&pi=0,劉必麟（＠小必）,碁峰資訊  ,9789865027353,https://cdn.kingstone.com.tw/book/images/product/20147/2014713622495/2014713622495b.jpg
An Introduction to Excel for Civil Engineers,https://www.kingstone.com.tw//basic/203c108573918?zone=english&lid=search&actid=WISE&kw=Excel&pi=0,"Gunthar,Pangaribuan",Ingram      ,9781537137711,https://cdn.kingstone.com.tw/english/images/product/7711/9781537137711.jpg
【圖解】零基礎入門Excel╳Python高效工作術,https://www.kingstone.com.tw//basic/2800000053294?zone=ebook&lid=search&actid=WISE&kw=Excel&pi=0,金宏和實,電子書,9789865074753,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598300/2013120598300b.jpg
超實用！會計．生管．財務的辦公室EXCEL必備50招省時技（2016/2019）【暢銷回饋版】,https://www.kingstone.com.tw//basic/2013120598560?zone=book&lid=search&actid=WISE&kw=Excel&pi=1,張雯燕,博碩文化  ,9789864348596,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598560/2013120598560b.jpg
The Ultimate Excel VBA Master,https://www.kingstone.com.tw//basic/203c106194057?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Peter,Bradley",Ingram      ,9781393480389,https://cdn.kingstone.com.tw/english/images/product/0389/9781393480389.jpg
Excel 2019 Basic,https://www.kingstone.com.tw//basic/203c106275307?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Mark,Gates",Ingram      ,9781802533200,https://cdn.kingstone.com.tw/english/images/product/3200/9781802533200.jpg
Mastering Excel 2019,https://www.kingstone.com.tw//basic/203c106268130?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Mark,Gates",Ingram      ,9781802533194,https://cdn.kingstone.com.tw/english/images/product/3194/9781802533194.jpg
Mastering Excel 2019,https://www.kingstone.com.tw//basic/203c106325265?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Mark,Gates",Ingram      ,9781802533330,https://cdn.kingstone.com.tw/english/images/product/3330/9781802533330.jpg
Excel 2016/2019商務應用必學的16堂課,https://www.kingstone.com.tw//basic/2013120593350?zone=book&lid=search&actid=WISE&kw=Excel&pi=1,吳燦銘,博碩文化  ,9789864348282,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593350/2013120593350b.jpg
Excel 2016/2019商務應用必學的16堂課,https://www.kingstone.com.tw//basic/2800000053092?zone=ebook&lid=search&actid=WISE&kw=Excel&pi=1,吳燦銘,電子書,9789864348282,https://cdn.kingstone.com.tw/book/images/product/20131/2013120593350/2013120593350b.jpg
Excel User Guide,https://www.kingstone.com.tw//basic/203c106351238?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Colombo,Publishing Company",Ingram      ,9781802175530,https://cdn.kingstone.com.tw/english/images/product/5530/9781802175530.jpg
Excel Workbook,https://www.kingstone.com.tw//basic/203c106328262?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Alberto,Clerici",Ingram      ,9788831322089,https://cdn.kingstone.com.tw/english/images/product/2089/9788831322089.jpg
Microsoft Excel 2019,https://www.kingstone.com.tw//basic/203c106351981?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Mark,Gates",Ingram      ,9781802533187,https://cdn.kingstone.com.tw/english/images/product/3187/9781802533187.jpg
Excel 2019 Basic,https://www.kingstone.com.tw//basic/203c106304760?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Mark,Gates",Ingram      ,9781802533323,https://cdn.kingstone.com.tw/english/images/product/3323/9781802533323.jpg
Microsoft Excel 2019,https://www.kingstone.com.tw//basic/203c106391709?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Mark,Gates",Ingram      ,9781802533347,https://cdn.kingstone.com.tw/english/images/product/3347/9781802533347.jpg
Excel VBA - A Step-by-Step Comprehensive Guide on Excel VBA Programming Tips and Tricks for Effective Strategies,https://www.kingstone.com.tw//basic/203c108351121?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Peter,Bradley",Peter Bradley,9781393234265,https://cdn.kingstone.com.tw/english/images/product/4265/9781393234265.jpg
Excel 2019必學範例：大數據資料整理術（附範例光碟）,https://www.kingstone.com.tw//basic/2015217013291?zone=book&lid=search&actid=WISE&kw=Excel&pi=1,全華研究室、王麗琴,全華      ,9789865037949,https://cdn.kingstone.com.tw/book/images/product/20152/2015217013291/2015217013291b.jpg
【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增,https://www.kingstone.com.tw//basic/2013120598300?zone=book&lid=search&actid=WISE&kw=Excel&pi=1,金宏和實,采實文化  ,9789865074753,https://cdn.kingstone.com.tw/book/images/product/20131/2013120598300/2013120598300b.jpg
Meta分析實作：使用Excel與CMA程式,https://www.kingstone.com.tw//basic/2015010013757?zone=book&lid=search&actid=WISE&kw=Excel&pi=1,張紹勳,五南      ,9789865226831,https://cdn.kingstone.com.tw/book/images/product/20150/2015010013757/2015010013757b.jpg
Excel Crash Course for Engineers,https://www.kingstone.com.tw//basic/203c108626932?zone=english&lid=search&actid=WISE&kw=Excel&pi=1,"Eklas,Hossain",Springer    ,9783030710354,https://cdn.kingstone.com.tw/english/images/product/0354/9783030710354.jpg
舞動 Excel 2010 中文版,https://www.kingstone.com.tw//basic/2013120585157?zone=book&lid=search&actid=WISE&kw=Excel&pi=1,黃景增,經瑋      ,9789576154676,https://cdn.kingstone.com.tw/book/images/product/20131/2013120585157/2013120585157b.jpg
Excel 公式+函數職場專用超級辭典【暢銷第二版】：新人、老鳥到大師級部D搨n的速查指引,https://www.kingstone.com.tw//basic/2013120594562?zone=book&lid=search&actid=WISE&kw=Excel&pi=1,王國勝,電腦人    ,9789572049174,https://cdn.kingstone.com.tw/book/images/product/20131/2013120594562/2013120594562b.jpg
