書名,書籍網站,作者,出版社,ISBN,圖片網址
Game Design Deep Dive,https://www.kingstone.com.tw//basic/203c106128356?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Joshua,Bycer",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/8191/9780367638191.jpg,9780367638191
Pattern Language for Game Design,https://www.kingstone.com.tw//basic/203c200904420?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Christopher,Barney",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/3950/9780367633950.jpg,9780367633950
Elements of Game Design,https://www.kingstone.com.tw//basic/203c007103366?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Robert,Zubek",Mit Press   ,https://cdn.kingstone.com.tw/english/images/product/3915/9780262043915.jpg,9780262043915
The Craft and Science of Game Design,https://www.kingstone.com.tw//basic/203c200300119?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Philippe,O'Connor",CRC Press,https://cdn.kingstone.com.tw/english/images/product/2458/9780367562458.jpg,9780367562458
Pattern Language for Game Design,https://www.kingstone.com.tw//basic/203c011227849?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Christopher,Barney",CRC Press,https://cdn.kingstone.com.tw/english/images/product/7725/9780367367725.jpg,9780367367725
The Craft and Science of Game Design,https://www.kingstone.com.tw//basic/203c011470763?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Philippe,O'Connor",CRC Press,https://cdn.kingstone.com.tw/english/images/product/6532/9780367556532.jpg,9780367556532
Triadic Game Design,https://www.kingstone.com.tw//basic/203c108536956?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Casper,Harteveld",Springer    ,https://cdn.kingstone.com.tw/english/images/product/9230/9781447159230.jpg,9781447159230
Affordance Theory in Game Design,https://www.kingstone.com.tw//basic/203c004915630?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Hamna,Aslam",Morgan & Claypool,https://cdn.kingstone.com.tw/english/images/product/7522/9781681737522.jpg,9781681737522
Affordance Theory in Game Design,https://www.kingstone.com.tw//basic/203c006117179?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Aslam,Hamna",Morgan & Claypool,https://cdn.kingstone.com.tw/english/images/product/7546/9781681737546.jpg,9781681737546
Classic Game Design,https://www.kingstone.com.tw//basic/203c905109559?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Franz,Lanzinger",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/3855/9781683923855.jpg,9781683923855
Minimalist Game Design,https://www.kingstone.com.tw//basic/203c601689833?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Nealen, Andrew",A K Peters  ,https://cdn.kingstone.com.tw/english/images/product/1791/9781466581791.jpg,9781466581791
Introduction to Game Design,https://www.kingstone.com.tw//basic/203c109591613?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,McConnell,Jones &     ,https://cdn.kingstone.com.tw/english/images/product/1750/9780763781750.jpg,9780763781750
Clockwork Game Design,https://www.kingstone.com.tw//basic/203c010190086?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Keith,Burgun",Routledge   ,https://cdn.kingstone.com.tw/english/images/product/8225/9781138428225.jpg,9781138428225
Game Design Workshop,https://www.kingstone.com.tw//basic/203c805384854?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Fullerton, Tracy",A K Peters  ,https://cdn.kingstone.com.tw/english/images/product/7679/9781138427679.jpg,9781138427679
Advances in Human Factors in Wearable Technologies and Game Design,https://www.kingstone.com.tw//basic/203c108637697?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Tareq Z,Ahram",Springer    ,https://cdn.kingstone.com.tw/english/images/product/6184/9783319946184.jpg,9783319946184
The Art of Game Design,https://www.kingstone.com.tw//basic/203c712893022?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Schell, Jesse",A K Peters  ,https://cdn.kingstone.com.tw/english/images/product/3696/9781138413696.jpg,9781138413696
The Art of Game Design,https://www.kingstone.com.tw//basic/203c408578507?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Schell, Jesse",A K Peters  ,https://cdn.kingstone.com.tw/english/images/product/8645/9781466598645.jpg,9781466598645
Advances in Game Design and Development Research,https://www.kingstone.com.tw//basic/203c410769603?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Martell, Caroline (EDT)",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/4781/9781633214781.jpg,9781633214781
The Building Blocks of Game Design,https://www.kingstone.com.tw//basic/203c308198269?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Ham, Ethan",Routledge   ,https://cdn.kingstone.com.tw/english/images/product/7009/9780415627009.jpg,9780415627009
Theory of Fun for Game Design,https://www.kingstone.com.tw//basic/203c312479941?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Koster, Raph",Oreilly &   ,https://cdn.kingstone.com.tw/english/images/product/3215/9781449363215.jpg,9781449363215
Classic Game Design,https://www.kingstone.com.tw//basic/203c308773025?zone=english&lid=search&actid=WISE&kw=Game-design&pi=0,"Lanzinger, Franz",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/5976/9781937585976.jpg,9781937585976
