書名,書籍網站,作者,出版社,ISBN,圖片網址
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106331342?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781667107943,https://cdn.kingstone.com.tw/english/images/product/7943/9781667107943.jpg
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106331343?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781667107950,https://cdn.kingstone.com.tw/english/images/product/7950/9781667107950.jpg
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106383240?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781008965720,https://cdn.kingstone.com.tw/english/images/product/5720/9781008965720.jpg
Learn How to Hack 2021,https://www.kingstone.com.tw//basic/203c106180058?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Kevin,Cannon",Ingram      ,9781008965683,https://cdn.kingstone.com.tw/english/images/product/5683/9781008965683.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c106255708?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801728782,https://cdn.kingstone.com.tw/english/images/product/8782/9781801728782.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c106391434?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801728775,https://cdn.kingstone.com.tw/english/images/product/8775/9781801728775.jpg
Learning Python,https://www.kingstone.com.tw//basic/203c102160111?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146654,https://cdn.kingstone.com.tw/english/images/product/6654/9781801146654.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c103772268?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146678,https://cdn.kingstone.com.tw/english/images/product/6678/9781801146678.jpg
Python Programming,https://www.kingstone.com.tw//basic/203c102203375?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146708,https://cdn.kingstone.com.tw/english/images/product/6708/9781801146708.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c102203376?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146715,https://cdn.kingstone.com.tw/english/images/product/6715/9781801146715.jpg
Python Programming,https://www.kingstone.com.tw//basic/203c101244126?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801142946,https://cdn.kingstone.com.tw/english/images/product/2946/9781801142946.jpg
Machine Learning Mathematics,https://www.kingstone.com.tw//basic/203c106302598?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801728751,https://cdn.kingstone.com.tw/english/images/product/8751/9781801728751.jpg
Machine Learning Mathematics,https://www.kingstone.com.tw//basic/203c106324852?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801728768,https://cdn.kingstone.com.tw/english/images/product/8768/9781801728768.jpg
"Hack Proof Your Business, Volume 2",https://www.kingstone.com.tw//basic/203c004923172?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Bunnell,Bill",Prominence Publishing,9781988925554,https://cdn.kingstone.com.tw/english/images/product/5554/9781988925554.jpg
Machine Learning for Beginners,https://www.kingstone.com.tw//basic/203c102154045?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801147439,https://cdn.kingstone.com.tw/english/images/product/7439/9781801147439.jpg
Machine Learning Mathematics,https://www.kingstone.com.tw//basic/203c102213647?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146661,https://cdn.kingstone.com.tw/english/images/product/6661/9781801146661.jpg
Python Machine Learning,https://www.kingstone.com.tw//basic/203c102160110?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Samuel Hack,9781801146647,https://cdn.kingstone.com.tw/english/images/product/6647/9781801146647.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c101322863?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801142922,https://cdn.kingstone.com.tw/english/images/product/2922/9781801142922.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c101236491?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801142953,https://cdn.kingstone.com.tw/english/images/product/2953/9781801142953.jpg
Learning Python,https://www.kingstone.com.tw//basic/203c101244125?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801142892,https://cdn.kingstone.com.tw/english/images/product/2892/9781801142892.jpg
The Reality RevolutionTheReality RevolutionThe Mind－Blowing Movement to Hack Your Reality,https://www.kingstone.com.tw//basic/203c004607580?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Scott,Brian",Lioncrest Publishing,9781544506203,https://cdn.kingstone.com.tw/english/images/product/6203/9781544506203.jpg
Python Machine Learning,https://www.kingstone.com.tw//basic/203c103367907?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801728522,https://cdn.kingstone.com.tw/english/images/product/8522/9781801728522.jpg
Python Machine Learning,https://www.kingstone.com.tw//basic/203c101311566?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801142885,https://cdn.kingstone.com.tw/english/images/product/2885/9781801142885.jpg
Machine Learning for Beginners,https://www.kingstone.com.tw//basic/203c101311715?zone=english&lid=search&actid=WISE&kw=Hack&pi=0,"Samuel,Hack",Ingram      ,9781801142939,https://cdn.kingstone.com.tw/english/images/product/2939/9781801142939.jpg
The Ethical Hack,https://www.kingstone.com.tw//basic/203c108161876?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"James S,Tiller",Ingram      ,9780849316098,https://cdn.kingstone.com.tw/english/images/product/6098/9780849316098.jpg
Hack Audio,https://www.kingstone.com.tw//basic/203c807340242?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"Tarr, Eric",Routledge   ,9781138497542,https://cdn.kingstone.com.tw/english/images/product/7542/9781138497542.jpg
Hacking,https://www.kingstone.com.tw//basic/203c004917464?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"Dodson,Adam",Ingram Publishing,9781761032813,https://cdn.kingstone.com.tw/english/images/product/2813/9781761032813.jpg
Hack This,https://www.kingstone.com.tw//basic/203c308301113?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"Baichtal, John",Que Pub     ,9780789748973,https://cdn.kingstone.com.tw/english/images/product/8973/9780789748973.jpg
Binary Hack：駭客秘傳技巧一百招,https://www.kingstone.com.tw//basic/2014713395467?zone=book&lid=search&actid=WISE&kw=Hack&pi=1,高林哲、鵜飼文敏、佐藤祐介,歐萊禮    ,9789862767665,https://cdn.kingstone.com.tw/book/images/product/20147/2014713395467/2014713395467b.jpg
Hack the Planet,https://www.kingstone.com.tw//basic/203c308218743?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"Kintisch, Eli",Ingram      ,9780470524268,https://cdn.kingstone.com.tw/english/images/product/4268/9780470524268.jpg
Addressing Climate Change,https://www.kingstone.com.tw//basic/203c410816720?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"Hack, Christopher",Gilgamesh Publishing,9781908531537,https://cdn.kingstone.com.tw/english/images/product/1537/9781908531537.jpg
Counter Hack Reloaded,https://www.kingstone.com.tw//basic/203c109182101?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"Edward,Skoudis",Prentice Hal,9780131481046,https://cdn.kingstone.com.tw/english/images/product/1046/9780131481046.jpg
The SGTE Casebook,https://www.kingstone.com.tw//basic/203c209514854?zone=english&lid=search&actid=WISE&kw=Hack&pi=1,"Hack, K. (EDT)",CRC Pr I Llc,9781420044584,https://cdn.kingstone.com.tw/english/images/product/4584/9781420044584.jpg
