書名,書籍網站,作者,出版社,ISBN,圖片網址
Domain-Driven Laravel,https://www.kingstone.com.tw//basic/203c200908695?zone=english&lid=search&actid=WISE&kw=Laravel&pi=0,"Jesse,Griffin",Apress      ,9781484260227,https://cdn.kingstone.com.tw/english/images/product/0227/9781484260227.jpg
使用Laravel 8 PHP主流框架打造RESTful API（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2013120566095?zone=book&lid=search&actid=WISE&kw=Laravel&pi=0,王盛立,博碩文化  ,9789864345304,https://cdn.kingstone.com.tw/book/images/product/20131/2013120566095/2013120566095b.jpg
使用Laravel 8 PHP主流框架打造RESTful API（iT邦幫忙鐵人賽系列書）,https://www.kingstone.com.tw//basic/2800000039327?zone=ebook&lid=search&actid=WISE&kw=Laravel&pi=0,王盛立,電子書,9789864345304,https://cdn.kingstone.com.tw/book/images/product/20131/2013120566095/2013120566095b.jpg
PHP動態網站系統開發與Laravel 框架運用,https://www.kingstone.com.tw//basic/2013120556508?zone=book&lid=search&actid=WISE&kw=Laravel&pi=0,歐瑭軒、姜林毅、蔡燕如,博碩文化  ,9789864345090,https://cdn.kingstone.com.tw/book/images/product/20131/2013120556508/2013120556508b.jpg
PHP動態網站系統開發與Laravel框架運用,https://www.kingstone.com.tw//basic/2800000036897?zone=ebook&lid=search&actid=WISE&kw=Laravel&pi=0,歐瑭軒、姜林毅、蔡燕如,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120556508/2013120556508b.jpg
Beginning Laravel,https://www.kingstone.com.tw//basic/203c911474058?zone=english&lid=search&actid=WISE&kw=Laravel&pi=0,"Sinha, Sanjib",Apress      ,9781484249901,https://cdn.kingstone.com.tw/english/images/product/9901/9781484249901.jpg
Laravel,https://www.kingstone.com.tw//basic/203c181391108?zone=english&lid=search&actid=WISE&kw=Laravel&pi=0,"Stauffer, Matt",Oreilly &   ,9781492041214,https://cdn.kingstone.com.tw/english/images/product/1214/9781492041214.jpg
Laravel之外的MVC架構選擇：用ThinkPHP聰明開發PHP專業網站,https://www.kingstone.com.tw//basic/2013120547803?zone=book&lid=search&actid=WISE&kw=Laravel&pi=0,夏磊,深智數位  ,9789865501297,https://cdn.kingstone.com.tw/book/images/product/20131/2013120547803/2013120547803b.jpg
Laravel 啟動與運行 第二版,https://www.kingstone.com.tw//basic/2014713593085?zone=book&lid=search&actid=WISE&kw=Laravel&pi=0,Matt Stauffer,歐萊禮    ,9789865023485,https://cdn.kingstone.com.tw/book/images/product/20147/2014713593085/2014713593085b.jpg
Laravel 5.7 實務專題範例教學：主流PHP開發框架入門 主流PHP開發框架入門  超端多媒體成音開,https://www.kingstone.com.tw//basic/2013120506763?zone=book&lid=search&actid=WISE&kw=Laravel&pi=0,蕭國倫、姜琇森、陳牧言等,深石數位  ,9789865003913,https://cdn.kingstone.com.tw/book/images/product/20131/2013120506763/2013120506763b.jpg
Laravel,https://www.kingstone.com.tw//basic/203c160304097?zone=english&lid=search&actid=WISE&kw=Laravel&pi=0,"Stauffer, Matt",Oreilly &   ,9781491936085,https://cdn.kingstone.com.tw/english/images/product/6085/9781491936085.jpg
Laravel 5 for beginner 新手道場：優雅運用框架快速開發 PHP 網站,https://www.kingstone.com.tw//basic/2013120457959?zone=book&lid=search&actid=WISE&kw=Laravel&pi=0,洪可郡（KeJyun）,博碩文化  ,9789864342693,https://cdn.kingstone.com.tw/book/images/product/20131/2013120457959/2013120457959b.jpg
Laravel 5 for beginner 新手道場：優雅運用框架快速開發 PHP 網站,https://www.kingstone.com.tw//basic/2800000023577?zone=ebook&lid=search&actid=WISE&kw=Laravel&pi=0,洪可郡（KeJyun）,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120457959/2013120457959b.jpg
Laravel 啟動與運行,https://www.kingstone.com.tw//basic/2014713522214?zone=book&lid=search&actid=WISE&kw=Laravel&pi=0,Matt Stauffer,歐萊禮    ,9789864763696,https://cdn.kingstone.com.tw/book/images/product/20147/2014713522214/2014713522214b.jpg
Practical Laravel 5,https://www.kingstone.com.tw//basic/203c605263562?zone=english&lid=search&actid=WISE&kw=Laravel&pi=0,"White, Lukas",Apress      ,9781484202487,https://cdn.kingstone.com.tw/english/images/product/2487/9781484202487.jpg
