書名,書籍網站,作者,出版社,ISBN,圖片網址
Data Science at the Command Line,https://www.kingstone.com.tw//basic/203c109240170?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Jeroen,Janssens",Ingram      ,9781492087915,https://cdn.kingstone.com.tw/english/images/product/7915/9781492087915.jpg
LINUX Command-Line for Beginners,https://www.kingstone.com.tw//basic/203c103789355?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Dylan,Mach",Jordan Editors,9781801792592,https://cdn.kingstone.com.tw/english/images/product/2592/9781801792592.jpg
LINUX Command-Line for Beginners,https://www.kingstone.com.tw//basic/203c103776921?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Dylan,Mach",Jordan Editors,9781801792608,https://cdn.kingstone.com.tw/english/images/product/2608/9781801792608.jpg
LINUX Command-Line for Beginners,https://www.kingstone.com.tw//basic/203c103736145?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Dylan,Mach",Jordan Editors,9781801792585,https://cdn.kingstone.com.tw/english/images/product/2585/9781801792585.jpg
LINUX Command-Line for Beginners,https://www.kingstone.com.tw//basic/203c103592510?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Dylan,Mach",Jordan Editors,9781801792615,https://cdn.kingstone.com.tw/english/images/product/2615/9781801792615.jpg
Linux Command Line and Shell Scripting Bible,https://www.kingstone.com.tw//basic/203c102123333?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Richard,Blum",Wiley       ,9781119700913,https://cdn.kingstone.com.tw/english/images/product/0913/9781119700913.jpg
Linux command line,https://www.kingstone.com.tw//basic/203c011393416?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Jason,Blunt",Andre Paolin,9781914092190,https://cdn.kingstone.com.tw/english/images/product/2190/9781914092190.jpg
Bash Command Line and Shell Scripts Pocket Primer,https://www.kingstone.com.tw//basic/203c007103771?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Campesato,Oswald",Mercury Learning & Information,9781683925040,https://cdn.kingstone.com.tw/english/images/product/5040/9781683925040.jpg
Basic Linux Terminal Tips and TricksLearn to Work Quickly on the Command Line,https://www.kingstone.com.tw//basic/203c200601921?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Philip,Kirkbride",Apress      ,9781484260340,https://cdn.kingstone.com.tw/english/images/product/0340/9781484260340.jpg
The Linux Command Line,https://www.kingstone.com.tw//basic/203c812176332?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"William,Shotts",No Starch Pr,9781593279523,https://cdn.kingstone.com.tw/english/images/product/9523/9781593279523.jpg
Cross-Platform Development with Qt 6 and Modern C++,https://www.kingstone.com.tw//basic/203c108422858?zone=english&lid=search&actid=WISE&kw=Qt%20Command%20line&pi=0,"Nibedit,Dey",Packt       ,9781800204584,https://cdn.kingstone.com.tw/english/images/product/4584/9781800204584.jpg
