書名,書籍網站,作者,出版社,ISBN,圖片網址
Refactoring at Scale,https://www.kingstone.com.tw//basic/203c200306975?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Maude,Lemaire",O'Reilly Media,9781492075530,https://cdn.kingstone.com.tw/english/images/product/5530/9781492075530.jpg
Refactoring,https://www.kingstone.com.tw//basic/203c011343255?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Ingrid,Beckmann",AV Akademikerverlag,9783639409048,https://cdn.kingstone.com.tw/english/images/product/9048/9783639409048.jpg
Refactoring Legacy T-SQL for Improved Performance,https://www.kingstone.com.tw//basic/203c006900551?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Bohm,Lisa",Apress      ,9781484255803,https://cdn.kingstone.com.tw/english/images/product/5803/9781484255803.jpg
Refactoring,https://www.kingstone.com.tw//basic/203c120187924?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Fields, Jay",Addison-Wesl,9780321603500,https://cdn.kingstone.com.tw/english/images/product/3500/9780321603500.jpg
Pro PHP Refactoring,https://www.kingstone.com.tw//basic/203c308443719?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Trucchia, Francesco",Apress      ,9781430227274,https://cdn.kingstone.com.tw/english/images/product/7274/9781430227274.jpg
Refactoring SQL Applications,https://www.kingstone.com.tw//basic/203c010132981?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Stephane,Faroult",O'Reilly Media,9780596514976,https://cdn.kingstone.com.tw/english/images/product/4976/9780596514976.jpg
Refactoring HTML,https://www.kingstone.com.tw//basic/203c109308045?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Harold, Elliotte Rusty",Addison-Wesl,9780321503633,https://cdn.kingstone.com.tw/english/images/product/3633/9780321503633.jpg
Java 重構- Java Refactoring,https://www.kingstone.com.tw//basic/2014713022509?zone=book&lid=search&actid=WISE&kw=Refactoring&pi=0,結城浩,博碩文化  ,9789862010877,https://cdn.kingstone.com.tw/book/images/product/20147/2014713022509/2014713022509b.jpg
Refactoring to Patterns,https://www.kingstone.com.tw//basic/203c308172854?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Kerievsky, Joshua",Addison-Wesl,9780321213358,https://cdn.kingstone.com.tw/english/images/product/3358/9780321213358.jpg
Refactoring Workbook,https://www.kingstone.com.tw//basic/2044550104939?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,Wake- Willia,Addison-Wesl,9780321109293,https://cdn.kingstone.com.tw/english/images/product/9293/9780321109293.jpg
Refactoring,https://www.kingstone.com.tw//basic/203c151707426?zone=english&lid=search&actid=WISE&kw=Refactoring&pi=0,"Fowler, Martin",Prentice H  ,9780201485677,https://cdn.kingstone.com.tw/english/images/product/5677/9780201485677.jpg
