書名,書籍網站,作者,出版社,ISBN,圖片網址
Polished Ruby Programming,https://www.kingstone.com.tw//basic/203c109947392?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Jeremy,Evans",Packt       ,9781801072724,https://cdn.kingstone.com.tw/english/images/product/2724/9781801072724.jpg
Beginning Ruby 3,https://www.kingstone.com.tw//basic/203c200306829?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Carleton,DiLeo",Apress      ,9781484263235,https://cdn.kingstone.com.tw/english/images/product/3235/9781484263235.jpg
Mineralogy and Geochemistry of Ruby,https://www.kingstone.com.tw//basic/203c101263295?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Frederick Lin,Sutherland",Ingram      ,9783039436156,https://cdn.kingstone.com.tw/english/images/product/6156/9783039436156.jpg
Sustainable Web Development with Ruby on Rails,https://www.kingstone.com.tw//basic/203c011242864?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"David Bryant,Copeland",David Bryant Copeland,9780990702849,https://cdn.kingstone.com.tw/english/images/product/2849/9780990702849.jpg
Why’s (Poignant) Guide to Ruby,https://www.kingstone.com.tw//basic/203c005132876?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"The Lucky Stiff,Why",Snowbooks   ,9781838039509,https://cdn.kingstone.com.tw/english/images/product/9509/9781838039509.jpg
Clean Ruby,https://www.kingstone.com.tw//basic/203c103851191?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Carleton,DiLeo",Apress      ,9781484255452,https://cdn.kingstone.com.tw/english/images/product/5452/9781484255452.jpg
Ruby Programming For Beginners,https://www.kingstone.com.tw//basic/203c004212432?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Warren,Tim",Ingram Publishing,9781761033087,https://cdn.kingstone.com.tw/english/images/product/3087/9781761033087.jpg
Monster Fruit Trees,https://www.kingstone.com.tw//basic/203c103213752?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Ruby,Burchette",AuthorHouse ,9781665515887,https://cdn.kingstone.com.tw/english/images/product/5887/9781665515887.jpg
Anomaly Detection System for Network Traffic using Data Mining,https://www.kingstone.com.tw//basic/203c106370695?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Ruby,Sharma",Ingram      ,9786203305234,https://cdn.kingstone.com.tw/english/images/product/5234/9786203305234.jpg
Wireless Communications: Networks and Systems,https://www.kingstone.com.tw//basic/203c008119089?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Ruby,Long",Ingram      ,9781682858042,https://cdn.kingstone.com.tw/english/images/product/8042/9781682858042.jpg
Learn Rails 6,https://www.kingstone.com.tw//basic/203c200306813?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Adam,Notodikromo",Apress      ,9781484260258,https://cdn.kingstone.com.tw/english/images/product/0258/9781484260258.jpg
Mastering Ruby Closures,https://www.kingstone.com.tw//basic/203c710837863?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Hao, Benjamin Tan Wei",Pragmatic   ,9781680502619,https://cdn.kingstone.com.tw/english/images/product/2619/9781680502619.jpg
Learning Ruby,https://www.kingstone.com.tw//basic/203c610191364?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Fitzgerald, Michael",Oreilly &   ,9780596519667,https://cdn.kingstone.com.tw/english/images/product/9667/9780596519667.jpg
Clasificaci籀n de microorganismos en muestras de agua,https://www.kingstone.com.tw//basic/203c103775067?zone=english&lid=search&actid=WISE&kw=Ruby&pi=0,"Ruby Daniela,Mendieta Mart穩nez",Editorial Academica Espanola,9786203034462,https://cdn.kingstone.com.tw/english/images/product/4462/9786203034462.jpg
為你自己學 Ruby on Rails,https://www.kingstone.com.tw//basic/2014713534675?zone=book&lid=search&actid=WISE&kw=Ruby&pi=0,高見龍,碁峰資訊  ,9789864765836,https://cdn.kingstone.com.tw/book/images/product/20147/2014713534675/2014713534675b.jpg
