書名,書籍網站,作者,出版社,ISBN,圖片網址
公職考試2021試題大補帖【資料結構（含資料結構與資料庫及資料探勘）】（101~109年試題）（申論題型）,https://www.kingstone.com.tw//basic/2015216871489?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,百官網公職師資群,大碩教育  ,9789865479152,https://cdn.kingstone.com.tw/book/images/product/20152/2015216871489/2015216871489b.jpg
社群網站的資料探勘 第三版,https://www.kingstone.com.tw//basic/2014713602091?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,Matthew A. Russell,歐萊禮    ,9789865026035,https://cdn.kingstone.com.tw/book/images/product/20147/2014713602091/2014713602091b.jpg
大數據X資料探勘X智慧營運,https://www.kingstone.com.tw//basic/2013120558632?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,梁棟、張兆靜、彭木根,崧燁文化  ,9789577359926,https://cdn.kingstone.com.tw/book/images/product/20131/2013120558632/2013120558632b.jpg
社群網站資料探勘|看數字說故事、不用拔草也能測風向,https://www.kingstone.com.tw//basic/2014713599537?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,Lam Thuy Vo,碁峰資訊  ,9789865025588,https://cdn.kingstone.com.tw/book/images/product/20147/2014713599537/2014713599537b.jpg
公職考試2020試題大補帖【資料結構（含資料結構與資料庫及資料探勘）】（101~108年試題）,https://www.kingstone.com.tw//basic/2015216488496?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,百官網公職師資群,大碩教育  ,9789863457923,https://cdn.kingstone.com.tw/book/images/product/20152/2015216488496/2015216488496b.jpg
資料探勘原理與技術,https://www.kingstone.com.tw//basic/2013120523111?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,張云濤,五南      ,9789577636355,https://cdn.kingstone.com.tw/book/images/product/20131/2013120523111/2013120523111b.jpg
資料探勘：人工智慧與機器學習發展以SPSS Modeler為範例,https://www.kingstone.com.tw//basic/2013120496705?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,廖述賢、溫志皓,博碩文化  ,9789864343676,https://cdn.kingstone.com.tw/book/images/product/20131/2013120496705/2013120496705b.jpg
資料探勘：人工智慧與機器學習發展以SPSS Modeler為範例,https://www.kingstone.com.tw//basic/2800000025052?zone=ebook&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,廖述賢、溫志皓,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120496705/2013120496705b.jpg
R語言資料分析：從機器學習、資料探勘、文字探勘到巨量資料分析 [第三版],https://www.kingstone.com.tw//basic/2800000024960?zone=ebook&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,李仁鐘、李秋緣,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120495883/2013120495883b.jpg
Ｒ語言資料分析：從機器學習、資料探勘、文字探勘到巨量資料分析 （第三版）,https://www.kingstone.com.tw//basic/2013120495883?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,李仁鐘、李秋緣,博碩文化  ,9789864343669,https://cdn.kingstone.com.tw/book/images/product/20131/2013120495883/2013120495883b.jpg
資料探勘：程序與模式：使用Excel實作,https://www.kingstone.com.tw//basic/2013120444836?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,葉怡成,五南      ,9789571191966,https://cdn.kingstone.com.tw/book/images/product/20131/2013120444836/2013120444836b.jpg
Ｒ語言資料分析：從機器學習、資料探勘、文字探勘到巨量資料分析 （第二版）,https://www.kingstone.com.tw//basic/2013120434349?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,李仁鐘、李秋緣,博碩文化  ,9789864342129,https://cdn.kingstone.com.tw/book/images/product/20131/2013120434349/2013120434349b.jpg
應用 R 語言於資料分析-從機器學習、資料探勘到巨量資料,https://www.kingstone.com.tw//basic/2013120338036?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,李仁鐘,松崗      ,9789572244241,https://cdn.kingstone.com.tw/book/images/product/20131/2013120338036/2013120338036b.jpg
社群網站的資料探勘,https://www.kingstone.com.tw//basic/2014713393623?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,Matthew A. Russell,歐萊禮    ,9789862767825,https://cdn.kingstone.com.tw/book/images/product/20147/2014713393623/2014713393623b.jpg
飼育網路爬蟲-搜尋引擎資料探勘最佳化,https://www.kingstone.com.tw//basic/2010280003859?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,王亮,佳魁      ,9789866007941,https://cdn.kingstone.com.tw/book/images/product/20102/2010280003859/2010280003859b.jpg
資料探勘理論與應用－以IBM SPSS Modeler為範例,https://www.kingstone.com.tw//basic/2013120199088?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,廖述賢,博碩文化  ,9789862015483,https://cdn.kingstone.com.tw/book/images/product/20131/2013120199088/2013120199088b.jpg
資料探勘原理與技術,https://www.kingstone.com.tw//basic/2023120080705?zone=book&lid=search&actid=WISE&kw=%E8%B3%87%E6%96%99%E6%8E%A2%E5%8B%98&pi=0,張云濤,五南      ,9789571146768,https://cdn.kingstone.com.tw/book/images/product/20231/2023120080705/2023120080705b.jpg
