ISBN,書籍簡介
9781119737360,"

Discover the latest developments in fiber-optic communications with the newest edition of this leading textbook  In the newly revised fifth edition of Fiber-Optic Communication Systems, accomplished researcher and author, Dr. Govind P. Agrawal, delivers brand-new updates and developments in the science of fiber optics communications. The book contains substantial additions covering the topics of coherence detection, space division multiplexing, and more advanced subjects. You'll learn about topics like fiber's losses, dispersion, and nonlinearities, as well as coherent lightwave systems. The latter subject has undergone major changes due to the extensive development of digital coherent systems over the last decade. Space-division multiplexing is covered as well, including multimode and multicore fibers developed in just the last ten years. Finally, the book concludes with a chapter on brand-new developments in the field that are still at the development stage and likely to become highly relevant for practitioners and researchers in the coming years. Readers will also benefit from the inclusion of:  A thorough introduction to the fundamentals of fiber-optic communication systems  An exploration of the management of fiber-optic communication losses, dispersion, and nonlinearities  A practical discussion of coherent lightwave systems, including coherent transmitters and receivers, as well as noise and bit-error rate, sensitivity degradation mechanisms, and the impact of nonlinear effects  A concise treatment of space-division multiplexing, including multicore and multimode fibers, multicore lightwave systems, and multimode lightwave systems  Analyses of advanced topics, including pulse shaping for higher spectral efficiency, Kramers-Kronig receivers, nonlinear Fourier transform, wavelength conversion, and optical regeneration   Perfect for graduate students, professors, scientists, and professional engineers working or studying in the area of telecommunications technology, Fiber-Optic Communication Systems is an essential update to the leading reference in the area of fiber-optic communications.
                    
"
9789811539947,0
9783030815226,0
9781420061499,"

Broadband networks, such as asynchronous transfer mode (ATM), frame relay, and leased lines, allow us to easily access multimedia services (data, voice, and video) in one package. Exploring why broadband networks are important in modern-day telecommunications, Introduction to Broadband Communication Systems covers the concepts and components of both standard and emerging broadband communication network systems. After introducing the fundamental concepts of broadband communication systems, the book discusses Internet-based networks, such as intranets and extranets. It then addresses the networking technologies of X.25 and frame relay, fiber channels, a synchronous optical network (SONET), a virtual private network (VPN), an integrated service digital network (ISDN), broadband ISDN (B-ISDN), and ATM. The authors also cover access networks, including digital subscriber lines (DSL), cable modems, and passive optical networks, as well as explore wireless networks, such as wireless data services, personal communications services (PCS), and satellite communications. The book concludes with chapters on network management, network security, and network testing, fault tolerance, and analysis. With up-to-date, detailed information on the state-of-the-art technology in broadband communication systems, this resource illustrates how some networks have the potential of eventually replacing traditional dial-up Internet. Requiring only a general knowledge of communication systems theory, the text is suitable for a one- or two-semester course for advanced undergraduate and beginning graduate students in engineering as well as for short seminars on broadband communication systems.
                    
"
9783319349213,"

This textbook provides a concise but lucid explanation of the fundamentals of spread-spectrum systems with an emphasis on theoretical principles. The choice of specific topics is tempered by the author's judgment of their practical significance and interest to both researchers and system designers. Throughout the book, learning is facilitated by many new or streamlined derivations of the classical theory. Problems at the end of each chapter are intended to assist readers in consolidating their knowledge and to provide practice in analytical techniques. This third edition includes new coverage of topics such as CDMA networks, Acquisition and Synchronization in DS-CDMA Cellular Networks, Hopsets for FH-CDMA Ad Hoc Networks, and Implications of Information Theory, as well as updated and revised material on Central Limit Theorem, Power Spectral Density of FH/CPM Complex Envelopes, and Anticipative Adaptive-Array Algorithm for Frequency-Hopping Systems.
                    
"
9783659845093,"

Wavelength division multiplexed passive optical networks are perceived as the ultimate form of next-generation passive optical network that show promising outlooks in meeting the ever-growing demand of telecommunication capacities and internet traffic. In this book, an InAs/InP quantum dash laser is investigated as an ideal contender to meeting this demand owing to is broadband emission, which allows for expanding the utilizable bandwidth away from the over-exhausted C-band and to accommodating more subscribers for less capital expenditure. Firstly, the device is inspected as a tunable light source with a total emission-wavelength tuning range of 30 nm due to its inhomogeneous active region. Thereafter, the device is investigated in two-sectioned configurations to realize other monolithic devices. Lastly, the quantum dash active region is examined in terms of its electro-absorption (EA) and electro-optic (EO) characteristics. On another front, the quantum dash laser is employed to achieve the first demonstration of WDM transmission in the L-band over a single transmitter with an aggregate data rate of 384 Gbit/s with three simultaneous channels in DP-QPSK modulation scheme.
                    
"
9789811528569,0
9781119535058,"

MULTIFUNCTIONAL ANTENNAS AND ARRAYS FOR WIRELESS COMMUNICATION SYSTEMS Offers an up-to-date discussion of multifunctional antennas and arrays for wireless communication systemsMultifunctional Antennas and Arrays for Wireless Communication Systems is a comprehensive reference on state-of-the-art reconfigurable antennas and 4G/5G communication antennas. The book gives a unique perspective while giving a comprehensive overview of the following topics: Frequency reconfigurable antennasPattern reconfigurable antennasPolarization reconfigurable antennasReconfigurable antennas using Liquid Metal, Piezoelectric, and RF MEMSMIMO and 4G/5G wireless communication antennasMetamaterials and metasurfaces in reconfigurable antennasMultifunctional antennas for user equipments (UEs)Defense related antennas and applicationsFlat panel phased array antennasThe book is a valuable resource for the practicing engineer as well as for those within the research field. As wireless communications continuously evolves, more and more functionally will be required, and thus multifunctional antennas and RF systems will be necessary. These multifunctional antennas will require a degree of reconfigurability, and this book discusses various methods which enable this. The main topics of frequency, pattern, and polarization reconfigurability is first discussed. Methods utilizing unique materials and devices, both real and artificial are discussed. The book also delves into 4G/5G antennas as it relates to MIMO, and millimeter-wave phased arrays. Finally, there is a section on defense related multifunctional RF antenna systems.
                    
"
9789388706506,0
9783030254643,"

Communication Systems is as an introductory textbook, presenting Fourier transform, convolution, and definitions of autocorrelation and power spectral density. It also introduces concepts of probability, random variables, and stochastic processes and their applications to the analysis of linear systems. Innovatively, the text treats the modulation process using stochastic processes as well as covers amplitude modulation, quadrature modulation, angle modulation, mobile cellular systems, propagation channels and more. Quantization and coding of analog signals is also treated, as well as speech coding.  Channel modeling, including channel characteristics and propagation, is covered with an emphasis on simple models. Transmission and reception of modulated carriers is included as well as the required transmitting and receiving equipment. Mobile communication is also covered and considers both analog and digital systems. The authors provide five appendices which cover topics such as Fourier series and transforms, Hilbert transform, important formulae, and cellular systems including CDMA and GSM standards. Many examples are provided as well as problems at the end of each chapter to allow the reader to practice his acquired knowledge.
                    
"
9783030611422,"

This book constitutes selected papers of the Second International Conference on Advanced Communication Systems and Information Security, ACOSIS 2019, held in Marrakesh, Morocco, in November 2019.The 10 full papers and 10 short papers were thoroughly reviewed and selected from 94 submissions. The papers are organized accroding to the following topical sections: wireless communications and services; vehicular communications; channel coding; construction of error correcting codes; intrusion detection techniques; wireless and mobile network security; applied cryptography.
                    
"
9780367894658,"

Green Information and Communication Systems for a Sustainable Future covers the fundamental concepts, applications, algorithms, protocols, new trends, challenges, and research results in the area of Green Information and Communication Systems. This book provides the reader with up-to-date information on core and specialized issues, making it highly suitable for both the novice and the experienced researcher in the field. The book covers theoretical and practical perspectives on network design. It includes how green ICT initiatives and applications can play a major role in reducing CO2 emissions, and focuses on industry and how it can promote awareness and implementation of Green ICT. The book discusses scholarship and research in green and sustainable IT for business and organizations and uses the power of IT to usher sustainability into other parts of an organization. Business and management educators, management researchers, doctoral scholars, university teaching personnel and policy makers as well as members of higher academic research organizations will all discover this book to be an indispensable guide to Green Information and Communication Systems. It will also serve as a key resource for Industrial and Management training organizations all over the world.
                    
"
9781682857700,0
9783030260156,"

This book presents the most recent challenges and developments in sustainable computing systems with the objective of promoting awareness and best practices for the real world. It aims to present new directions for further research and technology improvements in this important area.

"
9781632409485,0
9789811592928,0
9788770222105,"

Multirate signal processing can improve system performance and reduce costs in applications ranging from laboratory instruments, cable modems, wireless systems, satellites, radar, sonar, and consumer entertainment products. This second edition continues to offer a systematic, clear, and intuitive introduction to multirate signal processing for working engineers and system designers. Significant new material and fresh concepts, including Green Signal Processing techniques have been introduced. The author uses extensive examples and figures to illustrate a wide range of multirate techniques, from basic resampling to leading-edge cascade and multi-stage filter structures. Along the way he draws on extensive research and consulting experience to introduce processing ""tricks"" shown to maximize performance and efficiency. Coverage includes: Effect of sampling and resampling in time and frequency domainsRelationships between FIR filter specifications and filter length (# of taps)Window design and equal-ripple (Remez) design techniquesSquare-Root Nyquist and Half-band Filters including new enhancementsPolyphase FIR filters: up-sampling, down-samplingPolyphase M-path analysis and synthesis channelizers and cascade pairsPolyphase interpolators for arbitrary sample rate changesDyadic half-band filters, quadrature mirror filtersChannel banks for multiple arbitrary bandwidths and center frequenciesComprehensive coverage of recursive all-pass filters and channelizers, non-uniform and uniform phase, mixed recursive and non-recursiveComparisons with traditional DSP designsExtensive applications coverage throughout
                    
"
9781632387165,0
9789811574856,0
9783030659547,"

This book constitutes the proceedings of the 14th International Conference on Veriﬁcation and Evaluation of Computer and Communication Systems, VECoS 2020, which was supposed to be held in Xi'an, China, in October 2020, but was held virtually instead. The 19 full papers and 1 short paper presented in this volume were carefully reviewed and selected from 60 submissions. The aim of the VECoS conference is to bring together researchers and practitioners in the areas of veriﬁcation, control, performance, and dependability evaluation in order to discuss state of the art and challenges in modern computer and communication systems in which functional and extra-functional properties are strongly interrelated. Thus, the main motivation for VECoS is to encourage the cross-fertilization between various formal veriﬁcation and evaluation approaches, methods and techniques, and especially those developed for concurrent and distributed hardware/software systems. The papers are organized in the following topical sections: petri-net, simulation, and scheduling; formal modeling and verification, testing; and artificial intelligence and machine learning.

"
9789811555459,0
9783639438659,"

Revision with unchanged content. Future mobile communication systems have to provide high data rates for multimedia services. The radio spectrum is a natural and scarce resource and therefore spectral efficiency is the most essential factor for future systems. This work investigates the spectral efficiency of the next generation cellular system WINNER. The focus is on multihop relay enhanced cell deployments as well as multicast and broadcast transmission. To develop realistic deploy-ments, quality of service constraints from the user and deployment con-straints from the operator side are considered. The investigations are part of the European research project WINNER and results are presented in this context. The first part introduces the WINNER wide area deployment. Further, solutions for relay enhanced cell deployments and for multicast and broadcast transmission are developed. System-level simulations are used to evaluate the proposed deployments. Final results for both parts and combined solutions are presented. This book addresses engineers and researchers working in the field of wireless and mobile communications.
                    
"
9789811370939,"

The book presents high-quality papers from the Third International Conference on Microelectronics, Computing & Communication Systems (MCCS 2018). It discusses the latest technological trends and advances in MEMS and nanoelectronics, wireless communications, optical communication, instrumentation, signal processing, image processing, bioengineering, green energy, hybrid vehicles, environmental science, weather forecasting, cloud computing, renewable energy, RFID, CMOS sensors, actuators, transducers, telemetry systems, embedded systems, and sensor network applications. It includes papers based on original theoretical, practical and experimental simulations, development, applications, measurements, and testing. The applications and solutions discussed in the book provide excellent reference material for future product development.

"
