ISBN,書籍簡介
9781716979446,0
9783030344986,"

The goal of this textbook is to provide enough background into the inner workings of the Internet to allow a novice to understand how the various protocols on the Internet work together to accomplish simple tasks, such as a search. By building an Internet with all the various services a person uses every day, one will gain an appreciation not only of the work that goes on unseen, but also of the choices made by designers to make life easier for the user.Each chapter consists of background information on a specific topic or Internet service, and where appropriate a final section on how to configure a Raspberry Pi to provide that service.While mainly meant as an undergraduate textbook for a course on networking or Internet protocols and services, it can also be used by anyone interested in the Internet as a step-by-step guide to building one's own Intranet, or as a reference guide as to how things work on the global Internet 

"
9781715678005,"

The objective of the book is to summarize to the user with main topics in computer networking hacking. The book consists of the following parts: Part 1: Lab Setup Part2: Foot printing and Reconnaissance Part 3: Scanning Methodology Part 4: Enumeration Part 5: System Hacking Part 6: Trojans and Backdoors and Viruses Part 7: Sniffer and Phishing Hacking Part 8: Hacking Web Servers Part 9: Hacking Windows and Linux Systems Part 10: Wireless Hacking Part 11: Hacking Mobile Applications
                    
"
9786139863570,"

The monograph is written in the industry that is rapidly developing and is associated with the creation and operation of heterogeneous computer networks based on the groups (flocks and sub-swarms) of unmanned aerial vehicles (UAVs). The issues of using monitoring and technological networks are considered. Also, shows the elaboration and the creation of new algorithms, capable of reducing the amount of computing onboard UAV and to reduce the human intervention to preventing collisions and critical situations caused by failure or loss of control of individual UAVs. The monograph analyzes general issues of increasing the efficiency of operation and lengthening the lifetime of UAV units with various designs and circuitry solutions. Details are given to ensure the stability of communication, improve the security of the transmitted data between the components of the cyber-physical system (CPS) by wireless communication channels. Prospects of the perfection of such systems are formulated. The book will be useful for students, lecturers, and specialists, who are interested in problems of using UAVs taking into account their group behavior.
                    
"
9781682857663,0
9786139456598,"

A few years ago, communication in computer networks was considered the lot of young people, however, at the moment people of almost all ages use various computer networks to one degree or another, 90% of Internet users are also users of at least one social network. Of people over the age of 50, only 28% do not have a single account on social networks. In the modern world, the popularity of online publications is constantly growing. To some extent, this is associated with the development of technical means that ensure the transfer of information. Internet media compete with print media and television in the first place in the area of ​​prompt information. Journalists working for online publications are located all over the world. Paper carrier for humans is still an important part of life. At the same time, the most popular print media will undoubtedly develop online versions of their publications. Thus, the Internet editions will become not so much competing with print editions, as complementing the information provided. The manual is aimed at training modern journalists for new electronic media.
                    
"
9786200113443,"

Since the development of Internet and the virtual world was meant to grow, they used for it IPv4 addresses and they knew they would be exhausted so they invented IPv6, all that just because the people responsible for that invention found out that there is an increasing need to grow and develop the internet and everything related to it not just because of the growing world population but also due to the invention of new devices that connect to the internet other than computers and network devices, with that came the need for larger scale networks and faster internet, but with the soaring internet speed these days, old networks are getting less able to deal with it, and here came the need to develop the network structure and infrastructure, everything related to this world is in advancement so why not the network itself . so, here comes the age of the Software Defined Networks, which means a potentially network depending on the software itself (programming and virtualization), so to make the networks faster they thought why not put the control in one device instead of multiple devices and strip the other devices from any authority or ability except for forwarding data.
                    
"
9786202516075,"

Today's Computer networks have been the effect of progress from few decades ago. The invention of computer networks has its own history of evolution and started setting up their milestones day by day. The reason behind caring the communication is greatly evident, if no communication then world is filled of silence.The evolution of computer networks will offer you the deeper understanding of the greater achievements in this era. The computer networks weave their path to emerge from late 1960s. After the long way with the technological developments, in the mid-1990s, the growth of the Internet is enormous and written communication becomes vital in every individuals life. The influence of computer networks on other telecommunication network is known as ""network convergence"". Prior to digital evolution, the telephonic conversation is an analog mode of signal transmission. Digital voice transmission on the telephone network is one of the best and first signs to speak out the speciality of ""convergence"". The new services in computer networks are the prerogatives of telephone, radio and Television services.
                    
"
9781715075347,"

The objective of the book is to summarize to the user with main topics in computer networking hacking. The book consists of the following parts: Part 1: Lab Setup Part2: Foot printing and Reconnaissance Part 3: Scanning Methodology Part 4: Enumeration Part 5: System Hacking Part 6: Trojans and Backdoors and Viruses Part 7: Sniffer and Phishing Hacking Part 8: Hacking Web Servers Part 9: Hacking Windows and Linux Systems Part 10: Wireless Hacking Part 11: Hacking Mobile Applications
                    
"
9780128182000,"

Computer Networks: A Systems Approach, Sixth Edition explores the key principles of computer networking, using real world examples from network and protocol design. Using the Internet as the primary example, this best-selling classic textbook explains various protocols and networking technologies. The systems-oriented approach encourages students to think about how individual network components fit into a larger, complex system of interactions. This sixth edition contains completely updated content with expanded coverage of the topics of utmost importance to networking professionals and students, as provided by numerous contributors via a unique open source model developed jointly by the authors and publisher.  Hallmark features of the book are retained, including chapter problem statements, which introduce issues to be examined; shaded sidebars that elaborate on a topic or introduce a related advanced topic; What's Next? discussions that deal with emerging issues in research, the commercial world, or society; and exercises. This book is intended primarily for graduate or upper-division undergraduate classes in computer networking. It will also be useful for industry professionals retraining for network-related assignments, as well as for network practitioners seeking to understand the workings of network protocols and the big picture of networking.
                    
"
