ISBN,書籍簡介
9783030693244,"

This volume explores options for a sustainable maritime domain, including maritime transportation, such as, Maritime Spatial Planning (MSP), maritime education and training, maritime traffic and advisory systems, maritime security. Other activities in the maritime domain covered in the book include small-scale fisheries and sustainable fisheries, and greening the blue economy. The book aims to provide the building blocks needed for a framework for good ocean governance; a framework that will serve through the next decade and, and hopefully, well beyond the 2030 milepost of the UN Agenda for Sustainable Development. In short, this book brings together the problems of the current world and sustainable solutions that are in the development process and will eventually materialize in the not so distant future. Additionally, the book presents a trans-disciplinary analysis of integral sustainable maritime transportation solutions and crucial issues relevant to good ocean governance that have recently been discussed at different national, regional and international fora, highlighting ongoing work to develop and support governance systems that facilitate industry requirements, and meet the needs of coastal states and indigenous peoples, of researchers, of spatial planners, and of other sectors dependent on the oceans.The book will be of interest to researchers across many disciplines, especially those that are engaged in cross-sectoral research and developments in the maritime transport sector and across the wider maritime domain. To this end, the book covers areas including natural and social sciences, geographical studies, spatial planning, maritime security and gender studies, as they relate to transport and the wider maritime sector. In addition, the book explores frameworks for sustainable ocean governance being developed under the UN's Agenda for Sustainable Development to 2030. It will also look beyond the 2030 milepost under that Agenda, and will be of use to national and international policymakers and practitioners, government actors at the EU and other regional and national levels and to researchers of ocean governance, sustainability and management, and maritime transport.

"
9783846558034,"

Mobile agents are preponderating the internet technology that actually were part of / are software components that incorporate data which were able to migrate from one node to another in a network. These mobile agents are also used to exploit the security challenges in the inter-networking domain. But the successful employment of the mobile agents as part of the security mechanism is being effected by the diverse range of factors like performance, efficiency, ability to identify the intruders, and the models vulnerability to direct attacks and so-on which make the successful deployment of the mobile agents in the security domain challenging. These factors arise because of the wide area of focus and in merging the two very different ideas of technology the mobile agents and the security. Therefore it's often demanding to identify a security mechanism that entails the performance by making use of the mobile agents in the network security domain. Also on the contrary the mechanism need to be generic and should support all kinds of the environments in answering the challenges.
                    
"
9781107042841,"

Constraint Satisfaction Problems (CSPs) are natural computational problems that appear in many areas of theoretical computer science. Exploring which CSPs are solvable in polynomial time and which are NP-hard reveals a surprising link with central questions in universal algebra. This monograph presents a self-contained introduction to the universal-algebraic approach to complexity classification, treating both finite and infinite-domain CSPs. It includes the required background from logic and combinatorics, particularly model theory and Ramsey theory, and explains the recently discovered link between Ramsey theory and topological dynamics and its implications for CSPs. The book will be of interest to graduate students and researchers in theoretical computer science and to mathematicians in logic, combinatorics, and dynamics who wish to learn about the applications of their work in complexity theory.
                    
"
9781393635703,"

This book consist of sample Computer Network (whole LAN & WAN) design and Primary Child Domain Controller Configurations completely. Domain Controller Configured with Windows server 2012 operating system.If you learn this book you can design a LAN & WAN computer network and also you can Configure Domain Controller through windows server operating system.This ebook suitable to Computer Networking students, beginners, lecturers and computer networking professionals.
                    
"
9781643272764,"

Domain theory is a subject that emerged as a response to natural concerns in the semantics of computation, and it involves the study of ordered sets that possess an unusual amount of mathematical structure. Disorder in Domain Theory explores the connection between domain theory and quantum information science and the concept that relates them: disorder.
                    
"
9783030605476,"

This book constitutes the refereed proceedings of the Second MICCAI Workshop on Domain Adaptation and Representation Transfer, DART 2020, and the First MICCAI Workshop on Distributed and Collaborative Learning, DCL 2020, held in conjunction with MICCAI 2020 in October 2020. The conference was planned to take place in Lima, Peru, but changed to an online format due to the Coronavirus pandemic.  For DART 2020, 12 full papers were accepted from 18 submissions. They deal with methodological advancements and ideas that can improve the applicability of machine learning (ML)/deep learning (DL) approaches to clinical settings by making them robust and consistent across different domains.For DCL 2020, the 8 papers included in this book were accepted from a total of 12 submissions. They focus on the comparison, evaluation and discussion of methodological advancement and practical ideas about machine learning applied to problems where data cannot be stored in centralized databases; where information privacy is a priority; where it is necessary to deliver strong guarantees on the amount and nature of private information that may be revealed by the model as a result of training; and where it's necessary to orchestrate, manage and direct clusters of nodes participating in the same learning task.
                    
"
9789811589980,"

This book complies latest advancement in the field of environmental biotechnology. It focuses on topics that comprises industrial, environment and agricultural related issues to microbiological studies and exhibits correlation between biological world and dependence of humans on it. It is designed into three sections covering the role of environmental biotechnology in industry, environmental remediation, and agriculture. Ranging from micro-scale studies to macro, it covers up a huge domain of environmental biotechnology. Overall the book portrays the importance of modern biotechnology technologies in solving the problems in modern day life. The book is a ready reference for practicing students, researchers of biotechnology, environmental engineering, chemical engineering and other allied fields likewise.

"
9788792329707,"

Future broadband wireless communication systems are expected to offer new and powerful services enabling fast transmission rates of several tens of Mbit/s. This is an ambitious challenge, especially for mobile communication systems, since these systems should be able to cope with several time dispersive channels associated with the signal multipath propagation. Moreover, these systems should have high spectral and power efficiencies as well as high capacity and flexibility. Spread spectrum techniques, particularly coded division multiple access (CDMA) techniques allow high capacity and flexibility, continuous transmission requiring low-peak power requirements for the amplifiers, and some robustness against fading and time-dispersion effects associated with the multipath propagation. When employed in prefix assisted (PA) block transmission schemes combined with frequency-domain receiver implementations, they become especially interesting for broadband wireless systems. In Frequency-Domain Multiuser Detection for CDMA Systems, the use of PA block transmission is considered in the context of both DS (Direct Sequence) and MC (Multicarrier) CDMA schemes. The main focus of this publication is the study of frequency-domain multiuser detection techniques with iterative signal detection/decoding techniques, also in combination with estimation and cancelation of nonlinear distortion effects. The receiver structures are suitable to scenarios with high interference levels and strongly time-dispersive channels.
                    
"
9783030708320,0
9780198862499,"

Technological evolution and revolution are both driven by the discovery of new functionalities, new materials and the design of yet smaller, faster, and more energy-efficient components. Progress is being made at a breathtaking pace, stimulated by the rapidly growing demand for more powerful and readily available information technology. High-speed internet and data-streaming, home automation, tablets and smartphones are now ""necessities"" for our everyday lives. Consumer expectations for progressively more data storage and exchange appear to be insatiable. In this context, ferroic domain walls have attracted recent attention as a completely new type of oxide interface. In addition to their functional properties, such walls are spatially mobile and can be created, moved, and erased on demand. This unique degree of flexibility enables domain walls to take an active role in future devices and hold a great potential as multifunctional 2D systems for nanoelectronics. With domain walls as reconfigurable electronic 2D components, a new generation of adaptive nano-technology and flexible circuitry becomes possible, that can be altered and upgraded throughout the lifetime of the device. Thus, what started out as fundamental research, at the limit of accessibility, is finally maturing into a promising concept for next-generation technology.

"
9783639442441,"

Inhaltlich unver瓣nderte Neuauflage. Namen sind sprachliche Ph瓣nomene, die von gro?er Bedeutung sind. Viele Namengruppen sind nicht nur wichtig durch ihre referentielle Funktion, sondern auch aus rechtlicher und wirtschaftlicher Sicht. Dazu z瓣hlen unter anderem Produktnamen und Firmennamen, aber seit einigen Jahren auch in zunehmendem Ma?e die Domain-Namen, die im Internet gro?en Wert besitzen. Firmen und Privatpersonen nutzen die Domain-Namen, um im Inter-net pr瓣sent zu sein und dort gefunden zu werden. Oft ist der Name dabei auch ein Mittel, um das Interesse von Nutzern zu wecken und sie auf die entsprechende Website zu locken. Wie dieses Ziel durch den Domain-Namen umgesetzt wird und welche Bildungsweisen und Arten von Domain-Namen es gibt, wird in diesem Buch untersucht. Dabei werden auch rechtlich und wirtschaftlich relevante Aspekte nicht au?er Acht gelassen.
                    
"
9783639453447,"

Revision with unchanged content. The prediction of protein structural domains and their boundaries from amino acid sequence data is an open problem of interest to the bio-informatics community. Determining a protein's structural domains experi-mentally can be very difficult. The assignment of structural domains relies on the time-consuming process of determining the three-dimensional structure. There is a strong potential for computational methods to aid in this and other tasks in structural molecular biology. Efforts from other researchers, along with the results presented here indicate that boundaries can indeed be predicted from amino acid sequence alone. A new machine-learning based architecture is introduced to predict structural domain boundaries, the key feature of which is a Mixture of Experts (MoE) model. The MoE provides the ability to combine the predictions of individual classifiers, such as artificial neural networks, support vector machines, and na簿ve Bayes classifiers, so as to optimize prediction accuracy. This book is addressed to students and researchers in both computer science and bioinformatics.
                    
"
9783639440577,"

Revision with unchanged content. In the last years, the Web has become an invaluable source of information for almost every domain of knowledge. This has motivated researchers to considering the Web as a valid repository for Information Retrieval and Knowledge Acquisition. In this sense, Ontology Learning from web resources is a particularly interesting topic as Ontologies are required to achieve interoperability and information understanding in knowledge intensive environments such as the Semantic Web. This book analyzes the ontology construction process from the automatic learning point of view. It presents a novel approach for Ontology Learning, introducing new methods for knowledge acquisition from the Web. The adaptation of several learning techniques to the web corpus and the exploitation of particular characteristics of the Web environment composing an automatic, un-supervised and domain independent approach distinguishes the present proposal from previous works. The discussion, methods and results presented in this work should help researchers interested in taking profit from the information available in the Web and to create a consistent base of ontologies required for the Semantic Web.
                    
"
9786202015936,"

To build knowledge-based systems / expert systems is an attempt to capture rare or important expertise and embody it in computer programs. It is done by talking to the people who have that expertise. In one sense building expert systems is a form of intellectual cloning. Expert system builders, the knowledge engineers, find out from experts what they know and how they use their knowledge to solve problems. Once this debriefing is done, the expert system builders incorporate the knowledge and expertise in computer programs, making the knowledge and expertise easily replicated, readily distributed, and essentially immortal. Knowledge-based system is a research sub-domain of Artificial Intelligence (AI). The author has taken Transfer of Property Act of Indian Legal domain for the development of the expert system. The Transfer of Property Act is the most used act in Indian Legal domain by all citizens. This work will help a common man in understanding the aspect of this act.
                    
"
9789867529787,"

擁有本書及搭配本書專屬網站，帶領您跨入電腦資訊的數位領域跟隨作者Ken Abernethy和Tom Allen引導您進入影像處理、數位音樂及網頁出版等多采多姿的數位領域。 最佳學習方式，每個章節皆有關聯性，並搭配線上輔助網站，提供最新、最充實資訊，讓您完整學習！讓您不只學會基本的電腦技巧，更讓您了解電腦資料來源、存取、操作與通信等不同方式。 熟讀本書，您將成為資訊流通者，並為您的資訊概念打好基礎，幫助您往後應付多變的資訊科技時代。 本書提供了中／英文的教學投影片及線上習題、補充教材，讓老師教學事半功倍！

"
9781492052203,"

As Python continues to grow in popularity, projects are becoming larger and more complex. Many Python developers are now taking an interest in high-level software design patterns such as hexagonal/clean architecture, event-driven architecture, and the strategic patterns prescribed by domain-driven design (DDD). But translating those patterns into Python isn't always straightforward.With this hands-on guide, Harry Percival and Bob Gregory from MADE.com introduce proven architectural design patterns to help Python developers manage application complexity--and get the most value out of their test suites.Each pattern is illustrated with concrete examples in beautiful, idiomatic Python, avoiding some of the verbosity of Java and C# syntax. Patterns include: Dependency inversion and its links to ports and adapters (hexagonal/clean architecture)Domain-driven design's distinction between entities, value objects, and aggregatesRepository and Unit of Work patterns for persistent storageEvents, commands, and the message busCommand-query responsibility segregation (CQRS)Event-driven architecture and reactive microservices
                    
"
