ISBN,書籍簡介
9783030497262,0
9783030758462,0
9781800560796,"

Get up and running, and productive in no time with MLflow using the most effective machine learning engineering approachKey Features: Explore machine learning workflows for stating ML problems in a concise and clear manner using MLflowUse MLflow to iteratively develop a ML model and manage itDiscover and work with the features available in MLflow to seamlessly take a model from the development phase to a production environmentBook Description: MLflow is a platform for the machine learning life cycle that enables structured development and iteration of machine learning models and a seamless transition into scalable production environments.This book will take you through the different features of MLflow and how you can implement them in your ML project. You will begin by framing an ML problem and then transform your solution with MLflow, adding a workbench environment, training infrastructure, data management, model management, experimentation, and state-of-the-art ML deployment techniques on the cloud and premises. The book also explores techniques to scale up your workflow as well as performance monitoring techniques. As you progress, you'll discover how to create an operational dashboard to manage machine learning systems. Later, you will learn how you can use MLflow in the AutoML, anomaly detection, and deep learning context with the help of use cases. In addition to this, you will understand how to use machine learning platforms for local development as well as for cloud and managed environments. This book will also show you how to use MLflow in non-Python-based languages such as R and Java, along with covering approaches to extend MLflow with Plugins.By the end of this machine learning book, you will be able to produce and deploy reliable machine learning algorithms using MLflow in multiple environments.What You Will Learn: Develop your machine learning project locally with MLflow's different featuresSet up a centralized MLflow tracking server to manage multiple MLflow experimentsCreate a model life cycle with MLflow by creating custom modelsUse feature streams to log model results with MLflowDevelop the complete training pipeline infrastructure using MLflow featuresSet up an inference-based API pipeline and batch pipeline in MLflowScale large volumes of data by integrating MLflow with high-performance big data librariesWho this book is for: This book is for data scientists, machine learning engineers, and data engineers who want to gain hands-on machine learning engineering experience and learn how they can manage an end-to-end machine learning life cycle with the help of MLflow. Intermediate-level knowledge of the Python programming language is expected.
                    
"
9781803206189,"

2021 Beginner`s Guide To Understand Machine Learning Data Mining, Big Data, Artificial Intelligence, and Neural NetworksMachine learning is simply the use of data-driven systems to improve outcomes in specific fields.By using concrete examples, minimal theory, and two production helps you gain an intuitive understanding of the concepts and tools for building intelligent systems.You'll learn a range of techniques, starting with simple linear regression and progressing to deep neural networks. With exercises in each chapter to help you apply what you've learned, all you need is Machine experience to get started.What will you know: What is machine learning?.How artificial intelligence can learn something?How Google use AI?What is Deep Learning?What is Big Data and how it relate to machine learning?What problems of machine learning?If you intend to use machine learning to solve business problems at scale, I'm delighted you got your hands on this book. Enjoy!
                    
"
9781803206172,"

2021 Beginner`s Guide To Understand Machine Learning Data Mining, Big Data, Artificial Intelligence, and Neural NetworksMachine learning is simply the use of data-driven systems to improve outcomes in specific fields.By using concrete examples, minimal theory, and two production helps you gain an intuitive understanding of the concepts and tools for building intelligent systems.You'll learn a range of techniques, starting with simple linear regression and progressing to deep neural networks. With exercises in each chapter to help you apply what you've learned, all you need is Machine experience to get started.What will you know: What is machine learning?.How artificial intelligence can learn something?How Google use AI?What is Deep Learning?What is Big Data and how it relate to machine learning?What problems of machine learning?If you intend to use machine learning to solve business problems at scale, I'm delighted you got your hands on this book. Enjoy!
                    
"
9780262542524,"

A concise overview of machine learning--computer programs that learn from data--the basis of such applications as voice recognition and driverless cars. Today, machine learning underlies a range of applications we use every day, from product recommendations to voice recognition--as well as some we don't yet use everyday, including driverless cars. It is the basis for a new approach to artificial intelligence that aims to program computers to use example data or past experience to solve a given problem. In this volume in the MIT Press Essential Knowledge series, Ethem Alpaydin offers a concise and accessible overview of the new AI. This expanded edition offers new material on such challenges facing machine learning as privacy, security, accountability, and bias. Alpaydin, author of a popular textbook on machine learning, explains that as Big Data has gotten bigger, the theory of machine learning--the foundation of efforts to process that data into knowledge--has also advanced. He describes the evolution of the field, explains important learning algorithms, and presents example applications. He discusses the use of machine learning algorithms for pattern recognition; artificial neural networks inspired by the human brain; algorithms that learn associations between instances; and reinforcement learning, when an autonomous agent learns to take actions to maximize reward. In a new chapter, he considers transparency, explainability, and fairness, and the ethical and legal implications of making decisions based on data.
                    
"
9780367531218,"

The idea behind this book is to simplify the journey of aspiring readers and researchers to understand Big Data, IoT and Machine Learning. It also includes various real-time/offline applications and case studies in the fields of engineering, computer science, information security and cloud computing using modern tools. This book consists of two sections: Section I contains the topics related to Applications of Machine Learning, and Section II addresses issues about Big Data, the Cloud and the Internet of Things. This brings all the related technologies into a single source so that undergraduate and postgraduate students, researchers, academicians and people in industry can easily understand them.  Features   Addresses the complete data science technologies workflow    Explores basic and high-level concepts and services as a manual for those in the industry and at the same time can help beginners to understand both basic and advanced aspects of machine learning    Covers data processing and security solutions in IoT and Big Data applications    Offers adaptive, robust, scalable and reliable applications to develop solutions for day-to-day problems    Presents security issues and data migration techniques of NoSQL databases 

"
9780367564865,"

This book provides applications of machine learning in healthcare systems and seeks to close the gap between engineering and medicine. It will combine the design and problem-solving skills of engineering with health sciences, in order to advance healthcare treatment. The book will include areas such as diagnosis, monitoring, and therapy.  The book will provide real-world case studies, gives a detailed exploration of applications in healthcare systems, offers multiple perspectives on a variety of disciplines, while also letting the reader know how to avoid some of the consequences of old methods with data sharing.  The book can be used as a reference for practitioners, researchers and for students at basic and intermediary levels in Computer Science, Electronics and Communications.
                    
"
9781484270974,0
9781803340340,"

Do you want to master the world of machine learning? ...... Even if you are a complete beginner with this amazing book!The term Machine Learning refers to the capability of a machine to learn something without any pre existing program. This textbook aims to incorporate in a rational manner machine learning, as well as the algorithmic paradigms it provides. The book offers a detailed theoretical account of the core concepts that underlie Machine Learning and Data Science and translate these ideas into algorithms. Following a summary of the field's fundamentals, the book addresses a broad variety of core topics which previous books have not discussed. If you want to start from zero or to expand your knowledge of machine learning, this is an important book for you.This book is your guide to Machine Learning and Information Sciences if you are anew Python programmer and new to machine learning or want to expand your understanding of the latest innovations.This book includes: - Machine Learning Introduction- Why Machine Learning Have Become So Successful?- Machine Learning Utilizations- Applications of Machine Learning- Artificial Intelligence and its Importance- Machine Learning Algorithms Types- Machine Learning Regression Techniques- Random Forests vs Decision Trees- What is an Artificial Neural Network?- Why Should We Use Data Science and How it can help in Business?- Why Python and Data Science Mix Well?- Data Science Statistical Learning- Machine Learning Algorithms for Data Science- How Machine Learning Is Reshaping Marketing?- Solutions for Small Businesses Using Big Data If your level of knowledge is low and you don't have any previous experience, this book will empower you to learn key functionalities and navigate through various subjects smoothly. If you have already a good understanding, you will find useful insights that will help to enhance your competences. Do I need to add more?What are you waiting for?Buy and start earning! 

"
