ISBN,書籍簡介
9789864347933,"


※內容架構完整，採用豐富的圖例來闡述基本觀念及應用，有效強化學習效果。
	※深入的分層架構的核心理論，以範例說明TCP/IP網路通訊協定的內涵。
	※透過十堂精選課程，完整呈現出TCP/IP網路通訊協定的學習重點。

	在廣大的網路世界中，為了讓所有電腦都能互相溝通，就必須制定一套可以讓所有電腦都能夠了解的語言，這種語言便成為「通訊協定」（Protocol）。

	本書是一本學習TCP/IP網路通訊協定的十堂精選課程，以內容淺顯易懂及圖文並茂的解說原則，來幫助各位學習這些不易理解的知識。是TCP/IP網路通訊協定入門學習者最重要的基礎課程。

"
9789864347933,"


※內容架構完整，採用豐富的圖例來闡述基本觀念及應用，有效強化學習效果。
	※深入的分層架構的核心理論，以範例說明TCP/IP網路通訊協定的內涵。
	※透過十堂精選課程，完整呈現出TCP/IP網路通訊協定的學習重點。

	在廣大的網路世界中，為了讓所有電腦都能互相溝通，就必須制定一套可以讓所有電腦都能夠了解的語言，這種語言便成為「通訊協定」（Protocol）。

	本書是一本學習TCP/IP網路通訊協定的十堂精選課程，以內容淺顯易懂及圖文並茂的解說原則，來幫助各位學習這些不易理解的知識。是TCP/IP網路通訊協定入門學習者最重要的基礎課程。

"
9789865027063,"


日本銷售逾30萬冊，TCP/IP經典入門書


	在TCP/IP出現之前，網路的目的是連接電腦，進行資料交換，以讓有限設備之間彼此通訊的電腦網路為主，進行開發。不僅可連線的設備有限，用法也有限制，與現在的網路相比，並不方便。在這種背景下，為了能更自由、輕易連接大量設備，才開發出TCP/IP。如今，除了電腦之外，車子、相機、家電產品等也可以使用TCP/IP連線。電腦系統的虛擬化、雲端等結構也都把TCP/IP當作核心網路技術。現在使用TCP/IP的網路已經運用在各種設備控制或資料傳輸上，進化成為重要的社會基礎。

	本書以豐富的圖例說明，帶領讀者了解TCP/IP的運作方式與應用領域。

來自讀者的讚譽

	「細讀本書，讓我對複雜的網路有了輪廓清晰的全面性了解。」
	「內容豐富，而且與時俱進。連最新的Wifi 6也有介紹」
	「簡單易懂的解釋，就算是完全沒有基礎，讀起來也不會有壓力」

"
9781593279080,0
9781118887738,0
9789862803806,"


	本書詳細描寫在網路互連的一般概念，尤其注重TCP/IP網路互連技術。本書也說明了網路通訊系統如何用於分散式計算。閱讀本書後，讀者將會明白多重實體網路如何連結成為協調一致的系統，網路協定如何在此環境中運作，以及應用程式如何使用這個系統。說明充分，理論詳盡。

本書特色

	1.對於MPLS、IP Switching，以及即時服務（特別是VoIP）有深入探討。
	2.討論Internet安全與防火牆的最新技術，包含狀態式防火牆使用的技術。
	3.介紹IPSec網路設計、IP繞路，以及最新的IPv6特點。
	4.有系統地說明如何使用NAT與VPN達成私有網路互連。
	5.利用著重於現今硬體的範例來說明類別化定址演變為CIDR定址的過程。

"
9781337196871,0
9789864763283,"

日文版銷售逾30萬冊，TCP/IP經典入門書在TCP/IP出現之前，網路的目的是連接電腦，進行資料交換，以讓有限設備之間彼此通訊的電腦網路為主，進行開發。不僅可連線的設備有限，用法也有限制，與現在的網路相比，並不方便。在這種背景下，為了能更自由、輕易連接大量設備，才開發出TCP/IP。如今，除了電腦之外，車子、相機、家電產品等也可以使用TCP/IP連線。電腦系統的虛擬化、雲端等結構也都把TCP/IP當作核心網路技術。現在使用TCP/IP的網路已經運用在各種設備控制或資料傳輸上，進化成為重要的社會基礎。 本書以豐富的圖例說明，帶領讀者了解TCP/IP的運作方式與應用領域。
                    
"
9781488524233,0
9788441531437,0
9781133019862,0
9789572191309,"

本書教材內容提供讀者最新、最完整入門之網路標準介紹。並包含電腦網路實際命令搭配Wireshark軟體操作及分析，其中最重要的實驗環境及步驟都有詳細的標示，分析結果也有徹底解說，各章並提供進階的問題討論與分析。章後並提供Wireshark實作Case與習題電子檔，讀者可實際操作驗證，也適地引領讀者動手架構所需的網路，可以提供從事資訊網路人員對TCP/IP清晰正確的觀念，透徹瞭解TCP/IP電腦網路的基本原理，並能動手實證，厚植個人在資訊網路的能力。
                    
"
9780672335716,0
