ISBN,書籍簡介
9781119652380,"

Learn how radio access network (RAN) slicing allows 5G networks to adapt to a wide range of environments in this masterful resource Radio Access Network Slicing and Virtualization for 5G Vertical Industriesprovides readers with a comprehensive and authoritative examination of crucial topics in the field of radio access network (RAN) slicing. Learn from renowned experts as they detail how this technology supports and applies to various industrial sectors, including manufacturing, entertainment, public safety, public transport, healthcare, financial services, automotive, and energy utilities. Radio Access Network Slicing and Virtualization for 5G Vertical Industries explains how future wireless communication systems must be built to handle high degrees of heterogeneity, including different types of applications, device classes, physical environments, mobility levels, and carrier frequencies. The authors describe how RAN slicing can be utilized to adapt 5G technologies to such wide-ranging circumstances. The book covers a wide range of topics necessary to understand RAN slicing, including:   Physical waveforms design Multiple service signals coexistence RAN slicing and virtualization Applications to 5G vertical industries in a variety of environments  This book is perfect for telecom engineers and industry actors who wish to identify realistic and cost-effective concepts to support specific 5G verticals. It also belongs on the bookshelves of researchers, professors, doctoral, and postgraduate students who want to identify open issues and conduct further research.
                    
"
9781484262825,"

Get a novel perspective on Linux containers and understand the world of virtualization. This book takes you down the rabbit hole to discover what lies below the API. You'll go on a journey of virtualization and see how containers are realized in the Linux world. Linux Containers and Virtualization details the data structures within the Linux kernel which make up Linux containers.  You will start with the fundamentals of virtualization including how different resources such as memory, CPU, network, and storage are virtualized. Then you will move on to hypervisors and virtualization using the Kernel virtual Machine (KVM) and Quick Emulator (QEMU). Next, you will learn about Linux namespace, cgroups, and layered file systems, which are the essential building blocks of Linux containers. The explanation traverses the Linux kernel codebase to show how these are realized in the Linux kernel. In the final chapter, you will code your own container by applying the concepts learnt in the previous chapters.  On completion of the book, you will have the knowledge to start coding a Linux container.  What You Will Learn Understand the basics of virtualizationDiscover how the Linux kernel supports virtualization See how the evolution of the Linux kernel and CPUs led to the creation of containerization technologiesDevelop the ability to create your own container framework Who This Book Is For Developers working on virtualized software deployment and containers. Architects designing platforms based on a container runtime as well as DevOps professionals who want to get a microscopic view on how containers and virtualization work would find the book useful. 

"
9781647585693,"

If you want to learn how to do virtualization, then get this step-by-step guide.In this step-by-step guide, you will discover:   How virtualization works. How virtualization benefits you. Different types of virtualization How to build virtual machines How to virtualize desktop environment Step-by-step actions steps to virtualize a server Microsoft Virtual PC tips Citrix XenServer tips How to build a virtual application How to install a sequencer How to sequence a package and much more  HowExpert publishes quick 'how to' guides on all topics from A to Z by everyday experts.
                    
"
9781119214694,"

Master vSphere 6 virtualization with hands-on practice and bonus preview exams VCP6-DCV: VMware Certified Professional-Data Center Virtualization on vSphere 6 Study Guide is your ultimate guide to preparing for exam 2VO-621. This Study Guide provides 100% coverage of all exam objectives and offers a unique set of study tools including assessment tests, objective map, real-world scenarios, hands-on exercises, and much more so you can be confident come exam day. You will also receive access to the superior Sybex interactive online learning environment that provides additional study tools including electronic flashcards and bonus practice exams. More than just a study guide, this book bridges the gap between exam prep and real-world on the job skills by focusing on the key information VMware professionals need to do the job. You'll master the vCenter Server and ESXi from planning and installation through upgrade and security, and develop an in-depth understanding of vSphere networking and storage, vApp deployment, service level establishment, troubleshooting, monitoring implementation, and so much more.  Study 100% of exam 2V0-621 objectives Practice your skills with hands-on exercises Gain professional insight from real-world scenarios Test your understanding with review questions, practice tests, and more  Virtualization is the number-one IT priority for organizations across public and private sectors, and VMware is the dominant force in the virtualization space. The VCP6-DCV certification gives you a highly marketable credential in terms of employment, but first you must pass this challenging exam. VCP6-DCV gives you the power of Sybex exam prep and the skills you need to excel at the job.
                    
"
9783319837826,"

This book describes how the creation of new digital services--through vertical and horizontal integration of data coming from sensors on top of existing legacy systems--that has already had a major impact on industry is now extending to healthcare. The book describes the fourth industrial revolution (i.e. Health 4.0), which is based on virtualization and service aggregation. It shows how sensors, embedded systems, and cyber-physical systems are fundamentally changing the way industrial processes work, their business models, and how we consume, while also affecting the health and care domains. Chapters describe the technology behind the shift of point of care to point of need and away from hospitals and institutions; how care will be delivered virtually outside hospitals; that services will be tailored to individuals rather than being designed as statistical averages; that data analytics will be used to help patients to manage their chronic conditions with help of smart devices; and that pharmaceuticals will be interactive to help prevent adverse reactions. The topics presented will have an impact on a variety of healthcare stakeholders in a continuously global and hyper-connected world.- Presents explanations of emerging topics as they relate to e-health, such as Industry 4.0, Precision Medicine, Mobile Health, 5G, Big Data, and Cyber-physical systems;- Provides overviews of technologies in addition to possible application scenarios and market conditions; - Features comprehensive demographic and statistic coverage of Health 4.0 presented in a graphical manner.
                    
"
9781484259849,"

Use this guide to one of SQL Server 2019's most impactful features--Big Data Clusters. You will learn about data virtualization and data lakes for this complete artificial intelligence (AI) and machine learning (ML) platform within the SQL Server database engine. You will know how to use Big Data Clusters to combine large volumes of streaming data for analysis along with data stored in a traditional database. For example, you can stream large volumes of data from Apache Spark in real time while executing Transact-SQL queries to bring in relevant additional data from your corporate, SQL Server database. Filled with clear examples and use cases, this book provides everything necessary to get started working with Big Data Clusters in SQL Server 2019. You will learn about the architectural foundations that are made up from Kubernetes, Spark, HDFS, and SQL Server on Linux. You then are shown how to configure and deploy Big Data Clusters in on-premises environments or in the cloud. Next, you are taught about querying. You will learn to write queries in Transact-SQL--taking advantage of skills you have honed for years--and with those queries you will be able to examine and analyze data from a wide variety of sources such as Apache Spark. Through the theoretical foundation provided in this book and easy-to-follow example scripts and notebooks, you will be ready to use and unveil the full potential of SQL Server 2019: combining different types of data spread across widely disparate sources into a single view that is useful for business intelligence and machine learning analysis. What You Will LearnInstall, manage, and troubleshoot Big Data Clusters in cloud or on-premise environmentsAnalyze large volumes of data directly from SQL Server and/or Apache SparkManage data stored in HDFS from SQL Server as if it were relational dataImplement advanced analytics solutions through machine learning and AIExpose different data sources as a single logical source using data virtualizationWho This Book Is ForData engineers, data scientists, data architects, and database administrators who want to employ data virtualization and big data analytics in their environments

"
9780133581560,0
9781627052276,0
9781439880371,0
9780738440910,0
9780735683068,0
9781118176719,0
9781587143243,0
9781743047330,0
9781118293164,0
9781743042106,0
9781435488694,0
9780738436098,0
9781156977231,0
9780738435534,0
9780738435565,0
9781921523915,0
9781742444536,0
9780470449585,0
9780137142972,"

The 100% Practical Guide to Making Virtualization Work  in Real Enterprise Environments    If you're involved in planning, deploying, or managing virtualization, this book brings together all the field-proven, in-the-trenches answers and solutions you'll need. Packed with examples and case studies, Practical Virtualization Solutions is a complete, self-paced, hands-on guide to creating a virtualized environment and driving maximum value from it throughout its entire lifecycle.  Kenneth Hess and Amy Newman present detailed costs, schedules, and deployment plans drawn from actual enterprise virtualization projects. You'll learn what really works and what doesn't and discover powerful ways to systematically control the costs of virtualization and streamline its management. The authors offer realistic guidance on choosing the best services to virtualize; selecting the right virtualization software, hardware, and vendor partners; troubleshooting and securing virtualized environments; and much more. Along the way, they answer crucial questions IT professionals face in working with virtualization.  Coverage includes   Quantifying the time, hardware, labor, and downtime needed to implement virtualization   Streamlining the transition from physical to virtual   Comparing VMware ESXi, VMware Server, Microsoft Hyper-V, Citrix XenServer, and other virtualization technologies   Identifying opportunities to reduce cost and improve flexibility with open source virtualization technologies   Explaining advanced techniques for simplifying virtual machine management   Defining the right role for virtualization in networking and storage   Automating virtual infrastructure management tasks
                    
"
