書名,書籍網站,作者,出版社,ISBN,圖片網址
Cross-Platform Development with Qt 6 and Modern C++,https://www.kingstone.com.tw//basic/203c108422858?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Nibedit,Dey",Packt       ,9781800204584,https://cdn.kingstone.com.tw/english/images/product/4584/9781800204584.jpg
Building Cross-Platform GUI Applications with Fyne,https://www.kingstone.com.tw//basic/203c103148332?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Andrew,Williams",Packt       ,9781800563162,https://cdn.kingstone.com.tw/english/images/product/3162/9781800563162.jpg
C# 9 and .NET 5 - Modern Cross-Platform Development - Fifth Edition,https://www.kingstone.com.tw//basic/203c011129036?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Mark J,Price",Packt       ,9781800568105,https://cdn.kingstone.com.tw/english/images/product/8105/9781800568105.jpg
Sviluppo di una Mobile app Cross-Platform per gestire ticket aziendali,https://www.kingstone.com.tw//basic/203c011395943?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Salvatore,Vella",Edizioni Accademiche Italiane,9783639775242,https://cdn.kingstone.com.tw/english/images/product/5242/9783639775242.jpg
Cross-Platform Localization for Native Mobile Apps with Xamarin,https://www.kingstone.com.tw//basic/203c109239613?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Christopher,Miller",Apress      ,9781484224656,https://cdn.kingstone.com.tw/english/images/product/4656/9781484224656.jpg
Build Cross-platform Mobile Applications With Visual Studio 2015,https://www.kingstone.com.tw//basic/203c160315291?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Sowell, Eric",Apress      ,9781484211076,https://cdn.kingstone.com.tw/english/images/product/1076/9781484211076.jpg
JavaScript Everywhere,https://www.kingstone.com.tw//basic/203c002135650?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Adam D,Scott",O'Reilly Media,9781492046981,https://cdn.kingstone.com.tw/english/images/product/6981/9781492046981.jpg
"Building Cross-platform Apps Using Titanium, Alloy, and Appcelerator Cloud Services",https://www.kingstone.com.tw//basic/203c411391029?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Saunders, Aaron",Ingram      ,9781118673256,https://cdn.kingstone.com.tw/english/images/product/3256/9781118673256.jpg
Professional Cross-Platform Mobile Development in C#,https://www.kingstone.com.tw//basic/203c110713008?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Olson, Scott",Wrox Pr Inc ,9781118157701,https://cdn.kingstone.com.tw/english/images/product/7701/9781118157701.jpg
Implementing the IBM General Parallel File System (Gpfs) in a Cross Platform Environment,https://www.kingstone.com.tw//basic/203c412268843?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,IBM Redbooks,Ingram      ,9780738435473,https://cdn.kingstone.com.tw/english/images/product/5473/9780738435473.jpg
Realbasic Cross-Platform Application Development,https://www.kingstone.com.tw//basic/203c109825712?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Choate, Mark",Sams        ,9780672328138,https://cdn.kingstone.com.tw/english/images/product/8138/9780672328138.jpg
Cross-Platform .NET Development,https://www.kingstone.com.tw//basic/203c109136561?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,"Easton, Marilyn J., Ph.D.",Apress      ,9781590593301,https://cdn.kingstone.com.tw/english/images/product/3301/9781590593301.jpg
SOAP: Cross Platform Web Service Development Using XML,https://www.kingstone.com.tw//basic/2044550083562?zone=english&lid=search&actid=WISE&kw=Cross-Platform&pi=0,Seely- Scott,Prentice Hal,9780130907639,https://cdn.kingstone.com.tw/english/images/product/7639/9780130907639.jpg
