書名,書籍網站,作者,出版社,ISBN,圖片網址
Software Architecture Discovery and Design Pattern Detection from Data,https://www.kingstone.com.tw//basic/203c011402667?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Cong,Liu",LAP Lambert Academic Publishing,9786202800013,https://cdn.kingstone.com.tw/english/images/product/0013/9786202800013.jpg
Mobile Design Pattern Gallery,https://www.kingstone.com.tw//basic/203c308499810?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Neil, Theresa",Oreilly &   ,9781449363635,https://cdn.kingstone.com.tw/english/images/product/3635/9781449363635.jpg
"Progress in Image Processing, Pattern Recognition and Communication Systems",https://www.kingstone.com.tw//basic/203c109296280?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Michal,Choraś",Springer    ,9783030815226,https://cdn.kingstone.com.tw/english/images/product/5226/9783030815226.jpg
Pattern Language for Game Design,https://www.kingstone.com.tw//basic/203c200904420?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Christopher,Barney",Ingram      ,9780367633950,https://cdn.kingstone.com.tw/english/images/product/3950/9780367633950.jpg
Stock Exchange Trading Using Grid Pattern Optimized by a Genetic Algorithm with Speciation,https://www.kingstone.com.tw//basic/203c108670969?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Tiago,Martins",Springer    ,9783030766795,https://cdn.kingstone.com.tw/english/images/product/6795/9783030766795.jpg
Mobile Design Pattern Gallery,https://www.kingstone.com.tw//basic/203c312479648?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Neil, Theresa",Oreilly &   ,9781449314323,https://cdn.kingstone.com.tw/english/images/product/4323/9781449314323.jpg
Pattern Recognition,https://www.kingstone.com.tw//basic/203c106300010?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Edgar,Roman-Rangel",Springer    ,9783030770037,https://cdn.kingstone.com.tw/english/images/product/0037/9783030770037.jpg
"Mobile Design Pattern Gallery, Color Edition",https://www.kingstone.com.tw//basic/203c312479814?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Neil, Theresa",Oreilly &   ,9781449336448,https://cdn.kingstone.com.tw/english/images/product/6448/9781449336448.jpg
Linear Algebra for Pattern Processing,https://www.kingstone.com.tw//basic/203c108670339?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Kenichi,Kanatani",Morgan & Claypool,9781636391090,https://cdn.kingstone.com.tw/english/images/product/1090/9781636391090.jpg
Linear Algebra for Pattern Processing,https://www.kingstone.com.tw//basic/203c108453667?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Kenichi,Kanatani",Ingram      ,9781636391076,https://cdn.kingstone.com.tw/english/images/product/1076/9781636391076.jpg
Pattern of Groundwater Levels by Statistical Method,https://www.kingstone.com.tw//basic/203c106303123?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Kapil,Samar",Ingram      ,9783659592072,https://cdn.kingstone.com.tw/english/images/product/2072/9783659592072.jpg
Pattern and Trends for Farm Productivity of Major Crops,https://www.kingstone.com.tw//basic/203c106309776?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Neeraj,Singh",Ingram      ,9786203463569,https://cdn.kingstone.com.tw/english/images/product/3569/9786203463569.jpg
MatConvNet Deep Learning and iOS Mobile App Design for Pattern Recognition,https://www.kingstone.com.tw//basic/203c102216189?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Jiann-Ming,Wu",Engineering Science Reference,9781799815556,https://cdn.kingstone.com.tw/english/images/product/5556/9781799815556.jpg
Pattern Language for Game Design,https://www.kingstone.com.tw//basic/203c011227849?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Christopher,Barney",CRC Press,9780367367725,https://cdn.kingstone.com.tw/english/images/product/7725/9780367367725.jpg
"Structural, Syntactic, and Statistical Pattern Recognition",https://www.kingstone.com.tw//basic/203c109252269?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Andrea,Torsello",Springer    ,9783030739720,https://cdn.kingstone.com.tw/english/images/product/9720/9783030739720.jpg
Object and Pattern Recognition in Remote Sensing,https://www.kingstone.com.tw//basic/203c109606992?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Stefan,Hinz",Ingram      ,9781849951289,https://cdn.kingstone.com.tw/english/images/product/1289/9781849951289.jpg
Pattern Recognition,https://www.kingstone.com.tw//basic/203c103144030?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Zeynep,Akata",Springer    ,9783030712778,https://cdn.kingstone.com.tw/english/images/product/2778/9783030712778.jpg
Proceedings of the 12th International Conference on Soft Computing and Pattern Recognition (Socpar 2020),https://www.kingstone.com.tw//basic/203c108540051?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Ajith,Abraham",Springer    ,9783030736880,https://cdn.kingstone.com.tw/english/images/product/6880/9783030736880.jpg
Pattern Recognition and Artificial Intelligence,https://www.kingstone.com.tw//basic/203c103155497?zone=english&lid=search&actid=WISE&kw=Design%20Pattern&pi=0,"Chawki,Djeddi",Springer    ,9783030718039,https://cdn.kingstone.com.tw/english/images/product/8039/9783030718039.jpg
