書名,書籍網站,作者,出版社,ISBN,圖片網址
網路封包大剖析：HTTP介面自動化測試原理,https://www.kingstone.com.tw//basic/2013120594142?zone=book&lid=search&actid=WISE&kw=HTTP&pi=0,肖佳,深智數位  ,9789860776096,https://cdn.kingstone.com.tw/book/images/product/20131/2013120594142/2013120594142b.jpg
Apache HTTP Server Documentation Version 2.5,https://www.kingstone.com.tw//basic/203c109238382?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,Apache Software Foundation,Ingram      ,9781680921496,https://cdn.kingstone.com.tw/english/images/product/1496/9781680921496.jpg
晉升成HTTP一代宗師：用java實作（好評絕賣版）,https://www.kingstone.com.tw//basic/2013120562967?zone=book&lid=search&actid=WISE&kw=HTTP&pi=0,肖佳,佳魁      ,9789863798033,https://cdn.kingstone.com.tw/book/images/product/20131/2013120562967/2013120562967b.jpg
晉升成HTTP一代宗師：用java實作,https://www.kingstone.com.tw//basic/2013120496835?zone=book&lid=search&actid=WISE&kw=HTTP&pi=0,肖佳,佳魁數位  ,9789863797388,https://cdn.kingstone.com.tw/book/images/product/20131/2013120496835/2013120496835b.jpg
Learning Http/2,https://www.kingstone.com.tw//basic/203c701779305?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,"Ludin, Stephen",Oreilly &   ,9781491962442,https://cdn.kingstone.com.tw/english/images/product/2442/9781491962442.jpg
Apache Http Server Introduction,https://www.kingstone.com.tw//basic/203c704761030?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,"Peicevic, Antun",Ingram      ,9781543038248,https://cdn.kingstone.com.tw/english/images/product/8248/9781543038248.jpg
Apache HTTP Server,https://www.kingstone.com.tw//basic/203c701379982?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,"Duckett, George",Createspace ,9781532814198,https://cdn.kingstone.com.tw/english/images/product/4198/9781532814198.jpg
Apache Http Web Server Secrets to Acing the Exam and Successful Finding and Landing Your N,https://www.kingstone.com.tw//basic/203c402608597?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,"Cruz, Henry",Ingram      ,9781486157600,https://cdn.kingstone.com.tw/english/images/product/7600/9781486157600.jpg
HTTP Programming Recipes for C# Bots,https://www.kingstone.com.tw//basic/203c109275743?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,"Heaton, Jeff",Ingram      ,9780977320677,https://cdn.kingstone.com.tw/english/images/product/0677/9780977320677.jpg
Http,https://www.kingstone.com.tw//basic/203c510848157?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,"Gourley, David",Oreilly &   ,9781565925090,https://cdn.kingstone.com.tw/english/images/product/5090/9781565925090.jpg
Http Pocket Reference,https://www.kingstone.com.tw//basic/203c510240262?zone=english&lid=search&actid=WISE&kw=HTTP&pi=0,"Wong, Clinton",Oreilly &   ,9781565928626,https://cdn.kingstone.com.tw/english/images/product/8626/9781565928626.jpg
