書名,書籍網站,作者,出版社,ISBN,圖片網址
Artificial Intelligence for Information Management: A Healthcare Perspective,https://www.kingstone.com.tw//basic/203c106362436?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"K G,Srinivasa",Springer    ,https://cdn.kingstone.com.tw/english/images/product/4140/9789811604140.jpg,9789811604140
Enterprise Level System Information Management,https://www.kingstone.com.tw//basic/203c011362244?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Ifeanyichukwu,Egeolu",LAP Lambert Academic Publishing,https://cdn.kingstone.com.tw/english/images/product/4041/9786200214041.jpg,9786200214041
Proceedings of the Second International Conference on Information Management and Machine Intelligence,https://www.kingstone.com.tw//basic/203c102222606?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Dinesh,Goyal",Springer    ,https://cdn.kingstone.com.tw/english/images/product/6889/9789811596889.jpg,9789811596889
Web-Age Information Management,https://www.kingstone.com.tw//basic/203c109264458?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Yueguo,Chen",Springer    ,https://cdn.kingstone.com.tw/english/images/product/5375/9783319115375.jpg,9783319115375
"Environmental Knowledge Organization and Information Management. Proceedings 1st European Isko Conference, 14-16 Sept. 1994, Bratislava, Slovakia",https://www.kingstone.com.tw//basic/203c210608739?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Ingetraut,Dahlberg",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/4179/9783932004179.jpg,9783932004179
Information Management and Big Data,https://www.kingstone.com.tw//basic/203c005240846?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Lossio-Ventura,Juan Antonio",Springer    ,https://cdn.kingstone.com.tw/english/images/product/1393/9783030461393.jpg,9783030461393
Information Management and Big Data,https://www.kingstone.com.tw//basic/203c109296818?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Juan Antonio,Lossio-Ventura",Springer    ,https://cdn.kingstone.com.tw/english/images/product/5952/9783319905952.jpg,9783319905952
Laboratory Information Management Systems,https://www.kingstone.com.tw//basic/203c308216783?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"McDowall, R. D.",,https://cdn.kingstone.com.tw/english/images/product/2091/9780470102091.jpg,9780470102091
Web-Age Information Management,https://www.kingstone.com.tw//basic/203c109184852?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Bin,Cui",Springer    ,https://cdn.kingstone.com.tw/english/images/product/9577/9783319399577.jpg,9783319399577
Web-Age Information Management,https://www.kingstone.com.tw//basic/203c109194667?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Shaoxu,Song",Springer    ,https://cdn.kingstone.com.tw/english/images/product/1204/9783319471204.jpg,9783319471204
Web-Age Information Management,https://www.kingstone.com.tw//basic/203c109964772?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Yunjun,Gao",Springer    ,https://cdn.kingstone.com.tw/english/images/product/5260/9783642395260.jpg,9783642395260
Information Management and Management Engineering,https://www.kingstone.com.tw//basic/203c408773636?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Zhou, M. (EDT)",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0086/9781784660086.jpg,9781784660086
Laboratory Information Management Systems,https://www.kingstone.com.tw//basic/203c109124122?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Megargle, R.",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/5925/9780471185925.jpg,9780471185925
Advances in Security Information Management,https://www.kingstone.com.tw//basic/203c301755405?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Tangil, Guillermo Suarez De (EDT)",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2045/9781624172045.jpg,9781624172045
Lims - Laboratory Information Management System,https://www.kingstone.com.tw//basic/203c110601783?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Roebuck, Kevin",Tebbo,https://cdn.kingstone.com.tw/english/images/product/8962/9781743048962.jpg,9781743048962
IBM Information Management Software,https://www.kingstone.com.tw//basic/203c109720084?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,Not Available (NA),李頂力    ,https://cdn.kingstone.com.tw/english/images/product/4365/9781156924365.jpg,9781156924365
Information Cultivation for Personal Information Management,https://www.kingstone.com.tw//basic/203c109444597?zone=english&lid=search&actid=WISE&kw=Information-management&pi=0,"Whittaker, Steve",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/2262/9781608452262.jpg,9781608452262
