書名,書籍網站,作者,出版社,ISBN,圖片網址
Machine Learning Paradigms,https://www.kingstone.com.tw//basic/203c109316871?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"George A,Tsihrintzis",Springer    ,9783030497262,https://cdn.kingstone.com.tw/english/images/product/7262/9783030497262.jpg
Machine Learning in Industry,https://www.kingstone.com.tw//basic/203c108555285?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Shubhabrata,Datta",Springer    ,9783030758462,https://cdn.kingstone.com.tw/english/images/product/8462/9783030758462.jpg
Machine Learning Engineering with MLflow,https://www.kingstone.com.tw//basic/203c108627446?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Natu,Lauchande",Packt       ,9781800560796,https://cdn.kingstone.com.tw/english/images/product/0796/9781800560796.jpg
Machine Learning For Beginners 2021,https://www.kingstone.com.tw//basic/203c108616465?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"James,Glasgow",Ingram      ,9781803206189,https://cdn.kingstone.com.tw/english/images/product/6189/9781803206189.jpg
Machine Learning For Beginners 2021,https://www.kingstone.com.tw//basic/203c108614667?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"James,Glasgow",Ingram      ,9781803206172,https://cdn.kingstone.com.tw/english/images/product/6172/9781803206172.jpg
"Machine Learning, Revised and Updated Edition",https://www.kingstone.com.tw//basic/203c109121324?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Ethem,Alpaydin",Mit Press   ,9780262542524,https://cdn.kingstone.com.tw/english/images/product/2524/9780262542524.jpg
"Big Data, IoT, and Machine Learning",https://www.kingstone.com.tw//basic/203c109124815?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Rashmi,Agrawal",Ingram      ,9780367531218,https://cdn.kingstone.com.tw/english/images/product/1218/9780367531218.jpg
Machine Learning and Analytics in Healthcare Systems,https://www.kingstone.com.tw//basic/203c109909090?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Himani,Bansal",Ingram      ,9780367564865,https://cdn.kingstone.com.tw/english/images/product/4865/9780367564865.jpg
Quantum Machine Learning: An Applied Approach,https://www.kingstone.com.tw//basic/203c109336076?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Santanu,Ganguly",Apress      ,9781484270974,https://cdn.kingstone.com.tw/english/images/product/0974/9781484270974.jpg
Machine Learning for Beginners,https://www.kingstone.com.tw//basic/203c108463419?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Tim,Matthes",Ingram      ,9781803340340,https://cdn.kingstone.com.tw/english/images/product/0340/9781803340340.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c106255708?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Samuel,Hack",Ingram      ,9781801728782,https://cdn.kingstone.com.tw/english/images/product/8782/9781801728782.jpg
Machine Learning,https://www.kingstone.com.tw//basic/203c106391434?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Samuel,Hack",Ingram      ,9781801728775,https://cdn.kingstone.com.tw/english/images/product/8775/9781801728775.jpg
Cyber Security Meets Machine Learning,https://www.kingstone.com.tw//basic/203c108539314?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Xiaofeng,Chen",Springer    ,9789813367258,https://cdn.kingstone.com.tw/english/images/product/7258/9789813367258.jpg
Machine Learning and Knowledge Extraction,https://www.kingstone.com.tw//basic/203c108635315?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Andreas,Holzinger",Springer    ,9783030840594,https://cdn.kingstone.com.tw/english/images/product/0594/9783030840594.jpg
Practical Machine Learning for Computer Vision,https://www.kingstone.com.tw//basic/203c108151837?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Valliappa,Lakshmanan",O'Reilly Media,9781098102364,https://cdn.kingstone.com.tw/english/images/product/2364/9781098102364.jpg
Machine Learning Algorithms for Industrial Applications,https://www.kingstone.com.tw//basic/203c108702608?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Santosh Kumar,Das",Springer    ,9783030506438,https://cdn.kingstone.com.tw/english/images/product/6438/9783030506438.jpg
Machine Learning Approaches for Convergence of Iot and Blockchain,https://www.kingstone.com.tw//basic/203c109134046?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Krishna Kant,Singh",Ingram      ,9781119761747,https://cdn.kingstone.com.tw/english/images/product/1747/9781119761747.jpg
Metaheuristics in Machine Learning: Theory and Applications,https://www.kingstone.com.tw//basic/203c108481615?zone=english&lid=search&actid=WISE&kw=Machine%20Learning&pi=0,"Diego,Oliva",Springer    ,9783030705411,https://cdn.kingstone.com.tw/english/images/product/5411/9783030705411.jpg
