書名,書籍網站,作者,出版社,ISBN,圖片網址
Text Mining with Machine Learning,https://www.kingstone.com.tw//basic/203c108149116?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Jan,Zizka",Ingram      ,9781032086217,https://cdn.kingstone.com.tw/english/images/product/6217/9781032086217.jpg
Text Mining for Genomics-based Drug Discovery,https://www.kingstone.com.tw//basic/203c011351673?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Patrick,Herron",AV Akademikerverlag,9783639453393,https://cdn.kingstone.com.tw/english/images/product/3393/9783639453393.jpg
Text Mining for Online Customer Reviews,https://www.kingstone.com.tw//basic/203c011456573?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Quang Thy,Lam",LAP Lambert Academic Publishing,9786202054744,https://cdn.kingstone.com.tw/english/images/product/4744/9786202054744.jpg
Fundamentals of Predictive Text Mining,https://www.kingstone.com.tw//basic/203c108399499?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Sholom M,Weiss",Springer    ,9781447171133,https://cdn.kingstone.com.tw/english/images/product/1133/9781447171133.jpg
E-Mail Klassifizierung in einem CRM-System anhand von Text Mining Analyseverfahren,https://www.kingstone.com.tw//basic/203c007902370?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Wilken,Robin",Grin Verlag,9783346160096,https://cdn.kingstone.com.tw/english/images/product/0096/9783346160096.jpg
Clinical Text Mining,https://www.kingstone.com.tw//basic/203c108639324?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Hercules,Dalianis",Springer    ,9783030087159,https://cdn.kingstone.com.tw/english/images/product/7159/9783030087159.jpg
Text Mining With R,https://www.kingstone.com.tw//basic/203c704403259?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Silge, Julia",Oreilly &   ,9781491981658,https://cdn.kingstone.com.tw/english/images/product/1658/9781491981658.jpg
Practical Text Mining and Statistical Analysis for Non-structured Text Data Applications,https://www.kingstone.com.tw//basic/203c312119499?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Miner, Gary",Academic Pr ,9780123869791,https://cdn.kingstone.com.tw/english/images/product/9791/9780123869791.jpg
Fundamentals of Predictive Text Mining,https://www.kingstone.com.tw//basic/203c111545824?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Weiss, Sholom M.",Ingram      ,9781849962254,https://cdn.kingstone.com.tw/english/images/product/2254/9781849962254.jpg
Text Mining,https://www.kingstone.com.tw//basic/203c109253829?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Srivastava, Ashok (EDT)",Ingram      ,9781420059403,https://cdn.kingstone.com.tw/english/images/product/9403/9781420059403.jpg
"Text Mining and its Applications to Intelligence, CRM and Knowledge Management",https://www.kingstone.com.tw//basic/203c308733589?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,"Zanasi, A. (EDT)",Witpress,9781845641313,https://cdn.kingstone.com.tw/english/images/product/1313/9781845641313.jpg
Text Mining Application Programming,https://www.kingstone.com.tw//basic/2034550166242?zone=english&lid=search&actid=WISE&kw=Text-mining&pi=0,Konchady- M,Charles Ri  ,9781584504603,https://cdn.kingstone.com.tw/english/images/product/4603/9781584504603.jpg
