書名,書籍網站,作者,出版社,ISBN,圖片網址
營造工地高危害事故VR教育訓練開發 ILOSH109－S314,https://www.kingstone.com.tw//basic/2015550057785?zone=book&lid=search&actid=WISE&kw=VR&pi=0,劉國青、余文德,勞動職安衛,https://cdn.kingstone.com.tw/book/images/product/20155/2015550057785/2015550057785b.jpg,9789865466565
Cloud VR,https://www.kingstone.com.tw//basic/203c101111489?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Huaping,Xiong",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/1673/9780367491673.jpg,9780367491673
Vr/AR and 3D Displays,https://www.kingstone.com.tw//basic/203c102222635?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Weitao,Song",Springer    ,https://cdn.kingstone.com.tw/english/images/product/5483/9789813365483.jpg,9789813365483
AR and VR Using the Webxr API,https://www.kingstone.com.tw//basic/203c200306828?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Rakesh,Baruah",Apress      ,https://cdn.kingstone.com.tw/english/images/product/3174/9781484263174.jpg,9781484263174
VR Technologies in Cultural Heritage,https://www.kingstone.com.tw//basic/203c010142911?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Iulian,Tanea",Saint Philip Street Press,https://cdn.kingstone.com.tw/english/images/product/0949/9781013270949.jpg,9781013270949
VR Technologies in Cultural Heritage,https://www.kingstone.com.tw//basic/203c010182414?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Iulian,Tanea",Ingram      ,https://cdn.kingstone.com.tw/english/images/product/0956/9781013270956.jpg,9781013270956
VR Integrated Heritage Recreation,https://www.kingstone.com.tw//basic/203c007103482?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Abhishek,Kumar",Apress      ,https://cdn.kingstone.com.tw/english/images/product/0760/9781484260760.jpg,9781484260760
海洋生物超有事！VR虛擬實境漫畫創作及技術介紹,https://www.kingstone.com.tw//basic/2019479933496?zone=book&lid=search&actid=WISE&kw=VR&pi=0,小雪,五南      ,https://cdn.kingstone.com.tw/book/images/product/20194/2019479933496/2019479933496b.jpg,9789865223427
VR：當白日夢成為觸手可及的現實 帶你迅速成為虛擬實境的一級玩家,https://www.kingstone.com.tw//basic/2013120568259?zone=book&lid=search&actid=WISE&kw=VR&pi=0,甘開全,清文華泉  ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120568259/2013120568259b.jpg,9789865552268
Building Projection-based Vr Systems,https://www.kingstone.com.tw//basic/203c109731539?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Jorge, Joaquim Armando",A K Peters  ,https://cdn.kingstone.com.tw/english/images/product/4407/9781568814407.jpg,9781568814407
"Vr, Simulations and Serious Games for Education",https://www.kingstone.com.tw//basic/203c108551799?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Yiyu,Cai",Springer    ,https://cdn.kingstone.com.tw/english/images/product/8105/9789811348105.jpg,9789811348105
Unreal for Mobile and Standalone Vr,https://www.kingstone.com.tw//basic/203c905115271?zone=english&lid=search&actid=WISE&kw=VR&pi=0,"Hillmann, Cornel",Apress      ,https://cdn.kingstone.com.tw/english/images/product/3596/9781484243596.jpg,9781484243596
Link Start！！VR遊戲開發實戰,https://www.kingstone.com.tw//basic/2013120504189?zone=book&lid=search&actid=WISE&kw=VR&pi=0,冀盼、謝懿德,佳魁      ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120504189/2013120504189b.jpg,9789863797487
輕課程 快快樂樂學VR主題特展 － 使用Unity與Google VR開發套件,https://www.kingstone.com.tw//basic/2015215991966?zone=book&lid=search&actid=WISE&kw=VR&pi=0,歐陽芳泉 林淑惠 鄭佳淵,台科大    ,https://cdn.kingstone.com.tw/book/images/product/20152/2015215991966/2015215991966b.jpg,9789864557714
打造專屬的虛擬世界：動手開發HTC Vive VR遊戲,https://www.kingstone.com.tw//basic/2013120491885?zone=book&lid=search&actid=WISE&kw=VR&pi=0,胡良雲,佳魁      ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120491885/2013120491885b.jpg,9789863797319
精通Unity3D + AR + VR：你才敢稱為3D高手,https://www.kingstone.com.tw//basic/2013120487840?zone=book&lid=search&actid=WISE&kw=VR&pi=0,吳雁濤,佳魁數位  ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120487840/2013120487840b.jpg,9789863797203
輕課程 製作專屬你的AR擴增實境與VR虛擬實境－最新版（第二版）,https://www.kingstone.com.tw//basic/2015215919816?zone=book&lid=search&actid=WISE&kw=VR&pi=0,劉為開,台科大    ,https://cdn.kingstone.com.tw/book/images/product/20152/2015215919816/2015215919816b.jpg,9789864557707
從玩家到工程師：VR全視界開發實戰,https://www.kingstone.com.tw//basic/2013120462816?zone=book&lid=search&actid=WISE&kw=VR&pi=0,冀盼、謝懿德,佳魁數位  ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120462816/2013120462816b.jpg,9789863796275
輕課程 製作專屬你的AR擴增實境與VR虛擬實境,https://www.kingstone.com.tw//basic/2015215553508?zone=book&lid=search&actid=WISE&kw=VR&pi=0,劉為開,台科大    ,https://cdn.kingstone.com.tw/book/images/product/20152/2015215553508/2015215553508b.jpg,9789864555123
不但玩，還自己做VR！動手開發HTC Vive遊戲,https://www.kingstone.com.tw//basic/2013120441330?zone=book&lid=search&actid=WISE&kw=VR&pi=0,胡良雲,佳魁數位  ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120441330/2013120441330b.jpg,9789863795476
3ds Max擬真實務精粹與VR環景,https://www.kingstone.com.tw//basic/2013120427488?zone=book&lid=search&actid=WISE&kw=VR&pi=0,王迦湳,佳魁      ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120427488/2013120427488b.jpg,9789863794929
快速掌握VR基本功：從概念到應用－使用Unity打造虛擬世界 附影片教學與範例素材檔－適用Unity5.X,https://www.kingstone.com.tw//basic/2014713536389?zone=book&lid=search&actid=WISE&kw=VR&pi=0,歐陽芳泉 惡魔遊戲人團隊,台科大    ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713536389/2014713536389b.jpg,9789864555079
我的第一台口袋VR眼鏡：看影片Ｘ玩遊戲一機搞定(隨附可摺疊式VR眼鏡限量回饋版),https://www.kingstone.com.tw//basic/2014840041305?zone=book&lid=search&actid=WISE&kw=VR&pi=0,博碩文化,博碩文化  ,https://cdn.kingstone.com.tw/book/images/product/20148/2014840041305/2014840041305b.jpg,9789864341320
VR來了！第一本虛擬實境專書：VR發展史、當紅產品介紹、未來應用解析,https://www.kingstone.com.tw//basic/2014840039814?zone=book&lid=search&actid=WISE&kw=VR&pi=0,才華有限實驗室,寫樂文化  ,https://cdn.kingstone.com.tw/book/images/product/20148/2014840039814/2014840039814b.jpg,4712966621132
VR來了！第一本虛擬實境專書：VR發展史、當紅產品介紹、未來應用解析【限量隨書贈送VR精靈眼鏡乙副】,https://www.kingstone.com.tw//basic/2014840039524?zone=book&lid=search&actid=WISE&kw=VR&pi=1,才華有限實驗室,寫樂文化  ,https://cdn.kingstone.com.tw/book/images/product/20148/2014840039524/2014840039524b.jpg,9789869251457
我的第一台口袋VR眼鏡：看影片×玩遊戲一機搞定（隨附可摺疊式VR眼鏡）,https://www.kingstone.com.tw//basic/2800000002593?zone=ebook&lid=search&actid=WISE&kw=VR&pi=1,博碩文化,電子書,https://cdn.kingstone.com.tw/book/images/product/20148/2014840038732/2014840038732b.jpg,
你也能完成VR場景：用Unity實作3D及虛擬實境遊戲,https://www.kingstone.com.tw//basic/2013120394810?zone=book&lid=search&actid=WISE&kw=VR&pi=1,吳亞峰.索依娜,佳魁      ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120394810/2013120394810b.jpg,9789863793700
