書名,書籍網站,作者,出版社,ISBN,圖片網址
Quebra de Wi-Fi com Cluster Beowulf,https://www.kingstone.com.tw//basic/203c011389707?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,"Rodrigo,Caetano Filgueira",Novas Edicoes Academicas,9786202041089,https://cdn.kingstone.com.tw/english/images/product/1089/9786202041089.jpg
"S?PER Wi-Fi, propuesta de conectividad en zonas rurales de Cuba",https://www.kingstone.com.tw//basic/203c011356464?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,"Jose Antonio,Castro del Portillo",Editorial Academica Espanola,9786202102872,https://cdn.kingstone.com.tw/english/images/product/2872/9786202102872.jpg
Autonomous Wheelchair with a Smart Driving Mode and a Wi-Fi Positioning,https://www.kingstone.com.tw//basic/203c011359072?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,"Gurukiran,Manjunath",LAP Lambert Academic Publishing,9786139978687,https://cdn.kingstone.com.tw/english/images/product/8687/9786139978687.jpg
Wi-fi Hotspots,https://www.kingstone.com.tw//basic/203c109223997?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,"Geier, Eric",Ingram      ,9781587052668,https://cdn.kingstone.com.tw/english/images/product/2668/9781587052668.jpg
Wi-Fi Home Networking Just the Steps for Dummies,https://www.kingstone.com.tw//basic/203c202220471?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,"Underdahl, Keith",For Dummies ,9780471783282,https://cdn.kingstone.com.tw/english/images/product/3282/9780471783282.jpg
"Wi-Fi Toys: 17 Cool Wireless Projects for Home, Office, and Entertainment",https://www.kingstone.com.tw//basic/2044050033937?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,Outmesguine-,John Wiley  ,9780764558948,https://cdn.kingstone.com.tw/english/images/product/8948/9780764558948.jpg
Jeff Duntemann’s Complete Wi-Fi Guide,https://www.kingstone.com.tw//basic/2044550092717?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,Duntemann- J,Paraglyph   ,9781932111880,https://cdn.kingstone.com.tw/english/images/product/1880/9781932111880.jpg
Real 802.11 Security: Wi-Fi Protected Access and 802.11i,https://www.kingstone.com.tw//basic/2044550077943?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,Edney- Jon,Addison-Wesl,9780321136206,https://cdn.kingstone.com.tw/english/images/product/6206/9780321136206.jpg
Going Wi-Fi: A Practical Guide to Planning and Building an 802.11 Network,https://www.kingstone.com.tw//basic/2044550034939?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,Reynolds- Ja,CMP Books   ,9781578203017,https://cdn.kingstone.com.tw/english/images/product/3017/9781578203017.jpg
How Secure is Your Wireless Network? Safeguarding Your Wi-Fi LAN,https://www.kingstone.com.tw//basic/2044550050915?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,Barken- Lee,Prentice Hal,9780131402065,https://cdn.kingstone.com.tw/english/images/product/2065/9780131402065.jpg
"The Book of WI-FI: Install, Configure, and Use 802.11b Wireless Networking",https://www.kingstone.com.tw//basic/2034550021763?zone=english&lid=search&actid=WISE&kw=Wi-Fi&pi=0,Ross- John,No Starch Pr,9781886411456,https://cdn.kingstone.com.tw/english/images/product/1456/9781886411456.jpg
