書名,書籍網站,作者,出版社,ISBN,圖片網址
Beamforming Antennas in Wireless Networks,https://www.kingstone.com.tw//basic/203c108670981?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Osama,Bazan",Springer    ,9783030774585,https://cdn.kingstone.com.tw/english/images/product/4585/9783030774585.jpg
Architectural Wireless Networks Solutions and Security Issues,https://www.kingstone.com.tw//basic/203c108669207?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Santosh Kumar,Das",Springer    ,9789811603853,https://cdn.kingstone.com.tw/english/images/product/3853/9789811603853.jpg
Investigation on improvement of qas issues in wireless networks,https://www.kingstone.com.tw//basic/203c108713678?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Sn Murti Sarma,Nimushakavi",Scholars' Press,9783659845406,https://cdn.kingstone.com.tw/english/images/product/5406/9783659845406.jpg
6g Mobile Wireless Networks,https://www.kingstone.com.tw//basic/203c109254174?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Yulei,Wu",Springer    ,9783030727765,https://cdn.kingstone.com.tw/english/images/product/7765/9783030727765.jpg
Video Signal Transmission in next Generation Wireless Networks,https://www.kingstone.com.tw//basic/203c106395403?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Sanjay,Koli",Ingram      ,9786203464887,https://cdn.kingstone.com.tw/english/images/product/4887/9786203464887.jpg
Full-Duplex Communications for Future Wireless Networks,https://www.kingstone.com.tw//basic/203c109978115?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Hirley,Alves",Springer    ,9789811529719,https://cdn.kingstone.com.tw/english/images/product/9719/9789811529719.jpg
Adaptation and Cross Layer Design in Wireless Networks,https://www.kingstone.com.tw//basic/203c108507405?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Mohamed,Ibnkahla",Ingram      ,9781420046038,https://cdn.kingstone.com.tw/english/images/product/6038/9781420046038.jpg
Autonomous Airborne Wireless Networks,https://www.kingstone.com.tw//basic/203c108156821?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Muhammad Ali,Imran",Ingram      ,9781119751687,https://cdn.kingstone.com.tw/english/images/product/1687/9781119751687.jpg
Wireless Networks and Industrial Iot,https://www.kingstone.com.tw//basic/203c102174607?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Nurul Huda,Mahmood",Springer    ,9783030514723,https://cdn.kingstone.com.tw/english/images/product/4723/9783030514723.jpg
Radio Access Technology Selection in Heterogeneous Wireless Networks,https://www.kingstone.com.tw//basic/203c108549737?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Melhem,El Helou",Ingram      ,9783659719233,https://cdn.kingstone.com.tw/english/images/product/9233/9783659719233.jpg
Wired and Wireless Networks,https://www.kingstone.com.tw//basic/203c011452136?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Xinbing,Wang",AV Akademikerverlag,9783639419498,https://cdn.kingstone.com.tw/english/images/product/9498/9783639419498.jpg
Heterogeneous Wireless Networks,https://www.kingstone.com.tw//basic/203c011371072?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Bin,Xie",AV Akademikerverlag,9783639412819,https://cdn.kingstone.com.tw/english/images/product/2819/9783639412819.jpg
6gn for Future Wireless Networks,https://www.kingstone.com.tw//basic/203c102207693?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Xiaofei,Wang",Springer    ,9783030639402,https://cdn.kingstone.com.tw/english/images/product/9402/9783030639402.jpg
Matching Theory for Wireless Networks,https://www.kingstone.com.tw//basic/203c108932570?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Zhu,Han",Springer    ,9783319858661,https://cdn.kingstone.com.tw/english/images/product/8661/9783319858661.jpg
Minimum Delay AODV Protocol in Wireless Networks under Heavy Traffic,https://www.kingstone.com.tw//basic/203c011468372?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"A,Priyadharshini",LAP Lambert Academic Publishing,9786200095718,https://cdn.kingstone.com.tw/english/images/product/5718/9786200095718.jpg
Design Frameworks for Wireless Networks,https://www.kingstone.com.tw//basic/203c200332799?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Santosh Kumar,Das",Springer    ,9789811395765,https://cdn.kingstone.com.tw/english/images/product/5765/9789811395765.jpg
"Ad-Hoc, Mobile, and Wireless Networks",https://www.kingstone.com.tw//basic/203c109296185?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Maria Rita,Palattella",Springer    ,9783030318307,https://cdn.kingstone.com.tw/english/images/product/8307/9783030318307.jpg
Contract Theory for Wireless Networks,https://www.kingstone.com.tw//basic/203c108487719?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Yanru,Zhang",Springer    ,9783319851167,https://cdn.kingstone.com.tw/english/images/product/1167/9783319851167.jpg
Cross-Layer Designs for Multi-Hop Wireless Networks,https://www.kingstone.com.tw//basic/203c108496797?zone=english&lid=search&actid=WISE&kw=Wireless-networks&pi=0,"Chi,Liu",Ingram      ,9783639512588,https://cdn.kingstone.com.tw/english/images/product/2588/9783639512588.jpg
