書名,書籍網站,作者,出版社,ISBN,圖片網址
歷史學家的海怪地圖：中世紀地理座標上最神祕的符號、航海傳說及寰宇冒險,https://www.kingstone.com.tw//basic/2016090205865?zone=book&lid=book_class3_bah&actid=book_class3_bah,切特．凡．杜澤,麥田      ,9789863445586,https://cdn.kingstone.com.tw/book/images/product/20160/2016090205865/2016090205865b.jpg
地中海世界與羅馬帝國：一部充滿人類歷史經驗結晶的世界帝國千年史,https://www.kingstone.com.tw//basic/2017400081780?zone=book&lid=book_class3_bah&actid=book_class3_bah,本村凌二,八旗文化  ,9789578654020,https://cdn.kingstone.com.tw/book/images/product/20174/2017400081780/2017400081780b.jpg
歐洲中古後期世界觀的形成,https://www.kingstone.com.tw//basic/2017400090225?zone=book&lid=book_class3_bah&actid=book_class3_bah,蘇其康,允晨文化  ,9789860631807,https://cdn.kingstone.com.tw/book/images/product/20174/2017400090225/2017400090225b.jpg
古地中海文明陷落的關鍵：公元前1177年,https://www.kingstone.com.tw//basic/2017260000662?zone=book&lid=book_class3_bah&actid=book_class3_bah,艾瑞克．克萊恩,臺灣商務  ,9789570532302,https://cdn.kingstone.com.tw/book/images/product/20172/2017260000662/2017260000662b.jpg
重返羅馬競技場：揭開世界七大奇景建造、運作之祕,https://www.kingstone.com.tw//basic/2019230033885?zone=book&lid=book_class3_bah&actid=book_class3_bah,尼哲．羅傑斯,楓樹林    ,9789579501378,https://cdn.kingstone.com.tw/book/images/product/20192/2019230033885/2019230033885b.jpg
人類簡史：一趟橫跨人類三百萬年的時穴之旅,https://www.kingstone.com.tw//basic/2017110036711?zone=book&lid=book_class3_bah&actid=book_class3_bah,梅朝榮,大旗      ,9789869656184,https://cdn.kingstone.com.tw/book/images/product/20171/2017110036711/2017110036711b.jpg
羅馬帝國衰亡史（插圖版典藏書盒精選本）,https://www.kingstone.com.tw//basic/2017400083654?zone=book&lid=book_class3_bah&actid=book_class3_bah,愛德華．吉朋,聯經      ,9789570851939,https://cdn.kingstone.com.tw/book/images/product/20174/2017400083654/2017400083654b.jpg
歷代帝王職災報告：史上風險最高的行業、最勸世的工殤紀錄,https://www.kingstone.com.tw//basic/2017100029082?zone=book&lid=book_class3_bah&actid=book_class3_bah,何乃強,月之海    ,9789869676335,https://cdn.kingstone.com.tw/book/images/product/20171/2017100029082/2017100029082b.jpg
有趣的歷史套書（BUB006X原來，古羅馬人這樣過日子！+BUB018簡明大歷史）,https://www.kingstone.com.tw//basic/2017100028900?zone=book&lid=book_class3_bah&actid=book_class3_bah,伊恩．克羅夫頓,商周出版  ,4717702904067,https://cdn.kingstone.com.tw/book/images/product/20171/2017100028900/2017100028900b.jpg
最奇特的民族以色列被亞述、巴比倫、希臘、羅馬帝國征服卻奇蹟復國的祕密,https://www.kingstone.com.tw//basic/2012410038472?zone=book&lid=book_class3_bah&actid=book_class3_bah,穆宏志神父,星火      ,9789869567541,https://cdn.kingstone.com.tw/book/images/product/20124/2012410038472/2012410038472b.jpg
愚政進行曲,https://www.kingstone.com.tw//basic/2017120018479?zone=book&lid=book_class3_bah&actid=book_class3_bah,芭芭拉．塔克曼,廣場出版  ,9789869645225,https://cdn.kingstone.com.tw/book/images/product/20171/2017120018479/2017120018479b.jpg
此生必讀的56個古羅馬謎團,https://www.kingstone.com.tw//basic/2017400081490?zone=book&lid=book_class3_bah&actid=book_class3_bah,解讀歷史編輯部,維他命    ,9789869535892,https://cdn.kingstone.com.tw/book/images/product/20174/2017400081490/2017400081490b.jpg
全世界史講義Ⅰ：古代．中世紀篇,https://www.kingstone.com.tw//basic/2017120017847?zone=book&lid=book_class3_bah&actid=book_class3_bah,出口治明,遠足文化  ,9789578630123,https://cdn.kingstone.com.tw/book/images/product/20171/2017120017847/2017120017847b.jpg
倒著看的世界史,https://www.kingstone.com.tw//basic/2017110027696?zone=book&lid=book_class3_bah&actid=book_class3_bah,島崎晉,商周出版  ,9789862728994,https://cdn.kingstone.com.tw/book/images/product/20171/2017110027696/2017110027696b.jpg
