書名,書籍網站,作者,出版社,ISBN,圖片網址
惡名昭彰的詛咒物：關於物品的邪惡傳說與真實發生的詭異事件,https://www.kingstone.com.tw//basic/2017110046338?zone=book&lid=book_class3_baj&actid=book_class3_baj,J．W．奧克,高寶      ,9789865061876,https://cdn.kingstone.com.tw/book/images/product/20171/2017110046338/2017110046338b.jpg
咖啡帝國：勞動、剝削與資本主義，一部全球貿易下的咖啡上癮史,https://www.kingstone.com.tw//basic/2014630065351?zone=book&lid=book_class3_baj&actid=book_class3_baj,奧古斯丁．塞奇威克,臺灣商務  ,9789570533514,https://cdn.kingstone.com.tw/book/images/product/20146/2014630065351/2014630065351b.jpg
曾侯乙墓,https://www.kingstone.com.tw//basic/2017980003202?zone=book&lid=book_class3_baj&actid=book_class3_baj,譚維四,瑞昇文化  ,9789575265649,https://cdn.kingstone.com.tw/book/images/product/20179/2017980003202/2017980003202b.jpg
城市、演化、人：從消費文化到都市規劃，從中產階級到社會流動，從廢墟到網絡，人類與城市的6000年故事,https://www.kingstone.com.tw//basic/2015450036415?zone=book&lid=book_class3_baj&actid=book_class3_baj,莫妮卡．史密斯,臉譜文化  ,9786263150027,https://cdn.kingstone.com.tw/book/images/product/20154/2015450036415/2015450036415b.jpg
狐魅考：從獸、妖到仙，狐狸精的千年演變,https://www.kingstone.com.tw//basic/2018270052474?zone=book&lid=book_class3_baj&actid=book_class3_baj,呼延蘇,日出出版  ,9789865515676,https://cdn.kingstone.com.tw/book/images/product/20182/2018270052474/2018270052474b.jpg
世界歷史大圖解《How It Works知識大圖解》,https://www.kingstone.com.tw//basic/2017000749189?zone=book&lid=book_class3_baj&actid=book_class3_baj,LiveABC編輯群,希伯崙    ,9789864415786,https://cdn.kingstone.com.tw/book/images/product/20170/2017000749189/2017000749189b.jpg
被隱藏的眾神：一段在中東尋找古老智慧的旅程,https://www.kingstone.com.tw//basic/2012090007447?zone=book&lid=book_class3_baj&actid=book_class3_baj,傑拉德．羅素,八旗文化  ,9789865524425,https://cdn.kingstone.com.tw/book/images/product/20120/2012090007447/2012090007447b.jpg
撼動世界歷史的14種植物：植物才是操縱歷史的幕後黑手？人類的歷史，其實就是一部藏在植物背後的文明史！,https://www.kingstone.com.tw//basic/2013700017535?zone=book&lid=book_class3_baj&actid=book_class3_baj,稻垣榮洋,平安文化  ,9789579314381,https://cdn.kingstone.com.tw/book/images/product/20137/2013700017535/2013700017535b.jpg
拜占庭帝國：324－1453 拯救西方文明的千年東羅馬帝國,https://www.kingstone.com.tw//basic/2017400086150?zone=book&lid=book_class3_baj&actid=book_class3_baj,拉爾斯．布朗沃思,遠足文化  ,9789865080075,https://cdn.kingstone.com.tw/book/images/product/20174/2017400086150/2017400086150b.jpg
看得見的人類大遷徙：44個代表性主題，透過影像與資訊圖表，勾勒出人類移動的複雜歷史與多元樣貌,https://www.kingstone.com.tw//basic/2017110046888?zone=book&lid=book_class3_baj&actid=book_class3_baj,羅賓．寇恩,麥田      ,9786263100589,https://cdn.kingstone.com.tw/book/images/product/20171/2017110046888/2017110046888b.jpg
