書名,書籍網站,作者,出版社,ISBN,圖片網址
美國福爾摩斯：海因里希與催生鑑識科學的經典案件,https://www.kingstone.com.tw//basic/2017850137594?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,凱特．溫克勒．道森,行路出版  ,9789860612950,https://cdn.kingstone.com.tw/book/images/product/20178/2017850137594/2017850137594b.jpg
最長的一日：諾曼第登陸的英勇故事,https://www.kingstone.com.tw//basic/2015920138076?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,考李留斯雷恩,燎原出版  ,9789869838269,https://cdn.kingstone.com.tw/book/images/product/20159/2015920138076/2015920138076b.jpg
我如何真確理解世界：漢斯．羅斯林的人生思辨,https://www.kingstone.com.tw//basic/2017840122999?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,漢斯．羅斯林、芬妮．哈耶斯坦,先覺      ,9789861343532,https://cdn.kingstone.com.tw/book/images/product/20178/2017840122999/2017840122999b.jpg
垃圾場長大的自學人生：從社會邊緣到劍橋博士的震撼教育,https://www.kingstone.com.tw//basic/2015280732600?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,泰拉．維斯托,愛米粒    ,9789869720359,https://cdn.kingstone.com.tw/book/images/product/20152/2015280732600/2015280732600b.jpg
成為這樣的我：蜜雪兒．歐巴馬,https://www.kingstone.com.tw//basic/2017850127267?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,蜜雪兒．歐巴馬,商業周刊  ,9789867778444,https://cdn.kingstone.com.tw/book/images/product/20178/2017850127267/2017850127267b.jpg
新亞特蘭提斯,https://www.kingstone.com.tw//basic/2018730533475?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,法蘭西斯培根,光工作坊  ,9789869221016,https://cdn.kingstone.com.tw/book/images/product/20187/2018730533475/2018730533475b.jpg
凝視珍.雅各：城市的傾聽者、堅毅的改革力量，影響20世紀城市風貌最深遠的人物,https://www.kingstone.com.tw//basic/2017850129551?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,羅伯特．卡尼格爾,聯經      ,9789570854169,https://cdn.kingstone.com.tw/book/images/product/20178/2017850129551/2017850129551b.jpg
渡鴉大師：我與倫敦塔的渡鴉,https://www.kingstone.com.tw//basic/2017840121817?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,克里斯多福．斯卡夫,臺灣商務  ,9789570532104,https://cdn.kingstone.com.tw/book/images/product/20178/2017840121817/2017840121817b.jpg
伊莉莎白女王：一位現代君主的傳記,https://www.kingstone.com.tw//basic/2017410039009?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,莎莉．貝德爾．史密斯,廣場出版  ,9789869740128,https://cdn.kingstone.com.tw/book/images/product/20174/2017410039009/2017410039009b.jpg
與珍．奧斯汀喝杯下午茶：跟著她的生平，漫遊英國人文史,https://www.kingstone.com.tw//basic/2017840120575?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,海倫．艾咪,好讀      ,9789861784670,https://cdn.kingstone.com.tw/book/images/product/20178/2017840120575/2017840120575b.jpg
海海人生：我在豪華郵輪工作的日子,https://www.kingstone.com.tw//basic/2015560040852?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,斯里曼．卡達,時報文化  ,9789571371078,https://cdn.kingstone.com.tw/book/images/product/20155/2015560040852/2015560040852b.jpg
我戴著黃星星,https://www.kingstone.com.tw//basic/2017840118534?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,英兒．杜肯,啟明      ,9789869338356,https://cdn.kingstone.com.tw/book/images/product/20178/2017840118534/2017840118534b.jpg
艾倫．圖靈傳（套書/上下兩冊）,https://www.kingstone.com.tw//basic/2013090008014?zone=book&lid=book_class3_bbc&actid=book_class3_bbc,安德魯．霍奇斯,時報文化  ,4712966621460,https://cdn.kingstone.com.tw/book/images/product/20130/2013090008014/2013090008014b.jpg
