書名,書籍網站,作者,出版社,ISBN,圖片網址
澳大利亞的智慧,https://www.kingstone.com.tw//basic/2017710016151?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,林在勇、邵育群,新視野New ,9789869880831,https://cdn.kingstone.com.tw/book/images/product/20177/2017710016151/2017710016151b.jpg
神秘極地！南極．北極大探究,https://www.kingstone.com.tw//basic/2019430107591?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,神沼克伊,瑞昇文化  ,9789866185809,https://cdn.kingstone.com.tw/book/images/product/20194/2019430107591/2019430107591b.jpg
南太平洋的明珠《掀開所羅門面紗》,https://www.kingstone.com.tw//basic/2017750000264?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,冰谷,秀威資訊  ,9789862213834,https://cdn.kingstone.com.tw/book/images/product/20177/2017750000264/2017750000264b.jpg
馬可波羅,https://www.kingstone.com.tw//basic/2017190026688?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,王壽南,臺灣商務  ,9789570521467,https://cdn.kingstone.com.tw/book/images/product/20171/2017190026688/2017190026688b.jpg
2006年世界年鑑（附2006台灣名人錄）附,https://www.kingstone.com.tw//basic/2017160005958?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,中央通訊社,中央社    ,9789572832776,https://cdn.kingstone.com.tw/book/images/product/20171/2017160005958/2017160005958b.jpg
震驚世界的日子（彩色圖文版）,https://www.kingstone.com.tw//basic/2017970010845?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,羽果．戴文波特,波希米亞  ,9789868092280,https://cdn.kingstone.com.tw/book/images/product/20179/2017970010845/2017970010845b.jpg
100個神秘的地方,https://www.kingstone.com.tw//basic/2017160005088?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,季子弘,好讀      ,9789574558766,https://cdn.kingstone.com.tw/book/images/product/20171/2017160005088/2017160005088b.jpg
恐怖的地域－地球起源未解之謎,https://www.kingstone.com.tw//basic/2017160004456?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,王怡,驛站      ,9789867448309,https://cdn.kingstone.com.tw/book/images/product/20171/2017160004456/2017160004456b.jpg
世界文化與自然遺產1－6,https://www.kingstone.com.tw//basic/2027180001489?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,日本株式會,水牛      ,9789575996826,https://cdn.kingstone.com.tw/book/images/product/20271/2027180001489/2027180001489b.jpg
蛻變中的太平洋群島國家,https://www.kingstone.com.tw//basic/2017740000526?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,劉富本,五南      ,9789571120317,https://cdn.kingstone.com.tw/book/images/product/20177/2017740000526/2017740000526b.jpg
太平洋的大歷史：偉大航海家這樣改變了自己和東西方的文明與國家命運,https://www.kingstone.com.tw//basic/2017210000742?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,約翰．鄧摩爾,大是      ,9789869481151,https://cdn.kingstone.com.tw/book/images/product/20172/2017210000742/2017210000742b.jpg
圖說大西洋歷史 (1套10冊) (草原文創),https://www.kingstone.com.tw//basic/2017250000474?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,郭方,草原文創  ,9789869460958,https://cdn.kingstone.com.tw/book/images/product/20172/2017250000474/2017250000474b.jpg
揭密不饒人：維基解密創辦人朱利安.阿桑奇,https://www.kingstone.com.tw//basic/2017870011423?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,東鳥,有意思    ,9789863759935,https://cdn.kingstone.com.tw/book/images/product/20178/2017870011423/2017870011423b.jpg
寶藏尋蹤,https://www.kingstone.com.tw//basic/2017160006900?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,探索發現系,西北國際  ,9789866351457,https://cdn.kingstone.com.tw/book/images/product/20171/2017160006900/2017160006900b.jpg
群島之洋─人類學的大洋洲研究,https://www.kingstone.com.tw//basic/2017740001028?zone=book&lid=book_class3_bbf&actid=book_class3_bbf,童元昭,臺灣商務  ,9789570523317,https://cdn.kingstone.com.tw/book/images/product/20177/2017740001028/2017740001028b.jpg
