書名,書籍網站,作者,出版社,ISBN,圖片網址
日本裝束解剖圖鑑,https://www.kingstone.com.tw//basic/2015380132348?zone=book&lid=book_class3_bca&actid=book_class3_bca,八條忠基,台灣東販  ,9786263047921,https://cdn.kingstone.com.tw/book/images/product/20153/2015380132348/2015380132348b.jpg
丼丼丼丼丼：日本五大丼飯誕生祕辛！,https://www.kingstone.com.tw//basic/2015380132508?zone=book&lid=book_class3_bca&actid=book_class3_bca,飯野亮一,臺灣商務  ,9789570533453,https://cdn.kingstone.com.tw/book/images/product/20153/2015380132508/2015380132508b.jpg
走讀明治維新 上冊,https://www.kingstone.com.tw//basic/2017310227926?zone=book&lid=book_class3_bca&actid=book_class3_bca,牛奶杰,出色文化  ,9789869985215,https://cdn.kingstone.com.tw/book/images/product/20173/2017310227926/2017310227926b.jpg
走讀明治維新 下冊,https://www.kingstone.com.tw//basic/2017310228008?zone=book&lid=book_class3_bca&actid=book_class3_bca,牛奶杰,出色文化  ,9789869985222,https://cdn.kingstone.com.tw/book/images/product/20173/2017310228008/2017310228008b.jpg
拿得起放不下的有趣日本史：想從哪一章讀起都可以，只說故事不講術語，六種角度解構日本大歷史。,https://www.kingstone.com.tw//basic/2017310227506?zone=book&lid=book_class3_bca&actid=book_class3_bca,古市憲壽,大是      ,9789865548896,https://cdn.kingstone.com.tw/book/images/product/20173/2017310227506/2017310227506b.jpg
江戶百工百業套書,https://www.kingstone.com.tw//basic/2017310226974?zone=book&lid=book_class3_bca&actid=book_class3_bca,飯田泰子,健行文化  ,9789860651119,https://cdn.kingstone.com.tw/book/images/product/20173/2017310226974/2017310226974b.jpg
日本昭和時代老照片：鐵道．生活．風景帖,https://www.kingstone.com.tw//basic/2017310226004?zone=book&lid=book_class3_bca&actid=book_class3_bca,J．瓦利．希金斯,遠足文化  ,9789865080914,https://cdn.kingstone.com.tw/book/images/product/20173/2017310226004/2017310226004b.jpg
日本神社解剖圖鑑,https://www.kingstone.com.tw//basic/2019270005910?zone=book&lid=book_class3_bca&actid=book_class3_bca,米澤貴紀,楓書坊文化,9789863772958,https://cdn.kingstone.com.tw/book/images/product/20192/2019270005910/2019270005910b.jpg
日本入門三部曲套書（三冊）：《日本習俗超圖解》《日本史超圖解》《神道教超圖解》,https://www.kingstone.com.tw//basic/2012730002207?zone=book&lid=book_class3_bca&actid=book_class3_bca,千葉公慈,日出出版  ,9789865515904,https://cdn.kingstone.com.tw/book/images/product/20127/2012730002207/2012730002207b.jpg
鬼滅的日本史,https://www.kingstone.com.tw//basic/2012980013954?zone=book&lid=book_class3_bca&actid=book_class3_bca,小和田哲男,網路與書  ,9789869899048,https://cdn.kingstone.com.tw/book/images/product/20129/2012980013954/2012980013954b.jpg
復刻版日本文化圖典2 江戶武士圖鑑,https://www.kingstone.com.tw//basic/2017310225212?zone=book&lid=book_class3_bca&actid=book_class3_bca,笹間良彥,楓樹林    ,9789865572051,https://cdn.kingstone.com.tw/book/images/product/20173/2017310225212/2017310225212b.jpg
鬼滅超讀解：在討人厭的世界中，將惡鬼滅殺的生存法。全集中閱讀【獨家蒐錄：《鬼滅之刃》動漫的真實世界，感受大正時代下的浪漫臺日文化】,https://www.kingstone.com.tw//basic/2019479912330?zone=book&lid=book_class3_bca&actid=book_class3_bca,最強攔不柱—TAMON,拾青文化  ,9789869955935,https://cdn.kingstone.com.tw/book/images/product/20194/2019479912330/2019479912330b.jpg
日本生活歲時曆：從365日的節氣、活動、特殊節日認識最道地的日式文化與風俗習慣,https://www.kingstone.com.tw//basic/2017310224550?zone=book&lid=book_class3_bca&actid=book_class3_bca,本間美加子,麥浩斯    ,9789864086474,https://cdn.kingstone.com.tw/book/images/product/20173/2017310224550/2017310224550b.jpg
神國日本荒謬的戰時生活（二冊套書）神國日本荒謬的決戰生活+神國日本荒謬的愛國技法,https://www.kingstone.com.tw//basic/2017310221054?zone=book&lid=book_class3_bca&actid=book_class3_bca,早川忠典,遠足文化  ,8667106510981,https://cdn.kingstone.com.tw/book/images/product/20173/2017310221054/2017310221054b.jpg
蕎麥麵、鰻魚、天婦羅、壽司：江戶四大美食的誕生,https://www.kingstone.com.tw//basic/2015380123773?zone=book&lid=book_class3_bca&actid=book_class3_bca,飯野亮一,臺灣商務  ,9789570532395,https://cdn.kingstone.com.tw/book/images/product/20153/2015380123773/2015380123773b.jpg
日本大不同：決戰東西篇,https://www.kingstone.com.tw//basic/2015380123483?zone=book&lid=book_class3_bca&actid=book_class3_bca,岡部敬史/文；山出高士/,遠足文化  ,9789865080389,https://cdn.kingstone.com.tw/book/images/product/20153/2015380123483/2015380123483b.jpg
日本大不同：縱橫日本篇,https://www.kingstone.com.tw//basic/2015380123513?zone=book&lid=book_class3_bca&actid=book_class3_bca,岡部敬史/文；山出高士/,遠足文化  ,9789865080396,https://cdn.kingstone.com.tw/book/images/product/20153/2015380123513/2015380123513b.jpg
裸體日本：混浴、窺看、性意識，一段被極力遮掩的日本近代史,https://www.kingstone.com.tw//basic/2015380121069?zone=book&lid=book_class3_bca&actid=book_class3_bca,中野明,創意市集  ,9789579199537,https://cdn.kingstone.com.tw/book/images/product/20153/2015380121069/2015380121069b.jpg
日本長銷經典！宮崎正勝的飲食世界史（全套三冊）,https://www.kingstone.com.tw//basic/2017310201230?zone=book&lid=book_class3_bca&actid=book_class3_bca,宮崎正勝,遠足文化  ,8667106508971,https://cdn.kingstone.com.tw/book/images/product/20173/2017310201230/2017310201230b.jpg
原來如此！日本經典品牌誕生物語,https://www.kingstone.com.tw//basic/2014960387208?zone=book&lid=book_class3_bca&actid=book_class3_bca,李仁毅,河景書房  ,9789869634656,https://cdn.kingstone.com.tw/book/images/product/20149/2014960387208/2014960387208b.jpg
日本縣民性學問大：文化人類學家的47都道府縣性格大調查,https://www.kingstone.com.tw//basic/2015350023508?zone=book&lid=book_class3_bca&actid=book_class3_bca,祖父江孝男,遠足文化  ,9789578630543,https://cdn.kingstone.com.tw/book/images/product/20153/2015350023508/2015350023508b.jpg
菊與刀：日本文化的雙重性格（2018全新修訂版）,https://www.kingstone.com.tw//basic/2015350023218?zone=book&lid=book_class3_bca&actid=book_class3_bca,露絲．潘乃德,遠足文化  ,9789578630246,https://cdn.kingstone.com.tw/book/images/product/20153/2015350023218/2015350023218b.jpg
漫步歷史街道套書：漫步中山道+漫步東海道,https://www.kingstone.com.tw//basic/2017310186605?zone=book&lid=book_class3_bca&actid=book_class3_bca,West Publishing,遠足文化  ,8667106507356,https://cdn.kingstone.com.tw/book/images/product/20173/2017310186605/2017310186605b.jpg
日本文樣圖解事典：帶來好運的日本傳統圖案480款,https://www.kingstone.com.tw//basic/2017310170116?zone=book&lid=book_class3_bca&actid=book_class3_bca,藤依里子,遠足文化  ,9789869470445,https://cdn.kingstone.com.tw/book/images/product/20173/2017310170116/2017310170116b.jpg
日本世代標籤：團地族、橫出世、低溫世代、乙男蟻女、蛇顏男、刀劍女、絆婚……昭和、平成令和START！124個看穿日本一世紀社會變化的世代標籤事典,https://www.kingstone.com.tw//basic/2017310228268?zone=book&lid=book_class3_bca&actid=book_class3_bca,茂呂美耶,麥田      ,9786263100602,https://cdn.kingstone.com.tw/book/images/product/20173/2017310228268/2017310228268b.jpg
神道教超圖解【日本入門三部曲3】：影響日本人生活的信仰根本,https://www.kingstone.com.tw//basic/2012730002177?zone=book&lid=book_class3_bca&actid=book_class3_bca,澀谷申博,日出出版  ,9789865515850,https://cdn.kingstone.com.tw/book/images/product/20127/2012730002177/2012730002177b.jpg
超日本近現代史,https://www.kingstone.com.tw//basic/2017310227896?zone=book&lid=book_class3_bca&actid=book_class3_bca,河合敦,易博士    ,9789864801862,https://cdn.kingstone.com.tw/book/images/product/20173/2017310227896/2017310227896b.jpg
神木偵探：神宿之樹的秘密,https://www.kingstone.com.tw//basic/2012150010912?zone=book&lid=book_class3_bca&actid=book_class3_bca,本田不二雄,健行文化  ,9789860651133,https://cdn.kingstone.com.tw/book/images/product/20121/2012150010912/2012150010912b.jpg
日本史超圖解【日本入門三部曲2】：快速掌握日本最關鍵歷史事件,https://www.kingstone.com.tw//basic/2017310227766?zone=book&lid=book_class3_bca&actid=book_class3_bca,鈴木旭,日出出版  ,9789865515720,https://cdn.kingstone.com.tw/book/images/product/20173/2017310227766/2017310227766b.jpg
日本習俗超圖解【日本入門三部曲1】：深植日本人生活的開運方法,https://www.kingstone.com.tw//basic/2015380131976?zone=book&lid=book_class3_bca&actid=book_class3_bca,千葉公慈,日出出版  ,9789865515690,https://cdn.kingstone.com.tw/book/images/product/20153/2015380131976/2015380131976b.jpg
復刻版日本文化圖典5 江戶時代圖鑑,https://www.kingstone.com.tw//basic/2017310227636?zone=book&lid=book_class3_bca&actid=book_class3_bca,本田豐 (監修),楓樹林    ,9789865572310,https://cdn.kingstone.com.tw/book/images/product/20173/2017310227636/2017310227636b.jpg
