書名,書籍網站,作者,出版社,ISBN,圖片網址
逆轉的東亞史：給台灣人重上一堂東亞歷史課（ 套書全五冊）,https://www.kingstone.com.tw//basic/2017300038105?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,劉仲敬,八旗文化  ,9789860763041,https://cdn.kingstone.com.tw/book/images/product/20173/2017300038105/2017300038105b.jpg
越南：世界史的失語者,https://www.kingstone.com.tw//basic/2017380050417?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,克里斯多佛．高夏,聯經      ,9789570850994,https://cdn.kingstone.com.tw/book/images/product/20173/2017380050417/2017380050417b.jpg
逆轉的東亞史（2）：非中國視角的西南（巴蜀．滇與夜郎篇）,https://www.kingstone.com.tw//basic/2017300033995?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,劉仲敬,八旗文化  ,9789865524418,https://cdn.kingstone.com.tw/book/images/product/20173/2017300033995/2017300033995b.jpg
從漢城到燕京－－－－朝鮮使者眼中的東亞世界,https://www.kingstone.com.tw//basic/2016430005421?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,吳政緯,秀威出版  ,9789863264323,https://cdn.kingstone.com.tw/book/images/product/20164/2016430005421/2016430005421b.jpg
南向跫音：你一定要認識的越南,https://www.kingstone.com.tw//basic/2017380040210?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,洪德青,貓頭鷹    ,9789862622650,https://cdn.kingstone.com.tw/book/images/product/20173/2017380040210/2017380040210b.jpg
逆轉的東亞史（ 5 ）：非中國視角的東北（滿洲國篇）,https://www.kingstone.com.tw//basic/2017300037313?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,劉仲敬,八旗文化  ,9789865524944,https://cdn.kingstone.com.tw/book/images/product/20173/2017300037313/2017300037313b.jpg
逆轉的東亞史（4）：非中國視角的上海（上海自由市篇）,https://www.kingstone.com.tw//basic/2017300037153?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,劉仲敬,八旗文化  ,9789865524807,https://cdn.kingstone.com.tw/book/images/product/20173/2017300037153/2017300037153b.jpg
逆轉的東亞史（3）：非中國視角的華北（晉、燕、齊篇）,https://www.kingstone.com.tw//basic/2017300036651?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,劉仲敬,八旗文化  ,9789865524593,https://cdn.kingstone.com.tw/book/images/product/20173/2017300036651/2017300036651b.jpg
緬甸的未竟之路：種族、資本主義與二十一世紀的民主新危機,https://www.kingstone.com.tw//basic/2017380056389?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,吳丹敏,馬可孛羅  ,9789865509590,https://cdn.kingstone.com.tw/book/images/product/20173/2017380056389/2017380056389b.jpg
逆轉的東亞史（1）：非中國視角的東南（吳越與江淮篇）,https://www.kingstone.com.tw//basic/2017300033315?zone=book&lid=book_class3_bcd&actid=book_class3_bcd,劉仲敬,八旗文化  ,9789865524395,https://cdn.kingstone.com.tw/book/images/product/20173/2017300033315/2017300033315b.jpg
