書名,書籍網站,作者,出版社,ISBN,圖片網址
鄂圖曼帝國英雄和那些女人們：蘇丹、寵妃、建築師……10位關鍵人物的趣史帶你穿越鄂圖曼興衰600年,https://www.kingstone.com.tw//basic/2017830174120?zone=book&lid=book_class3_bce&actid=book_class3_bce,小笠原弘幸,墨刻      ,9789862895986,https://cdn.kingstone.com.tw/book/images/product/20178/2017830174120/2017830174120b.jpg
耶路撒冷三千年,https://www.kingstone.com.tw//basic/2017350013961?zone=book&lid=book_class3_bce&actid=book_class3_bce,賽門．蒙提費歐里,究竟      ,9789861371689,https://cdn.kingstone.com.tw/book/images/product/20173/2017350013961/2017350013961b.jpg
穿越百年中東：中東，為什麼會變成現在這樣子？資深媒體人冒險深入中東！第一本以華人觀點揭開中東神秘,https://www.kingstone.com.tw//basic/2017350019413?zone=book&lid=book_class3_bce&actid=book_class3_bce,郭建龍,平安文化  ,9789869406659,https://cdn.kingstone.com.tw/book/images/product/20173/2017350019413/2017350019413b.jpg
終局之戰（上）：鄂圖曼帝國的瓦解，和現代中東的形成,https://www.kingstone.com.tw//basic/2017350023298?zone=book&lid=book_class3_bce&actid=book_class3_bce,西恩．麥克米金,左岸文化  ,9789865727994,https://cdn.kingstone.com.tw/book/images/product/20173/2017350023298/2017350023298b.jpg
伊斯蘭的世界地圖：場所、活動、意識形態,https://www.kingstone.com.tw//basic/2017350023038?zone=book&lid=book_class3_bce&actid=book_class3_bce,安-洛爾．杜邦,無境文化  ,9789869601764,https://cdn.kingstone.com.tw/book/images/product/20173/2017350023038/2017350023038b.jpg
伊斯蘭大歷史：穆斯林的信仰故事與改革之書,https://www.kingstone.com.tw//basic/2012580002389?zone=book&lid=book_class3_bce&actid=book_class3_bce,雷薩．阿斯蘭,衛城出版  ,9789869643566,https://cdn.kingstone.com.tw/book/images/product/20125/2012580002389/2012580002389b.jpg
幽靈帝國拜占庭：從羅馬到伊斯坦堡，一窺文明的衝擊、帝國的陷落、基督教的興起、詭譎的權勢之爭……,https://www.kingstone.com.tw//basic/2017350021454?zone=book&lid=book_class3_bce&actid=book_class3_bce,理查．費德勒,商周出版  ,9789864774999,https://cdn.kingstone.com.tw/book/images/product/20173/2017350021454/2017350021454b.jpg
黃金之城，杜拜：阿拉伯世界最受矚目的現代化歷程，締造金錢的天堂與煉獄,https://www.kingstone.com.tw//basic/2017350020662?zone=book&lid=book_class3_bce&actid=book_class3_bce,Jim Krane,麥浩斯    ,9789864083701,https://cdn.kingstone.com.tw/book/images/product/20173/2017350020662/2017350020662b.jpg
伊斯坦堡三城記,https://www.kingstone.com.tw//basic/2017350019833?zone=book&lid=book_class3_bce&actid=book_class3_bce,貝坦妮．休斯,究竟      ,9789861372457,https://cdn.kingstone.com.tw/book/images/product/20173/2017350019833/2017350019833b.jpg
阿拉伯的勞倫斯：戰爭、謊言、帝國愚行與現代中東的形成,https://www.kingstone.com.tw//basic/2017840117162?zone=book&lid=book_class3_bce&actid=book_class3_bce,斯科特．安德森,新雨      ,9789862272091,https://cdn.kingstone.com.tw/book/images/product/20178/2017840117162/2017840117162b.jpg
圖解伊斯蘭世界,https://www.kingstone.com.tw//basic/2017350017839?zone=book&lid=book_class3_bce&actid=book_class3_bce,池上彰,遠足文化  ,9789869300049,https://cdn.kingstone.com.tw/book/images/product/20173/2017350017839/2017350017839b.jpg
鄂圖曼帝國三部曲1300－1923：奧斯曼的黃粱夢（全三部）,https://www.kingstone.com.tw//basic/2017350016597?zone=book&lid=book_class3_bce&actid=book_class3_bce,卡羅琳．芬寇爾,立緒      ,9789863600534,https://cdn.kingstone.com.tw/book/images/product/20173/2017350016597/2017350016597b.jpg
中東的裂痕：泛阿拉伯主義的流產和大英帝國的遺產（劉仲敬.民族發明學講稿03）,https://www.kingstone.com.tw//basic/2017110043382?zone=book&lid=book_class3_bce&actid=book_class3_bce,劉仲敬,八旗文化  ,9789865524340,https://cdn.kingstone.com.tw/book/images/product/20171/2017110043382/2017110043382b.jpg
縱觀百年西亞：從阿以衝突、庫德族到伊朗核協議，歷史糾葛與當代議題,https://www.kingstone.com.tw//basic/2017350024240?zone=book&lid=book_class3_bce&actid=book_class3_bce,陳立樵,臺灣商務  ,9789570532838,https://cdn.kingstone.com.tw/book/images/product/20173/2017350024240/2017350024240b.jpg
伊斯蘭啟蒙運動：在信仰與理性中掙扎的現代化之路,https://www.kingstone.com.tw//basic/2017350023908?zone=book&lid=book_class3_bce&actid=book_class3_bce,克里斯多福．德．貝萊格,馬可孛羅  ,9789865509187,https://cdn.kingstone.com.tw/book/images/product/20173/2017350023908/2017350023908b.jpg
黎凡特：基督教、伊斯蘭與猶太教共存的實驗場，士麥拿、亞歷山卓及貝魯特諸城人文史,https://www.kingstone.com.tw//basic/2017350023748?zone=book&lid=book_class3_bce&actid=book_class3_bce,菲利普．曼瑟,馬可孛羅  ,9789865509040,https://cdn.kingstone.com.tw/book/images/product/20173/2017350023748/2017350023748b.jpg
吉普賽的智慧,https://www.kingstone.com.tw//basic/2015360098435?zone=book&lid=book_class3_bce&actid=book_class3_bce,黎瑞剛,新視野New ,9789869807777,https://cdn.kingstone.com.tw/book/images/product/20153/2015360098435/2015360098435b.jpg
終局之戰：鄂圖曼帝國的瓦解，和現代中東的形成（上/下套書）,https://www.kingstone.com.tw//basic/2017350023588?zone=book&lid=book_class3_bce&actid=book_class3_bce,西恩．麥克米金,左岸文化  ,8667106510196,https://cdn.kingstone.com.tw/book/images/product/20173/2017350023588/2017350023588b.jpg
