書名,書籍網站,作者,出版社,ISBN,圖片網址
走過夾縫地帶：從蒙兀兒帝國到阿富汗戰火，徒步追尋巴卑爾的征服之路,https://www.kingstone.com.tw//basic/2017360005406?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,羅利．史都華,麥田      ,9789863444701,https://cdn.kingstone.com.tw/book/images/product/20173/2017360005406/2017360005406b.jpg
站在岡田英弘的肩膀上【日本史學大師——岡田英弘.顛覆史觀三部曲：世界史的誕生+日本史的誕生+中國文明的歷史】（共三冊，不分售）,https://www.kingstone.com.tw//basic/2017300038945?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,岡田英弘,八旗文化  ,9789860763423,https://cdn.kingstone.com.tw/book/images/product/20173/2017300038945/2017300038945b.jpg
你一定想看的韓國史,https://www.kingstone.com.tw//basic/2017320035825?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,楊益、鄭嘉偉,海鷹文化  ,9789863923299,https://cdn.kingstone.com.tw/book/images/product/20173/2017320035825/2017320035825b.jpg
蒙古國：一部土地與人民顛簸前行的百年獨立史,https://www.kingstone.com.tw//basic/2017340005570?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,邁克．迪倫,時報文化  ,9789571392134,https://cdn.kingstone.com.tw/book/images/product/20173/2017340005570/2017340005570b.jpg
從人到鬼，從鬼到人：日本戰犯與中國的審判,https://www.kingstone.com.tw//basic/2015790026992?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,顧若鵬,遠足文化  ,9789578630963,https://cdn.kingstone.com.tw/book/images/product/20157/2015790026992/2015790026992b.jpg
風之帝國：全球貿易的關鍵地帶，海洋亞洲的盛世繁華,https://www.kingstone.com.tw//basic/2017300033445?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,菲利浦．鮑靈,聯經      ,9789570856934,https://cdn.kingstone.com.tw/book/images/product/20173/2017300033445/2017300033445b.jpg
日本地理大補帖：長暢10年全新改訂版,https://www.kingstone.com.tw//basic/2017310221184?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,後藤武士,楓樹林    ,9789579501699,https://cdn.kingstone.com.tw/book/images/product/20173/2017310221184/2017310221184b.jpg
戊辰戰爭：還原被隱藏的真相（兩冊不分售）,https://www.kingstone.com.tw//basic/2017310216197?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,洪維揚,遠足文化  ,9789865080471,https://cdn.kingstone.com.tw/book/images/product/20173/2017310216197/2017310216197b.jpg
日本的結界：陰陽師的祕密地圖解謎（增訂新版）,https://www.kingstone.com.tw//basic/2012950055632?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,安倍成道,健行文化  ,9789860651188,https://cdn.kingstone.com.tw/book/images/product/20129/2012950055632/2012950055632b.jpg
被遺忘的人群：神風特攻隊員、助產士、學生、教師，日本平民的二戰歷史記憶,https://www.kingstone.com.tw//basic/2017300036781?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,埃德加．波特,臺灣商務  ,9789570533088,https://cdn.kingstone.com.tw/book/images/product/20173/2017300036781/2017300036781b.jpg
課綱中的中國與東亞史：從國家社會、人群交流到邁向現代的歷程,https://www.kingstone.com.tw//basic/2016100175775?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,葛兆光、馬場公彥、王明珂,臺灣商務  ,9789570532944,https://cdn.kingstone.com.tw/book/images/product/20161/2016100175775/2016100175775b.jpg
印度：最大民主國家的榮耀與掙扎（上、下冊）,https://www.kingstone.com.tw//basic/2017370017635?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,古哈,聯經      ,9789570855142,https://cdn.kingstone.com.tw/book/images/product/20173/2017370017635/2017370017635b.jpg
半島之龍：越南脫離中國，追求自由與認同的原動力,https://www.kingstone.com.tw//basic/2017380056129?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,小倉貞男,八旗文化  ,9789865524319,https://cdn.kingstone.com.tw/book/images/product/20173/2017380056129/2017380056129b.jpg
來去馬來西亞：從鄭和、孫中山到《辣死你媽》，原來馬來西亞與台灣這麼近,https://www.kingstone.com.tw//basic/2015770019815?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,黃偉雯（瑪杜莎）,八旗文化  ,9789865524258,https://cdn.kingstone.com.tw/book/images/product/20157/2015770019815/2015770019815b.jpg
從「尊明」到「奉清」 ： 朝鮮王朝對清意識的嬗變，1627－1910,https://www.kingstone.com.tw//basic/2016430005971?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,孫衛國,臺灣大學  ,9789863503422,https://cdn.kingstone.com.tw/book/images/product/20164/2016430005971/2016430005971b.jpg
被誤解的印度大歷史：被忽視與不容忽視的文明國度,https://www.kingstone.com.tw//basic/2017370015891?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,弗朗索瓦．高堤耶,本事出版  ,9789579121309,https://cdn.kingstone.com.tw/book/images/product/20173/2017370015891/2017370015891b.jpg
東亞文學場：台灣、朝鮮、滿洲的殖民主義與文化交涉,https://www.kingstone.com.tw//basic/2018600016824?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,岡田英樹等人,聯經      ,9789570850543,https://cdn.kingstone.com.tw/book/images/product/20186/2018600016824/2018600016824b.jpg
東印度公司與亞洲的海洋：跨國公司如何創造二百年歐亞整體史（精裝）,https://www.kingstone.com.tw//basic/2015580075889?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,羽田正,八旗文化  ,9789869590549,https://cdn.kingstone.com.tw/book/images/product/20155/2015580075889/2015580075889b.jpg
旅人眼中的亞洲千年史,https://www.kingstone.com.tw//basic/2017300013171?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,斯圖亞特．戈登,八旗文化  ,9789865842734,https://cdn.kingstone.com.tw/book/images/product/20173/2017300013171/2017300013171b.jpg
近代東亞海域交流：海域與文化傳播,https://www.kingstone.com.tw//basic/2017300037733?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,松浦章,博揚文化  ,9789865600259,https://cdn.kingstone.com.tw/book/images/product/20173/2017300037733/2017300037733b.jpg
女力日本史：男人主宰歷史，女人主宰男人？！ 決定日本歷史的42個美女、才女與毒女,https://www.kingstone.com.tw//basic/2017830170702?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,本鄉和人,平裝本    ,9789860630114,https://cdn.kingstone.com.tw/book/images/product/20178/2017830170702/2017830170702b.jpg
你一定想看的印度史,https://www.kingstone.com.tw//basic/2017370017925?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,梁捍江、韓夢澤,海鷹文化  ,9789863923701,https://cdn.kingstone.com.tw/book/images/product/20173/2017370017925/2017370017925b.jpg
你一定想看的亞洲史,https://www.kingstone.com.tw//basic/2017300033865?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,楊益,海鷹文化  ,9789863923596,https://cdn.kingstone.com.tw/book/images/product/20173/2017300033865/2017300033865b.jpg
印度獨立與中印關係史料（1946－1950）（一）,https://www.kingstone.com.tw//basic/2017370017765?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,廖文碩,民國歷史  ,9789865578008,https://cdn.kingstone.com.tw/book/images/product/20173/2017370017765/2017370017765b.jpg
印度獨立與中印關係史料（1946－1950）（二）,https://www.kingstone.com.tw//basic/2017370017895?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,廖文碩,民國歷史  ,9789865578015,https://cdn.kingstone.com.tw/book/images/product/20173/2017370017895/2017370017895b.jpg
福澤諭吉自傳,https://www.kingstone.com.tw//basic/2017830166507?zone=book&lid=book_class3_bcf&actid=book_class3_bcf,福澤諭吉,五南      ,9789865223533,https://cdn.kingstone.com.tw/book/images/product/20178/2017830166507/2017830166507b.jpg
