書名,書籍網站,作者,出版社,ISBN,圖片網址
暗夜之河：北韓逃脫記,https://www.kingstone.com.tw//basic/2017830133950?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,石川政次,凱特文化  ,9789869620161,https://cdn.kingstone.com.tw/book/images/product/20178/2017830133950/2017830133950b.jpg
為了活下去：脫北女孩朴研美,https://www.kingstone.com.tw//basic/2017830111712?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,朴研美,大塊      ,9789862137192,https://cdn.kingstone.com.tw/book/images/product/20178/2017830111712/2017830111712b.jpg
流轉家族：泰雅公主媽媽、日本警察爸爸和我的故事,https://www.kingstone.com.tw//basic/2010780066897?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,下山一(林光明)自述,遠流      ,9789573285670,https://cdn.kingstone.com.tw/book/images/product/20107/2010780066897/2010780066897b.jpg
綠島集中營（中英對照）,https://www.kingstone.com.tw//basic/2017830065114?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,張振騰、張翠梧,前衛      ,9789578016729,https://cdn.kingstone.com.tw/book/images/product/20178/2017830065114/2017830065114b.jpg
幽默大師－林語堂傳,https://www.kingstone.com.tw//basic/2017820241146?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,施建偉,業強      ,9789576832284,https://cdn.kingstone.com.tw/book/images/product/20178/2017820241146/2017820241146b.jpg
香港的回憶,https://www.kingstone.com.tw//basic/2017830174540?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,鄭永常,萬卷樓    ,9789864784677,https://cdn.kingstone.com.tw/book/images/product/20178/2017830174540/2017830174540b.jpg
安貝卡博士與印度佛教復興運動：佛教救印度，解放種姓制度、解救印度民主,https://www.kingstone.com.tw//basic/2017830168181?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,僧護,大千出版社,9789574473564,https://cdn.kingstone.com.tw/book/images/product/20178/2017830168181/2017830168181b.jpg
緬甸華裔：王國達傳奇,https://www.kingstone.com.tw//basic/2017830163841?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,楚蘭,秋雨文化  ,9789867120878,https://cdn.kingstone.com.tw/book/images/product/20178/2017830163841/2017830163841b.jpg
藝術家面對面,https://www.kingstone.com.tw//basic/2017830155068?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,陳龍禧,師大書苑  ,9789574968367,https://cdn.kingstone.com.tw/book/images/product/20178/2017830155068/2017830155068b.jpg
100則人物深度採訪，用故事滾動時代影響力：滾動力101－200人物紀實,https://www.kingstone.com.tw//basic/2017830151350?zone=book&lid=book_class3_bcg&actid=book_class3_bcg,滾動力股份有限公司,滾動力公司,9789869847308,https://cdn.kingstone.com.tw/book/images/product/20178/2017830151350/2017830151350b.jpg
