書名,書籍網站,作者,出版社,ISBN,圖片網址
社會在走，歷史要懂：呂捷開講【限量親簽能量加持版】,https://www.kingstone.com.tw//basic/2016100179513?zone=book&lid=book_class3_bda&actid=book_class3_bda,呂捷,圓神      ,2021080113303,https://cdn.kingstone.com.tw/book/images/product/20161/2016100179513/2016100179513b.jpg
古人原來這樣過日子：地表最強的66堂中國歷史穿越課,https://www.kingstone.com.tw//basic/2016100171937?zone=book&lid=book_class3_bda&actid=book_class3_bda,王磊,麥田      ,9789863447481,https://cdn.kingstone.com.tw/book/images/product/20161/2016100171937/2016100171937b.jpg
見鬼：拍案叫絕的中國志怪小說精彩故事,https://www.kingstone.com.tw//basic/2012150011094?zone=book&lid=book_class3_bda&actid=book_class3_bda,有鬼君,遠流      ,9789573290674,https://cdn.kingstone.com.tw/book/images/product/20121/2012150011094/2012150011094b.jpg
歷史學家寫給所有人的中國史：從環境、氣候到貿易網絡，全球視野下的中國史,https://www.kingstone.com.tw//basic/2016100179803?zone=book&lid=book_class3_bda&actid=book_class3_bda,岡本隆司,臺灣商務  ,9789570533521,https://cdn.kingstone.com.tw/book/images/product/20161/2016100179803/2016100179803b.jpg
你不可能是漢族：百年民族魔咒大破解,https://www.kingstone.com.tw//basic/2015460030311?zone=book&lid=book_class3_bda&actid=book_class3_bda,吳銳,八旗文化  ,9789865524128,https://cdn.kingstone.com.tw/book/images/product/20154/2015460030311/2015460030311b.jpg
歷史與思想（新版）,https://www.kingstone.com.tw//basic/2016070005577?zone=book&lid=book_class3_bda&actid=book_class3_bda,余英時,聯經      ,9789570843798,https://cdn.kingstone.com.tw/book/images/product/20160/2016070005577/2016070005577b.jpg
古人原來這樣過日子2：腦洞超開的40則中國歷史冷知識──從蹲坑必備品到防偽標識、從社畜打卡到後宮大型遊戲……學校沒教的古人日常大搜密,https://www.kingstone.com.tw//basic/2016100178011?zone=book&lid=book_class3_bda&actid=book_class3_bda,古人很潮,麥田      ,9789863448839,https://cdn.kingstone.com.tw/book/images/product/20161/2016100178011/2016100178011b.jpg
從上海到香港，最後的金融大帝：令中共忌憚，支配近代中國經濟200年的猶太勢力【沙遜&嘉道理金融王朝】,https://www.kingstone.com.tw//basic/2017830170382?zone=book&lid=book_class3_bda&actid=book_class3_bda,喬納森．考夫曼,野人文化  ,9789863844952,https://cdn.kingstone.com.tw/book/images/product/20178/2017830170382/2017830170382b.jpg
沉睡的帝國：權臣的上位鬥爭與朋黨派系之患,https://www.kingstone.com.tw//basic/2016100176987?zone=book&lid=book_class3_bda&actid=book_class3_bda,王若、蔣重躍,大旗      ,9789869943642,https://cdn.kingstone.com.tw/book/images/product/20161/2016100176987/2016100176987b.jpg
暗黑民國史：兩岸歷史課本刻意迴避的空白30年,https://www.kingstone.com.tw//basic/2016280098482?zone=book&lid=book_class3_bda&actid=book_class3_bda,余杰,大是      ,9789579654791,https://cdn.kingstone.com.tw/book/images/product/20162/2016280098482/2016280098482b.jpg
古裝穿搭研究室：超乎你想像的中國服飾史,https://www.kingstone.com.tw//basic/2015380120987?zone=book&lid=book_class3_bda&actid=book_class3_bda,龔元之,時報文化  ,9789571378473,https://cdn.kingstone.com.tw/book/images/product/20153/2015380120987/2015380120987b.jpg
黃仁宇的大歷史觀（黃仁宇一百週年誕辰，首次結集生前未出版專論紀念版）,https://www.kingstone.com.tw//basic/2016100165608?zone=book&lid=book_class3_bda&actid=book_class3_bda,黃仁宇,聯經      ,9789570852332,https://cdn.kingstone.com.tw/book/images/product/20161/2016100165608/2016100165608b.jpg
龍椅背後的財政祕辛：文治武功？財稅金融才是國家盛衰存滅的深層原因。「中文世界的國富論」,https://www.kingstone.com.tw//basic/2015600027218?zone=book&lid=book_class3_bda&actid=book_class3_bda,郭建龍,大是      ,9789579164016,https://cdn.kingstone.com.tw/book/images/product/20156/2015600027218/2015600027218b.jpg
研之有物：穿越古今！中研院的25堂人文公開課,https://www.kingstone.com.tw//basic/2011190004110?zone=book&lid=book_class3_bda&actid=book_class3_bda,中央研究院 研之有物編輯群,寶瓶文化  ,9789864061242,https://cdn.kingstone.com.tw/book/images/product/20111/2011190004110/2011190004110b.jpg
國史大綱（修訂四版）,https://www.kingstone.com.tw//basic/2016100153087?zone=book&lid=book_class3_bda&actid=book_class3_bda,錢穆,臺灣商務  ,9789570530674,https://cdn.kingstone.com.tw/book/images/product/20161/2016100153087/2016100153087b.jpg
社會在走，歷史要懂：呂捷開講,https://www.kingstone.com.tw//basic/2016100179643?zone=book&lid=book_class3_bda&actid=book_class3_bda,呂捷,圓神      ,9789861337814,https://cdn.kingstone.com.tw/book/images/product/20161/2016100179643/2016100179643b.jpg
歷史的經驗,https://www.kingstone.com.tw//basic/2016170012062?zone=book&lid=book_class3_bda&actid=book_class3_bda,南懷瑾(講述),南懷瑾文化,9789860613032,https://cdn.kingstone.com.tw/book/images/product/20161/2016170012062/2016170012062b.jpg
刀爾登讀史全集套書（四冊）：《中國好人》、《舊山河》、《不必讀書目》、《亦搖亦點頭》,https://www.kingstone.com.tw//basic/2017300038785?zone=book&lid=book_class3_bda&actid=book_class3_bda,刀爾登,大寫出版  ,9789579689632,https://cdn.kingstone.com.tw/book/images/product/20173/2017300038785/2017300038785b.jpg
明末名臣盧象昇：被世人所遺忘的抗清英雄,https://www.kingstone.com.tw//basic/2017820633347?zone=book&lid=book_class3_bda&actid=book_class3_bda,龍騰,崧燁文化  ,9789865167509,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633347/2017820633347b.jpg
哇，歷史原來可以這樣學1,https://www.kingstone.com.tw//basic/2016100178561?zone=book&lid=book_class3_bda&actid=book_class3_bda,林欣浩,五南      ,9789865227593,https://cdn.kingstone.com.tw/book/images/product/20161/2016100178561/2016100178561b.jpg
古代中國：中華文明的起源,https://www.kingstone.com.tw//basic/2016100178141?zone=book&lid=book_class3_bda&actid=book_class3_bda,馬伯樂,華夏出版  ,9789865541538,https://cdn.kingstone.com.tw/book/images/product/20161/2016100178141/2016100178141b.jpg
