書名,書籍網站,作者,出版社,ISBN,圖片網址
稱孤道寡：打造中國兩千年專制皇權的四大帝王,https://www.kingstone.com.tw//basic/2016100159249?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,林錚顗,暖暖書屋  ,9789869348164,https://cdn.kingstone.com.tw/book/images/product/20161/2016100159249/2016100159249b.jpg
蔣介石日記的濫用：楊天石的抄襲、模仿與治學謬誤,https://www.kingstone.com.tw//basic/2010780070122?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,李戡,暖暖書屋  ,9789869980838,https://cdn.kingstone.com.tw/book/images/product/20107/2010780070122/2010780070122b.jpg
哲學樹之旅：漫漫走過千年之路,https://www.kingstone.com.tw//basic/2016850010890?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,王浩一,有鹿文化  ,9789869818858,https://cdn.kingstone.com.tw/book/images/product/20168/2016850010890/2016850010890b.jpg
人生自古誰不廢：或懷才不遇，或落榜情傷，古代魯蛇的人生堅強講義,https://www.kingstone.com.tw//basic/2011910215529?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,敏鎬的黑特事務所,究竟      ,9789861372563,https://cdn.kingstone.com.tw/book/images/product/20119/2011910215529/2011910215529b.jpg
學蘇東坡這樣吃、像唐明皇那樣玩：沒電腦、沒手機、沒線上遊戲，古人怎麼活？圖解吃喝玩樂的中國史。,https://www.kingstone.com.tw//basic/2016300037538?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,漫友文化,任性出版  ,9789869650007,https://cdn.kingstone.com.tw/book/images/product/20163/2016300037538/2016300037538b.jpg
方以智晚節考,https://www.kingstone.com.tw//basic/2017820505569?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,余英時,允晨文化  ,9789866274619,https://cdn.kingstone.com.tw/book/images/product/20178/2017820505569/2017820505569b.jpg
令人戰慄?帝王后妃之死,https://www.kingstone.com.tw//basic/2017110015655?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,孚生,八方      ,9789866487552,https://cdn.kingstone.com.tw/book/images/product/20171/2017110015655/2017110015655b.jpg
民國時期報業史料：上海篇（二）,https://www.kingstone.com.tw//basic/2018900017118?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,高郁雅,民國歷史  ,9789865578107,https://cdn.kingstone.com.tw/book/images/product/20189/2018900017118/2018900017118b.jpg
民國時期報業史料：上海篇（一）,https://www.kingstone.com.tw//basic/2018900017248?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,高郁雅,民國歷史  ,9789865578091,https://cdn.kingstone.com.tw/book/images/product/20189/2018900017248/2018900017248b.jpg
宋代「四大書」編纂出版與流傳,https://www.kingstone.com.tw//basic/2010410009393?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,張圍東,元華文創  ,9789577111869,https://cdn.kingstone.com.tw/book/images/product/20104/2010410009393/2010410009393b.jpg
成功的女人，都是狠角色,https://www.kingstone.com.tw//basic/2017810053247?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,,讀品      ,9789864531271,https://cdn.kingstone.com.tw/book/images/product/20178/2017810053247/2017810053247b.jpg
歷史長河：中國歷史十六講（二版）,https://www.kingstone.com.tw//basic/2016170011850?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,樊樹志,聯經      ,9789570855692,https://cdn.kingstone.com.tw/book/images/product/20161/2016170011850/2016170011850b.jpg
歷史在暗夜哭泣,https://www.kingstone.com.tw//basic/2018561978131?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,熊飛駿,新視野New ,9789869843584,https://cdn.kingstone.com.tw/book/images/product/20185/2018561978131/2018561978131b.jpg
中外20大傳奇帝王（全二冊）（全新修訂版）,https://www.kingstone.com.tw//basic/2017300019883?zone=book&lid=book_class3_bdb&actid=book_class3_bdb,探索發現系列．編輯委員會,大旗      ,9789869782128,https://cdn.kingstone.com.tw/book/images/product/20173/2017300019883/2017300019883b.jpg
