書名,書籍網站,作者,出版社,ISBN,圖片網址
白話史記一套三冊（二版）,https://www.kingstone.com.tw//basic/2016100173511?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,白話史記編委會,聯經      ,9789570855364,https://cdn.kingstone.com.tw/book/images/product/20161/2016100173511/2016100173511b.jpg
史記的讀法：司馬遷的歷史世界,https://www.kingstone.com.tw//basic/2017300027956?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,楊照,印刻      ,9789863873402,https://cdn.kingstone.com.tw/book/images/product/20173/2017300027956/2017300027956b.jpg
呂世浩細說史記：入門篇,https://www.kingstone.com.tw//basic/2016100161020?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,呂世浩,時報文化  ,9789571371436,https://cdn.kingstone.com.tw/book/images/product/20161/2016100161020/2016100161020b.jpg
進可成事，退不受困：薛仁明讀史記,https://www.kingstone.com.tw//basic/2018551643889?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,薛仁明,九歌      ,9789574449347,https://cdn.kingstone.com.tw/book/images/product/20185/2018551643889/2018551643889b.jpg
漢武帝：王立群讀史記,https://www.kingstone.com.tw//basic/2016220015272?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,王立群,聯經      ,9789570832815,https://cdn.kingstone.com.tw/book/images/product/20162/2016220015272/2016220015272b.jpg
老北大講義 史學方法導論,https://www.kingstone.com.tw//basic/2016030006057?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,傅斯年,昌明文化  ,9789864965823,https://cdn.kingstone.com.tw/book/images/product/20160/2016030006057/2016030006057b.jpg
中國史學入門,https://www.kingstone.com.tw//basic/2016110003129?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,顧頡剛、何啟君整理,香港中和  ,9789888694532,https://cdn.kingstone.com.tw/book/images/product/20161/2016110003129/2016110003129b.jpg
一本書讀懂史記故事,https://www.kingstone.com.tw//basic/2016100174853?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,劉曼麗,海鴿      ,9789863923237,https://cdn.kingstone.com.tw/book/images/product/20161/2016100174853/2016100174853b.jpg
史記會注考證（上、下冊）（平裝本）,https://www.kingstone.com.tw//basic/2016100174013?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,瀧川龜太郎,萬卷樓    ,9789864783175,https://cdn.kingstone.com.tw/book/images/product/20161/2016100174013/2016100174013b.jpg
無腦讀史記：三千年前的歷史懶人包，司馬遷為什麼挑這些人？,https://www.kingstone.com.tw//basic/2016100172279?zone=book&lid=book_class3_bdd&actid=book_class3_bdd,歐陽翰、劉燁,崧燁文化  ,9789865163365,https://cdn.kingstone.com.tw/book/images/product/20161/2016100172279/2016100172279b.jpg
