書名,書籍網站,作者,出版社,ISBN,圖片網址
讓我們來到南朝+讓我們來到北朝（套書）,https://www.kingstone.com.tw//basic/2017300021664?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,葉言都,時報文化  ,4712966623785,https://cdn.kingstone.com.tw/book/images/product/20173/2017300021664/2017300021664b.jpg
南北朝原來是這樣,https://www.kingstone.com.tw//basic/2016230010410?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,張程,大地出版社,9789865800048,https://cdn.kingstone.com.tw/book/images/product/20162/2016230010410/2016230010410b.jpg
魏晉南北朝隋唐經濟史稿,https://www.kingstone.com.tw//basic/2015520129825?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,李劍農,華夏出版  ,9789865541828,https://cdn.kingstone.com.tw/book/images/product/20155/2015520129825/2015520129825b.jpg
北魏前期叛亂研究,https://www.kingstone.com.tw//basic/2016230013176?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,董剛,萬卷樓    ,9789864784158,https://cdn.kingstone.com.tw/book/images/product/20162/2016230013176/2016230013176b.jpg
讓我們來到南朝：尋，江南煙雨花落盡,https://www.kingstone.com.tw//basic/2016230012704?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,葉言都,時報文化  ,9789571379845,https://cdn.kingstone.com.tw/book/images/product/20162/2016230012704/2016230012704b.jpg
讓我們來到北朝：看，北國天下起風雲,https://www.kingstone.com.tw//basic/2016230012834?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,葉言都,時報文化  ,9789571379852,https://cdn.kingstone.com.tw/book/images/product/20162/2016230012834/2016230012834b.jpg
孤獨的風度：魏晉名士的卑微與驕傲,https://www.kingstone.com.tw//basic/2017820610447?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,北溟魚,臺灣商務  ,9789570531886,https://cdn.kingstone.com.tw/book/images/product/20178/2017820610447/2017820610447b.jpg
東晉：前秦苻堅軍師王猛的成功謀略（DVD）,https://www.kingstone.com.tw//basic/2014900156925?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,劉燦樑,清涼音    ,4716076883725,https://cdn.kingstone.com.tw/book/images/product/20149/2014900156925/2014900156925b.jpg
中華的崩潰與擴大：魏晉南北朝,https://www.kingstone.com.tw//basic/2016230012384?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,川本芳昭,臺灣商務  ,9789570531312,https://cdn.kingstone.com.tw/book/images/product/20162/2016230012384/2016230012384b.jpg
東晉：前秦苻堅軍師王猛的成功謀略（2CD）,https://www.kingstone.com.tw//basic/2014900157397?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,劉燦樑,清涼音    ,9789574497485,https://cdn.kingstone.com.tw/book/images/product/20149/2014900157397/2014900157397b.jpg
中國文化通史．魏晉南北朝卷  上冊,https://www.kingstone.com.tw//basic/2016300038450?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,鄭師渠,昌明文化  ,9789864961597,https://cdn.kingstone.com.tw/book/images/product/20163/2016300038450/2016300038450b.jpg
中國文化通史．魏晉南北朝卷  下冊,https://www.kingstone.com.tw//basic/2016300038740?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,鄭師渠,昌明文化  ,9789864961580,https://cdn.kingstone.com.tw/book/images/product/20163/2016300038740/2016300038740b.jpg
江西通史：魏晉南北朝卷  下冊,https://www.kingstone.com.tw//basic/2016720024767?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,周兆望,昌明文化  ,9789864961818,https://cdn.kingstone.com.tw/book/images/product/20167/2016720024767/2016720024767b.jpg
江西通史：魏晉南北朝卷  上冊,https://www.kingstone.com.tw//basic/2016720026761?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,周兆望,昌明文化  ,9789864961801,https://cdn.kingstone.com.tw/book/images/product/20167/2016720026761/2016720026761b.jpg
顏之推論君子家風,https://www.kingstone.com.tw//basic/2011230008924?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,周殿富,麥禾（天宇,9789869499620,https://cdn.kingstone.com.tw/book/images/product/20112/2011230008924/2011230008924b.jpg
被低估的聖王：楊堅,https://www.kingstone.com.tw//basic/2016230012124?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,雲淡心遠,大地出版社,9789864022038,https://cdn.kingstone.com.tw/book/images/product/20162/2016230012124/2016230012124b.jpg
天下麒麟榜：那些年的那些謀士們（兩晉．大唐．兩宋篇）,https://www.kingstone.com.tw//basic/2016230012094?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,晁中辰,大旗      ,9789869345095,https://cdn.kingstone.com.tw/book/images/product/20162/2016230012094/2016230012094b.jpg
中國人這回事（I）：遠古至東周：神話與真相的分野,https://www.kingstone.com.tw//basic/2016100151243?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,李乃義,獨立作家  ,9789869331630,https://cdn.kingstone.com.tw/book/images/product/20161/2016100151243/2016100151243b.jpg
歷史大變局：改變中國的一千個瞬間（全二冊）,https://www.kingstone.com.tw//basic/2016100140414?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,朴玉銘(編著),大旗      ,9789866234712,https://cdn.kingstone.com.tw/book/images/product/20161/2016100140414/2016100140414b.jpg
草原帝國 狼的子孫：突厥汗國,https://www.kingstone.com.tw//basic/2016390005325?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,劉學銚,風格司    ,9789866330568,https://cdn.kingstone.com.tw/book/images/product/20163/2016390005325/2016390005325b.jpg
歷史演義【五代四】,https://www.kingstone.com.tw//basic/2018578355239?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,蔡東藩,龍視界    ,9789865732202,https://cdn.kingstone.com.tw/book/images/product/20185/2018578355239/2018578355239b.jpg
歷史演義【南北朝二】,https://www.kingstone.com.tw//basic/2018578299434?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,蔡東藩,龍視界    ,9789865732066,https://cdn.kingstone.com.tw/book/images/product/20185/2018578299434/2018578299434b.jpg
歷史演義【南北朝三】,https://www.kingstone.com.tw//basic/2018578299564?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,蔡東藩,龍視界    ,9789865732073,https://cdn.kingstone.com.tw/book/images/product/20185/2018578299564/2018578299564b.jpg
歷史演義【南北朝一】,https://www.kingstone.com.tw//basic/2018578300024?zone=book&lid=book_class3_bdh&actid=book_class3_bdh,蔡東藩,龍視界    ,9789865732059,https://cdn.kingstone.com.tw/book/images/product/20185/2018578300024/2018578300024b.jpg
