書名,書籍網站,作者,出版社,ISBN,圖片網址
不一樣的中國史8：從外放到內向，重文輕武的時代──五代十國、宋,https://www.kingstone.com.tw//basic/2016100176147?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,楊照,遠流      ,9789573289302,https://cdn.kingstone.com.tw/book/images/product/20161/2016100176147/2016100176147b.jpg
元朝原來是這樣,https://www.kingstone.com.tw//basic/2016250023209?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李強,大地出版社,9789864023479,https://cdn.kingstone.com.tw/book/images/product/20162/2016250023209/2016250023209b.jpg
成吉思汗：近代世界的創造者,https://www.kingstone.com.tw//basic/2016250020383?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,傑克．魏澤福,時報文化  ,9789571372815,https://cdn.kingstone.com.tw/book/images/product/20162/2016250020383/2016250020383b.jpg
跟著宋朝人過一天,https://www.kingstone.com.tw//basic/2016350001855?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,魏策,好優文化  ,9789860671339,https://cdn.kingstone.com.tw/book/images/product/20163/2016350001855/2016350001855b.jpg
歡樂宋：中國歷史上最幸福的朝代，沒去過宋朝，別說你到過人間天堂！,https://www.kingstone.com.tw//basic/2015380126989?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李純瑀（魚小姐）,平安文化  ,9789579314619,https://cdn.kingstone.com.tw/book/images/product/20153/2015380126989/2015380126989b.jpg
大汗之怒：蒙古鐵騎與日本武士的海上交鋒，忽必烈東征的未竟之路,https://www.kingstone.com.tw//basic/2016250022387?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,周思成,麥田      ,9789863447597,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022387/2016250022387b.jpg
宋朝大觀：圖說宋朝三百年衣食住行盛世生活,https://www.kingstone.com.tw//basic/2016350001725?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,徐吉軍,聯經      ,9789570854503,https://cdn.kingstone.com.tw/book/images/product/20163/2016350001725/2016350001725b.jpg
我們為什麼愛宋朝,https://www.kingstone.com.tw//basic/2016100167732?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,賈冬婷、楊璐,遠流      ,9789573285885,https://cdn.kingstone.com.tw/book/images/product/20161/2016100167732/2016100167732b.jpg
征服者與眾神：成吉思汗如何為蒙古帝國開創盛世,https://www.kingstone.com.tw//basic/2016250020703?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,傑克．魏澤福,時報文化  ,9789571373447,https://cdn.kingstone.com.tw/book/images/product/20162/2016250020703/2016250020703b.jpg
成吉思汗的女兒們,https://www.kingstone.com.tw//basic/2016250020543?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,傑克．魏澤福,時報文化  ,9789571372822,https://cdn.kingstone.com.tw/book/images/product/20162/2016250020543/2016250020543b.jpg
一起去看宋朝的活色生香,https://www.kingstone.com.tw//basic/2016350001435?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,陳華勝,商周出版  ,9789864773657,https://cdn.kingstone.com.tw/book/images/product/20163/2016350001435/2016350001435b.jpg
擺一桌絕妙的宋朝茶席,https://www.kingstone.com.tw//basic/2015380103669?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李開周,時報文化  ,9789571367378,https://cdn.kingstone.com.tw/book/images/product/20153/2015380103669/2015380103669b.jpg
吃一場有趣的宋朝飯局,https://www.kingstone.com.tw//basic/2015380093311?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李開周,時報文化  ,9789571361376,https://cdn.kingstone.com.tw/book/images/product/20153/2015380093311/2015380093311b.jpg
春秋左傳通考,https://www.kingstone.com.tw//basic/2016210034986?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,劉正浩,致知學術  ,9789865681050,https://cdn.kingstone.com.tw/book/images/product/20162/2016210034986/2016210034986b.jpg
南宋行暮：宋光宗宋寧宗時代,https://www.kingstone.com.tw//basic/2016250023179?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,虞雲國,香港中和  ,9789888763146,https://cdn.kingstone.com.tw/book/images/product/20162/2016250023179/2016250023179b.jpg
宋元明經濟史稿,https://www.kingstone.com.tw//basic/2015520130074?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李劍農,華夏出版  ,9789865541835,https://cdn.kingstone.com.tw/book/images/product/20155/2015520130074/2015520130074b.jpg
頂尖人物：忽必烈汗,https://www.kingstone.com.tw//basic/2016250023049?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,耿相新,風格司    ,9789865493257,https://cdn.kingstone.com.tw/book/images/product/20162/2016250023049/2016250023049b.jpg
大觀宋朝：風雅美學的十個側面立體,https://www.kingstone.com.tw//basic/2016250022837?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,鄧小南、揚之水、鄭培凱,香港中和  ,9789888694426,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022837/2016250022837b.jpg
皇權、近習與權臣：南宋的外戚與政治,https://www.kingstone.com.tw//basic/2016250022967?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,黃純怡,萬卷樓    ,9789864784394,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022967/2016250022967b.jpg
蘇東坡和他的大宋朝（新版）,https://www.kingstone.com.tw//basic/2017280000758?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,徐棻,達觀文化  ,9789869991018,https://cdn.kingstone.com.tw/book/images/product/20172/2017280000758/2017280000758b.jpg
大宋之變1063－1086：破解百年大宋由盛轉衰的關鍵真相，還原北宋政爭君臣在歷史大時局的命運與選擇,https://www.kingstone.com.tw//basic/2016250022707?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,趙冬梅,麥田      ,9789863448433,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022707/2016250022707b.jpg
歷史的瞬間：從宋遼金人物談到三寸金蓮（二版）,https://www.kingstone.com.tw//basic/2016250022677?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,陶晉生,聯經      ,9789570856422,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022677/2016250022677b.jpg
蒙元帝國戰史,https://www.kingstone.com.tw//basic/2015920138366?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,趙愷,國家      ,9789869809191,https://cdn.kingstone.com.tw/book/images/product/20159/2015920138366/2015920138366b.jpg
宋代外交史（精裝）,https://www.kingstone.com.tw//basic/2026250022560?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,陶晉生,聯經      ,9789570854831,https://cdn.kingstone.com.tw/book/images/product/20262/2026250022560/2026250022560b.jpg
宋仁宗：共治時代,https://www.kingstone.com.tw//basic/2018562185842?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,吳鉤,香港中和  ,9789888694853,https://cdn.kingstone.com.tw/book/images/product/20185/2018562185842/2018562185842b.jpg
清明上河圖與北宋城市化（第二版）,https://www.kingstone.com.tw//basic/2019450071353?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,薛鳳旋,香港中和  ,9789888694761,https://cdn.kingstone.com.tw/book/images/product/20194/2019450071353/2019450071353b.jpg
蒙古黃金史譯註（二版）,https://www.kingstone.com.tw//basic/2016250022417?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,札奇斯欽,聯經      ,9789570855333,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022417/2016250022417b.jpg
南宋帝國戰史,https://www.kingstone.com.tw//basic/2015920136652?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,趙愷,國家      ,9789869809184,https://cdn.kingstone.com.tw/book/images/product/20159/2015920136652/2015920136652b.jpg
蒙古祕史新譯並註釋（二版）,https://www.kingstone.com.tw//basic/2016250022257?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,札奇斯欽,聯經      ,9789570855067,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022257/2016250022257b.jpg
宋代外交史,https://www.kingstone.com.tw//basic/2016250022127?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,陶晉生,聯經      ,9789570854824,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022127/2016250022127b.jpg
汴京之圍：北宋末年的外交、戰爭和人,https://www.kingstone.com.tw//basic/2016250022097?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,郭建龍,啟動      ,9789864931125,https://cdn.kingstone.com.tw/book/images/product/20162/2016250022097/2016250022097b.jpg
食在宋朝：大宋餐桌上的料理實驗室,https://www.kingstone.com.tw//basic/2015380124305?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李開周,大旗      ,9789869860307,https://cdn.kingstone.com.tw/book/images/product/20153/2015380124305/2015380124305b.jpg
蘇軾傳,https://www.kingstone.com.tw//basic/2017820619945?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,王水照、崔銘,香港中和  ,9789888570690,https://cdn.kingstone.com.tw/book/images/product/20178/2017820619945/2017820619945b.jpg
知宋：寫給女兒的大宋歷史（上、下）,https://www.kingstone.com.tw//basic/2016250021915?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,吳鉤,香港中和  ,9789888570805,https://cdn.kingstone.com.tw/book/images/product/20162/2016250021915/2016250021915b.jpg
大宋饕客：從早市小攤吃到深夜食堂,https://www.kingstone.com.tw//basic/2015380123643?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,劉海永,時報文化  ,9789571380155,https://cdn.kingstone.com.tw/book/images/product/20153/2015380123643/2015380123643b.jpg
厚黑帝王趙匡胤（全集）,https://www.kingstone.com.tw//basic/2017300020292?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,徒步中國,亞洲      ,9789865921859,https://cdn.kingstone.com.tw/book/images/product/20173/2017300020292/2017300020292b.jpg
圖說歷史故事.元明清（全新修訂版）,https://www.kingstone.com.tw//basic/2016100167572?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,陳金華,大旗      ,9789869704786,https://cdn.kingstone.com.tw/book/images/product/20161/2016100167572/2016100167572b.jpg
風雅宋：看得見的大宋文明,https://www.kingstone.com.tw//basic/2016250021465?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,吳鉤,香港中和  ,9789888570324,https://cdn.kingstone.com.tw/book/images/product/20162/2016250021465/2016250021465b.jpg
逛一回鮮活的宋朝民俗,https://www.kingstone.com.tw//basic/2015380117604?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李開周,時報文化  ,9789571376462,https://cdn.kingstone.com.tw/book/images/product/20153/2015380117604/2015380117604b.jpg
南宋前期君主.宰相與政局,https://www.kingstone.com.tw//basic/2016250021045?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,王明,秀威出版  ,9789863265818,https://cdn.kingstone.com.tw/book/images/product/20162/2016250021045/2016250021045b.jpg
回到宋朝long stay：從食衣住行到文化風俗，在最幸福的朝代上一堂歷史體驗課,https://www.kingstone.com.tw//basic/2016350001695?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,馬驊,麥田      ,9789863445760,https://cdn.kingstone.com.tw/book/images/product/20163/2016350001695/2016350001695b.jpg
餐桌上的宋朝,https://www.kingstone.com.tw//basic/2015380113446?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,劉海永,時報文化  ,9789571374383,https://cdn.kingstone.com.tw/book/images/product/20153/2015380113446/2015380113446b.jpg
一本書讀懂契丹,https://www.kingstone.com.tw//basic/2016250020963?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,蘇伶,海鴿      ,9789863921240,https://cdn.kingstone.com.tw/book/images/product/20162/2016250020963/2016250020963b.jpg
成吉思汗新傳,https://www.kingstone.com.tw//basic/2016100162812?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,李則芬,台灣中華  ,9789578595262,https://cdn.kingstone.com.tw/book/images/product/20161/2016100162812/2016100162812b.jpg
楊業父子忠勇事蹟考：就史志談「楊家將」,https://www.kingstone.com.tw//basic/2016100162942?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,張嘉玹編著,台灣中華  ,9789578595286,https://cdn.kingstone.com.tw/book/images/product/20161/2016100162942/2016100162942b.jpg
蒙古帝國三部曲：《成吉思汗》+《成吉思汗的女兒們》+《征服者與眾神》,https://www.kingstone.com.tw//basic/2016250020833?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,傑克．魏澤福,時報文化  ,4712966622443,https://cdn.kingstone.com.tw/book/images/product/20162/2016250020833/2016250020833b.jpg
宋朝：宋太祖軍師趙普的成功謀略（DVD）,https://www.kingstone.com.tw//basic/2014900157007?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,劉燦樑,清涼音    ,4716076883732,https://cdn.kingstone.com.tw/book/images/product/20149/2014900157007/2014900157007b.jpg
元朝：忽必烈軍師劉秉忠的成功謀略（DVD）,https://www.kingstone.com.tw//basic/2014900157267?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,劉燦樑,清涼音    ,4716076883756,https://cdn.kingstone.com.tw/book/images/product/20149/2014900157267/2014900157267b.jpg
宋朝：宋太祖軍師趙普的成功謀略（2CD）,https://www.kingstone.com.tw//basic/2014900157427?zone=book&lid=book_class3_bdj&actid=book_class3_bdj,劉燦樑,清涼音    ,9789574497492,https://cdn.kingstone.com.tw/book/images/product/20149/2014900157427/2014900157427b.jpg
