書名,書籍網站,作者,出版社,ISBN,圖片網址
血書：林昭的信仰、抗爭與殉道之旅,https://www.kingstone.com.tw//basic/2017300038235?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,連曦,臺灣商務  ,9789570533347,https://cdn.kingstone.com.tw/book/images/product/20173/2017300038235/2017300038235b.jpg
胡適的頓挫：自由與威權衝撞下的政治抉擇（作者簽名版）,https://www.kingstone.com.tw//basic/2017300038495?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,黃克武,臺灣商務  ,4712977748705,https://cdn.kingstone.com.tw/book/images/product/20173/2017300038495/2017300038495b.jpg
我的雜種人生：林保華回憶錄,https://www.kingstone.com.tw//basic/2017830146783?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,林保華,前衛      ,9789578018853,https://cdn.kingstone.com.tw/book/images/product/20178/2017830146783/2017830146783b.jpg
張發奎口述自傳,https://www.kingstone.com.tw//basic/2017820595072?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,張發奎口述,亞太政治  ,9789869373937,https://cdn.kingstone.com.tw/book/images/product/20178/2017820595072/2017820595072b.jpg
余英時回憶錄（平裝版）,https://www.kingstone.com.tw//basic/2017820609588?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,余英時,允晨文化  ,9789869677738,https://cdn.kingstone.com.tw/book/images/product/20178/2017820609588/2017820609588b.jpg
毛主席的父女囚犯,https://www.kingstone.com.tw//basic/2027870011996?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,齊家貞,白象      ,9789865559847,https://cdn.kingstone.com.tw/book/images/product/20278/2027870011996/2027870011996b.jpg
張良：墨道兼修的奇謀大師,https://www.kingstone.com.tw//basic/2018562533667?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳未,華夏出版  ,9789865541446,https://cdn.kingstone.com.tw/book/images/product/20185/2018562533667/2018562533667b.jpg
Be Water，My Friend 似水無形，李小龍的人生哲學：水很柔弱，卻能穿透最堅硬的物質，你感覺它平靜停滯，卻正流進任何可能的地方。,https://www.kingstone.com.tw//basic/2017820631183?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,李香凝Shannon Lee,大是      ,9789865548414,https://cdn.kingstone.com.tw/book/images/product/20178/2017820631183/2017820631183b.jpg
蔣廷黻：從史學家到聯合國席次保衛戰的外交官,https://www.kingstone.com.tw//basic/2027830166360?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,江勇振,聯經      ,9789570856804,https://cdn.kingstone.com.tw/book/images/product/20278/2027830166360/2027830166360b.jpg
照人依舊披肝膽 入世翻愁損羽毛：劉雨虹訪談錄,https://www.kingstone.com.tw//basic/2017820629722?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,岱峻,南懷瑾文化,9789860613001,https://cdn.kingstone.com.tw/book/images/product/20178/2017820629722/2017820629722b.jpg
近代史的墮落．國共卷：劉仲敬點評近現代人物,https://www.kingstone.com.tw//basic/2016270053736?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,劉仲敬,八旗文化  ,9789869356206,https://cdn.kingstone.com.tw/book/images/product/20162/2016270053736/2016270053736b.jpg
往事並不如煙（修訂版）,https://www.kingstone.com.tw//basic/2017820571120?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,章詒和,時報文化  ,9789571362090,https://cdn.kingstone.com.tw/book/images/product/20178/2017820571120/2017820571120b.jpg
戴笠與十三太保,https://www.kingstone.com.tw//basic/2017820552198?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,局外人,獨立作家  ,9789868994621,https://cdn.kingstone.com.tw/book/images/product/20178/2017820552198/2017820552198b.jpg
國家的囚徒──趙紫陽的祕密錄音,https://www.kingstone.com.tw//basic/2016280041143?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,趙紫陽,時報文化  ,9789571350523,https://cdn.kingstone.com.tw/book/images/product/20162/2016280041143/2016280041143b.jpg
胡適的頓挫：自由與威權衝撞下的政治抉擇,https://www.kingstone.com.tw//basic/2017300038365?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,黃克武,臺灣商務  ,9789570533354,https://cdn.kingstone.com.tw/book/images/product/20173/2017300038365/2017300038365b.jpg
雲起雲落,https://www.kingstone.com.tw//basic/2017820483560?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,石炳銘,時報文化  ,9789571351681,https://cdn.kingstone.com.tw/book/images/product/20178/2017820483560/2017820483560b.jpg
重尋胡適歷程,https://www.kingstone.com.tw//basic/2017820416537?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,余英時,聯經      ,9789570827088,https://cdn.kingstone.com.tw/book/images/product/20178/2017820416537/2017820416537b.jpg
吳忠信日記（1954）,https://www.kingstone.com.tw//basic/2017820633507?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳忠信,民國歷史  ,9786267036129,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633507/2017820633507b.jpg
吳忠信日記（1951）,https://www.kingstone.com.tw//basic/2017820633637?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳忠信,民國歷史  ,9786267036105,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633637/2017820633637b.jpg
吳忠信日記（1952－1953）,https://www.kingstone.com.tw//basic/2017820633767?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳忠信,民國歷史  ,9786267036112,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633767/2017820633767b.jpg
吳忠信日記（1956）,https://www.kingstone.com.tw//basic/2017820633897?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳忠信,民國歷史  ,9786267036143,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633897/2017820633897b.jpg
吳忠信日記（1955）,https://www.kingstone.com.tw//basic/2017820633927?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳忠信,民國歷史  ,9786267036136,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633927/2017820633927b.jpg
我的外公段祺瑞及世紀回顧與省思（簡體中文版）,https://www.kingstone.com.tw//basic/2017820633217?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,張乃慧,漢世紀數位,9781647841041,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633217/2017820633217b.jpg
錢穆與20世紀中國史學：從先秦子學到清代考據，一場席捲千年的學術史革命,https://www.kingstone.com.tw//basic/2017830173048?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,陳勇,崧燁文化  ,9789865167257,https://cdn.kingstone.com.tw/book/images/product/20178/2017830173048/2017830173048b.jpg
被偷走的辯護權：「長沙公益仨」政治犯家屬,https://www.kingstone.com.tw//basic/2017820633057?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳有水,渠成文化  ,9789860608458,https://cdn.kingstone.com.tw/book/images/product/20178/2017820633057/2017820633057b.jpg
重訪錢穆（下冊）,https://www.kingstone.com.tw//basic/2017830172416?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,李帆、黃兆強、區志堅(主編),秀威出版  ,9789863269069,https://cdn.kingstone.com.tw/book/images/product/20178/2017830172416/2017830172416b.jpg
名字歌：以名寫字作歌,https://www.kingstone.com.tw//basic/2019400101055?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,陳玄飛,漢世紀數位,9781647840969,https://cdn.kingstone.com.tw/book/images/product/20194/2019400101055/2019400101055b.jpg
馬敘倫自述：我在六十歲以前,https://www.kingstone.com.tw//basic/2017820632715?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,馬敘倫,新銳文創  ,9789865540470,https://cdn.kingstone.com.tw/book/images/product/20178/2017820632715/2017820632715b.jpg
重訪錢穆（上冊）,https://www.kingstone.com.tw//basic/2017830171914?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,李帆、黃兆強、區志堅(主編),秀威出版  ,9789863269052,https://cdn.kingstone.com.tw/book/images/product/20178/2017830171914/2017830171914b.jpg
1989－2021：我所經歷的中國海外民運三十年,https://www.kingstone.com.tw//basic/2017820632685?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,秦晉,新銳文創  ,9789865540456,https://cdn.kingstone.com.tw/book/images/product/20178/2017820632685/2017820632685b.jpg
萍飄美國：新移民實錄【增訂版】,https://www.kingstone.com.tw//basic/2017820632265?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,令狐萍,秀威出版  ,9789863268888,https://cdn.kingstone.com.tw/book/images/product/20178/2017820632265/2017820632265b.jpg
故國行：一個華裔美籍學者的中國情懷,https://www.kingstone.com.tw//basic/2018200355507?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,林多樑,漢世紀數位,9781647840808,https://cdn.kingstone.com.tw/book/images/product/20182/2018200355507/2018200355507b.jpg
誰稀罕...烏蔚庭的故事（中英雙語版）,https://www.kingstone.com.tw//basic/2012510001581?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,烏蔚庭,漢世紀數位,9781647840648,https://cdn.kingstone.com.tw/book/images/product/20125/2012510001581/2012510001581b.jpg
我的父親柳際明將軍,https://www.kingstone.com.tw//basic/2017800018881?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,柳茂秋,漢世紀數位,9781647840730,https://cdn.kingstone.com.tw/book/images/product/20178/2017800018881/2017800018881b.jpg
錢復回憶錄典藏版．卷一~卷三,https://www.kingstone.com.tw//basic/2017830169393?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,錢復,天下文化  ,4713510942567,https://cdn.kingstone.com.tw/book/images/product/20178/2017830169393/2017830169393b.jpg
東瀛印象：我的戰前日本留學記,https://www.kingstone.com.tw//basic/2029090128362?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,常任俠,香港中和  ,9789888694273,https://cdn.kingstone.com.tw/book/images/product/20290/2029090128362/2029090128362b.jpg
臺北知府陳星聚傳奇,https://www.kingstone.com.tw//basic/2017820630841?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,馬文,如是文化  ,9789865506575,https://cdn.kingstone.com.tw/book/images/product/20178/2017820630841/2017820630841b.jpg
走過那個時代,https://www.kingstone.com.tw//basic/2017820630551?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,王凌雲,渠成文化  ,9789869856591,https://cdn.kingstone.com.tw/book/images/product/20178/2017820630551/2017820630551b.jpg
趙元任早年自傳,https://www.kingstone.com.tw//basic/2017820629852?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,趙元任,香港中和  ,9789888694150,https://cdn.kingstone.com.tw/book/images/product/20178/2017820629852/2017820629852b.jpg
華西大業：劉航琛經營的企業（1930－1956）,https://www.kingstone.com.tw//basic/2017820630421?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,陳祥雲,翰蘆圖書  ,9789869974899,https://cdn.kingstone.com.tw/book/images/product/20178/2017820630421/2017820630421b.jpg
吳墉祥在台日記（1958）,https://www.kingstone.com.tw//basic/2017830164633?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789869975001,https://cdn.kingstone.com.tw/book/images/product/20178/2017830164633/2017830164633b.jpg
吳墉祥在台日記（1959）,https://www.kingstone.com.tw//basic/2017830164763?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789869975018,https://cdn.kingstone.com.tw/book/images/product/20178/2017830164763/2017830164763b.jpg
吳墉祥在台日記（1960）,https://www.kingstone.com.tw//basic/2017830164893?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789869975025,https://cdn.kingstone.com.tw/book/images/product/20178/2017830164893/2017830164893b.jpg
被偷走的骨灰甕－楊煉文學訪談錄,https://www.kingstone.com.tw//basic/2017820627018?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,楊煉、朱又可,南方家園  ,9789869888516,https://cdn.kingstone.com.tw/book/images/product/20178/2017820627018/2017820627018b.jpg
我的姐姐秋瑾,https://www.kingstone.com.tw//basic/2017820627698?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,秋宗章,黃山國際  ,9789863971269,https://cdn.kingstone.com.tw/book/images/product/20178/2017820627698/2017820627698b.jpg
吳墉祥在台日記（1956）,https://www.kingstone.com.tw//basic/2017830162219?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789869944830,https://cdn.kingstone.com.tw/book/images/product/20178/2017830162219/2017830162219b.jpg
吳墉祥在台日記（1957）,https://www.kingstone.com.tw//basic/2017830162349?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789869944847,https://cdn.kingstone.com.tw/book/images/product/20178/2017830162349/2017830162349b.jpg
汪政權的開場與收場（上）【經典新版】,https://www.kingstone.com.tw//basic/2016280100314?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,朱子家（金雄白）,風雲時代  ,9789863528982,https://cdn.kingstone.com.tw/book/images/product/20162/2016280100314/2016280100314b.jpg
汪政權的開場與收場（中）【經典新版】,https://www.kingstone.com.tw//basic/2016280100444?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,朱子家（金雄白）,風雲時代  ,9789863528999,https://cdn.kingstone.com.tw/book/images/product/20162/2016280100444/2016280100444b.jpg
汪政權的開場與收場（下）【經典新版】,https://www.kingstone.com.tw//basic/2016280100574?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,朱子家（金雄白）,風雲時代  ,9789863529002,https://cdn.kingstone.com.tw/book/images/product/20162/2016280100574/2016280100574b.jpg
我心歸處是敦煌：樊錦詩自述,https://www.kingstone.com.tw//basic/2015440565581?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,樊錦詩、顧春芳,香港中和  ,9789888694013,https://cdn.kingstone.com.tw/book/images/product/20154/2015440565581/2015440565581b.jpg
曾國藩家書.家訓（收錄信札手跡）,https://www.kingstone.com.tw//basic/2017820626066?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,(清)曾國藩,商周出版  ,9789864779086,https://cdn.kingstone.com.tw/book/images/product/20178/2017820626066/2017820626066b.jpg
謝南光：從台灣民眾黨到中國共產黨,https://www.kingstone.com.tw//basic/2017830160505?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,戚嘉林,戚嘉林    ,9789574379743,https://cdn.kingstone.com.tw/book/images/product/20178/2017830160505/2017830160505b.jpg
我的兄長梁啟超,https://www.kingstone.com.tw//basic/2017820625854?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,梁啟勛、吳其昌,黃山國際  ,9789863971245,https://cdn.kingstone.com.tw/book/images/product/20178/2017820625854/2017820625854b.jpg
胡適之先生年譜長編初稿（二版、全套11冊）,https://www.kingstone.com.tw//basic/2017830161007?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,胡頌平,聯經      ,9789570855944,https://cdn.kingstone.com.tw/book/images/product/20178/2017830161007/2017830161007b.jpg
辜顯榮翁傳,https://www.kingstone.com.tw//basic/2017830160765?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,宮崎健三、尾崎秀真,蒼璧出版  ,9789869890052,https://cdn.kingstone.com.tw/book/images/product/20178/2017830160765/2017830160765b.jpg
吳墉祥在台日記（1953）,https://www.kingstone.com.tw//basic/2017830159486?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥 原著,民國歷史  ,9789869928830,https://cdn.kingstone.com.tw/book/images/product/20178/2017830159486/2017830159486b.jpg
吳墉祥在台日記（1955）,https://www.kingstone.com.tw//basic/2017830159516?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789869928847,https://cdn.kingstone.com.tw/book/images/product/20178/2017830159516/2017830159516b.jpg
朱鎔基傳：朱鎔基與現代中國的轉型（第二版）,https://www.kingstone.com.tw//basic/2015740069376?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,龍安志,香港中和  ,9789888694723,https://cdn.kingstone.com.tw/book/images/product/20157/2015740069376/2015740069376b.jpg
百分之五最幸運的人：見證中美歷程戴鴻超回憶錄,https://www.kingstone.com.tw//basic/2017830158854?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,戴鴻超,時報文化  ,9789571382340,https://cdn.kingstone.com.tw/book/images/product/20178/2017830158854/2017830158854b.jpg
張至妹、李富城的浪漫年代—屬於我們的老派情懷,https://www.kingstone.com.tw//basic/2018630193359?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,李富城,誌成文化  ,9789869618793,https://cdn.kingstone.com.tw/book/images/product/20186/2018630193359/2018630193359b.jpg
一鑑江湖：何鑑江自傳,https://www.kingstone.com.tw//basic/2017820624512?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,何鑑江,新銳文創  ,9789865540074,https://cdn.kingstone.com.tw/book/images/product/20178/2017820624512/2017820624512b.jpg
從荒謬的年代到弔詭的年代,https://www.kingstone.com.tw//basic/2017830158724?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,劉錫輝,致出版    ,9789869886369,https://cdn.kingstone.com.tw/book/images/product/20178/2017830158724/2017830158724b.jpg
吳墉祥在台日記（1952）,https://www.kingstone.com.tw//basic/2017300028588?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789888637645,https://cdn.kingstone.com.tw/book/images/product/20173/2017300028588/2017300028588b.jpg
吳墉祥在台日記（1951）,https://www.kingstone.com.tw//basic/2017300028618?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,吳墉祥,民國歷史  ,9789888637638,https://cdn.kingstone.com.tw/book/images/product/20173/2017300028618/2017300028618b.jpg
賴世雄的恩師（中英對照）：張為麟的人生故事：樂活在英語 平凡中非凡,https://www.kingstone.com.tw//basic/2017830157802?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,張為麟,常春藤    ,9789865676889,https://cdn.kingstone.com.tw/book/images/product/20178/2017830157802/2017830157802b.jpg
錢復回憶錄．卷三：1988－2005台灣政經變革的關鍵現場,https://www.kingstone.com.tw//basic/2017830156690?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,錢復,天下文化  ,9789864799954,https://cdn.kingstone.com.tw/book/images/product/20178/2017830156690/2017830156690b.jpg
一個真實的宋慶齡.續編,https://www.kingstone.com.tw//basic/2017820622938?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,何大章,香港中和  ,9789888466528,https://cdn.kingstone.com.tw/book/images/product/20178/2017820622938/2017820622938b.jpg
鄧小平,https://www.kingstone.com.tw//basic/2017820623140?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,麥克．狄倫,五南      ,9789577639431,https://cdn.kingstone.com.tw/book/images/product/20178/2017820623140/2017820623140b.jpg
吳佩孚傳,https://www.kingstone.com.tw//basic/2017820621986?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,中華書局編輯部,台灣中華  ,9789578595842,https://cdn.kingstone.com.tw/book/images/product/20178/2017820621986/2017820621986b.jpg
梁啟超小傳,https://www.kingstone.com.tw//basic/2017820620484?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,鄭振鐸,香港中和  ,9789888570843,https://cdn.kingstone.com.tw/book/images/product/20178/2017820620484/2017820620484b.jpg
百年仰望（2019新版）：20位名人心目中的民國人物,https://www.kingstone.com.tw//basic/2017820620194?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,黃克武、林文月、蕭啟慶...等,天下文化  ,4713510946565,https://cdn.kingstone.com.tw/book/images/product/20178/2017820620194/2017820620194b.jpg
趙紫陽傳（上中下）精裝版：一位失敗改革家的一生,https://www.kingstone.com.tw//basic/2027820618626?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,盧躍剛,印刻      ,9789863873211,https://cdn.kingstone.com.tw/book/images/product/20278/2027820618626/2027820618626b.jpg
趙紫陽傳（上中下）：一位失敗改革家的一生,https://www.kingstone.com.tw//basic/2017820618573?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,盧躍剛,印刻      ,9789863873204,https://cdn.kingstone.com.tw/book/images/product/20178/2017820618573/2017820618573b.jpg
任重而道遠：民初巨擘胡漢民傳,https://www.kingstone.com.tw//basic/2017820617491?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,胡漢民、汪希文原著,新銳文創  ,9789578924659,https://cdn.kingstone.com.tw/book/images/product/20178/2017820617491/2017820617491b.jpg
懷元廬存稿之三：風雨聲中，初到臺灣的那段歲月,https://www.kingstone.com.tw//basic/2017830147315?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,李雲漢,新銳文創  ,9789578924642,https://cdn.kingstone.com.tw/book/images/product/20178/2017830147315/2017830147315b.jpg
重溫先聲：費孝通的政治經濟學與類型學,https://www.kingstone.com.tw//basic/2015520118256?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,黃志輝,崧燁文化  ,9789576818479,https://cdn.kingstone.com.tw/book/images/product/20155/2015520118256/2015520118256b.jpg
鐵路先驅,https://www.kingstone.com.tw//basic/2017820616579?zone=book&lid=book_class3_bdo&actid=book_class3_bdo,馮蘊珂,致出版    ,9789869789738,https://cdn.kingstone.com.tw/book/images/product/20178/2017820616579/2017820616579b.jpg
