書名,書籍網站,作者,出版社,ISBN,圖片網址
歷險福爾摩沙：回憶在滿大人、海賊與「獵頭番」間的激盪歲月,https://www.kingstone.com.tw//basic/2017330032067?zone=book&lid=book_class3_bea&actid=book_class3_bea,必麒麟,前衛      ,9789578016439,https://cdn.kingstone.com.tw/book/images/product/20173/2017330032067/2017330032067b.jpg
1895乙未桃園客家保衛戰,https://www.kingstone.com.tw//basic/2017330277697?zone=book&lid=book_class3_bea&actid=book_class3_bea,桃園市政府客家事務局,遠景      ,9789865463397,https://cdn.kingstone.com.tw/book/images/product/20173/2017330277697/2017330277697b.jpg
少年臺灣史 二○一九年增訂版,https://www.kingstone.com.tw//basic/2017330243258?zone=book&lid=book_class3_bea&actid=book_class3_bea,周婉窈,玉山社    ,9789862942420,https://cdn.kingstone.com.tw/book/images/product/20173/2017330243258/2017330243258b.jpg
地景的刺點：從歷史航照重返六十年前的臺灣,https://www.kingstone.com.tw//basic/2015920140307?zone=book&lid=book_class3_bea&actid=book_class3_bea,黃同弘,暖暖書屋  ,9789860668506,https://cdn.kingstone.com.tw/book/images/product/20159/2015920140307/2015920140307b.jpg
臺灣史上最有梗的臺灣史,https://www.kingstone.com.tw//basic/2017330164683?zone=book&lid=book_class3_bea&actid=book_class3_bea,黃震南,究竟      ,9789861372242,https://cdn.kingstone.com.tw/book/images/product/20173/2017330164683/2017330164683b.jpg
台北老街【30周年暢銷紀念新版】,https://www.kingstone.com.tw//basic/2017330281762?zone=book&lid=book_class3_bea&actid=book_class3_bea,莊永明,時報文化  ,9789571392691,https://cdn.kingstone.com.tw/book/images/product/20173/2017330281762/2017330281762b.jpg
不能只有我看到！臺灣史上的小人物大有事,https://www.kingstone.com.tw//basic/2017330278809?zone=book&lid=book_class3_bea&actid=book_class3_bea,故事StoryStudio,圓神      ,9789861337685,https://cdn.kingstone.com.tw/book/images/product/20173/2017330278809/2017330278809b.jpg
伊能嘉矩．臺灣地名辭書,https://www.kingstone.com.tw//basic/2017330272517?zone=book&lid=book_class3_bea&actid=book_class3_bea,伊能嘉矩,大家      ,9789579542982,https://cdn.kingstone.com.tw/book/images/product/20173/2017330272517/2017330272517b.jpg
手繪圖解.台灣史,https://www.kingstone.com.tw//basic/2017330274801?zone=book&lid=book_class3_bea&actid=book_class3_bea,李光欣,西北國際  ,9789869887243,https://cdn.kingstone.com.tw/book/images/product/20173/2017330274801/2017330274801b.jpg
被誤解的台灣古地圖：用100+幅世界古地圖，破解12~18世紀台灣地理懸案&歷史謎題（隨書贈17世紀古地圖復刻書衣海報＆19世紀手繪臺灣輿圖拉頁）,https://www.kingstone.com.tw//basic/2017330220938?zone=book&lid=book_class3_bea&actid=book_class3_bea,陸傳傑,野人文化  ,9789863843177,https://cdn.kingstone.com.tw/book/images/product/20173/2017330220938/2017330220938b.jpg
