書名,書籍網站,作者,出版社,ISBN,圖片網址
李登輝秘錄,https://www.kingstone.com.tw//basic/2017830172546?zone=book&lid=book_class3_bef&actid=book_class3_bef,河崎真澄,前衛      ,9789578019508,https://cdn.kingstone.com.tw/book/images/product/20178/2017830172546/2017830172546b.jpg
黑夜裡的送行者：從艋舺大哥到禮儀師   冬瓜大哥談生也談死,https://www.kingstone.com.tw//basic/2017830055627?zone=book&lid=book_class3_bef&actid=book_class3_bef,冬瓜 (郭東修),三采      ,9789862294147,https://cdn.kingstone.com.tw/book/images/product/20178/2017830055627/2017830055627b.jpg
巨流河（2020新版）,https://www.kingstone.com.tw//basic/2017830157932?zone=book&lid=book_class3_bef&actid=book_class3_bef,齊邦媛,天下文化  ,4713510947074,https://cdn.kingstone.com.tw/book/images/product/20178/2017830157932/2017830157932b.jpg
國運與天涯：我與父親胡宗南、母親葉霞翟的生命紀事,https://www.kingstone.com.tw//basic/2017830131826?zone=book&lid=book_class3_bef&actid=book_class3_bef,胡為真、汪士淳,時報文化  ,9789571373874,https://cdn.kingstone.com.tw/book/images/product/20178/2017830131826/2017830131826b.jpg
宮前町九十番地（紀念新版）,https://www.kingstone.com.tw//basic/2017820627148?zone=book&lid=book_class3_bef&actid=book_class3_bef,張超英（口述）;陳柔縉,麥田      ,9789863448211,https://cdn.kingstone.com.tw/book/images/product/20178/2017820627148/2017820627148b.jpg
年記1966：交換日常,https://www.kingstone.com.tw//basic/2017330268312?zone=book&lid=book_class3_bef&actid=book_class3_bef,嚴忠政,尖端      ,9789571091884,https://cdn.kingstone.com.tw/book/images/product/20173/2017330268312/2017330268312b.jpg
年記1967：時空咖啡廳,https://www.kingstone.com.tw//basic/2017330268442?zone=book&lid=book_class3_bef&actid=book_class3_bef,張萬康,尖端      ,9789571091891,https://cdn.kingstone.com.tw/book/images/product/20173/2017330268442/2017330268442b.jpg
年記1968：走慢的時光,https://www.kingstone.com.tw//basic/2017330268572?zone=book&lid=book_class3_bef&actid=book_class3_bef,顏艾琳,尖端      ,9789571091907,https://cdn.kingstone.com.tw/book/images/product/20173/2017330268572/2017330268572b.jpg
漫長的告別：記登輝先生，以及其他,https://www.kingstone.com.tw//basic/2017830161717?zone=book&lid=book_class3_bef&actid=book_class3_bef,李靜宜,東美      ,9789869883641,https://cdn.kingstone.com.tw/book/images/product/20178/2017830161717/2017830161717b.jpg
李登輝訪日秘聞（第二版）,https://www.kingstone.com.tw//basic/2017830161397?zone=book&lid=book_class3_bef&actid=book_class3_bef,王輝生,前衛      ,9789578019195,https://cdn.kingstone.com.tw/book/images/product/20178/2017830161397/2017830161397b.jpg
