書名,書籍網站,作者,出版社,ISBN,圖片網址
臺灣都市傳說百科,https://www.kingstone.com.tw//basic/2015400105383?zone=book&lid=book_class3_beh&actid=book_class3_beh,楊海彥、謝宜安、阮宗憲,蓋亞文化  ,9789863195856,https://cdn.kingstone.com.tw/book/images/product/20154/2015400105383/2015400105383b.jpg
台灣紀行,https://www.kingstone.com.tw//basic/2018611964350?zone=book&lid=book_class3_beh&actid=book_class3_beh,司馬遼太郎,大田      ,9789861796451,https://cdn.kingstone.com.tw/book/images/product/20186/2018611964350/2018611964350b.jpg
菜市．台南,https://www.kingstone.com.tw//basic/2017330279141?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳薔安、林致維,遠流      ,9789573291404,https://cdn.kingstone.com.tw/book/images/product/20173/2017330279141/2017330279141b.jpg
驚濤戰府城：海賊王蔡牽在臺南,https://www.kingstone.com.tw//basic/2017820631633?zone=book&lid=book_class3_beh&actid=book_class3_beh,吳建昇,蔚藍文化  ,9789865504311,https://cdn.kingstone.com.tw/book/images/product/20178/2017820631633/2017820631633b.jpg
尋覓臺灣老眷村,https://www.kingstone.com.tw//basic/2015450034701?zone=book&lid=book_class3_beh&actid=book_class3_beh,繆正西,釀出版    ,9789864454266,https://cdn.kingstone.com.tw/book/images/product/20154/2015450034701/2015450034701b.jpg
臺灣石獅圖錄,https://www.kingstone.com.tw//basic/2017940016853?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳磅礡,貓頭鷹    ,9789862621639,https://cdn.kingstone.com.tw/book/images/product/20179/2017940016853/2017940016853b.jpg
茶桌異聞：從送肉粽到紅眠床34則鹿港怪談紀實,https://www.kingstone.com.tw//basic/2017330280550?zone=book&lid=book_class3_beh&actid=book_class3_beh,殺豬的牛二,台灣東販  ,9786263047426,https://cdn.kingstone.com.tw/book/images/product/20173/2017330280550/2017330280550b.jpg
特搜！臺灣都市傳說,https://www.kingstone.com.tw//basic/2015400101255?zone=book&lid=book_class3_beh&actid=book_class3_beh,謝宜安,蓋亞文化  ,9789863194705,https://cdn.kingstone.com.tw/book/images/product/20154/2015400101255/2015400101255b.jpg
溪說臺南：曾文溪的地景與人文,https://www.kingstone.com.tw//basic/2017330277017?zone=book&lid=book_class3_beh&actid=book_class3_beh,楊宏裕；林世堅(攝影),蔚藍文化  ,9789865504298,https://cdn.kingstone.com.tw/book/images/product/20173/2017330277017/2017330277017b.jpg
從釘子到鐵剪刀：臺南壁鎖300年的華麗轉身,https://www.kingstone.com.tw//basic/2019230035599?zone=book&lid=book_class3_beh&actid=book_class3_beh,李志祥、許淑娟,蔚藍文化  ,9789865504304,https://cdn.kingstone.com.tw/book/images/product/20192/2019230035599/2019230035599b.jpg
酒樓物語：臺南醉仙閣的前世今生,https://www.kingstone.com.tw//basic/2017330276515?zone=book&lid=book_class3_beh&actid=book_class3_beh,黃李森,前衛      ,9789869712279,https://cdn.kingstone.com.tw/book/images/product/20173/2017330276515/2017330276515b.jpg
行走的台南史：府城的過往與記憶,https://www.kingstone.com.tw//basic/2017330254537?zone=book&lid=book_class3_beh&actid=book_class3_beh,蘇峯楠,玉山社    ,9789862942543,https://cdn.kingstone.com.tw/book/images/product/20173/2017330254537/2017330254537b.jpg
妖怪臺灣：三百年山海述異記.怪譚奇夢卷,https://www.kingstone.com.tw//basic/2012980013114?zone=book&lid=book_class3_beh&actid=book_class3_beh,何敬堯,聯經      ,9789570854404,https://cdn.kingstone.com.tw/book/images/product/20129/2012980013114/2012980013114b.jpg
妖怪臺灣地圖：環島搜妖探奇錄,https://www.kingstone.com.tw//basic/2012980011950?zone=book&lid=book_class3_beh&actid=book_class3_beh,何敬堯,聯經      ,9789570853124,https://cdn.kingstone.com.tw/book/images/product/20129/2012980011950/2012980011950b.jpg
圖解台灣民俗【新版】,https://www.kingstone.com.tw//basic/2015380119578?zone=book&lid=book_class3_beh&actid=book_class3_beh,李文環、林怡君,好讀      ,9789861784854,https://cdn.kingstone.com.tw/book/images/product/20153/2015380119578/2015380119578b.jpg
台灣地名事典【精裝典藏版】,https://www.kingstone.com.tw//basic/2027330224539?zone=book&lid=book_class3_beh&actid=book_class3_beh,蔡培慧,遠足文化  ,9789578630918,https://cdn.kingstone.com.tw/book/images/product/20273/2027330224539/2027330224539b.jpg
妖怪臺灣：三百年島嶼奇幻誌‧妖鬼神遊卷,https://www.kingstone.com.tw//basic/2012980009049?zone=book&lid=book_class3_beh&actid=book_class3_beh,何敬堯,聯經      ,9789570848533,https://cdn.kingstone.com.tw/book/images/product/20129/2012980009049/2012980009049b.jpg
轉風：和蘭嶼交換時間,https://www.kingstone.com.tw//basic/2019580018723?zone=book&lid=book_class3_beh&actid=book_class3_beh,王文彥,木馬文化  ,9789863592402,https://cdn.kingstone.com.tw/book/images/product/20195/2019580018723/2019580018723b.jpg
話說淡水【中日對照】,https://www.kingstone.com.tw//basic/2017330135454?zone=book&lid=book_class3_beh&actid=book_class3_beh,吳錫德,淡江大學  ,9789865982768,https://cdn.kingstone.com.tw/book/images/product/20173/2017330135454/2017330135454b.jpg
日本皇族的台灣行旅：蓬萊仙島菊花香,https://www.kingstone.com.tw//basic/2017330114428?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳煒翰,玉山社    ,9789862940785,https://cdn.kingstone.com.tw/book/images/product/20173/2017330114428/2017330114428b.jpg
臺灣民俗的人類學視野,https://www.kingstone.com.tw//basic/2015380101535?zone=book&lid=book_class3_beh&actid=book_class3_beh,林美容,翰蘆圖書  ,9789865860486,https://cdn.kingstone.com.tw/book/images/product/20153/2015380101535/2015380101535b.jpg
兩個太陽的臺灣：臺灣文化、政治與社會運動的狂飆年代,https://www.kingstone.com.tw//basic/2017330282554?zone=book&lid=book_class3_beh&actid=book_class3_beh,黃煌雄,時報文化  ,9789571392417,https://cdn.kingstone.com.tw/book/images/product/20173/2017330282554/2017330282554b.jpg
稻浪嘉南平原︰拙耕園瑣記系列之肆,https://www.kingstone.com.tw//basic/2018630307466?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳添壽,方集出版社,9789864713110,https://cdn.kingstone.com.tw/book/images/product/20186/2018630307466/2018630307466b.jpg
高雄第一盛場鹽埕風,https://www.kingstone.com.tw//basic/2017330280390?zone=book&lid=book_class3_beh&actid=book_class3_beh,李文環,高雄文化局,9789865507664,https://cdn.kingstone.com.tw/book/images/product/20173/2017330280390/2017330280390b.jpg
流轉的時光：臺南府城文化風華,https://www.kingstone.com.tw//basic/2017330278519?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳添壽,方集出版社,9789864713011,https://cdn.kingstone.com.tw/book/images/product/20173/2017330278519/2017330278519b.jpg
鹽鄉與他們的世紀：鹽分地帶歷史名人誌,https://www.kingstone.com.tw//basic/2017830170122?zone=book&lid=book_class3_beh&actid=book_class3_beh,謝玲玉,蔚藍文化  ,9789865504281,https://cdn.kingstone.com.tw/book/images/product/20178/2017830170122/2017830170122b.jpg
送王迎福：臺南王船十三艙添載物件研究,https://www.kingstone.com.tw//basic/2012720034324?zone=book&lid=book_class3_beh&actid=book_class3_beh,吳碧惠,蔚藍文化  ,9789865504267,https://cdn.kingstone.com.tw/book/images/product/20127/2012720034324/2012720034324b.jpg
圖解台灣喪禮小百科（新版）,https://www.kingstone.com.tw//basic/2015380130924?zone=book&lid=book_class3_beh&actid=book_class3_beh,李秀娥,晨星      ,9789865582036,https://cdn.kingstone.com.tw/book/images/product/20153/2015380130924/2015380130924b.jpg
同臺共舞：大雅老仙ㄟ的臺灣生活手札,https://www.kingstone.com.tw//basic/2017830165975?zone=book&lid=book_class3_beh&actid=book_class3_beh,林瑤棋,大康出版社,9789866353406,https://cdn.kingstone.com.tw/book/images/product/20178/2017830165975/2017830165975b.jpg
捌零．潮臺北,https://www.kingstone.com.tw//basic/2017330270193?zone=book&lid=book_class3_beh&actid=book_class3_beh,倪重華（總策劃）,大塊      ,9789865549312,https://cdn.kingstone.com.tw/book/images/product/20173/2017330270193/2017330270193b.jpg
在基隆：城、海、山與未來,https://www.kingstone.com.tw//basic/2017330270483?zone=book&lid=book_class3_beh&actid=book_class3_beh,VERSE編輯部,青鳥文化  ,9789865417192,https://cdn.kingstone.com.tw/book/images/product/20173/2017330270483/2017330270483b.jpg
延綿的餐桌：府城米食文化,https://www.kingstone.com.tw//basic/2015380129775?zone=book&lid=book_class3_beh&actid=book_class3_beh,邱睦容、鄭安佑,蔚藍文化  ,9789865504090,https://cdn.kingstone.com.tw/book/images/product/20153/2015380129775/2015380129775b.jpg
臺南獨家記憶：府城米糕栫（餞）研究,https://www.kingstone.com.tw//basic/2015380129805?zone=book&lid=book_class3_beh&actid=book_class3_beh,張耘書,蔚藍文化  ,9789865504113,https://cdn.kingstone.com.tw/book/images/product/20153/2015380129805/2015380129805b.jpg
米鄉地圖：南瀛米食文化,https://www.kingstone.com.tw//basic/2015380129935?zone=book&lid=book_class3_beh&actid=book_class3_beh,謝玲玉,蔚藍文化  ,9789865504120,https://cdn.kingstone.com.tw/book/images/product/20153/2015380129935/2015380129935b.jpg
流轉的街道：府城米糧研究,https://www.kingstone.com.tw//basic/2014810015428?zone=book&lid=book_class3_beh&actid=book_class3_beh,邱睦容、鄭安佑,蔚藍文化  ,9789865504106,https://cdn.kingstone.com.tw/book/images/product/20148/2014810015428/2014810015428b.jpg
徐逸鴻圖說台北城系列典藏版套書（艋舺龍山寺+日治台北城+清代台北城）,https://www.kingstone.com.tw//basic/2017330267100?zone=book&lid=book_class3_beh&actid=book_class3_beh,徐逸鴻,貓頭鷹    ,4717702110345,https://cdn.kingstone.com.tw/book/images/product/20173/2017330267100/2017330267100b.jpg
圖解台灣傳統生命禮儀（2020新版）,https://www.kingstone.com.tw//basic/2015300012019?zone=book&lid=book_class3_beh&actid=book_class3_beh,李秀娥,晨星      ,9789865529420,https://cdn.kingstone.com.tw/book/images/product/20153/2015300012019/2015300012019b.jpg
老屋顏與鐵窗花：被遺忘的「台灣元素」——承載台灣傳統文化、世代歷史、民居生活的人情風景【首刷限量‧2021年美好時代鐵窗花桌曆】,https://www.kingstone.com.tw//basic/2019280011697?zone=book&lid=book_class3_beh&actid=book_class3_beh,老屋顏（辛永勝、楊朝景）,馬可孛羅  ,4717702108120,https://cdn.kingstone.com.tw/book/images/product/20192/2019280011697/2019280011697b.jpg
老屋顏與鐵窗花：被遺忘的「台灣元素」——承載台灣傳統文化、世代歷史、民居生活的人情風景,https://www.kingstone.com.tw//basic/2019280011727?zone=book&lid=book_class3_beh&actid=book_class3_beh,老屋顏（辛永勝、楊朝景）,馬可孛羅  ,9789865509446,https://cdn.kingstone.com.tw/book/images/product/20192/2019280011727/2019280011727b.jpg
當代臺灣本土大眾文化 （第二冊）：鄉情深知與影劇創新精選集,https://www.kingstone.com.tw//basic/2017330263492?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳正茂、張憲堂,元華文創  ,9789577111876,https://cdn.kingstone.com.tw/book/images/product/20173/2017330263492/2017330263492b.jpg
當代臺灣本土大眾文化（第一冊）：雙源匯流與互動開展精選集,https://www.kingstone.com.tw//basic/2017330262020?zone=book&lid=book_class3_beh&actid=book_class3_beh,江燦騰 林慶文,元華文創  ,9789577110909,https://cdn.kingstone.com.tw/book/images/product/20173/2017330262020/2017330262020b.jpg
繪夢烏石：山海、平原與族群的交會之境，頭圍歷史寫生,https://www.kingstone.com.tw//basic/2017330254957?zone=book&lid=book_class3_beh&actid=book_class3_beh,馬丁,聯經      ,9789570854725,https://cdn.kingstone.com.tw/book/images/product/20173/2017330254957/2017330254957b.jpg
臺南府城文化記述,https://www.kingstone.com.tw//basic/2017330251741?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳添壽,方集出版社,9789864712656,https://cdn.kingstone.com.tw/book/images/product/20173/2017330251741/2017330251741b.jpg
圖說艋舺龍山寺（禪風傳世典藏版）,https://www.kingstone.com.tw//basic/2017330249960?zone=book&lid=book_class3_beh&actid=book_class3_beh,徐逸鴻,貓頭鷹    ,9789862624074,https://cdn.kingstone.com.tw/book/images/product/20173/2017330249960/2017330249960b.jpg
二十四節氣的生活智慧,https://www.kingstone.com.tw//basic/2013270055715?zone=book&lid=book_class3_beh&actid=book_class3_beh,邱丙軍主編,大旗      ,9789869782197,https://cdn.kingstone.com.tw/book/images/product/20132/2013270055715/2013270055715b.jpg
見證狂飆的年代：《大學雜誌》20年內容全紀錄提要（1968－1987）,https://www.kingstone.com.tw//basic/2014870021025?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳達弘編,華品文創  ,9789869663366,https://cdn.kingstone.com.tw/book/images/product/20148/2014870021025/2014870021025b.jpg
妖怪臺灣桌遊,https://www.kingstone.com.tw//basic/2019970385077?zone=book&lid=book_class3_beh&actid=book_class3_beh,聯經出版,聯經      ,4711132388008,https://cdn.kingstone.com.tw/book/images/product/20199/2019970385077/2019970385077b.jpg
小島捕魚：台灣水邊的日常風景（中日雙語）,https://www.kingstone.com.tw//basic/2017330243418?zone=book&lid=book_class3_beh&actid=book_class3_beh,行人文化實驗室,行人文化  ,9789869782340,https://cdn.kingstone.com.tw/book/images/product/20173/2017330243418/2017330243418b.jpg
菸語憶像（雙封面隨機出貨）,https://www.kingstone.com.tw//basic/2014820001541?zone=book&lid=book_class3_beh&actid=book_class3_beh,陳柏政、張凱清、蔡依璇,張凱清    ,9789574367962,https://cdn.kingstone.com.tw/book/images/product/20148/2014820001541/2014820001541b.jpg
聽見金門（軟精裝）,https://www.kingstone.com.tw//basic/2026730157966?zone=book&lid=book_class3_beh&actid=book_class3_beh,王先正,大元書局  ,9789574368068,https://cdn.kingstone.com.tw/book/images/product/20267/2026730157966/2026730157966b.jpg
圖解台灣民間吉祥圖鑑,https://www.kingstone.com.tw//basic/2019610052017?zone=book&lid=book_class3_beh&actid=book_class3_beh,郭喜斌,晨星      ,9789864439119,https://cdn.kingstone.com.tw/book/images/product/20196/2019610052017/2019610052017b.jpg
雨的布魯斯：咱的基隆好生活，臺灣頭巷內底的故事,https://www.kingstone.com.tw//basic/2017330241384?zone=book&lid=book_class3_beh&actid=book_class3_beh,魚夫,遠景      ,9789860595383,https://cdn.kingstone.com.tw/book/images/product/20173/2017330241384/2017330241384b.jpg
圖解台灣文化 更新版,https://www.kingstone.com.tw//basic/2017330238711?zone=book&lid=book_class3_beh&actid=book_class3_beh,瞿海良、洪麗雯、戴振豐等,易博士    ,9789864800810,https://cdn.kingstone.com.tw/book/images/product/20173/2017330238711/2017330238711b.jpg
圓桌爐議：雲林六房媽過爐文獻資料暨口述歷史彙編,https://www.kingstone.com.tw//basic/2012720031538?zone=book&lid=book_class3_beh&actid=book_class3_beh,徐雨村主編,前衛      ,9789869712200,https://cdn.kingstone.com.tw/book/images/product/20127/2012720031538/2012720031538b.jpg
多音交響美麗島：臺灣民俗文化的入門書,https://www.kingstone.com.tw//basic/2017330234973?zone=book&lid=book_class3_beh&actid=book_class3_beh,林明德,五南      ,9789577632142,https://cdn.kingstone.com.tw/book/images/product/20173/2017330234973/2017330234973b.jpg
台灣臻百味（全彩）,https://www.kingstone.com.tw//basic/2017330233341?zone=book&lid=book_class3_beh&actid=book_class3_beh,中華自媒體暨部落客協會,渠成文化  ,9789869692786,https://cdn.kingstone.com.tw/book/images/product/20173/2017330233341/2017330233341b.jpg
臺灣妖怪學就醬,https://www.kingstone.com.tw//basic/2012980011820?zone=book&lid=book_class3_beh&actid=book_class3_beh,臺北地方異聞工作室,奇異果文創,9789869705585,https://cdn.kingstone.com.tw/book/images/product/20129/2012980011820/2012980011820b.jpg
高雄驛：紙藝立體模型+布旗+專冊,https://www.kingstone.com.tw//basic/2014200063107?zone=book&lid=book_class3_beh&actid=book_class3_beh,氫酸鉀、凌宗魁,前衛      ,9789578018648,https://cdn.kingstone.com.tw/book/images/product/20142/2014200063107/2014200063107b.jpg
圖解台灣十二生肖誌,https://www.kingstone.com.tw//basic/2015390165893?zone=book&lid=book_class3_beh&actid=book_class3_beh,田哲益,晨星      ,9789864438273,https://cdn.kingstone.com.tw/book/images/product/20153/2015390165893/2015390165893b.jpg
臺灣文化老車站巡遊,https://www.kingstone.com.tw//basic/2017330227982?zone=book&lid=book_class3_beh&actid=book_class3_beh,林榮梓,領行文化  ,9789867193407,https://cdn.kingstone.com.tw/book/images/product/20173/2017330227982/2017330227982b.jpg
