書名,書籍網站,作者,出版社,ISBN,圖片網址
螞蟻螞蟻：螞蟻大師威爾森與霍德伯勒的科學探索之旅（特別收錄螞蟻專家林宗岐教授編寫的〈台灣家屋螞,https://www.kingstone.com.tw//basic/2013870050059?zone=book&lid=book_class3_eac&actid=book_class3_eac,威爾森、霍德伯勒,貓頭鷹    ,9789862623961,https://cdn.kingstone.com.tw/book/images/product/20138/2013870050059/2013870050059b.jpg
燒杯君和他的偉大前輩：令人崇拜是有道理的！愉快的實驗器材博物館,https://www.kingstone.com.tw//basic/2013470004476?zone=book&lid=book_class3_eac&actid=book_class3_eac,上谷夫婦,遠流      ,9789573288985,https://cdn.kingstone.com.tw/book/images/product/20134/2013470004476/2013470004476b.jpg
比教科書有趣的14個科學實驗Ⅱ：滿足好奇心！開拓新視界！,https://www.kingstone.com.tw//basic/2013030015737?zone=book&lid=book_class3_eac&actid=book_class3_eac,早稻田大學本庄高等學院,台灣東販  ,9789865110970,https://cdn.kingstone.com.tw/book/images/product/20130/2013030015737/2013030015737b.jpg
比教科書有趣的14個科學實驗Ｉ：滿足好奇心！開拓新視界！,https://www.kingstone.com.tw//basic/2013000139906?zone=book&lid=book_class3_eac&actid=book_class3_eac,早稻田大學本庄高等學院 等,台灣東販  ,9789865110499,https://cdn.kingstone.com.tw/book/images/product/20130/2013000139906/2013000139906b.jpg
火曜日：自然常識知多少！,https://www.kingstone.com.tw//basic/2013070064832?zone=book&lid=book_class3_eac&actid=book_class3_eac,李晏誠編著,培育文化  ,9789869697613,https://cdn.kingstone.com.tw/book/images/product/20130/2013070064832/2013070064832b.jpg
重力的幽靈：關於實驗室、觀測，以及統計數據在21世紀的科學探險,https://www.kingstone.com.tw//basic/2013300049264?zone=book&lid=book_class3_eac&actid=book_class3_eac,哈利．柯林斯,左岸文化  ,9789865727796,https://cdn.kingstone.com.tw/book/images/product/20133/2013300049264/2013300049264b.jpg
自然科學例解（下）,https://www.kingstone.com.tw//basic/2013070018255?zone=book&lid=book_class3_eac&actid=book_class3_eac,畢毓俊,五南      ,9789571124728,https://cdn.kingstone.com.tw/book/images/product/20130/2013070018255/2013070018255b.jpg
自然科學例解（上）,https://www.kingstone.com.tw//basic/2013070013205?zone=book&lid=book_class3_eac&actid=book_class3_eac,畢毓俊,五南      ,9789571122144,https://cdn.kingstone.com.tw/book/images/product/20130/2013070013205/2013070013205b.jpg
認識科展的第一本書：科展完全攻略 3版],https://www.kingstone.com.tw//basic/2013000097923?zone=book&lid=book_class3_eac&actid=book_class3_eac,梅期光,書泉      ,9789861219769,https://cdn.kingstone.com.tw/book/images/product/20130/2013000097923/2013000097923b.jpg
從輪子到諾貝爾：學校沒教的創新發明,https://www.kingstone.com.tw//basic/2014400132443?zone=book&lid=book_class3_eac&actid=book_class3_eac,劉炯朗,時報文化  ,9789571361086,https://cdn.kingstone.com.tw/book/images/product/20144/2014400132443/2014400132443b.jpg
