書名,書籍網站,作者,出版社,ISBN,圖片網址
別鬧了，費曼先生：科學頑童的故事,https://www.kingstone.com.tw//basic/2017850125393?zone=book&lid=book_class3_eae&actid=book_class3_eae,理查．費曼,天下文化  ,9789864794775,https://cdn.kingstone.com.tw/book/images/product/20178/2017850125393/2017850125393b.jpg
你管別人怎麼想,https://www.kingstone.com.tw//basic/2017850125423?zone=book&lid=book_class3_eae&actid=book_class3_eae,理查．費曼,天下文化  ,9789864794836,https://cdn.kingstone.com.tw/book/images/product/20178/2017850125423/2017850125423b.jpg
外星人選中的科學家1：外星秘密工作計畫,https://www.kingstone.com.tw//basic/2017850137624?zone=book&lid=book_class3_eae&actid=book_class3_eae,威廉．米爾斯．湯普金斯,大喜文化  ,9789869910972,https://cdn.kingstone.com.tw/book/images/product/20178/2017850137624/2017850137624b.jpg
來自未來的超時代神人「尼古拉.特斯拉」－足以讓十九世紀進步到2350年的慈悲科學家,https://www.kingstone.com.tw//basic/2017850132834?zone=book&lid=book_class3_eae&actid=book_class3_eae,珊朵拉,大千出版社,9789574473434,https://cdn.kingstone.com.tw/book/images/product/20178/2017850132834/2017850132834b.jpg
被消失的科學神人‧特斯拉親筆自傳,https://www.kingstone.com.tw//basic/2017850127557?zone=book&lid=book_class3_eae&actid=book_class3_eae,尼古拉．特斯拉,柿子文化  ,9789869700603,https://cdn.kingstone.com.tw/book/images/product/20178/2017850127557/2017850127557b.jpg
登月先鋒：尼爾．阿姆斯壯的一生,https://www.kingstone.com.tw//basic/2018741053450?zone=book&lid=book_class3_eae&actid=book_class3_eae,詹姆斯．韓森,啟明      ,9789869877473,https://cdn.kingstone.com.tw/book/images/product/20187/2018741053450/2018741053450b.jpg
霍金傳：與時空對話,https://www.kingstone.com.tw//basic/2017840126737?zone=book&lid=book_class3_eae&actid=book_class3_eae,楊建鄴,海鴿      ,9789863923671,https://cdn.kingstone.com.tw/book/images/product/20178/2017840126737/2017840126737b.jpg
我和高溫超導：大洋兩岸人生路（簡體中文版）,https://www.kingstone.com.tw//basic/2017800018911?zone=book&lid=book_class3_eae&actid=book_class3_eae,蒙如玲,漢世紀數位,9781647840785,https://cdn.kingstone.com.tw/book/images/product/20178/2017800018911/2017800018911b.jpg
遠古的呼喚：物種起源的終極探尋，挑戰神權的達爾文革命,https://www.kingstone.com.tw//basic/2017810053957?zone=book&lid=book_class3_eae&actid=book_class3_eae,潘于真，王志豔,崧燁文化  ,9789865165093,https://cdn.kingstone.com.tw/book/images/product/20178/2017810053957/2017810053957b.jpg
楊振寧傳（增訂版）：規範與對稱之美,https://www.kingstone.com.tw//basic/2017820626936?zone=book&lid=book_class3_eae&actid=book_class3_eae,江才健,天下文化  ,9789865535674,https://cdn.kingstone.com.tw/book/images/product/20178/2017820626936/2017820626936b.jpg
時空行者史蒂芬．霍金：從漸凍人到當代最偉大物理學家，他的工作、生活、愛情、友情，與思考演進的側寫,https://www.kingstone.com.tw//basic/2017810053377?zone=book&lid=book_class3_eae&actid=book_class3_eae,雷納．曼羅迪諾,大塊      ,9789865549138,https://cdn.kingstone.com.tw/book/images/product/20178/2017810053377/2017810053377b.jpg
大自然的獵人（2020新版）：博物學家威爾森,https://www.kingstone.com.tw//basic/2017850132384?zone=book&lid=book_class3_eae&actid=book_class3_eae,威爾森,天下文化  ,4713510947203,https://cdn.kingstone.com.tw/book/images/product/20178/2017850132384/2017850132384b.jpg
張衡,https://www.kingstone.com.tw//basic/2017820623690?zone=book&lid=book_class3_eae&actid=book_class3_eae,張蔭麟,香港中和  ,9789888694280,https://cdn.kingstone.com.tw/book/images/product/20178/2017820623690/2017820623690b.jpg
顯微鏡後的隱藏者：改變世界的女性科學家,https://www.kingstone.com.tw//basic/2013090025462?zone=book&lid=book_class3_eae&actid=book_class3_eae,劉仲康、鍾金湯,臺灣商務  ,9789570532708,https://cdn.kingstone.com.tw/book/images/product/20130/2013090025462/2013090025462b.jpg
笛卡兒的祕密手記,https://www.kingstone.com.tw//basic/2013100110188?zone=book&lid=book_class3_eae&actid=book_class3_eae,阿米爾．艾克塞爾,商周出版  ,9789864777099,https://cdn.kingstone.com.tw/book/images/product/20131/2013100110188/2013100110188b.jpg
站在巨人肩上：物理學與天文學的偉大著作集（復刻彩圖版）,https://www.kingstone.com.tw//basic/2013200015901?zone=book&lid=book_class3_eae&actid=book_class3_eae,哥白尼、伽利略、克卜勒、牛頓,大塊      ,9789862139660,https://cdn.kingstone.com.tw/book/images/product/20132/2013200015901/2013200015901b.jpg
愛因斯坦的宇宙：想跟光賽跑、從椅子摔落……世紀天才這樣想出相對論及量子力學,https://www.kingstone.com.tw//basic/2017850127007?zone=book&lid=book_class3_eae&actid=book_class3_eae,加來道雄,時報文化  ,9789571376035,https://cdn.kingstone.com.tw/book/images/product/20178/2017850127007/2017850127007b.jpg
特斯拉：點亮現代世界的傳奇,https://www.kingstone.com.tw//basic/2017850126475?zone=book&lid=book_class3_eae&actid=book_class3_eae,約翰．瓦希克,行路出版  ,9789869634830,https://cdn.kingstone.com.tw/book/images/product/20178/2017850126475/2017850126475b.jpg
中學生一定要知道的25位科學家,https://www.kingstone.com.tw//basic/2013090015265?zone=book&lid=book_class3_eae&actid=book_class3_eae,鴻漸i悅讀編輯團隊,鴻漸文化  ,9789869627375,https://cdn.kingstone.com.tw/book/images/product/20130/2013090015265/2013090015265b.jpg
阿爾伯特．愛因斯坦：永遠的瞬間幻覺,https://www.kingstone.com.tw//basic/2014000035632?zone=book&lid=book_class3_eae&actid=book_class3_eae,澤夫．羅森克蘭茨、羅尼．格羅茨,蔚龍藝術  ,9789869597609,https://cdn.kingstone.com.tw/book/images/product/20140/2014000035632/2014000035632b.jpg
科學頑童費曼語錄：你管別人怎麼想？最愛鬧事物理學家費曼的二十六堂人生智慧課,https://www.kingstone.com.tw//basic/2017850123979?zone=book&lid=book_class3_eae&actid=book_class3_eae,理查．費曼、米雪．費曼,時報文化  ,9789571373232,https://cdn.kingstone.com.tw/book/images/product/20178/2017850123979/2017850123979b.jpg
那些曠世天才的呢喃,https://www.kingstone.com.tw//basic/2013090014053?zone=book&lid=book_class3_eae&actid=book_class3_eae,一奈米的宇宙,方寸文創  ,9789869536721,https://cdn.kingstone.com.tw/book/images/product/20130/2013090014053/2013090014053b.jpg
光之帝國：愛迪生、特斯拉、西屋的電流大戰,https://www.kingstone.com.tw//basic/2014090003849?zone=book&lid=book_class3_eae&actid=book_class3_eae,吉兒．瓊斯,商周出版  ,9789864773411,https://cdn.kingstone.com.tw/book/images/product/20140/2014090003849/2014090003849b.jpg
時空旅行的夢想家：史蒂芬．霍金【2017年全新增訂版】,https://www.kingstone.com.tw//basic/2017840119586?zone=book&lid=book_class3_eae&actid=book_class3_eae,吉蒂．弗格森,時報文化  ,9789571372358,https://cdn.kingstone.com.tw/book/images/product/20178/2017840119586/2017840119586b.jpg
愛因斯坦怎麼思考：天才的腦袋想什麼？揭開瘋狂科學家壺裡的秘密！,https://www.kingstone.com.tw//basic/2011760299915?zone=book&lid=book_class3_eae&actid=book_class3_eae,丹尼爾．史密斯,晨星      ,9789864433377,https://cdn.kingstone.com.tw/book/images/product/20117/2011760299915/2011760299915b.jpg
愛因斯坦最大的錯誤：世紀天才的人性弱點,https://www.kingstone.com.tw//basic/2017850121685?zone=book&lid=book_class3_eae&actid=book_class3_eae,波戴尼,天下文化  ,9789864792719,https://cdn.kingstone.com.tw/book/images/product/20178/2017850121685/2017850121685b.jpg
十月的天空：一位NASA科學家的逐夢少年歲月（全新修訂版）,https://www.kingstone.com.tw//basic/2017850120923?zone=book&lid=book_class3_eae&actid=book_class3_eae,希坎姆,天下文化  ,9789864792269,https://cdn.kingstone.com.tw/book/images/product/20178/2017850120923/2017850120923b.jpg
