書名,書籍網站,作者,出版社,ISBN,圖片網址
少年Galileo觀念數學套書1：對數/三角函數/虛數/微分與積分（共4冊）,https://www.kingstone.com.tw//basic/2013100118054?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,日本Newton Press,人人      ,4710761668680,https://cdn.kingstone.com.tw/book/images/product/20131/2013100118054/2013100118054b.jpg
專門用來打好幾何基礎的數學課本3,https://www.kingstone.com.tw//basic/2015240242040?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,財團法人博幼社會福利基金會,五南      ,9789577634894,https://cdn.kingstone.com.tw/book/images/product/20152/2015240242040/2015240242040b.jpg
專門用來打好幾何基礎的數學課本4,https://www.kingstone.com.tw//basic/2015240242170?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,財團法人博幼社會福利基金會,五南      ,9789577634900,https://cdn.kingstone.com.tw/book/images/product/20152/2015240242170/2015240242170b.jpg
國中幾何證明大全（新版）,https://www.kingstone.com.tw//basic/2015240241128?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,簡廷豐,白象      ,9789863588344,https://cdn.kingstone.com.tw/book/images/product/20152/2015240241128/2015240241128b.jpg
黃金比例：1.61803...的祕密（經典再現版）,https://www.kingstone.com.tw//basic/2013160010015?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,李維歐,遠流      ,9789573285557,https://cdn.kingstone.com.tw/book/images/product/20131/2013160010015/2013160010015b.jpg
數學也可以這樣學2：跟大自然學幾何,https://www.kingstone.com.tw//basic/2013160009996?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,約翰．布雷克伍德,商周出版  ,9789864774944,https://cdn.kingstone.com.tw/book/images/product/20131/2013160009996/2013160009996b.jpg
數學解題Know How（幾何）,https://www.kingstone.com.tw//basic/2013100107775?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,孫唯洺,鴻漸文化  ,9789869627399,https://cdn.kingstone.com.tw/book/images/product/20131/2013100107775/2013100107775b.jpg
趣味幾何學：別萊利曼趣味科學系列,https://www.kingstone.com.tw//basic/2013160009866?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,雅科夫．伊西達洛維,五南      ,9789571194905,https://cdn.kingstone.com.tw/book/images/product/20131/2013160009866/2013160009866b.jpg
數學摺紙計畫：30個課程活動探索,https://www.kingstone.com.tw//basic/2013100107225?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,湯瑪斯．赫爾,世茂      ,9789578799219,https://cdn.kingstone.com.tw/book/images/product/20131/2013100107225/2013100107225b.jpg
專門用來打好幾何基礎的數學課本2（2版）,https://www.kingstone.com.tw//basic/2015240220802?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,財團法人博幼社會福利基金會,五南      ,9789571195667,https://cdn.kingstone.com.tw/book/images/product/20152/2015240220802/2015240220802b.jpg
圖解向量與解析幾何,https://www.kingstone.com.tw//basic/2013130024776?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,吳作樂、吳秉翰,五南      ,9789571194189,https://cdn.kingstone.com.tw/book/images/product/20131/2013130024776/2013130024776b.jpg
宇宙的數學圖形：啟發靈感、訓練邏輯，用色彩填滿抽象幾何的遊戲,https://www.kingstone.com.tw//basic/2019478173398?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,艾利克斯．貝洛斯,時報文化  ,9789571366487,https://cdn.kingstone.com.tw/book/images/product/20194/2019478173398/2019478173398b.jpg
摺紙玩數學 （日本摺紙大師的幾何學教育）,https://www.kingstone.com.tw//basic/2013100097847?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,芳賀和夫,世茂      ,9789869283700,https://cdn.kingstone.com.tw/book/images/product/20131/2013100097847/2013100097847b.jpg
30秒搞懂數學：函數.幾何.微積分沒你想的那麼難,https://www.kingstone.com.tw//basic/2014250348346?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,理查‧布朗,旗林文化  ,9789865893712,https://cdn.kingstone.com.tw/book/images/product/20142/2014250348346/2014250348346b.jpg
3小時讀通幾何,https://www.kingstone.com.tw//basic/2013160009286?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,岡部恒治,世茂      ,9789866097928,https://cdn.kingstone.com.tw/book/images/product/20131/2013160009286/2013160009286b.jpg
深入淺出平面幾何,https://www.kingstone.com.tw//basic/2014713304902?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,Lindsey Fallow- Dawn Griffiths,歐萊禮    ,9789862763421,https://cdn.kingstone.com.tw/book/images/product/20147/2014713304902/2014713304902b.jpg
沒有王者之路：幾何原本（經典3.0）,https://www.kingstone.com.tw//basic/2013160008814?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,翁秉仁,網路與書  ,9789862132258,https://cdn.kingstone.com.tw/book/images/product/20131/2013160008814/2013160008814b.jpg
球面三角術,https://www.kingstone.com.tw//basic/2013170001478?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,李光蔭,臺灣商務  ,9789570514858,https://cdn.kingstone.com.tw/book/images/product/20131/2013170001478/2013170001478b.jpg
圓周率中的級數與數列之均衡與最佳,https://www.kingstone.com.tw//basic/2013160010305?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,林士傑,白象      ,9789863589389,https://cdn.kingstone.com.tw/book/images/product/20131/2013160010305/2013160010305b.jpg
國中幾何證明大全,https://www.kingstone.com.tw//basic/2015240213651?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,簡廷豐,白象      ,9789863585381,https://cdn.kingstone.com.tw/book/images/product/20152/2015240213651/2015240213651b.jpg
數學也可以這樣學,https://www.kingstone.com.tw//basic/2013100096765?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,約翰．布雷克伍德,商周出版  ,9789862729519,https://cdn.kingstone.com.tw/book/images/product/20131/2013100096765/2013100096765b.jpg
專門用來打好幾何基礎的數學課本4,https://www.kingstone.com.tw//basic/2015240115894?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,博幼福利基金會,書泉      ,9789861219684,https://cdn.kingstone.com.tw/book/images/product/20152/2015240115894/2015240115894b.jpg
專門用來打好幾何基礎的數學課本3,https://www.kingstone.com.tw//basic/2015240115184?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,博幼社會福利基金會,書泉      ,9789861219516,https://cdn.kingstone.com.tw/book/images/product/20152/2015240115184/2015240115184b.jpg
專門用來打好幾何基礎數學課本 2,https://www.kingstone.com.tw//basic/2015240113760?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,博幼基金會,書泉      ,9789861219325,https://cdn.kingstone.com.tw/book/images/product/20152/2015240113760/2015240113760b.jpg
專門用來打好幾何基礎的數學課本1,https://www.kingstone.com.tw//basic/2015240113050?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,博幼社會福利基金會,書泉      ,9789861219240,https://cdn.kingstone.com.tw/book/images/product/20152/2015240113050/2015240113050b.jpg
初級中學數學自學教材：幾何,https://www.kingstone.com.tw//basic/2015240112428?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,孫文先,九章      ,9789576033223,https://cdn.kingstone.com.tw/book/images/product/20152/2015240112428/2015240112428b.jpg
黃金比例：1.618...世界上最美的數字(新版),https://www.kingstone.com.tw//basic/2013160009446?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,李維歐,遠流      ,9789573274087,https://cdn.kingstone.com.tw/book/images/product/20131/2013160009446/2013160009446b.jpg
動手做幾何,https://www.kingstone.com.tw//basic/2015232403404?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,黃敏晃,天下文化  ,9789863204725,https://cdn.kingstone.com.tw/book/images/product/20152/2015232403404/2015232403404b.jpg
毛起來說三角,https://www.kingstone.com.tw//basic/2013110000738?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,毛爾,天下文化  ,9789863204015,https://cdn.kingstone.com.tw/book/images/product/20131/2013110000738/2013110000738b.jpg
超速吸收國中數學攻略,https://www.kingstone.com.tw//basic/2015240106359?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,劉靜,書泉      ,9789861218427,https://cdn.kingstone.com.tw/book/images/product/20152/2015240106359/2015240106359b.jpg
愛上幾何：義大利爺爺的生活實用數學課,https://www.kingstone.com.tw//basic/2013160008784?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,安娜．伽拉佐利,如何      ,9789861361963,https://cdn.kingstone.com.tw/book/images/product/20131/2013160008784/2013160008784b.jpg
幾何圖解‧一題多解範本,https://www.kingstone.com.tw//basic/2013160008654?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,王景雲,王景雲    ,9789574146215,https://cdn.kingstone.com.tw/book/images/product/20131/2013160008654/2013160008654b.jpg
神奇的π(改版),https://www.kingstone.com.tw//basic/2013160008524?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,大衛．布拉特納,商周出版  ,9789861249179,https://cdn.kingstone.com.tw/book/images/product/20131/2013160008524/2013160008524b.jpg
動手玩碎形,https://www.kingstone.com.tw//basic/2013160008104?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,廖思善,天下文化  ,9789864178155,https://cdn.kingstone.com.tw/book/images/product/20131/2013160008104/2013160008104b.jpg
睡夢中，學三角,https://www.kingstone.com.tw//basic/2013170001348?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,木棉,天下文化  ,9789864176342,https://cdn.kingstone.com.tw/book/images/product/20131/2013170001348/2013170001348b.jpg
黃金比例：1.61803......的祕密,https://www.kingstone.com.tw//basic/2013160007442?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,李奧維,遠流      ,9789573252702,https://cdn.kingstone.com.tw/book/images/product/20131/2013160007442/2013160007442b.jpg
一筆畫和郵遞路線問題,https://www.kingstone.com.tw//basic/2013160006520?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,姜伯駒,智能教育  ,9789628830077,https://cdn.kingstone.com.tw/book/images/product/20131/2013160006520/2013160006520b.jpg
非歐幾里德幾何的世界,https://www.kingstone.com.tw//basic/2019200014449?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,寺阪英孝,益智工房  ,9789574527229,https://cdn.kingstone.com.tw/book/images/product/20192/2019200014449/2019200014449b.jpg
國中幾何圖解範本（修定版）,https://www.kingstone.com.tw//basic/2013160005738?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,王景雲,王景雲    ,9789574107780,https://cdn.kingstone.com.tw/book/images/product/20131/2013160005738/2013160005738b.jpg
趣味幾何再闖關,https://www.kingstone.com.tw//basic/2013160005318?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,蔣聲,智能教育  ,9789628792139,https://cdn.kingstone.com.tw/book/images/product/20131/2013160005318/2013160005318b.jpg
趣味幾何考腦筋,https://www.kingstone.com.tw//basic/2013160005448?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,蔣聲,智能教育  ,9789628792122,https://cdn.kingstone.com.tw/book/images/product/20131/2013160005448/2013160005448b.jpg
幾何的寶藏,https://www.kingstone.com.tw//basic/2013160005158?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,李毓佩,益智工房  ,9789574521630,https://cdn.kingstone.com.tw/book/images/product/20131/2013160005158/2013160005158b.jpg
計算機怎樣解幾何題,https://www.kingstone.com.tw//basic/2013160004946?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,張景中,牛頓      ,9789576275883,https://cdn.kingstone.com.tw/book/images/product/20131/2013160004946/2013160004946b.jpg
國中幾何圖解範本,https://www.kingstone.com.tw//basic/2013160005028?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,王景雲,王景雲    ,9789577441232,https://cdn.kingstone.com.tw/book/images/product/20131/2013160005028/2013160005028b.jpg
用漫畫來學幾何,https://www.kingstone.com.tw//basic/2013160004656?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,岡部恆治,益智工房  ,9789577546388,https://cdn.kingstone.com.tw/book/images/product/20131/2013160004656/2013160004656b.jpg
坐標幾何,https://www.kingstone.com.tw//basic/2015211459217?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,陳榮煜,大華傳真  ,9789578344525,https://cdn.kingstone.com.tw/book/images/product/20152/2015211459217/2015211459217b.jpg
神奇的兀,https://www.kingstone.com.tw//basic/2013160004366?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,大衛．布拉特納,商周出版  ,9789576673139,https://cdn.kingstone.com.tw/book/images/product/20131/2013160004366/2013160004366b.jpg
宇宙的詩篇：解讀天地間的幾何法則,https://www.kingstone.com.tw//basic/2013100032725?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,ROBERT OSSER,天下文化  ,9789576213632,https://cdn.kingstone.com.tw/book/images/product/20131/2013100032725/2013100032725b.jpg
高等幾何學五講,https://www.kingstone.com.tw//basic/2013160004076?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,蘇步青,洪葉大城北,9789578677319,https://cdn.kingstone.com.tw/book/images/product/20131/2013160004076/2013160004076b.jpg
實用平面幾何(上),https://www.kingstone.com.tw//basic/2015210339084?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,陳昭輝,益群書店  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210339084/2015210339084b.jpg
實用平面幾何(下),https://www.kingstone.com.tw//basic/2015210339114?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,陳昭輝,益群書店  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210339114/2015210339114b.jpg
直線與平面,https://www.kingstone.com.tw//basic/2015210526743?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,詹敏昌,建宏      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210526743/2015210526743b.jpg
空間向量,https://www.kingstone.com.tw//basic/2015210733356?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,陸思明,百成      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210733356/2015210733356b.jpg
投影幾何,https://www.kingstone.com.tw//basic/2014400037052?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,張清亮,全華      ,,https://cdn.kingstone.com.tw/book/images/product/20144/2014400037052/2014400037052b.jpg
七位對數及三角函數,https://www.kingstone.com.tw//basic/2013140007516?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,楊惠春,東亞      ,,https://cdn.kingstone.com.tw/book/images/product/20131/2013140007516/2013140007516b.jpg
基本拓撲學,https://www.kingstone.com.tw//basic/2013150000170?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,復漢      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013150000170/2013150000170b.jpg
幾何圖形的認識,https://www.kingstone.com.tw//basic/2013160000238?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,幼獅文化  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160000238/2013160000238b.jpg
幾何尺寸與公差,https://www.kingstone.com.tw//basic/2013160000368?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,詹安仁,中央圖書  ,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160000368/2013160000368b.jpg
幾何學的源起與發展,https://www.kingstone.com.tw//basic/2013160000498?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,九鼎      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160000498/2013160000498b.jpg
複數與幾何,https://www.kingstone.com.tw//basic/2013160001150?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,人間      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160001150/2013160001150b.jpg
丌和e,https://www.kingstone.com.tw//basic/2013160001310?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,人間      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160001310/2013160001310b.jpg
格點和面積,https://www.kingstone.com.tw//basic/2013160001440?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,人間      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160001440/2013160001440b.jpg
力學在幾何中的運用,https://www.kingstone.com.tw//basic/2013160001570?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,人間      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160001570/2013160001570b.jpg
多面形與閉曲面的問題,https://www.kingstone.com.tw//basic/2013160001600?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,人間      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160001600/2013160001600b.jpg
對稱,https://www.kingstone.com.tw//basic/2013160001730?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,人間      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160001730/2013160001730b.jpg
祖沖之與圓周率,https://www.kingstone.com.tw//basic/2013160001860?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,人間      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160001860/2013160001860b.jpg
換個角度,https://www.kingstone.com.tw//basic/2013160002362?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,正中書局  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160002362/2013160002362b.jpg
幾何研究,https://www.kingstone.com.tw//basic/2013160002492?zone=book&lid=book_class3_ebd&actid=book_class3_ebd,徐氏文教  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160002492/2013160002492b.jpg
