書名,書籍網站,作者,出版社,ISBN,圖片網址
統計：大數據時代必備知識  少年伽利略7,https://www.kingstone.com.tw//basic/2015240253619?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,日本Newton Press,人人      ,9789864612475,https://cdn.kingstone.com.tw/book/images/product/20152/2015240253619/2015240253619b.jpg
數學女孩秘密筆記：統計篇,https://www.kingstone.com.tw//basic/2015100030671?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,結城浩,世茂      ,9789869480536,https://cdn.kingstone.com.tw/book/images/product/20151/2015100030671/2015100030671b.jpg
統計，讓數字說話！（第二版）,https://www.kingstone.com.tw//basic/2015100031333?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,墨爾,天下文化  ,4713510945520,https://cdn.kingstone.com.tw/book/images/product/20151/2015100031333/2015100031333b.jpg
統計機率篇：用數值預測未來少年伽利略8,https://www.kingstone.com.tw//basic/2015240253749?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,日本Newton Press,人人      ,9789864612482,https://cdn.kingstone.com.tw/book/images/product/20152/2015240253749/2015240253749b.jpg
看漫畫，學統計（改版）,https://www.kingstone.com.tw//basic/2015100031173?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,史密斯,天下文化  ,4713510945131,https://cdn.kingstone.com.tw/book/images/product/20151/2015100031173/2015100031173b.jpg
3小時讀通統計：通往假設檢定之路,https://www.kingstone.com.tw//basic/2015100027848?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,大上丈彥,世茂      ,9789865779016,https://cdn.kingstone.com.tw/book/images/product/20151/2015100027848/2015100027848b.jpg
一生受用的統計學思維,https://www.kingstone.com.tw//basic/2013190030663?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,佐佐木彈,楓葉社文化,9789863703037,https://cdn.kingstone.com.tw/book/images/product/20131/2013190030663/2013190030663b.jpg
統計學實用51招,https://www.kingstone.com.tw//basic/2015100035331?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,志賀保夫、姬野尚子,楓葉社文化,9789863702894,https://cdn.kingstone.com.tw/book/images/product/20151/2015100035331/2015100035331b.jpg
超統計學,https://www.kingstone.com.tw//basic/2013140066216?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,小林克彥,易博士    ,9789864801459,https://cdn.kingstone.com.tw/book/images/product/20131/2013140066216/2013140066216b.jpg
統計與機率：自基礎至貝氏統計  人人伽利略24,https://www.kingstone.com.tw//basic/2015100035041?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,日本Newton Press,人人      ,9789864612376,https://cdn.kingstone.com.tw/book/images/product/20151/2015100035041/2015100035041b.jpg
統計：看圖解成為大數據高手,https://www.kingstone.com.tw//basic/2015100034549?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,湧井良幸,五南      ,9789865221454,https://cdn.kingstone.com.tw/book/images/product/20151/2015100034549/2015100034549b.jpg
超統計學：統計學，大數據的神隊友！發掘大數據潛能、避開陷阱，端來隱藏美味,https://www.kingstone.com.tw//basic/2015100032385?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,小林克彥,易博士    ,9789864800674,https://cdn.kingstone.com.tw/book/images/product/20151/2015100032385/2015100032385b.jpg
統計學（第四版）,https://www.kingstone.com.tw//basic/2015100031463?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,彭賓鈺、張振華、徐偉鈞,新文京    ,9789864304103,https://cdn.kingstone.com.tw/book/images/product/20151/2015100031463/2015100031463b.jpg
貝氏統計導論：EXCEL應用,https://www.kingstone.com.tw//basic/2015110011547?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,楊士慶,五南      ,9789571197197,https://cdn.kingstone.com.tw/book/images/product/20151/2015110011547/2015110011547b.jpg
不敗的數據學：從統計數字中看見真相的12堂思考訓練，不被造假及濫用的數字唬弄！,https://www.kingstone.com.tw//basic/2015110011387?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,艾力克斯．萊因哈特,臉譜文化  ,9789862356463,https://cdn.kingstone.com.tw/book/images/product/20151/2015110011387/2015110011387b.jpg
圖解：機率.統計【全新修訂版】,https://www.kingstone.com.tw//basic/2013190028202?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,鈴木香織,積木文化  ,9789864590681,https://cdn.kingstone.com.tw/book/images/product/20131/2013190028202/2013190028202b.jpg
太極機率（初版）,https://www.kingstone.com.tw//basic/2013190027830?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,王富祥,考用      ,9789862659410,https://cdn.kingstone.com.tw/book/images/product/20131/2013190027830/2013190027830b.jpg
大數據視覺化篇,https://www.kingstone.com.tw//basic/2013120375598?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,謝邦昌(編著),五南      ,9789571185187,https://cdn.kingstone.com.tw/book/images/product/20131/2013120375598/2013120375598b.jpg
為什麼出布容易贏？從球賽、股市到選擇題，在未知中輕鬆致勝的22個預測練習,https://www.kingstone.com.tw//basic/2013190027670?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,威廉．龐士東,商周出版  ,9789862729434,https://cdn.kingstone.com.tw/book/images/product/20131/2013190027670/2013190027670b.jpg
工程統計學,https://www.kingstone.com.tw//basic/2014400136021?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,陳耀茂 編著,五南      ,9789571184128,https://cdn.kingstone.com.tw/book/images/product/20144/2014400136021/2014400136021b.jpg
你沒聽過的邏輯課：探索魔術、博奕、運動賽事背後的法則,https://www.kingstone.com.tw//basic/2013190027410?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,劉炯朗,時報文化  ,9789571363189,https://cdn.kingstone.com.tw/book/images/product/20131/2013190027410/2013190027410b.jpg
醫護統計與AMOS分析方法與應用,https://www.kingstone.com.tw//basic/2015120007240?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,楊秋月,五南      ,9789571181486,https://cdn.kingstone.com.tw/book/images/product/20151/2015120007240/2015120007240b.jpg
Minitab統計應用分析實務,https://www.kingstone.com.tw//basic/2013120339378?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,吳明隆,五南      ,9789571181066,https://cdn.kingstone.com.tw/book/images/product/20131/2013120339378/2013120339378b.jpg
Minitab與統計分析,https://www.kingstone.com.tw//basic/2013120335240?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,陳正昌,五南      ,9789571180939,https://cdn.kingstone.com.tw/book/images/product/20131/2013120335240/2013120335240b.jpg
樂透的真相：驚爆大公開！原來樂透真的有公式,https://www.kingstone.com.tw//basic/2015630567135?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,水牆,集夢坊    ,9789869139809,https://cdn.kingstone.com.tw/book/images/product/20156/2015630567135/2015630567135b.jpg
世界第一簡單護理統計學,https://www.kingstone.com.tw//basic/2014190048511?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,田久浩志,世茂      ,9789865779610,https://cdn.kingstone.com.tw/book/images/product/20141/2014190048511/2014190048511b.jpg
巷子口機率學,https://www.kingstone.com.tw//basic/2013190027090?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,許玟斌,五南      ,9789571173627,https://cdn.kingstone.com.tw/book/images/product/20131/2013190027090/2013190027090b.jpg
時間序列分析 －初版,https://www.kingstone.com.tw//basic/2013190026918?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,余桂霖,五南      ,9789571171470,https://cdn.kingstone.com.tw/book/images/product/20131/2013190026918/2013190026918b.jpg
迴歸分析－初版,https://www.kingstone.com.tw//basic/2015110010755?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,謝宇,五南      ,9789571172163,https://cdn.kingstone.com.tw/book/images/product/20151/2015110010755/2015110010755b.jpg
統計你贏的機率,https://www.kingstone.com.tw//basic/2013190019477?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,萊文牛,天下文化  ,9789864173242,https://cdn.kingstone.com.tw/book/images/product/20131/2013190019477/2013190019477b.jpg
機率的樂趣,https://www.kingstone.com.tw//basic/2013190017923?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,Richard Issa,弘智      ,9789570453744,https://cdn.kingstone.com.tw/book/images/product/20131/2013190017923/2013190017923b.jpg
數理統計學,https://www.kingstone.com.tw//basic/2013190015769?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,陳家鼎,五南      ,9789571112602,https://cdn.kingstone.com.tw/book/images/product/20131/2013190015769/2013190015769b.jpg
數理統計學習題解答,https://www.kingstone.com.tw//basic/2013190015899?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,陳家鼎,五南      ,9789571112831,https://cdn.kingstone.com.tw/book/images/product/20131/2013190015899/2013190015899b.jpg
提綱挈領學統計,https://www.kingstone.com.tw//basic/2013190028752?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,張翔、廖崇智,大碩教育  ,9789863455059,https://cdn.kingstone.com.tw/book/images/product/20131/2013190028752/2013190028752b.jpg
醫護統計與整合分析－－RevMan5軟體操作,https://www.kingstone.com.tw//basic/2015120008322?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,陳淑齡,五南      ,9789571187303,https://cdn.kingstone.com.tw/book/images/product/20151/2015120008322/2015120008322b.jpg
最適樣本數：考驗力、精準度與實務性的權衡,https://www.kingstone.com.tw//basic/2015110010915?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,Patrick Dattalo,五南      ,9789571180038,https://cdn.kingstone.com.tw/book/images/product/20151/2015110010915/2015110010915b.jpg
葉丙成的機率驚豔：當數學遇上文學，學生考不好也會笑著離開,https://www.kingstone.com.tw//basic/2013190027120?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,葉丙成,究竟      ,9789861371832,https://cdn.kingstone.com.tw/book/images/product/20131/2013190027120/2013190027120b.jpg
看漫畫，學統計(絕版),https://www.kingstone.com.tw//basic/2015100027718?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,史密斯,天下文化  ,9789863202547,https://cdn.kingstone.com.tw/book/images/product/20151/2015100027718/2015100027718b.jpg
藏在數字裡的謊言,https://www.kingstone.com.tw//basic/2012920461241?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,野口哲典,商周出版  ,9789862723760,https://cdn.kingstone.com.tw/book/images/product/20129/2012920461241/2012920461241b.jpg
像統計學家一樣思考：10個讓你瞬間看清迷思，改善生活的統計學技巧,https://www.kingstone.com.tw//basic/2015180001806?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,馮啟思,高寶      ,9789861856162,https://cdn.kingstone.com.tw/book/images/product/20151/2015180001806/2015180001806b.jpg
3小時讀通統計【漫畫版】,https://www.kingstone.com.tw//basic/2015100025714?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,今野紀雄,世茂      ,9789866363757,https://cdn.kingstone.com.tw/book/images/product/20151/2015100025714/2015100025714b.jpg
3小時讀通機率(漫畫版),https://www.kingstone.com.tw//basic/2013190025546?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,野口哲典,世茂      ,9789866363740,https://cdn.kingstone.com.tw/book/images/product/20131/2013190025546/2013190025546b.jpg
你的人生-需要多懂一點機率,https://www.kingstone.com.tw//basic/2013190025416?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,野口哲典,漫遊者    ,9789866272103,https://cdn.kingstone.com.tw/book/images/product/20131/2013190025416/2013190025416b.jpg
剪刀、石頭、布：生活中的賽局理論,https://www.kingstone.com.tw//basic/2013190025126?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,費雪,天下文化  ,9789862164617,https://cdn.kingstone.com.tw/book/images/product/20131/2013190025126/2013190025126b.jpg
統計，讓數字說話!(第二版),https://www.kingstone.com.tw//basic/2015100024892?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,墨爾,天下文化  ,9789862163658,https://cdn.kingstone.com.tw/book/images/product/20151/2015100024892/2015100024892b.jpg
醉漢走路：機率如何左右你我的命運和機會,https://www.kingstone.com.tw//basic/2015390145949?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,曼羅迪諾,天下文化  ,9789862163245,https://cdn.kingstone.com.tw/book/images/product/20153/2015390145949/2015390145949b.jpg
模糊統計,https://www.kingstone.com.tw//basic/2013190023962?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,林原宏譯,五南      ,9789571144702,https://cdn.kingstone.com.tw/book/images/product/20131/2013190023962/2013190023962b.jpg
大於1/2：投資、愛情、生活的獲勝機率,https://www.kingstone.com.tw//basic/2013190022620?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,阿米爾．艾克塞爾,究竟      ,9789861370514,https://cdn.kingstone.com.tw/book/images/product/20131/2013190022620/2013190022620b.jpg
機率與統計,https://www.kingstone.com.tw//basic/2013190019927?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,黃義雄,五南      ,9789571140261,https://cdn.kingstone.com.tw/book/images/product/20131/2013190019927/2013190019927b.jpg
多變量統計分析-SAS/STAT使用方法,https://www.kingstone.com.tw//basic/2013190019217?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,周文賢,智勝特販  ,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190019217/2013190019217b.jpg
機率與統計：機率篇7ed,https://www.kingstone.com.tw//basic/2013190018845?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,呂振森,東華      ,9789867910493,https://cdn.kingstone.com.tw/book/images/product/20131/2013190018845/2013190018845b.jpg
看漫畫學統計,https://www.kingstone.com.tw//basic/2015100022768?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,高尼克,天下文化  ,9789864171316,https://cdn.kingstone.com.tw/book/images/product/20151/2015100022768/2015100022768b.jpg
機率1：第二個地球：揭開外星生物之謎,https://www.kingstone.com.tw//basic/2013670030107?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,阿米爾,世潮      ,9789577763662,https://cdn.kingstone.com.tw/book/images/product/20136/2013670030107/2013670030107b.jpg
統計，改變了世界,https://www.kingstone.com.tw//basic/2013020000552?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,薩爾斯伯格,天下文化  ,9789576219351,https://cdn.kingstone.com.tw/book/images/product/20130/2013020000552/2013020000552b.jpg
機率過程導論,https://www.kingstone.com.tw//basic/2013190016841?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,尾崎俊治,五南      ,9789571120553,https://cdn.kingstone.com.tw/book/images/product/20131/2013190016841/2013190016841b.jpg
統計學（第四級）（全一冊）,https://www.kingstone.com.tw//basic/2013190016681?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,CHASE博士,台灣西書  ,9789578327757,https://cdn.kingstone.com.tw/book/images/product/20131/2013190016681/2013190016681b.jpg
上帝在玩擲骰子,https://www.kingstone.com.tw//basic/2011640003878?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,李宇宙,新新聞文化,9789578306394,https://cdn.kingstone.com.tw/book/images/product/20116/2011640003878/2011640003878b.jpg
統計品質管制,https://www.kingstone.com.tw//basic/2013190015929?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,林秀英,五南      ,9789571112657,https://cdn.kingstone.com.tw/book/images/product/20131/2013190015929/2013190015929b.jpg
機率論講義：應用數學系列,https://www.kingstone.com.tw//basic/2023190015232?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,黃文璋,全華      ,9789572106860,https://cdn.kingstone.com.tw/book/images/product/20231/2023190015232/2023190015232b.jpg
什麼是統計,https://www.kingstone.com.tw//basic/2013190004220?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,大村平,建興      ,9789578953642,https://cdn.kingstone.com.tw/book/images/product/20131/2013190004220/2013190004220b.jpg
數理統計學及其應用習,https://www.kingstone.com.tw//basic/2015210496671?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,天一      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210496671/2015210496671b.jpg
工程統計學,https://www.kingstone.com.tw//basic/2014400047969?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,江永◆,科技圖書  ,,https://cdn.kingstone.com.tw/book/images/product/20144/2014400047969/2014400047969b.jpg
WALPOLE 工程機率與統,https://www.kingstone.com.tw//basic/2014400054240?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,超級科技  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20144/2014400054240/2014400054240b.jpg
數理統計學導引,https://www.kingstone.com.tw//basic/2015200004732?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,洪澄洋,五南      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015200004732/2015200004732b.jpg
什麼是機率,https://www.kingstone.com.tw//basic/2013190004510?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,建興      ,貨到通知我,9789578953734,https://cdn.kingstone.com.tw/book/images/product/20131/2013190004510/2013190004510b.jpg
機率,https://www.kingstone.com.tw//basic/2013190006354?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,黃素女,超級科技  ,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190006354/2013190006354b.jpg
數理統計學及其應用,https://www.kingstone.com.tw//basic/2013190007986?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,長樂      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190007986/2013190007986b.jpg
幸運夫人（機率的故事,https://www.kingstone.com.tw//basic/2013160000658?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,拾穗      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013160000658/2013160000658b.jpg
機率統計演習,https://www.kingstone.com.tw//basic/2013190000192?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,牧童      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000192/2013190000192b.jpg
機率論習題解答,https://www.kingstone.com.tw//basic/2013190000222?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,陳建福,牧童      ,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000222/2013190000222b.jpg
機率導論,https://www.kingstone.com.tw//basic/2013190000352?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,文源      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000352/2013190000352b.jpg
機率導論及其應用,https://www.kingstone.com.tw//basic/2013190000512?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,五南      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000512/2013190000512b.jpg
初等機率論,https://www.kingstone.com.tw//basic/2013190000642?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,五南      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000642/2013190000642b.jpg
淺介統計與機率,https://www.kingstone.com.tw//basic/2013190000772?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,幼獅文化  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000772/2013190000772b.jpg
機率的精率,https://www.kingstone.com.tw//basic/2013190000802?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,自然科學  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000802/2013190000802b.jpg
機率論導引,https://www.kingstone.com.tw//basic/2013190000932?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,劉振雄,水牛      ,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190000932/2013190000932b.jpg
機率理論之研究,https://www.kingstone.com.tw//basic/2013190001144?zone=book&lid=book_class3_ebf&actid=book_class3_ebf,蔡德王,蔡德王    ,,https://cdn.kingstone.com.tw/book/images/product/20131/2013190001144/2013190001144b.jpg
