書名,書籍網站,作者,出版社,ISBN,圖片網址
時光旅人,https://www.kingstone.com.tw//basic/2013300052707?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,馬雷特、韓德森,天下文化  ,4713510942734,https://cdn.kingstone.com.tw/book/images/product/20133/2013300052707/2013300052707b.jpg
追光之旅：你所不知道的同步輻射,https://www.kingstone.com.tw//basic/2013390017631?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,許火順、林錦汝,天下文化  ,9789865252793,https://cdn.kingstone.com.tw/book/images/product/20133/2013390017631/2013390017631b.jpg
撞出希格斯粒子：深入史上最大實驗現場,https://www.kingstone.com.tw//basic/2013390016979?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,巴特沃斯,貓頭鷹    ,9789862623350,https://cdn.kingstone.com.tw/book/images/product/20133/2013390016979/2013390016979b.jpg
讓世界變簡單的日常物理學：徹底了解萬物本質，辨別真相與欺詐,https://www.kingstone.com.tw//basic/2013300051915?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,松原隆彥,高寶      ,9789863619413,https://cdn.kingstone.com.tw/book/images/product/20133/2013300051915/2013300051915b.jpg
物理源流：物理歷史與物理科技,https://www.kingstone.com.tw//basic/2013300051045?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,李丹丹,崧燁文化  ,9789865161040,https://cdn.kingstone.com.tw/book/images/product/20133/2013300051045/2013300051045b.jpg
上帝的粒子：希格斯粒子的發明與發現,https://www.kingstone.com.tw//basic/2013390017341?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,巴格特,貓頭鷹    ,9789862624142,https://cdn.kingstone.com.tw/book/images/product/20133/2013390017341/2013390017341b.jpg
第二種不可能：天然準晶的非凡探索,https://www.kingstone.com.tw//basic/2013390017211?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,保羅．史坦哈特,商周出版  ,9789864777556,https://cdn.kingstone.com.tw/book/images/product/20133/2013390017211/2013390017211b.jpg
T恤上的宇宙：尋找宇宙萬物的終極理論,https://www.kingstone.com.tw//basic/2013310018229?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,佛克,貓頭鷹    ,9789862623473,https://cdn.kingstone.com.tw/book/images/product/20133/2013310018229/2013310018229b.jpg
到世界頂尖實驗室CERN上粒子物理課：現場直擊‧彩色圖解，科學家教你看懂未來科研及太空探索的新物理,https://www.kingstone.com.tw//basic/2013390017051?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,寶琳．甘儂,臉譜文化  ,9789862356487,https://cdn.kingstone.com.tw/book/images/product/20133/2013390017051/2013390017051b.jpg
近代物理,https://www.kingstone.com.tw//basic/2013390016559?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,倪澤恩,五南      ,9789571174242,https://cdn.kingstone.com.tw/book/images/product/20133/2013390016559/2013390016559b.jpg
數學之書+物理之書,https://www.kingstone.com.tw//basic/2013300042180?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,柯利弗德．皮寇弗,時報文化  ,9789571357089,https://cdn.kingstone.com.tw/book/images/product/20133/2013300042180/2013300042180b.jpg
愛因斯坦1905,https://www.kingstone.com.tw//basic/2013390015217?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,約翰．瑞登,聯經      ,9789570831054,https://cdn.kingstone.com.tw/book/images/product/20133/2013390015217/2013390015217b.jpg
圖解基礎相對論,https://www.kingstone.com.tw//basic/2013310012067?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,小暮陽三,世茂      ,9789577763204,https://cdn.kingstone.com.tw/book/images/product/20133/2013310012067/2013310012067b.jpg
胡桃裡的宇宙,https://www.kingstone.com.tw//basic/2013390011929?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,史蒂芬．霍金,大塊      ,9789570316988,https://cdn.kingstone.com.tw/book/images/product/20133/2013390011929/2013390011929b.jpg
詩性的宇宙：一位物理學家尋找生命起源、宇宙與意義的旅程,https://www.kingstone.com.tw//basic/2013610015065?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,蕭恩．卡羅爾,八旗文化  ,9789869541893,https://cdn.kingstone.com.tw/book/images/product/20136/2013610015065/2013610015065b.jpg
探究物理：探索太空奧祕,https://www.kingstone.com.tw//basic/2013300046898?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,于今昌  主編,麗文文化  ,9789577489111,https://cdn.kingstone.com.tw/book/images/product/20133/2013300046898/2013300046898b.jpg
我在MIT燃燒物理魂,https://www.kingstone.com.tw//basic/2013300041138?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,華爾達．盧文,遠流      ,9789573269724,https://cdn.kingstone.com.tw/book/images/product/20133/2013300041138/2013300041138b.jpg
生活中不可不知的物理化學常識,https://www.kingstone.com.tw//basic/2013480012157?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,曹松青,讀品      ,9789866906961,https://cdn.kingstone.com.tw/book/images/product/20134/2013480012157/2013480012157b.jpg
火場求生新觀念,https://www.kingstone.com.tw//basic/2015750014489?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,趙鋼、林金宏,商訊文化  ,9789866378454,https://cdn.kingstone.com.tw/book/images/product/20157/2015750014489/2015750014489b.jpg
用物理學找到美麗新世界,https://www.kingstone.com.tw//basic/2015400055077?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,菲利浦．鮑爾,木馬文化  ,9789866973857,https://cdn.kingstone.com.tw/book/images/product/20154/2015400055077/2015400055077b.jpg
圖解電漿入門,https://www.kingstone.com.tw//basic/2013330003038?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,山崎耕治,世茂      ,9789577768018,https://cdn.kingstone.com.tw/book/images/product/20133/2013330003038/2013330003038b.jpg
利維坦與空氣泵浦：霍布斯、波以耳與實驗生,https://www.kingstone.com.tw//basic/2013320019179?zone=book&lid=book_class3_ecz&actid=book_class3_ecz,史蒂文．謝平,行人文化  ,9789868186026,https://cdn.kingstone.com.tw/book/images/product/20133/2013320019179/2013320019179b.jpg
