書名,書籍網站,作者,出版社,ISBN,圖片網址
名師這樣教，化學秒懂：國中沒聽懂、從此變天書，漫畫+大白話，基礎觀念一次救回來,https://www.kingstone.com.tw//basic/2013400039691?zone=book&lid=book_class3_edb&actid=book_class3_edb,拉法艾拉．克雷先茨,大是      ,9789860742015,https://cdn.kingstone.com.tw/book/images/product/20134/2013400039691/2013400039691b.jpg
化學：生活中的基礎化學觀念伽利略1,https://www.kingstone.com.tw//basic/2013400039431?zone=book&lid=book_class3_edb&actid=book_class3_edb,日本Newton Press,人人      ,9789864612536,https://cdn.kingstone.com.tw/book/images/product/20134/2013400039431/2013400039431b.jpg
化學原來如此！：最好懂的化學史、化學原理與元素週期表全攻略,https://www.kingstone.com.tw//basic/2013400038939?zone=book&lid=book_class3_edb&actid=book_class3_edb,喬爾．利維,大石國際  ,9789869980944,https://cdn.kingstone.com.tw/book/images/product/20134/2013400038939/2013400038939b.jpg
燒杯君和他的化學實驗,https://www.kingstone.com.tw//basic/2013470004186?zone=book&lid=book_class3_edb&actid=book_class3_edb,上谷夫婦,遠流      ,9789573284543,https://cdn.kingstone.com.tw/book/images/product/20134/2013470004186/2013470004186b.jpg
Galileo觀念化學套書：《化學》+《週期表》（共二冊，首刷加贈週期表手帳）,https://www.kingstone.com.tw//basic/2013400039561?zone=book&lid=book_class3_edb&actid=book_class3_edb,日本Newton Press,人人      ,4710761668741,https://cdn.kingstone.com.tw/book/images/product/20134/2013400039561/2013400039561b.jpg
圖解量子化學：一本讀懂橫跨所有化學領域的學問,https://www.kingstone.com.tw//basic/2013480015943?zone=book&lid=book_class3_edb&actid=book_class3_edb,齋藤勝裕,台灣東販  ,9786263046535,https://cdn.kingstone.com.tw/book/images/product/20134/2013480015943/2013480015943b.jpg
國中‧高中化學：讓人愛上化學的視覺讀本,https://www.kingstone.com.tw//basic/2015240244044?zone=book&lid=book_class3_edb&actid=book_class3_edb,日本Newton Press,人人      ,9789864612000,https://cdn.kingstone.com.tw/book/images/product/20152/2015240244044/2015240244044b.jpg
元素生活完全版：非典型118個化學元素圖鑑，徹底解構你的生活,https://www.kingstone.com.tw//basic/2013480015493?zone=book&lid=book_class3_edb&actid=book_class3_edb,寄藤文平,遠流      ,9789573286349,https://cdn.kingstone.com.tw/book/images/product/20134/2013480015493/2013480015493b.jpg
聰明大百科 ：化學常識有GO讚！,https://www.kingstone.com.tw//basic/2013400036805?zone=book&lid=book_class3_edb&actid=book_class3_edb,張育修編著,讀品      ,9789864530922,https://cdn.kingstone.com.tw/book/images/product/20134/2013400036805/2013400036805b.jpg
化學，就是這樣的！,https://www.kingstone.com.tw//basic/2013400036775?zone=book&lid=book_class3_edb&actid=book_class3_edb,日本化學會,五南      ,9789577631121,https://cdn.kingstone.com.tw/book/images/product/20134/2013400036775/2013400036775b.jpg
元素週期表終極圖鑑（附贈精美元素週期表海報）,https://www.kingstone.com.tw//basic/2013130025018?zone=book&lid=book_class3_edb&actid=book_class3_edb,湯姆．傑克森,大石國際  ,9789578722323,https://cdn.kingstone.com.tw/book/images/product/20131/2013130025018/2013130025018b.jpg
3小時讀通基礎化學【新裝版】,https://www.kingstone.com.tw//basic/2013400039721?zone=book&lid=book_class3_edb&actid=book_class3_edb,左卷健男,世茂      ,9789865408619,https://cdn.kingstone.com.tw/book/images/product/20134/2013400039721/2013400039721b.jpg
週期表：118種元素圖鑑！（觀念伽利略2）,https://www.kingstone.com.tw//basic/2013480016025?zone=book&lid=book_class3_edb&actid=book_class3_edb,日本Newton Press,人人      ,9789864612543,https://cdn.kingstone.com.tw/book/images/product/20134/2013480016025/2013480016025b.jpg
改變世界的碳元素,https://www.kingstone.com.tw//basic/2013450003598?zone=book&lid=book_class3_edb&actid=book_class3_edb,齋藤勝裕,世茂      ,9789865408282,https://cdn.kingstone.com.tw/book/images/product/20134/2013450003598/2013450003598b.jpg
看懂元素週期表，掌握生命奧祕：醫學博士帶你輕鬆了解從宇宙到人體的運作原理,https://www.kingstone.com.tw//basic/2013480015813?zone=book&lid=book_class3_edb&actid=book_class3_edb,吉田隆嘉,木馬文化  ,9789863594536,https://cdn.kingstone.com.tw/book/images/product/20134/2013480015813/2013480015813b.jpg
手機、咖啡、情緒的化學效應：一日24小時的化學常識,https://www.kingstone.com.tw//basic/2013400037987?zone=book&lid=book_class3_edb&actid=book_class3_edb,阮津玫,商周出版  ,9789864778102,https://cdn.kingstone.com.tw/book/images/product/20134/2013400037987/2013400037987b.jpg
超好懂元素圖鑑：偷看東大生的筆記,https://www.kingstone.com.tw//basic/2013000141237?zone=book&lid=book_class3_edb&actid=book_class3_edb,東京大學,台灣東販  ,9789865112233,https://cdn.kingstone.com.tw/book/images/product/20130/2013000141237/2013000141237b.jpg
圖解化學更新版,https://www.kingstone.com.tw//basic/2013400037307?zone=book&lid=book_class3_edb&actid=book_class3_edb,山本喜一，藤田勳,易博士    ,9789864800995,https://cdn.kingstone.com.tw/book/images/product/20134/2013400037307/2013400037307b.jpg
元素與週期表：解讀美麗的週期表與全部118種元素！（完全圖解）,https://www.kingstone.com.tw//basic/2013480015523?zone=book&lid=book_class3_edb&actid=book_class3_edb,日本Newton Press,人人      ,9789864611966,https://cdn.kingstone.com.tw/book/images/product/20134/2013480015523/2013480015523b.jpg
元素週期表超圖鑑：組成世界的微小存在,https://www.kingstone.com.tw//basic/2013000140315?zone=book&lid=book_class3_edb&actid=book_class3_edb,元素周期表等編,台灣東販  ,9789865111311,https://cdn.kingstone.com.tw/book/images/product/20130/2013000140315/2013000140315b.jpg
圖解化學元素週期表：一起探索118個建構我們這個世界的化學元素,https://www.kingstone.com.tw//basic/2013480015363?zone=book&lid=book_class3_edb&actid=book_class3_edb,湯姆．傑克森,遠流      ,9789573284642,https://cdn.kingstone.com.tw/book/images/product/20134/2013480015363/2013480015363b.jpg
趣味化學,https://www.kingstone.com.tw//basic/2013400036935?zone=book&lid=book_class3_edb&actid=book_class3_edb,大宮信光,晨星      ,9789864438501,https://cdn.kingstone.com.tw/book/images/product/20134/2013400036935/2013400036935b.jpg
看得到的化學‧美麗的元素：最美的第一堂化學課，讓你反覆翻閱、讚嘆欣賞的化學元素圖鑑。,https://www.kingstone.com.tw//basic/2013480014991?zone=book&lid=book_class3_edb&actid=book_class3_edb,大島建一監修,大是      ,9789579164757,https://cdn.kingstone.com.tw/book/images/product/20134/2013480014991/2013480014991b.jpg
毒家報導 ： 揭露新聞中與生活有關的化學常識,https://www.kingstone.com.tw//basic/2013400036645?zone=book&lid=book_class3_edb&actid=book_class3_edb,高憲明,五南      ,9789571199061,https://cdn.kingstone.com.tw/book/images/product/20134/2013400036645/2013400036645b.jpg
有關化學的那些事,https://www.kingstone.com.tw//basic/2013400036515?zone=book&lid=book_class3_edb&actid=book_class3_edb,蔡宇智  編著,培育文化  ,9789869617963,https://cdn.kingstone.com.tw/book/images/product/20134/2013400036515/2013400036515b.jpg
用得到的化學：建構世界的美妙分子,https://www.kingstone.com.tw//basic/2013480014731?zone=book&lid=book_class3_edb&actid=book_class3_edb,葛雷、曼恩(攝影),天下文化  ,4713510945391,https://cdn.kingstone.com.tw/book/images/product/20134/2013480014731/2013480014731b.jpg
