書名,書籍網站,作者,出版社,ISBN,圖片網址
有機化學天堂秘笈I+II（套書）,https://www.kingstone.com.tw//basic/2013460017431?zone=book&lid=book_class3_edc&actid=book_class3_edc,克萊因,天下文化  ,4713510945216,https://cdn.kingstone.com.tw/book/images/product/20134/2013460017431/2013460017431b.jpg
3小時讀通有機化學,https://www.kingstone.com.tw//basic/2013460016069?zone=book&lid=book_class3_edc&actid=book_class3_edc,齊藤勝裕,世茂      ,9789866097140,https://cdn.kingstone.com.tw/book/images/product/20134/2013460016069/2013460016069b.jpg
有機化學（第三版）,https://www.kingstone.com.tw//basic/2013460016939?zone=book&lid=book_class3_edc&actid=book_class3_edc,曹文正/黃秉炘/呂卦南,新文京    ,9789864301751,https://cdn.kingstone.com.tw/book/images/product/20134/2013460016939/2013460016939b.jpg
有機分子軌域對稱守恆原理初探,https://www.kingstone.com.tw//basic/2013480011495?zone=book&lid=book_class3_edc&actid=book_class3_edc,蘇明德,五南      ,9789571152486,https://cdn.kingstone.com.tw/book/images/product/20134/2013480011495/2013480011495b.jpg
有機合成反應,https://www.kingstone.com.tw//basic/2013460015307?zone=book&lid=book_class3_edc&actid=book_class3_edc,謝德榮,五南      ,9789571139012,https://cdn.kingstone.com.tw/book/images/product/20134/2013460015307/2013460015307b.jpg
有機化學習題解答（上．下）,https://www.kingstone.com.tw//basic/2013460014775?zone=book&lid=book_class3_edc&actid=book_class3_edc,謝德榮,五南      ,9789571124568,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014775/2013460014775b.jpg
有機化學,https://www.kingstone.com.tw//basic/2013460014355?zone=book&lid=book_class3_edc&actid=book_class3_edc,冀政勤,五南      ,9789571122762,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014355/2013460014355b.jpg
實用有機化學,https://www.kingstone.com.tw//basic/2013460011699?zone=book&lid=book_class3_edc&actid=book_class3_edc,陳國成,大中國    ,,https://cdn.kingstone.com.tw/book/images/product/20134/2013460011699/2013460011699b.jpg
有機化學天堂秘笈I,https://www.kingstone.com.tw//basic/2013460017271?zone=book&lid=book_class3_edc&actid=book_class3_edc,克萊因,天下文化  ,4713510945193,https://cdn.kingstone.com.tw/book/images/product/20134/2013460017271/2013460017271b.jpg
有機化學天堂祕笈II,https://www.kingstone.com.tw//basic/2013460017301?zone=book&lid=book_class3_edc&actid=book_class3_edc,克萊因,天下文化  ,4713510945209,https://cdn.kingstone.com.tw/book/images/product/20134/2013460017301/2013460017301b.jpg
有機化學的反應機構論,https://www.kingstone.com.tw//basic/2014600018868?zone=book&lid=book_class3_edc&actid=book_class3_edc,蘇明德,五南      ,9789571175935,https://cdn.kingstone.com.tw/book/images/product/20146/2014600018868/2014600018868b.jpg
金屬,https://www.kingstone.com.tw//basic/2014720049001?zone=book&lid=book_class3_edc&actid=book_class3_edc,田中和明,瑞昇文化  ,9789865957070,https://cdn.kingstone.com.tw/book/images/product/20147/2014720049001/2014720049001b.jpg
有機化學天堂祕笈II,https://www.kingstone.com.tw//basic/2013460015857?zone=book&lid=book_class3_edc&actid=book_class3_edc,克萊因,天下文化  ,9789862166192,https://cdn.kingstone.com.tw/book/images/product/20134/2013460015857/2013460015857b.jpg
有機化學天堂祕笈﹝I+II﹞,https://www.kingstone.com.tw//basic/2013460015987?zone=book&lid=book_class3_edc&actid=book_class3_edc,克萊因,天下文化  ,9780004174020,https://cdn.kingstone.com.tw/book/images/product/20134/2013460015987/2013460015987b.jpg
有機化學的反應機構論,https://www.kingstone.com.tw//basic/2014600013108?zone=book&lid=book_class3_edc&actid=book_class3_edc,蘇明德,五南      ,9789571151953,https://cdn.kingstone.com.tw/book/images/product/20146/2014600013108/2014600013108b.jpg
有機化學天堂秘笈,https://www.kingstone.com.tw//basic/2013460015727?zone=book&lid=book_class3_edc&actid=book_class3_edc,克萊因,天下文化  ,9789862160084,https://cdn.kingstone.com.tw/book/images/product/20134/2013460015727/2013460015727b.jpg
談談有機 種種香草,https://www.kingstone.com.tw//basic/2014350130575?zone=book&lid=book_class3_edc&actid=book_class3_edc,Gary Tse,博益出版集,9789621792129,https://cdn.kingstone.com.tw/book/images/product/20143/2014350130575/2014350130575b.jpg
圖解生物可分解塑膠,https://www.kingstone.com.tw//basic/2014670014296?zone=book&lid=book_class3_edc&actid=book_class3_edc,生物可分解,世茂      ,9789577767899,https://cdn.kingstone.com.tw/book/images/product/20146/2014670014296/2014670014296b.jpg
碳氫一族面面觀：現代有機化學,https://www.kingstone.com.tw//basic/2013460015277?zone=book&lid=book_class3_edc&actid=book_class3_edc,鈕澤富,世潮      ,9789577764348,https://cdn.kingstone.com.tw/book/images/product/20134/2013460015277/2013460015277b.jpg
無機化學,https://www.kingstone.com.tw//basic/2013450002416?zone=book&lid=book_class3_edc&actid=book_class3_edc,魏明通,五南      ,9789571126159,https://cdn.kingstone.com.tw/book/images/product/20134/2013450002416/2013450002416b.jpg
生物有機化學,https://www.kingstone.com.tw//basic/2013610007152?zone=book&lid=book_class3_edc&actid=book_class3_edc,古練權,科技圖書  ,9789576553226,https://cdn.kingstone.com.tw/book/images/product/20136/2013610007152/2013610007152b.jpg
有機化學精要（下冊）,https://www.kingstone.com.tw//basic/2013460014645?zone=book&lid=book_class3_edc&actid=book_class3_edc,王昭鈞,藝軒圖書出,9789576166242,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014645/2013460014645b.jpg
有機化學精要（中冊）,https://www.kingstone.com.tw//basic/2013460014515?zone=book&lid=book_class3_edc&actid=book_class3_edc,王昭鈞,藝軒圖書出,9789576166112,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014515/2013460014515b.jpg
有機化學精要（上冊）,https://www.kingstone.com.tw//basic/2013460014485?zone=book&lid=book_class3_edc&actid=book_class3_edc,王昭鈞,藝軒圖書出,9789576166075,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014485/2013460014485b.jpg
有機植物,https://www.kingstone.com.tw//basic/2014320006251?zone=book&lid=book_class3_edc&actid=book_class3_edc,GEOFF HAMILT,貓頭鷹    ,9789579684866,https://cdn.kingstone.com.tw/book/images/product/20143/2014320006251/2014320006251b.jpg
有機化學（上）,https://www.kingstone.com.tw//basic/2013460014225?zone=book&lid=book_class3_edc&actid=book_class3_edc,謝德榮,五南      ,9789571116280,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014225/2013460014225b.jpg
實用有機化學,https://www.kingstone.com.tw//basic/2013460011569?zone=book&lid=book_class3_edc&actid=book_class3_edc,陳國成,大中國    ,,https://cdn.kingstone.com.tw/book/images/product/20134/2013460011569/2013460011569b.jpg
有機化合物2,https://www.kingstone.com.tw//basic/2013400018085?zone=book&lid=book_class3_edc&actid=book_class3_edc,楊慕文,臺芝      ,,https://cdn.kingstone.com.tw/book/images/product/20134/2013400018085/2013400018085b.jpg
有機化學習題指引,https://www.kingstone.com.tw//basic/2013460014065?zone=book&lid=book_class3_edc&actid=book_class3_edc,劉瑞祥,復文書局  ,9789575360887,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014065/2013460014065b.jpg
非均勻反應觸媒特性與實效應用,https://www.kingstone.com.tw//basic/2013460014195?zone=book&lid=book_class3_edc&actid=book_class3_edc,張金海,復文書局  ,9789578564442,https://cdn.kingstone.com.tw/book/images/product/20134/2013460014195/2013460014195b.jpg
環境生物無機化學,https://www.kingstone.com.tw//basic/2023610005171?zone=book&lid=book_class3_edc&actid=book_class3_edc,彭安,淑馨      ,9789575312855,https://cdn.kingstone.com.tw/book/images/product/20236/2023610005171/2023610005171b.jpg
無機化學暨實驗,https://www.kingstone.com.tw//basic/2015210128893?zone=book&lid=book_class3_edc&actid=book_class3_edc,鳳凰城    ,停售,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210128893/2015210128893b.jpg
有機化學,https://www.kingstone.com.tw//basic/2015210128923?zone=book&lid=book_class3_edc&actid=book_class3_edc,鳳凰城    ,停售,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210128923/2015210128923b.jpg
有機化學,https://www.kingstone.com.tw//basic/2015210229996?zone=book&lid=book_class3_edc&actid=book_class3_edc,施溪泉,成龍      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210229996/2015210229996b.jpg
無機化學,https://www.kingstone.com.tw//basic/2015210232859?zone=book&lid=book_class3_edc&actid=book_class3_edc,吳敬塘,成龍      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015210232859/2015210232859b.jpg
自由機化學入門,https://www.kingstone.com.tw//basic/2013400003388?zone=book&lid=book_class3_edc&actid=book_class3_edc,復漢      ,停售,,https://cdn.kingstone.com.tw/book/images/product/20134/2013400003388/2013400003388b.jpg
無機化學,https://www.kingstone.com.tw//basic/2013450000252?zone=book&lid=book_class3_edc&actid=book_class3_edc,正文書局  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20134/2013450000252/2013450000252b.jpg
無機化學,https://www.kingstone.com.tw//basic/2013450000382?zone=book&lid=book_class3_edc&actid=book_class3_edc,正文書局  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20134/2013450000382/2013450000382b.jpg
