書名,書籍網站,作者,出版社,ISBN,圖片網址
水的導讀：如何從小池塘窺見太平洋？教你用五感探索自然,https://www.kingstone.com.tw//basic/2013510021760?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,崔斯坦．古力,行人文化  ,9789869622349,https://cdn.kingstone.com.tw/book/images/product/20135/2013510021760/2013510021760b.jpg
海洋與文明  世界航海史,https://www.kingstone.com.tw//basic/2017200000684?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,林肯·潘恩,廣場出版  ,9789869532556,https://cdn.kingstone.com.tw/book/images/product/20172/2017200000684/2017200000684b.jpg
海洋與海岸管理,https://www.kingstone.com.tw//basic/2013510021210?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,邱文彥,五南      ,9789571193007,https://cdn.kingstone.com.tw/book/images/product/20135/2013510021210/2013510021210b.jpg
拯救水資源危機,https://www.kingstone.com.tw//basic/2015540094219?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,賽司．席格,時報文化  ,9789571368979,https://cdn.kingstone.com.tw/book/images/product/20155/2015540094219/2015540094219b.jpg
水書,https://www.kingstone.com.tw//basic/2013690013425?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,郭憲壽、蕭超隆,養沛文化館,9789865665401,https://cdn.kingstone.com.tw/book/images/product/20136/2013690013425/2013690013425b.jpg
看見台灣的海洋世界,https://www.kingstone.com.tw//basic/2013510017015?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,張崑雄,文經出版社,9789576637162,https://cdn.kingstone.com.tw/book/images/product/20135/2013510017015/2013510017015b.jpg
Formosa 海平面下：浮潛台灣婆娑之洋‧美麗之島,https://www.kingstone.com.tw//basic/2013660005818?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,陳楊文,山岳      ,9789862483190,https://cdn.kingstone.com.tw/book/images/product/20136/2013660005818/2013660005818b.jpg
魚場學（魚海況學）,https://www.kingstone.com.tw//basic/2014870011408?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,元珍,台北弘揚  ,9789866073342,https://cdn.kingstone.com.tw/book/images/product/20148/2014870011408/2014870011408b.jpg
零下任務：臺灣科學界第一次南極長征,https://www.kingstone.com.tw//basic/2013000077239?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,國立海洋生物博物館,時報文化  ,9789571355504,https://cdn.kingstone.com.tw/book/images/product/20130/2013000077239/2013000077239b.jpg
遊水庫聽故事：看水庫的熱鬧與門道,https://www.kingstone.com.tw//basic/2014430011060?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,張炎銘,科技圖書  ,9789576554926,https://cdn.kingstone.com.tw/book/images/product/20144/2014430011060/2014430011060b.jpg
應用水文學,https://www.kingstone.com.tw//basic/2013510011563?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,徐義人,大中國    ,9789575211660,https://cdn.kingstone.com.tw/book/images/product/20135/2013510011563/2013510011563b.jpg
台灣礁岩海岸原地圖,https://www.kingstone.com.tw//basic/2013860004314?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,趙世民,晨星      ,9789574554041,https://cdn.kingstone.com.tw/book/images/product/20138/2013860004314/2013860004314b.jpg
海洋世界奇觀,https://www.kingstone.com.tw//basic/2013080103057?zone=book&lid=book_class3_eeg&actid=book_class3_eeg,益群書店  ,"

立即結帳
",,https://cdn.kingstone.com.tw/book/images/product/20130/2013080103057/2013080103057b.jpg
