書名,書籍網站,作者,出版社,ISBN,圖片網址
插花冊子,https://www.kingstone.com.tw//basic/2019710037457?zone=book&lid=book_class3_egb&actid=book_class3_egb,有吉桂舟,臺灣商務  ,9789570530025,https://cdn.kingstone.com.tw/book/images/product/20197/2019710037457/2019710037457b.jpg
花藝素材百科：600種切花、乾燥花、永生花材完全圖鑑,https://www.kingstone.com.tw//basic/2019710047234?zone=book&lid=book_class3_egb&actid=book_class3_egb,陳根旺;花草遊戲編輯部,麥浩斯    ,9789864085712,https://cdn.kingstone.com.tw/book/images/product/20197/2019710047234/2019710047234b.jpg
Flower Noritake 與花生活的日日：喜歡的花，給喜歡的人－－－－花束、花圈、花藝設計與12個月的植物靈感,https://www.kingstone.com.tw//basic/2019710046992?zone=book&lid=book_class3_egb&actid=book_class3_egb,則武潤二、則武有里,悅知文化  ,9789865100407,https://cdn.kingstone.com.tw/book/images/product/20197/2019710046992/2019710046992b.jpg
浮游花必備寶典,https://www.kingstone.com.tw//basic/2019710045940?zone=book&lid=book_class3_egb&actid=book_class3_egb,陳郁瑄、鄭安婷,旗林文化  ,9789863830924,https://cdn.kingstone.com.tw/book/images/product/20197/2019710045940/2019710045940b.jpg
花店：關於那些花所傳遞的故事,https://www.kingstone.com.tw//basic/2014890050470?zone=book&lid=book_class3_egb&actid=book_class3_egb,李歐納．科仁,行人文化  ,9789869945790,https://cdn.kingstone.com.tw/book/images/product/20148/2014890050470/2014890050470b.jpg
德式花藝名家親傳：花的造型理論.基礎Lesson,https://www.kingstone.com.tw//basic/2019710048606?zone=book&lid=book_class3_egb&actid=book_class3_egb,橋口学,噴泉文化館,9789869928229,https://cdn.kingstone.com.tw/book/images/product/20197/2019710048606/2019710048606b.jpg
一起進階花藝師！架構之設計發想&技巧應用作品實例,https://www.kingstone.com.tw//basic/2029710048599?zone=book&lid=book_class3_egb&actid=book_class3_egb,陳淑娟,噴泉文化館,9789869928236,https://cdn.kingstone.com.tw/book/images/product/20297/2029710048599/2029710048599b.jpg
日常花事：當代花藝設計師的花束、桌花、花飾品，用好取得的草木花材，豐盈生活的美好姿態,https://www.kingstone.com.tw//basic/2011771314676?zone=book&lid=book_class3_egb&actid=book_class3_egb,王楨媛,蘋果屋    ,9789869933506,https://cdn.kingstone.com.tw/book/images/product/20117/2011771314676/2011771314676b.jpg
乾燥花設計圖鑑：160款完美演繹範例集,https://www.kingstone.com.tw//basic/2019710047524?zone=book&lid=book_class3_egb&actid=book_class3_egb,植物生活編輯部,麥浩斯    ,9789864085750,https://cdn.kingstone.com.tw/book/images/product/20197/2019710047524/2019710047524b.jpg
花藝設計基礎理論學Plus,https://www.kingstone.com.tw//basic/2019710047074?zone=book&lid=book_class3_egb&actid=book_class3_egb,磯部健司監修,噴泉文化館,9789869755054,https://cdn.kingstone.com.tw/book/images/product/20197/2019710047074/2019710047074b.jpg
