書名,書籍網站,作者,出版社,ISBN,圖片網址
土壤的基礎知識【超圖解】,https://www.kingstone.com.tw//basic/2014340018968?zone=book&lid=book_class3_egf&actid=book_class3_egf,藤原俊六郎,晨星      ,9789864432332,https://cdn.kingstone.com.tw/book/images/product/20143/2014340018968/2014340018968b.jpg
穿著PRADA的農婦,https://www.kingstone.com.tw//basic/2014310019896?zone=book&lid=book_class3_egf&actid=book_class3_egf,汪怡嘉 Sophia Wang,城邦印書館,9789865514693,https://cdn.kingstone.com.tw/book/images/product/20143/2014310019896/2014310019896b.jpg
豐壤之地：四步農法的如實滋味,https://www.kingstone.com.tw//basic/2014300033710?zone=book&lid=book_class3_egf&actid=book_class3_egf,翁豪杉,柏樂      ,9789869962193,https://cdn.kingstone.com.tw/book/images/product/20143/2014300033710/2014300033710b.jpg
圖解病蟲害的基礎,https://www.kingstone.com.tw//basic/2014330006609?zone=book&lid=book_class3_egf&actid=book_class3_egf,有江力,五南      ,9789577631183,https://cdn.kingstone.com.tw/book/images/product/20143/2014330006609/2014330006609b.jpg
無肥料健康栽培農法：師法自然！共享植物生生不息的成長奧祕。從新手到專家，給希望吃得安心的所有人,https://www.kingstone.com.tw//basic/2014340020749?zone=book&lid=book_class3_egf&actid=book_class3_egf,岡本順孝,瑞昇文化  ,9789864012459,https://cdn.kingstone.com.tw/book/images/product/20143/2014340020749/2014340020749b.jpg
跟著圖解這樣做 有機堆肥不失敗！,https://www.kingstone.com.tw//basic/2014340012966?zone=book&lid=book_class3_egf&actid=book_class3_egf,學研出版社,瑞昇文化  ,9789865749378,https://cdn.kingstone.com.tw/book/images/product/20143/2014340012966/2014340012966b.jpg
果樹栽培不敗的秘訣,https://www.kingstone.com.tw//basic/2014350118207?zone=book&lid=book_class3_egf&actid=book_class3_egf,小林幹夫,大坤書局  ,9789575386610,https://cdn.kingstone.com.tw/book/images/product/20143/2014350118207/2014350118207b.jpg
自己種菜吃，簡單生活的第一步：當個小農也不錯！,https://www.kingstone.com.tw//basic/2014350166758?zone=book&lid=book_class3_egf&actid=book_class3_egf,金子由紀子,遠足文化  ,9789865787455,https://cdn.kingstone.com.tw/book/images/product/20143/2014350166758/2014350166758b.jpg
新編臺灣雜糧作物 第一冊 雜糧作物的特性,https://www.kingstone.com.tw//basic/2014310018554?zone=book&lid=book_class3_egf&actid=book_class3_egf,國內相關領域27位專家學者,豐年社    ,9789869979009,https://cdn.kingstone.com.tw/book/images/product/20143/2014310018554/2014310018554b.jpg
新編臺灣雜糧作物 第二冊 雜糧作物的機能性成分與加工利用,https://www.kingstone.com.tw//basic/2014310018684?zone=book&lid=book_class3_egf&actid=book_class3_egf,國內相關領域17位專家學者,豐年社    ,9789869979016,https://cdn.kingstone.com.tw/book/images/product/20143/2014310018684/2014310018684b.jpg
島耕作農業論,https://www.kingstone.com.tw//basic/2014300029355?zone=book&lid=book_class3_egf&actid=book_class3_egf,弘兼憲史,左岸文化  ,9789865727864,https://cdn.kingstone.com.tw/book/images/product/20143/2014300029355/2014300029355b.jpg
木材物理學：強度性質篇,https://www.kingstone.com.tw//basic/2014300028693?zone=book&lid=book_class3_egf&actid=book_class3_egf,王松永,新學林    ,9789862958605,https://cdn.kingstone.com.tw/book/images/product/20143/2014300028693/2014300028693b.jpg
腳踏食地的智慧.給青年農夫的信：如何打造自然健康的飲食，重建我們的農業與未來,https://www.kingstone.com.tw//basic/2014300028563?zone=book&lid=book_class3_egf&actid=book_class3_egf,石倉食物農業中心,聯經      ,9789570852066,https://cdn.kingstone.com.tw/book/images/product/20143/2014300028563/2014300028563b.jpg
改造傳統農業,https://www.kingstone.com.tw//basic/2014310015638?zone=book&lid=book_class3_egf&actid=book_class3_egf,希歐多爾．威廉．舒爾茨,五南      ,9789571199245,https://cdn.kingstone.com.tw/book/images/product/20143/2014310015638/2014310015638b.jpg
木材物理學：物理性質篇,https://www.kingstone.com.tw//basic/2014000036684?zone=book&lid=book_class3_egf&actid=book_class3_egf,王松永,新學林    ,9789862958575,https://cdn.kingstone.com.tw/book/images/product/20140/2014000036684/2014000036684b.jpg
蔬菜學,https://www.kingstone.com.tw//basic/2014350189498?zone=book&lid=book_class3_egf&actid=book_class3_egf,Gregory E. Welbaum,五南      ,9789571197333,https://cdn.kingstone.com.tw/book/images/product/20143/2014350189498/2014350189498b.jpg
植氣生活：植物系女子的山居日誌,https://www.kingstone.com.tw//basic/2018551812858?zone=book&lid=book_class3_egf&actid=book_class3_egf,曾泉希,晨星      ,9789864434343,https://cdn.kingstone.com.tw/book/images/product/20185/2018551812858/2018551812858b.jpg
三浦伸章的自然農法,https://www.kingstone.com.tw//basic/2014350187074?zone=book&lid=book_class3_egf&actid=book_class3_egf,三浦伸章,晨星      ,9789864433803,https://cdn.kingstone.com.tw/book/images/product/20143/2014350187074/2014350187074b.jpg
土砂災害與防治,https://www.kingstone.com.tw//basic/2014340019620?zone=book&lid=book_class3_egf&actid=book_class3_egf,連惠邦,五南      ,9789571193588,https://cdn.kingstone.com.tw/book/images/product/20143/2014340019620/2014340019620b.jpg
樸門小簡,https://www.kingstone.com.tw//basic/2014300025487?zone=book&lid=book_class3_egf&actid=book_class3_egf,Patrick Whitefield,琉璃光    ,9789578840454,https://cdn.kingstone.com.tw/book/images/product/20143/2014300025487/2014300025487b.jpg
森林裡的香草鋪子,https://www.kingstone.com.tw//basic/2014340018678?zone=book&lid=book_class3_egf&actid=book_class3_egf,萩尾子,養沛文化館,9789865665432,https://cdn.kingstone.com.tw/book/images/product/20143/2014340018678/2014340018678b.jpg
永續農業之植物病害管理,https://www.kingstone.com.tw//basic/2014330005367?zone=book&lid=book_class3_egf&actid=book_class3_egf,黃鴻章,五南      ,9789571190990,https://cdn.kingstone.com.tw/book/images/product/20143/2014330005367/2014330005367b.jpg
東京農業人,https://www.kingstone.com.tw//basic/2014310013894?zone=book&lid=book_class3_egf&actid=book_class3_egf,Beretta,人人      ,9789864610907,https://cdn.kingstone.com.tw/book/images/product/20143/2014310013894/2014310013894b.jpg
農業教授教你種出安心有機餐桌,https://www.kingstone.com.tw//basic/2014350181942?zone=book&lid=book_class3_egf&actid=book_class3_egf,佐倉朗夫,瑞昇文化  ,9789864011544,https://cdn.kingstone.com.tw/book/images/product/20143/2014350181942/2014350181942b.jpg
稻作革命SRI（ System of Rice Intensification）,https://www.kingstone.com.tw//basic/2014340018258?zone=book&lid=book_class3_egf&actid=book_class3_egf,Norman Uphoff,SRI 保育型,9789869374101,https://cdn.kingstone.com.tw/book/images/product/20143/2014340018258/2014340018258b.jpg
校園綠色廚房,https://www.kingstone.com.tw//basic/2015250051861?zone=book&lid=book_class3_egf&actid=book_class3_egf,宋秉明,遠足文化  ,9789869351263,https://cdn.kingstone.com.tw/book/images/product/20152/2015250051861/2015250051861b.jpg
食癒：樸門綠生活‧動手做好食,https://www.kingstone.com.tw//basic/2014271269705?zone=book&lid=book_class3_egf&actid=book_class3_egf,亞曼Yamana（唐嚴漢）,晨星      ,9789864431434,https://cdn.kingstone.com.tw/book/images/product/20142/2014271269705/2014271269705b.jpg
家庭水耕及無土介質蔬菜栽培入門,https://www.kingstone.com.tw//basic/2024350175636?zone=book&lid=book_class3_egf&actid=book_class3_egf,園藝編輯組,文國書局  ,9789862471494,https://cdn.kingstone.com.tw/book/images/product/20243/2024350175636/2024350175636b.jpg
屏東農業產業發展藍皮書,https://www.kingstone.com.tw//basic/2014310011180?zone=book&lid=book_class3_egf&actid=book_class3_egf,蘇震清,博誌文化  ,9789862101223,https://cdn.kingstone.com.tw/book/images/product/20143/2014310011180/2014310011180b.jpg
台灣有機生態家園,https://www.kingstone.com.tw//basic/2014300022981?zone=book&lid=book_class3_egf&actid=book_class3_egf,施云,晨星      ,9789861779997,https://cdn.kingstone.com.tw/book/images/product/20143/2014300022981/2014300022981b.jpg
菜籃子革命：從共同購買到合作找幸福,https://www.kingstone.com.tw//basic/2015590003834?zone=book&lid=book_class3_egf&actid=book_class3_egf,主婦聯盟生活消費合作社,廣場出版  ,9789868962262,https://cdn.kingstone.com.tw/book/images/product/20155/2015590003834/2015590003834b.jpg
有機無農藥的豐收秘訣：懶人專用~不用費力除草也能大豐收！,https://www.kingstone.com.tw//basic/2014350169704?zone=book&lid=book_class3_egf&actid=book_class3_egf,西村和雄,瑞昇文化  ,9789865749941,https://cdn.kingstone.com.tw/book/images/product/20143/2014350169704/2014350169704b.jpg
果園人生：從代工到厚工的斗六文旦,https://www.kingstone.com.tw//basic/2014310010688?zone=book&lid=book_class3_egf&actid=book_class3_egf,余世芳,無限出版  ,9789869108225,https://cdn.kingstone.com.tw/book/images/product/20143/2014310010688/2014310010688b.jpg
半農半創作，悠悠晃晃的每一天：早川由美的耕食生活手記,https://www.kingstone.com.tw//basic/2018611154195?zone=book&lid=book_class3_egf&actid=book_class3_egf,早川由美,大藝出版  ,9789869024006,https://cdn.kingstone.com.tw/book/images/product/20186/2018611154195/2018611154195b.jpg
安心豐味：產地上的餐桌12位在地小農的55道無毒美味私提案,https://www.kingstone.com.tw//basic/2014320008675?zone=book&lid=book_class3_egf&actid=book_class3_egf,野菜人工作室,帕斯頓出版,9789869056519,https://cdn.kingstone.com.tw/book/images/product/20143/2014320008675/2014320008675b.jpg
這樣防治病蟲害，蔬果一定大豐收！,https://www.kingstone.com.tw//basic/2014340012836?zone=book&lid=book_class3_egf&actid=book_class3_egf,根本久,瑞昇文化  ,9789865749361,https://cdn.kingstone.com.tw/book/images/product/20143/2014340012836/2014340012836b.jpg
住在田中央！農夫、土地與他們的自給自足餐桌,https://www.kingstone.com.tw//basic/2014310009729?zone=book&lid=book_class3_egf&actid=book_class3_egf,好吃編輯部,麥浩斯    ,9789865802790,https://cdn.kingstone.com.tw/book/images/product/20143/2014310009729/2014310009729b.jpg
開發暢銷商品之探索與分析：六級產業化 農商工合作的新創商業模式,https://www.kingstone.com.tw//basic/2014310009569?zone=book&lid=book_class3_egf&actid=book_class3_egf,後久博,中衛      ,9789867690920,https://cdn.kingstone.com.tw/book/images/product/20143/2014310009569/2014310009569b.jpg
這輩子一定要當一次農夫：不必棄業、不用下鄉，從菜園到餐桌的綠色療癒之旅,https://www.kingstone.com.tw//basic/2014310009279?zone=book&lid=book_class3_egf&actid=book_class3_egf,林黛羚,自由之丘  ,9789868954779,https://cdn.kingstone.com.tw/book/images/product/20143/2014310009279/2014310009279b.jpg
水梯田！貢寮山村的故事,https://www.kingstone.com.tw//basic/2018577791755?zone=book&lid=book_class3_egf&actid=book_class3_egf,人禾基金會團隊,無限出版  ,9789868925557,https://cdn.kingstone.com.tw/book/images/product/20185/2018577791755/2018577791755b.jpg
群聚在地的幸福力量,https://www.kingstone.com.tw//basic/2014390003631?zone=book&lid=book_class3_egf&actid=book_class3_egf,吳佳懋,資策會    ,9789575815080,https://cdn.kingstone.com.tw/book/images/product/20143/2014390003631/2014390003631b.jpg
