書名,書籍網站,作者,出版社,ISBN,圖片網址
猛禽觀察圖鑑（全新增訂版） A Field Guide to the Raptors of Taiwan,https://www.kingstone.com.tw//basic/2013880050117?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,林文宏,遠流      ,9789573287452,https://cdn.kingstone.com.tw/book/images/product/20138/2013880050117/2013880050117b.jpg
噢！原來如此有趣的鳥類學,https://www.kingstone.com.tw//basic/2013880051589?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,陳湘靜、林大利,麥浩斯    ,9789864086368,https://cdn.kingstone.com.tw/book/images/product/20138/2013880051589/2013880051589b.jpg
非實用野鳥圖鑑：600種鳥類變身搞笑全紀錄【十週年台灣特有版】,https://www.kingstone.com.tw//basic/2013880049548?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,富士鷹茄子,遠流      ,9789573287261,https://cdn.kingstone.com.tw/book/images/product/20138/2013880049548/2013880049548b.jpg
當然問鸚鵡才清楚！最誠實的鸚鵡行為百科【超萌圖解】：日本寵物鳥專家全面解析從習性、溝通到身體祕密的13,https://www.kingstone.com.tw//basic/2014370167186?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,磯崎哲也,一起來出版,9789869756709,https://cdn.kingstone.com.tw/book/images/product/20143/2014370167186/2014370167186b.jpg
第一次養鸚鵡就戀愛了！【超萌圖解】鸚鵡飼育百科：從日常照料、玩耍訓練到健康照護，鳥寶一生全指南,https://www.kingstone.com.tw//basic/2014370165922?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,BIRDSTORY,野人文化  ,9789863843351,https://cdn.kingstone.com.tw/book/images/product/20143/2014370165922/2014370165922b.jpg
臺灣野鳥圖鑑〔陸鳥篇〕增訂版,https://www.kingstone.com.tw//basic/2013880053163?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,廖本興,晨星      ,9786267009031,https://cdn.kingstone.com.tw/book/images/product/20138/2013880053163/2013880053163b.jpg
鳥類骨骼圖鑑：從駝鳥到麻雀，收錄145種珍貴鳥類標示！,https://www.kingstone.com.tw//basic/2013800050593?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,川上和人,台灣東販  ,9789865115753,https://cdn.kingstone.com.tw/book/images/product/20138/2013800050593/2013800050593b.jpg
馬克先生的鸚鵡教室,https://www.kingstone.com.tw//basic/2014370175419?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,馬克先生,藍海文化  ,9789866432958,https://cdn.kingstone.com.tw/book/images/product/20143/2014370175419/2014370175419b.jpg
鷹飛基隆：台灣最美的四季賞鷹秘境（二版）,https://www.kingstone.com.tw//basic/2013880050667?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,陳世一,新自然主義,9789579528733,https://cdn.kingstone.com.tw/book/images/product/20138/2013880050667/2013880050667b.jpg
親手做健康鳥鮮食,https://www.kingstone.com.tw//basic/2014370168428?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,後藤美穗,晨星      ,9789864438976,https://cdn.kingstone.com.tw/book/images/product/20143/2014370168428/2014370168428b.jpg
鸚鵡的肢體語言超好懂！（暢銷版）,https://www.kingstone.com.tw//basic/2014370168268?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,濱本麻衣監修,漢欣文化  ,9789576867811,https://cdn.kingstone.com.tw/book/images/product/20143/2014370168268/2014370168268b.jpg
文鳥飼養日記：照顧x教養x遊戲，一起度過親親時光！,https://www.kingstone.com.tw//basic/2013830016361?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,伊藤 美代子,台灣東販  ,9789864753444,https://cdn.kingstone.com.tw/book/images/product/20138/2013830016361/2013830016361b.jpg
絕美展翅瞬間 鳥類飛行圖鑑,https://www.kingstone.com.tw//basic/2013810000656?zone=book&lid=book_class3_ehf&actid=book_class3_ehf,X-Knowledge Co.- Ltd.編著,台灣東販  ,9789863317470,https://cdn.kingstone.com.tw/book/images/product/20138/2013810000656/2013810000656b.jpg
