書名,書籍網站,作者,出版社,ISBN,圖片網址
台灣淡水蟹圖鑑,https://www.kingstone.com.tw//basic/2013870032499?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,施志盷,晨星      ,9789861772691,https://cdn.kingstone.com.tw/book/images/product/20138/2013870032499/2013870032499b.jpg
海洋解剖書：超過650幅海洋博物繪，帶你深入淺出，全方位探索洋流、地形、鯨豚等自然知識,https://www.kingstone.com.tw//basic/2013660009786?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,茱莉亞．羅思曼,漫遊者    ,9789864894642,https://cdn.kingstone.com.tw/book/images/product/20136/2013660009786/2013660009786b.jpg
觀賞水產養殖學（第2版）,https://www.kingstone.com.tw//basic/2014380008813?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,鄭曙明 主編,崧燁文化  ,9789577357014,https://cdn.kingstone.com.tw/book/images/product/20143/2014380008813/2014380008813b.jpg
重返藍色星球：發現海洋新世界,https://www.kingstone.com.tw//basic/2013660008734?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,詹姆斯．杭尼波恩、馬克．布朗,好讀      ,9789861784618,https://cdn.kingstone.com.tw/book/images/product/20136/2013660008734/2013660008734b.jpg
生命無奇不有！海、河、湖的怪奇生物圖鑑,https://www.kingstone.com.tw//basic/2013080018733?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,武田正倫,台灣東販  ,9789864754755,https://cdn.kingstone.com.tw/book/images/product/20130/2013080018733/2013080018733b.jpg
海裡的那檔子事：狂野奇麗的海洋動物多樣性,https://www.kingstone.com.tw//basic/2013830016651?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,瑪樂．哈德特,天下文化  ,9789864792238,https://cdn.kingstone.com.tw/book/images/product/20138/2013830016651/2013830016651b.jpg
四百歲的睡鯊與深藍色的節奏,https://www.kingstone.com.tw//basic/2013880045540?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,摩頓．史托克奈斯,網路與書  ,9789866841866,https://cdn.kingstone.com.tw/book/images/product/20138/2013880045540/2013880045540b.jpg
溪流：120種溪流生物的奧祕,https://www.kingstone.com.tw//basic/2013660006600?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,詹見平,人人      ,9789864610075,https://cdn.kingstone.com.tw/book/images/product/20136/2013660006600/2013660006600b.jpg
水豚〔附精美海報〕,https://www.kingstone.com.tw//basic/2013890015687?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,渡邊克仁,臉譜文化  ,9789862353714,https://cdn.kingstone.com.tw/book/images/product/20138/2013890015687/2013890015687b.jpg
虎圖典,https://www.kingstone.com.tw//basic/2014370141100?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,張大慶、曾偉杰,魚雜誌社  ,9789868452787,https://cdn.kingstone.com.tw/book/images/product/20143/2014370141100/2014370141100b.jpg
養殖工程學,https://www.kingstone.com.tw//basic/2014380004655?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,李龍雄,前程出版社,9789577044778,https://cdn.kingstone.com.tw/book/images/product/20143/2014380004655/2014380004655b.jpg
石斑養殖學：應用篇,https://www.kingstone.com.tw//basic/2014830047409?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,曾文陽,前程出版社,9789577044693,https://cdn.kingstone.com.tw/book/images/product/20148/2014830047409/2014830047409b.jpg
亞洲產鮑魚養殖學,https://www.kingstone.com.tw//basic/2014370134959?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,曾文陽,前程出版社,9789577044686,https://cdn.kingstone.com.tw/book/images/product/20143/2014370134959/2014370134959b.jpg
深海奇珍（平裝版）,https://www.kingstone.com.tw//basic/2013660005108?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,克萊兒．露芙安,商周出版  ,4717702079307,https://cdn.kingstone.com.tw/book/images/product/20136/2013660005108/2013660005108b.jpg
全球化、海洋生態與國際漁業法發展之新趨勢,https://www.kingstone.com.tw//basic/2014380004105?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,王冠雄,秀威資訊  ,9789862216996,https://cdn.kingstone.com.tw/book/images/product/20143/2014380004105/2014380004105b.jpg
水產養殖學 （上冊）,https://www.kingstone.com.tw//basic/2014830047669?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,李龍雄,前程出版社,9789579574730,https://cdn.kingstone.com.tw/book/images/product/20148/2014830047669/2014830047669b.jpg
從零開始的水草生機—徐志雄把惡田變黃金的經營學,https://www.kingstone.com.tw//basic/2014350144060?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,徐志雄,雅書堂    ,9789866277375,https://cdn.kingstone.com.tw/book/images/product/20143/2014350144060/2014350144060b.jpg
台灣海龍宮：探訪千奇百怪的海洋生物,https://www.kingstone.com.tw//basic/2013660004736?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,邵廣昭,遠流      ,9789573266075,https://cdn.kingstone.com.tw/book/images/product/20136/2013660004736/2013660004736b.jpg
海產蝦類人工養殖學（應用篇）,https://www.kingstone.com.tw//basic/2014830047249?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,曾文陽,前程出版社,9789577040039,https://cdn.kingstone.com.tw/book/images/product/20148/2014830047249/2014830047249b.jpg
水產養殖學 （下冊）,https://www.kingstone.com.tw//basic/2014830047539?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,李龍雄,前程出版社,9789577044075,https://cdn.kingstone.com.tw/book/images/product/20148/2014830047539/2014830047539b.jpg
動物疾病治療驗方（牛篇）,https://www.kingstone.com.tw//basic/2014370128910?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,喻本元等編撰,文興出版  ,9789868120051,https://cdn.kingstone.com.tw/book/images/product/20143/2014370128910/2014370128910b.jpg
水產養殖學 （中冊）,https://www.kingstone.com.tw//basic/2014830047799?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,李龍雄,前程出版社,9789579574747,https://cdn.kingstone.com.tw/book/images/product/20148/2014830047799/2014830047799b.jpg
鱉病防治技術圖解  （88年新出版）,https://www.kingstone.com.tw//basic/2014370134829?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,葉重光,前程出版社,9789577041425,https://cdn.kingstone.com.tw/book/images/product/20143/2014370134829/2014370134829b.jpg
中國漁業史,https://www.kingstone.com.tw//basic/2014370121706?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,李士豪,臺灣商務  ,9789570506297,https://cdn.kingstone.com.tw/book/images/product/20143/2014370121706/2014370121706b.jpg
海洋的極端生物,https://www.kingstone.com.tw//basic/2013660008154?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,史蒂芬．帕隆比,衛城出版  ,9789869480208,https://cdn.kingstone.com.tw/book/images/product/20136/2013660008154/2013660008154b.jpg
珊瑚礁潮間帶：120種珊瑚礁潮間帶生物,https://www.kingstone.com.tw//basic/2013660007072?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,鄭清海,人人      ,9789864610099,https://cdn.kingstone.com.tw/book/images/product/20136/2013660007072/2013660007072b.jpg
科學揭祕動物世界02：海洋類,https://www.kingstone.com.tw//basic/2013800038645?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,于今昌主編,麗文文化  ,9789577486073,https://cdn.kingstone.com.tw/book/images/product/20138/2013800038645/2013800038645b.jpg
豬病臨床診斷學：四十年豬病診斷經驗紀要,https://www.kingstone.com.tw//basic/2014370145528?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,陳三多,黎明文化  ,9789571608549,https://cdn.kingstone.com.tw/book/images/product/20143/2014370145528/2014370145528b.jpg
台灣淡水及河口魚圖鑑,https://www.kingstone.com.tw//basic/2013880036975?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,周銘泰,晨星      ,9789861775449,https://cdn.kingstone.com.tw/book/images/product/20138/2013880036975/2013880036975b.jpg
蝦類生物科技養殖技術,https://www.kingstone.com.tw//basic/2014830047119?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,張文重,前程出版社,9789577044488,https://cdn.kingstone.com.tw/book/images/product/20148/2014830047119/2014830047119b.jpg
水產種苗培育技術,https://www.kingstone.com.tw//basic/2014830047379?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,張文重,前程出版社,9789577044129,https://cdn.kingstone.com.tw/book/images/product/20148/2014830047379/2014830047379b.jpg
台灣賞蟹情報,https://www.kingstone.com.tw//basic/2013870031317?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,李榮祥,天下文化  ,9789862161890,https://cdn.kingstone.com.tw/book/images/product/20138/2013870031317/2013870031317b.jpg
鮑魚不是魚?-海洋生物的新鮮事,https://www.kingstone.com.tw//basic/2013660004316?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,海魚達人,可道書房  ,9789867386601,https://cdn.kingstone.com.tw/book/images/product/20136/2013660004316/2013660004316b.jpg
和大自然做朋友系列九：和貝類做朋友,https://www.kingstone.com.tw//basic/2013860004604?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,陳文德,人人      ,9789867916990,https://cdn.kingstone.com.tw/book/images/product/20138/2013860004604/2013860004604b.jpg
雞病防治手冊,https://www.kingstone.com.tw//basic/2014370097186?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,劉福安編著,五洲      ,9789576012341,https://cdn.kingstone.com.tw/book/images/product/20143/2014370097186/2014370097186b.jpg
台灣的漁業,https://www.kingstone.com.tw//basic/2014370086067?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,胡興華,遠足文化  ,9789572803165,https://cdn.kingstone.com.tw/book/images/product/20143/2014370086067/2014370086067b.jpg
海洋生物博物館導覽,https://www.kingstone.com.tw//basic/2013800017459?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,國立海洋博,聯經      ,9789570824506,https://cdn.kingstone.com.tw/book/images/product/20138/2013800017459/2013800017459b.jpg
黃海北部中國對蝦增值,https://www.kingstone.com.tw//basic/2014370081307?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,葉昌臣等,水產      ,9789578596641,https://cdn.kingstone.com.tw/book/images/product/20143/2014370081307/2014370081307b.jpg
藍色運動：尋回台灣的海洋生物,https://www.kingstone.com.tw//basic/2013660002602?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,邵廣昭,聯經      ,9789570821628,https://cdn.kingstone.com.tw/book/images/product/20136/2013660002602/2013660002602b.jpg
臺灣海洋生物,https://www.kingstone.com.tw//basic/2013860003782?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,鄭明修,觀光傳播局,9789570261158,https://cdn.kingstone.com.tw/book/images/product/20138/2013860003782/2013860003782b.jpg
養鴨手冊,https://www.kingstone.com.tw//basic/2014370079496?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,林其騄,五洲      ,9789576011962,https://cdn.kingstone.com.tw/book/images/product/20143/2014370079496/2014370079496b.jpg
現代養兔實用新技術,https://www.kingstone.com.tw//basic/2014370079526?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,沈幼章．王,五洲      ,9789576011955,https://cdn.kingstone.com.tw/book/images/product/20143/2014370079526/2014370079526b.jpg
鹿病防治手冊,https://www.kingstone.com.tw//basic/2014370079656?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,葛明玉．邴,五洲      ,9789576011948,https://cdn.kingstone.com.tw/book/images/product/20143/2014370079656/2014370079656b.jpg
養蜂手冊,https://www.kingstone.com.tw//basic/2014380001609?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,黃文誠．吳,五洲      ,9789576011979,https://cdn.kingstone.com.tw/book/images/product/20143/2014380001609/2014380001609b.jpg
箱綱養殖,https://www.kingstone.com.tw//basic/2014370076440?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,歐慶賢,水產      ,9789578596474,https://cdn.kingstone.com.tw/book/images/product/20143/2014370076440/2014370076440b.jpg
漁業法規（精）部編大學用書,https://www.kingstone.com.tw//basic/2014370129092?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,黃異,渤海堂    ,9789578970564,https://cdn.kingstone.com.tw/book/images/product/20143/2014370129092/2014370129092b.jpg
海洋生物技術原理和應用,https://www.kingstone.com.tw//basic/2013680002088?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,張士璀等,水產      ,9789578596498,https://cdn.kingstone.com.tw/book/images/product/20136/2013680002088/2013680002088b.jpg
水產動物營養與飼料學,https://www.kingstone.com.tw//basic/2014370073784?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,李發杰,水產      ,9789578596412,https://cdn.kingstone.com.tw/book/images/product/20143/2014370073784/2014370073784b.jpg
鮑全程經濟養殖,https://www.kingstone.com.tw//basic/2014370073074?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,黃貴民,水產      ,9789578596436,https://cdn.kingstone.com.tw/book/images/product/20143/2014370073074/2014370073074b.jpg
鰻蟹蛙養殖技術,https://www.kingstone.com.tw//basic/2013600007704?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,張愷等合編,五洲      ,9789576011474,https://cdn.kingstone.com.tw/book/images/product/20136/2013600007704/2013600007704b.jpg
水產品的養殖,https://www.kingstone.com.tw//basic/2014370072572?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,蔡世然,五洲      ,9789576011450,https://cdn.kingstone.com.tw/book/images/product/20143/2014370072572/2014370072572b.jpg
蚯蚓的利用與養殖,https://www.kingstone.com.tw//basic/2014380001579?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,謝宜敏,五洲      ,9789576011405,https://cdn.kingstone.com.tw/book/images/product/20143/2014380001579/2014380001579b.jpg
大鯇生物學與養殖實用技術,https://www.kingstone.com.tw//basic/2013650000120?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,金立成,水產      ,9789578596405,https://cdn.kingstone.com.tw/book/images/product/20136/2013650000120/2013650000120b.jpg
臺灣的美食,https://www.kingstone.com.tw//basic/2014830006499?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,陳美妃,國際村文庫,9789577543769,https://cdn.kingstone.com.tw/book/images/product/20148/2014830006499/2014830006499b.jpg
生物餌料培養,https://www.kingstone.com.tw//basic/2014370071650?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,陳明耀,水產      ,9789578596382,https://cdn.kingstone.com.tw/book/images/product/20143/2014370071650/2014370071650b.jpg
蝦類飼養與繁殖,https://www.kingstone.com.tw//basic/2013680001586?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,藤永原,五洲      ,9789576011320,https://cdn.kingstone.com.tw/book/images/product/20136/2013680001586/2013680001586b.jpg
貝類學概論,https://www.kingstone.com.tw//basic/2013860003362?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,蔡英亞,水產      ,9789578596313,https://cdn.kingstone.com.tw/book/images/product/20138/2013860003362/2013860003362b.jpg
水產經營學,https://www.kingstone.com.tw//basic/2014370070608?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,黃貴民,水產      ,9789578596337,https://cdn.kingstone.com.tw/book/images/product/20143/2014370070608/2014370070608b.jpg
魚水之歡悠遊：觀賞魚的飼養與繁殖,https://www.kingstone.com.tw//basic/2014370070578?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,葉依雨,台灣廣廈  ,9789578928978,https://cdn.kingstone.com.tw/book/images/product/20143/2014370070578/2014370070578b.jpg
水產養殖設備及器材手冊,https://www.kingstone.com.tw//basic/2014370069459?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,楊振民,水產      ,9789578596344,https://cdn.kingstone.com.tw/book/images/product/20143/2014370069459/2014370069459b.jpg
看圖學養鱉技術,https://www.kingstone.com.tw//basic/2019990127473?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,葉重光,前程出版社,9789577040855,https://cdn.kingstone.com.tw/book/images/product/20199/2019990127473/2019990127473b.jpg
貝殼圖鑑,https://www.kingstone.com.tw//basic/2013860003232?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,S.彼得．當斯,貓頭鷹    ,9789578686984,https://cdn.kingstone.com.tw/book/images/product/20138/2013860003232/2013860003232b.jpg
漁業資源增殖～理論．方法．評估．管理～,https://www.kingstone.com.tw//basic/2014370068117?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,葉昌臣,水產      ,9789578596238,https://cdn.kingstone.com.tw/book/images/product/20143/2014370068117/2014370068117b.jpg
水產動物疾病學,https://www.kingstone.com.tw//basic/2024370066846?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,黃琪琰主編,水產      ,9789578596177,https://cdn.kingstone.com.tw/book/images/product/20243/2024370066846/2024370066846b.jpg
熱帶魚的飼養與繁殖,https://www.kingstone.com.tw//basic/2014370063907?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,牧野信司,世茂      ,9789575293772,https://cdn.kingstone.com.tw/book/images/product/20143/2014370063907/2014370063907b.jpg
水產製造,https://www.kingstone.com.tw//basic/2014370011328?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,徐氏文教  ,停售,,https://cdn.kingstone.com.tw/book/images/product/20143/2014370011328/2014370011328b.jpg
臺灣畜牧事業與對外貿,https://www.kingstone.com.tw//basic/2014830000367?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,行政院研考,停售,,https://cdn.kingstone.com.tw/book/images/product/20148/2014830000367/2014830000367b.jpg
最新水產食品學,https://www.kingstone.com.tw//basic/2014630002523?zone=book&lid=book_class3_ehj&actid=book_class3_ehj,續光清,徐氏文教  ,,https://cdn.kingstone.com.tw/book/images/product/20146/2014630002523/2014630002523b.jpg
