書名,書籍網站,作者,出版社,ISBN,圖片網址
上一堂輕鬆的科技小史：從基因工程到人工智慧，數理學渣也能快速上手的科技課,https://www.kingstone.com.tw//basic/2013000148151?zone=book&lid=book_class3_eia&actid=book_class3_eia,侯東政,崧燁文化  ,9789865166939,https://cdn.kingstone.com.tw/book/images/product/20130/2013000148151/2013000148151b.jpg
工程師的思考法則：擁有科學邏輯的頭腦，像工程師一樣思考,https://www.kingstone.com.tw//basic/2014400150133?zone=book&lid=book_class3_eia&actid=book_class3_eia,約翰．庫本納斯,原點      ,9789579072762,https://cdn.kingstone.com.tw/book/images/product/20144/2014400150133/2014400150133b.jpg
ANSYS Workbench有限元素分析及工程應用（附範例VCD）,https://www.kingstone.com.tw//basic/2014713270962?zone=book&lid=book_class3_eia&actid=book_class3_eia,蔡國忠,易習圖書  ,9789866154515,https://cdn.kingstone.com.tw/book/images/product/20147/2014713270962/2014713270962b.jpg
職人的思考法則套書（三冊：《工程師的思考法則》、《法律人的思考法則》、《廣告人的行銷法則》,https://www.kingstone.com.tw//basic/2013000147949?zone=book&lid=book_class3_eia&actid=book_class3_eia,約翰．庫本納斯,原點      ,9789860688221,https://cdn.kingstone.com.tw/book/images/product/20130/2013000147949/2013000147949b.jpg
圖解天工開物（彩繪圖解經典重製版）,https://www.kingstone.com.tw//basic/2013000141367?zone=book&lid=book_class3_eia&actid=book_class3_eia,宋應星,華滋文化  ,9789869829717,https://cdn.kingstone.com.tw/book/images/product/20130/2013000141367/2013000141367b.jpg
Make：國際中文版40,https://www.kingstone.com.tw//basic/2014000037346?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050635,https://cdn.kingstone.com.tw/book/images/product/20140/2014000037346/2014000037346b.jpg
Make：國際中文版39,https://www.kingstone.com.tw//basic/2014000036974?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050611,https://cdn.kingstone.com.tw/book/images/product/20140/2014000036974/2014000036974b.jpg
酷程式：給孩子的神奇程式知識,https://www.kingstone.com.tw//basic/2013120488632?zone=book&lid=book_class3_eia&actid=book_class3_eia,羅伯特．韓森,遠流      ,9789573283966,https://cdn.kingstone.com.tw/book/images/product/20131/2013120488632/2013120488632b.jpg
Make：國際中文版38,https://www.kingstone.com.tw//basic/2014000036714?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050604,https://cdn.kingstone.com.tw/book/images/product/20140/2014000036714/2014000036714b.jpg
再讀一遍！1000個重要發明＆發現：終結一知半解！一本掌握發明發現全史，大量漫畫、插圖、圖解，內附發明,https://www.kingstone.com.tw//basic/2014400144804?zone=book&lid=book_class3_eia&actid=book_class3_eia,世界文化社,瑞昇文化  ,9789864012800,https://cdn.kingstone.com.tw/book/images/product/20144/2014400144804/2014400144804b.jpg
仿生高科技：源於自然的科技靈感,https://www.kingstone.com.tw//basic/2013600027818?zone=book&lid=book_class3_eia&actid=book_class3_eia,瑪特．富尼耶,楓樹林    ,9789869669481,https://cdn.kingstone.com.tw/book/images/product/20136/2013600027818/2013600027818b.jpg
Make：國際中文版37,https://www.kingstone.com.tw//basic/2014000036554?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050581,https://cdn.kingstone.com.tw/book/images/product/20140/2014000036554/2014000036554b.jpg
Make：國際中文版36,https://www.kingstone.com.tw//basic/2014000036004?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050567,https://cdn.kingstone.com.tw/book/images/product/20140/2014000036004/2014000036004b.jpg
Make：國際中文版35,https://www.kingstone.com.tw//basic/2014000035342?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050543,https://cdn.kingstone.com.tw/book/images/product/20140/2014000035342/2014000035342b.jpg
Make：國際中文版34,https://www.kingstone.com.tw//basic/2014000034840?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050536,https://cdn.kingstone.com.tw/book/images/product/20140/2014000034840/2014000034840b.jpg
Make：國際中文版33,https://www.kingstone.com.tw//basic/2014000034680?zone=book&lid=book_class3_eia&actid=book_class3_eia,MAKER MEDIA,馥林文化  ,9789864050505,https://cdn.kingstone.com.tw/book/images/product/20140/2014000034680/2014000034680b.jpg
