書名,書籍網站,作者,出版社,ISBN,圖片網址
可程式控制器PLC應用,https://www.kingstone.com.tw//basic/2014480872222?zone=book&lid=book_class3_eif&actid=book_class3_eif,張宥凱、張榮洲、邱創標,新文京    ,9789864304097,https://cdn.kingstone.com.tw/book/images/product/20144/2014480872222/2014480872222b.jpg
人工智能：馴服賽維坦,https://www.kingstone.com.tw//basic/2015410283224?zone=book&lid=book_class3_eif&actid=book_class3_eif,高奇琦,香港中和  ,9789888570232,https://cdn.kingstone.com.tw/book/images/product/20154/2015410283224/2015410283224b.jpg
機器人+：正在席捲全球的機器人革命,https://www.kingstone.com.tw//basic/2014000035472?zone=book&lid=book_class3_eif&actid=book_class3_eif,劉芳棟、林偉、朱建良,崧燁文化  ,9789865603700,https://cdn.kingstone.com.tw/book/images/product/20140/2014000035472/2014000035472b.jpg
FPGA晶片設計實務【附範例光碟】,https://www.kingstone.com.tw//basic/2014480871010?zone=book&lid=book_class3_eif&actid=book_class3_eif,張義和、程兆龍,新文京    ,9789864303991,https://cdn.kingstone.com.tw/book/images/product/20144/2014480871010/2014480871010b.jpg
機器人實體圖解,https://www.kingstone.com.tw//basic/2014480870648?zone=book&lid=book_class3_eif&actid=book_class3_eif,神崎洋治,世茂      ,9789578799103,https://cdn.kingstone.com.tw/book/images/product/20144/2014480870648/2014480870648b.jpg
微電腦應用實習【附範例光碟】,https://www.kingstone.com.tw//basic/2014713548160?zone=book&lid=book_class3_eif&actid=book_class3_eif,程兆龍、張義和,新文京    ,9789864303816,https://cdn.kingstone.com.tw/book/images/product/20147/2014713548160/2014713548160b.jpg
Java與樂高機器人的完美CP組合,https://www.kingstone.com.tw//basic/2014480868577?zone=book&lid=book_class3_eif&actid=book_class3_eif,鄭劍春 魏曉暉,佳魁      ,9789863795483,https://cdn.kingstone.com.tw/book/images/product/20144/2014480868577/2014480868577b.jpg
自動控制系統基礎與應用,https://www.kingstone.com.tw//basic/2014480868447?zone=book&lid=book_class3_eif&actid=book_class3_eif,工業技術研究院,五南      ,9789571190297,https://cdn.kingstone.com.tw/book/images/product/20144/2014480868447/2014480868447b.jpg
可程式控制器實務（第三版）,https://www.kingstone.com.tw//basic/2014480867945?zone=book&lid=book_class3_eif&actid=book_class3_eif,洪志育,新文京    ,9789864300396,https://cdn.kingstone.com.tw/book/images/product/20144/2014480867945/2014480867945b.jpg
誰都會做的超好玩感測機器人,https://www.kingstone.com.tw//basic/2014480866023?zone=book&lid=book_class3_eif&actid=book_class3_eif,熊谷文宏,馥林文化  ,9789864050369,https://cdn.kingstone.com.tw/book/images/product/20144/2014480866023/2014480866023b.jpg
基礎自動控制,https://www.kingstone.com.tw//basic/2014480864289?zone=book&lid=book_class3_eif&actid=book_class3_eif,黃中彥,五南      ,9789571187808,https://cdn.kingstone.com.tw/book/images/product/20144/2014480864289/2014480864289b.jpg
智慧型機器人實作－－使用FPGA（第二版）【附範例及解答光碟】,https://www.kingstone.com.tw//basic/2014480864319?zone=book&lid=book_class3_eif&actid=book_class3_eif,廖裕評/陸瑞強,新文京    ,9789864302062,https://cdn.kingstone.com.tw/book/images/product/20144/2014480864319/2014480864319b.jpg
自動控制（第二版）【附學習資料及試題光碟】,https://www.kingstone.com.tw//basic/2014480863947?zone=book&lid=book_class3_eif&actid=book_class3_eif,楊基鑫,新文京    ,9789864302192,https://cdn.kingstone.com.tw/book/images/product/20144/2014480863947/2014480863947b.jpg
數控工具機與實習（第二版）,https://www.kingstone.com.tw//basic/2014460206559?zone=book&lid=book_class3_eif&actid=book_class3_eif,邱仕堂,新文京    ,9789864301904,https://cdn.kingstone.com.tw/book/images/product/20144/2014460206559/2014460206559b.jpg
3小時讀通基礎機械設計,https://www.kingstone.com.tw//basic/2014460206429?zone=book&lid=book_class3_eif&actid=book_class3_eif,門田和雄,世茂      ,9789869317832,https://cdn.kingstone.com.tw/book/images/product/20144/2014460206429/2014460206429b.jpg
自動化控制元件設計與應用：台達PLC/HMI/SERVO應用開發,https://www.kingstone.com.tw//basic/2014480857588?zone=book&lid=book_class3_eif&actid=book_class3_eif,曾百由,五南      ,9789571184845,https://cdn.kingstone.com.tw/book/images/product/20144/2014480857588/2014480857588b.jpg
百變金鋼：新一代樂高機器人EV3讓你從玩家變成專家,https://www.kingstone.com.tw//basic/2014480856956?zone=book&lid=book_class3_eif&actid=book_class3_eif,李春雄,書泉      ,9789864510528,https://cdn.kingstone.com.tw/book/images/product/20144/2014480856956/2014480856956b.jpg
未來機器實現到什麼程度了呢？空氣動力車、超級超音速機、錶型通訊機、自動調理機、機器人,https://www.kingstone.com.tw//basic/2014090003399?zone=book&lid=book_class3_eif&actid=book_class3_eif,石川憲二,馥林文化  ,9789866535734,https://cdn.kingstone.com.tw/book/images/product/20140/2014090003399/2014090003399b.jpg
機器人科技,https://www.kingstone.com.tw//basic/2014480847091?zone=book&lid=book_class3_eif&actid=book_class3_eif,日本機器人學會,馥林文化  ,9789866076824,https://cdn.kingstone.com.tw/book/images/product/20144/2014480847091/2014480847091b.jpg
自動控制系統,https://www.kingstone.com.tw//basic/2014480847541?zone=book&lid=book_class3_eif&actid=book_class3_eif,鄒宏基,國家      ,9789573614135,https://cdn.kingstone.com.tw/book/images/product/20144/2014480847541/2014480847541b.jpg
順序控制,https://www.kingstone.com.tw//basic/2019840005180?zone=book&lid=book_class3_eif&actid=book_class3_eif,許溢适,國家      ,9789573613763,https://cdn.kingstone.com.tw/book/images/product/20198/2019840005180/2019840005180b.jpg
Joe Nagata的LEGO MINDSTORMS NXT步行機器人製作入門,https://www.kingstone.com.tw//basic/2014480836422?zone=book&lid=book_class3_eif&actid=book_class3_eif,Joe Nagata,馥林文化  ,9789866076381,https://cdn.kingstone.com.tw/book/images/product/20144/2014480836422/2014480836422b.jpg
Android / NXT 機器人大戰：智慧型手機控制機器人,https://www.kingstone.com.tw//basic/2014480826645?zone=book&lid=book_class3_eif&actid=book_class3_eif,林毓祥、曾吉弘、CAVE教育團隊,馥林文化  ,9789866076145,https://cdn.kingstone.com.tw/book/images/product/20144/2014480826645/2014480826645b.jpg
教你學會LEGO樂高機器人4,https://www.kingstone.com.tw//basic/2014480820773?zone=book&lid=book_class3_eif&actid=book_class3_eif,洪文一、許耀銘,旗林文化  ,9789866655630,https://cdn.kingstone.com.tw/book/images/product/20144/2014480820773/2014480820773b.jpg
教你學會LEGO樂高機器人3,https://www.kingstone.com.tw//basic/2014480820063?zone=book&lid=book_class3_eif&actid=book_class3_eif,洪文一、許耀銘,旗林文化  ,9789866655821,https://cdn.kingstone.com.tw/book/images/product/20144/2014480820063/2014480820063b.jpg
教你學會LEGO樂高機器人2,https://www.kingstone.com.tw//basic/2014480821695?zone=book&lid=book_class3_eif&actid=book_class3_eif,洪文一,旗林文化  ,9789866655739,https://cdn.kingstone.com.tw/book/images/product/20144/2014480821695/2014480821695b.jpg
教你學會LEGO樂高機器人1,https://www.kingstone.com.tw//basic/2014480819364?zone=book&lid=book_class3_eif&actid=book_class3_eif,洪文一、許耀銘,旗林文化  ,9789866655494,https://cdn.kingstone.com.tw/book/images/product/20144/2014480819364/2014480819364b.jpg
8051微控制器（第四版）,https://www.kingstone.com.tw//basic/2014713060143?zone=book&lid=book_class3_eif&actid=book_class3_eif,鄭一鴻,碁峰資訊  ,9789861813271,https://cdn.kingstone.com.tw/book/images/product/20147/2014713060143/2014713060143b.jpg
圖解數位控制入門（改訂2版）,https://www.kingstone.com.tw//basic/2014480817940?zone=book&lid=book_class3_eif&actid=book_class3_eif,雨宮好文,建興      ,9789578179653,https://cdn.kingstone.com.tw/book/images/product/20144/2014480817940/2014480817940b.jpg
圖解控制用微電腦入門（改訂2版）,https://www.kingstone.com.tw//basic/2014713012982?zone=book&lid=book_class3_eif&actid=book_class3_eif,雨宮好文,建興      ,9789578179646,https://cdn.kingstone.com.tw/book/images/product/20147/2014713012982/2014713012982b.jpg
機器人：由機器邁向超越人類心智之路,https://www.kingstone.com.tw//basic/2014480811498?zone=book&lid=book_class3_eif&actid=book_class3_eif,漢斯摩拉維,臺灣商務  ,9789570518634,https://cdn.kingstone.com.tw/book/images/product/20144/2014480811498/2014480811498b.jpg
人工智慧,https://www.kingstone.com.tw//basic/2014480808375?zone=book&lid=book_class3_eif&actid=book_class3_eif,戴汝萬,五南      ,9789571131368,https://cdn.kingstone.com.tw/book/images/product/20144/2014480808375/2014480808375b.jpg
人工智慧（藍色星球21）,https://www.kingstone.com.tw//basic/2013080211691?zone=book&lid=book_class3_eif&actid=book_class3_eif,大衛傑佛瑞,稻田      ,9789867882455,https://cdn.kingstone.com.tw/book/images/product/20130/2013080211691/2013080211691b.jpg
圖解自動裝配訣竅實例154,https://www.kingstone.com.tw//basic/2014460139635?zone=book&lid=book_class3_eif&actid=book_class3_eif,建興      ,"

立即結帳
",9789578953192,https://cdn.kingstone.com.tw/book/images/product/20144/2014460139635/2014460139635b.jpg
圖解自動控制入門,https://www.kingstone.com.tw//basic/2014480210420?zone=book&lid=book_class3_eif&actid=book_class3_eif,建興      ,"

立即結帳
",9789579496834,https://cdn.kingstone.com.tw/book/images/product/20144/2014480210420/2014480210420b.jpg
可程式化控制器技術,https://www.kingstone.com.tw//basic/2014480762394?zone=book&lid=book_class3_eif&actid=book_class3_eif,建興      ,"

立即結帳
",9789579496964,https://cdn.kingstone.com.tw/book/images/product/20144/2014480762394/2014480762394b.jpg
