書名,書籍網站,作者,出版社,ISBN,圖片網址
通訊,https://www.kingstone.com.tw//basic/2014480835050?zone=book&lid=book_class3_eig&actid=book_class3_eig,井上伸雄,瑞昇文化  ,9789866185977,https://cdn.kingstone.com.tw/book/images/product/20144/2014480835050/2014480835050b.jpg
密碼大揭秘,https://www.kingstone.com.tw//basic/2014480825563?zone=book&lid=book_class3_eig&actid=book_class3_eig,史蒂芬．平考克,好讀      ,9789861781853,https://cdn.kingstone.com.tw/book/images/product/20144/2014480825563/2014480825563b.jpg
光纖通訊,https://www.kingstone.com.tw//basic/2014480824931?zone=book&lid=book_class3_eig&actid=book_class3_eig,鄒志偉,五南      ,9789571162447,https://cdn.kingstone.com.tw/book/images/product/20144/2014480824931/2014480824931b.jpg
資料與電腦通訊（第八版）（附光碟）,https://www.kingstone.com.tw//basic/2014713113795?zone=book&lid=book_class3_eig&actid=book_class3_eig,何霖,碁峰資訊  ,9789861815510,https://cdn.kingstone.com.tw/book/images/product/20147/2014713113795/2014713113795b.jpg
行動衛星通訊,https://www.kingstone.com.tw//basic/2010440000599?zone=book&lid=book_class3_eig&actid=book_class3_eig,林進豐,五南      ,9789571150062,https://cdn.kingstone.com.tw/book/images/product/20104/2010440000599/2010440000599b.jpg
圖解信號處理入門,https://www.kingstone.com.tw//basic/2014400098046?zone=book&lid=book_class3_eig&actid=book_class3_eig,雨宮好文,建興      ,9789578179509,https://cdn.kingstone.com.tw/book/images/product/20144/2014400098046/2014400098046b.jpg
看圖瞭解數位信號處理,https://www.kingstone.com.tw//basic/2014480814994?zone=book&lid=book_class3_eig&actid=book_class3_eig,卷加壽美,建興      ,9789578178410,https://cdn.kingstone.com.tw/book/images/product/20144/2014480814994/2014480814994b.jpg
通訊傳輸系統,https://www.kingstone.com.tw//basic/2014460197703?zone=book&lid=book_class3_eig&actid=book_class3_eig,佐藤拓朗、施鑑修等著,五南      ,9789571141572,https://cdn.kingstone.com.tw/book/images/product/20144/2014460197703/2014460197703b.jpg
信號與系統,https://www.kingstone.com.tw//basic/2014480811788?zone=book&lid=book_class3_eig&actid=book_class3_eig,林銀議編著,五南      ,9789571135670,https://cdn.kingstone.com.tw/book/images/product/20144/2014480811788/2014480811788b.jpg
圖解光纖通信原理與最新應用技術,https://www.kingstone.com.tw//basic/2014480810446?zone=book&lid=book_class3_eig&actid=book_class3_eig,山下真司,建興      ,9789578177321,https://cdn.kingstone.com.tw/book/images/product/20144/2014480810446/2014480810446b.jpg
雜訊干優及防止對策,https://www.kingstone.com.tw//basic/2013000045764?zone=book&lid=book_class3_eig&actid=book_class3_eig,廖財昌,全華      ,9789572112632,https://cdn.kingstone.com.tw/book/images/product/20130/2013000045764/2013000045764b.jpg
無線通訊技術,https://www.kingstone.com.tw//basic/2013080212353?zone=book&lid=book_class3_eig&actid=book_class3_eig,李純,五南      ,9789571131603,https://cdn.kingstone.com.tw/book/images/product/20130/2013080212353/2013080212353b.jpg
通信電學,https://www.kingstone.com.tw//basic/2014480807323?zone=book&lid=book_class3_eig&actid=book_class3_eig,曾堂坤,知行文化  ,9789867954121,https://cdn.kingstone.com.tw/book/images/product/20144/2014480807323/2014480807323b.jpg
CDMA展頻通訊原理,https://www.kingstone.com.tw//basic/2014480806951?zone=book&lid=book_class3_eig&actid=book_class3_eig,邱國書,五南      ,9789571129105,https://cdn.kingstone.com.tw/book/images/product/20144/2014480806951/2014480806951b.jpg
簡易光纖通信,https://www.kingstone.com.tw//basic/2014480804957?zone=book&lid=book_class3_eig&actid=book_class3_eig,黃胤年,五南      ,9789571126340,https://cdn.kingstone.com.tw/book/images/product/20144/2014480804957/2014480804957b.jpg
數位訊號處理,https://www.kingstone.com.tw//basic/2014480804667?zone=book&lid=book_class3_eig&actid=book_class3_eig,Mulgrew,五南      ,9789571126067,https://cdn.kingstone.com.tw/book/images/product/20144/2014480804667/2014480804667b.jpg
數位通信,https://www.kingstone.com.tw//basic/2014480799239?zone=book&lid=book_class3_eig&actid=book_class3_eig,陳克任,五南      ,9789571119182,https://cdn.kingstone.com.tw/book/images/product/20144/2014480799239/2014480799239b.jpg
航空攝影測量學,https://www.kingstone.com.tw//basic/2014400082267?zone=book&lid=book_class3_eig&actid=book_class3_eig,何維信,大中國    ,9789575211592,https://cdn.kingstone.com.tw/book/images/product/20144/2014400082267/2014400082267b.jpg
