書名,書籍網站,作者,出版社,ISBN,圖片網址
社會學動動腦,https://www.kingstone.com.tw//basic/2015400051499?zone=book&lid=book_class3_haa&actid=book_class3_haa,Zygmunt Baum,群學      ,9789573071044,https://cdn.kingstone.com.tw/book/images/product/20154/2015400051499/2015400051499b.jpg
開放中的變遷－再論中國社會超穩定結構,https://www.kingstone.com.tw//basic/2015400028422?zone=book&lid=book_class3_haa&actid=book_class3_haa,金觀濤,風雲時代  ,9789576454288,https://cdn.kingstone.com.tw/book/images/product/20154/2015400028422/2015400028422b.jpg
大宅時代：怪咖、極客是如何崛起並成為文化主流？,https://www.kingstone.com.tw//basic/2011190004080?zone=book&lid=book_class3_haa&actid=book_class3_haa,馬修．克里克史坦,商周出版  ,9789864773763,https://cdn.kingstone.com.tw/book/images/product/20111/2011190004080/2011190004080b.jpg
圖解社會科學,https://www.kingstone.com.tw//basic/2015000033673?zone=book&lid=book_class3_haa&actid=book_class3_haa,莊克仁,五南      ,9789571194707,https://cdn.kingstone.com.tw/book/images/product/20150/2015000033673/2015000033673b.jpg
當代西方思潮與典範轉移,https://www.kingstone.com.tw//basic/2015410262908?zone=book&lid=book_class3_haa&actid=book_class3_haa,國家發展研究學會主編,巨流圖書  ,9789577325501,https://cdn.kingstone.com.tw/book/images/product/20154/2015410262908/2015410262908b.jpg
社會學小辭典（隨身版）（初版）,https://www.kingstone.com.tw//basic/2015000033413?zone=book&lid=book_class3_haa&actid=book_class3_haa,陳思緯,考用      ,9789869481083,https://cdn.kingstone.com.tw/book/images/product/20150/2015000033413/2015000033413b.jpg
倫理帝國主義：研究倫理審查委員會與社會科學,https://www.kingstone.com.tw//basic/2015010010831?zone=book&lid=book_class3_haa&actid=book_class3_haa,施拉格,五南      ,9789571187792,https://cdn.kingstone.com.tw/book/images/product/20150/2015010010831/2015010010831b.jpg
晚清媒介技術發展與傳媒制度變遷.下冊,https://www.kingstone.com.tw//basic/2015410248476?zone=book&lid=book_class3_haa&actid=book_class3_haa,陳鋼,昌明文化  ,9789869289856,https://cdn.kingstone.com.tw/book/images/product/20154/2015410248476/2015410248476b.jpg
青年勞動新藍圖,https://www.kingstone.com.tw//basic/2015560033571?zone=book&lid=book_class3_haa&actid=book_class3_haa,編輯,青平台    ,9789868976535,https://cdn.kingstone.com.tw/book/images/product/20155/2015560033571/2015560033571b.jpg
被發現的兒童：中國近代兒童文學拓荒史【文學視界29】,https://www.kingstone.com.tw//basic/2018200304000?zone=book&lid=book_class3_haa&actid=book_class3_haa,方麗娟,秀威資訊  ,9789863263340,https://cdn.kingstone.com.tw/book/images/product/20182/2018200304000/2018200304000b.jpg
盤皇另闢天的毓老師（全一冊）,https://www.kingstone.com.tw//basic/2018200304970?zone=book&lid=book_class3_haa&actid=book_class3_haa,許仁圖,河洛圖書  ,9789869130714,https://cdn.kingstone.com.tw/book/images/product/20182/2018200304970/2018200304970b.jpg
圖解民意與公共關係,https://www.kingstone.com.tw//basic/2015410235803?zone=book&lid=book_class3_haa&actid=book_class3_haa,莊克仁,五南      ,9789571180816,https://cdn.kingstone.com.tw/book/images/product/20154/2015410235803/2015410235803b.jpg
我是體育老師：幫助你打通社會科學的任督二脈,https://www.kingstone.com.tw//basic/2018551604873?zone=book&lid=book_class3_haa&actid=book_class3_haa,熊秉元,商周出版  ,9789862723258,https://cdn.kingstone.com.tw/book/images/product/20185/2018551604873/2018551604873b.jpg
朱敬一講社會科學：台灣社會的新世紀挑戰,https://www.kingstone.com.tw//basic/2015240074573?zone=book&lid=book_class3_haa&actid=book_class3_haa,朱敬一,時報文化  ,9789571349022,https://cdn.kingstone.com.tw/book/images/product/20152/2015240074573/2015240074573b.jpg
社會科學論叢（第1卷第2期）,https://www.kingstone.com.tw//basic/2010700000529?zone=book&lid=book_class3_haa&actid=book_class3_haa,國立政治大,五南      ,9771995658002,https://cdn.kingstone.com.tw/book/images/product/20107/2010700000529/2010700000529b.jpg
結構方程模式理論與應用（五版）,https://www.kingstone.com.tw//basic/2015010007428?zone=book&lid=book_class3_haa&actid=book_class3_haa,黃芳銘,五南      ,9789571147338,https://cdn.kingstone.com.tw/book/images/product/20150/2015010007428/2015010007428b.jpg
社會資本,https://www.kingstone.com.tw//basic/2015410168989?zone=book&lid=book_class3_haa&actid=book_class3_haa,林南,弘智      ,9789867451095,https://cdn.kingstone.com.tw/book/images/product/20154/2015410168989/2015410168989b.jpg
科學哲學與創造力,https://www.kingstone.com.tw//basic/2015010003970?zone=book&lid=book_class3_haa&actid=book_class3_haa,黃光國,立緒      ,9789570411485,https://cdn.kingstone.com.tw/book/images/product/20150/2015010003970/2015010003970b.jpg
民意,https://www.kingstone.com.tw//basic/2015410137176?zone=book&lid=book_class3_haa&actid=book_class3_haa,趙雅麗,五南      ,9789571121758,https://cdn.kingstone.com.tw/book/images/product/20154/2015410137176/2015410137176b.jpg
社會科學概論,https://www.kingstone.com.tw//basic/2015000001528?zone=book&lid=book_class3_haa&actid=book_class3_haa,朱榮智,五南      ,9789571115740,https://cdn.kingstone.com.tw/book/images/product/20150/2015000001528/2015000001528b.jpg
社會科學概論,https://www.kingstone.com.tw//basic/2015030000140?zone=book&lid=book_class3_haa&actid=book_class3_haa,馬起華,大中國    ,9789575211394,https://cdn.kingstone.com.tw/book/images/product/20150/2015030000140/2015030000140b.jpg
應用社會科學研究法,https://www.kingstone.com.tw//basic/2015010001136?zone=book&lid=book_class3_haa&actid=book_class3_haa,鍾倫納,臺灣商務  ,9789570507461,https://cdn.kingstone.com.tw/book/images/product/20150/2015010001136/2015010001136b.jpg
社會學,https://www.kingstone.com.tw//basic/2015400089256?zone=book&lid=book_class3_haa&actid=book_class3_haa,Steve Bruce,牛津大學  ,9780199416646,https://cdn.kingstone.com.tw/book/images/product/20154/2015400089256/2015400089256b.jpg
華夏禮義,https://www.kingstone.com.tw//basic/2010120022989?zone=book&lid=book_class3_haa&actid=book_class3_haa,徐彥卿,東方文化  ,9789881327413,https://cdn.kingstone.com.tw/book/images/product/20101/2010120022989/2010120022989b.jpg
十八歲的野比大雄,https://www.kingstone.com.tw//basic/2018578885095?zone=book&lid=book_class3_haa&actid=book_class3_haa,張晨,豐林文化  ,9789881223685,https://cdn.kingstone.com.tw/book/images/product/20185/2018578885095/2018578885095b.jpg
愛心伴孩子成長(簡體),https://www.kingstone.com.tw//basic/2055201006526?zone=book&lid=book_class3_haa&actid=book_class3_haa,肖陳穎,北京出版社,9787200097931,https://cdn.kingstone.com.tw/book/images/product/20552/2055201006526/2055201006526b.jpg
民主與社會面面觀,https://www.kingstone.com.tw//basic/2022200209142?zone=book&lid=book_class3_haa&actid=book_class3_haa,雪莉．普羅巴．阮將．沙卡,中國瑜珈  ,9789579295819,https://cdn.kingstone.com.tw/book/images/product/20222/2022200209142/2022200209142b.jpg
民意,https://www.kingstone.com.tw//basic/2015410191536?zone=book&lid=book_class3_haa&actid=book_class3_haa,沃爾特．李普曼,五南      ,9789571158136,https://cdn.kingstone.com.tw/book/images/product/20154/2015410191536/2015410191536b.jpg
解讀民意調查,https://www.kingstone.com.tw//basic/2015400055497?zone=book&lid=book_class3_haa&actid=book_class3_haa,Herbert Ashe,五南      ,9789571152325,https://cdn.kingstone.com.tw/book/images/product/20154/2015400055497/2015400055497b.jpg
朱敬一講社會科學：社會科學的源起背景,https://www.kingstone.com.tw//basic/2015240074313?zone=book&lid=book_class3_haa&actid=book_class3_haa,朱敬一,時報文化  ,9789571349008,https://cdn.kingstone.com.tw/book/images/product/20152/2015240074313/2015240074313b.jpg
朱敬一講社會科學：法政經社的核心內容,https://www.kingstone.com.tw//basic/2015240074443?zone=book&lid=book_class3_haa&actid=book_class3_haa,朱敬一,時報文化  ,9789571349015,https://cdn.kingstone.com.tw/book/images/product/20152/2015240074443/2015240074443b.jpg
二十世紀社會理論導讀,https://www.kingstone.com.tw//basic/2015010007268?zone=book&lid=book_class3_haa&actid=book_class3_haa,Patrick Baer,風雲論壇  ,9789866893025,https://cdn.kingstone.com.tw/book/images/product/20150/2015010007268/2015010007268b.jpg
基督新教倫理與資本主義精神,https://www.kingstone.com.tw//basic/2015500091371?zone=book&lid=book_class3_haa&actid=book_class3_haa,韋伯,遠流      ,9789573259763,https://cdn.kingstone.com.tw/book/images/product/20155/2015500091371/2015500091371b.jpg
開放社會科學－重建社會科學報告書,https://www.kingstone.com.tw//basic/2015000004154?zone=book&lid=book_class3_haa&actid=book_class3_haa,華勒斯,牛津大學  ,9780195877403,https://cdn.kingstone.com.tw/book/images/product/20150/2015000004154/2015000004154b.jpg
