書名,書籍網站,作者,出版社,ISBN,圖片網址
後疫情效應：CNN「札卡瑞亞GPS」主持人給世界的10堂課,https://www.kingstone.com.tw//basic/2015410302987?zone=book&lid=book_class3_hba&actid=book_class3_hba,法理德．札卡瑞亞,天下文化  ,9789865250416,https://cdn.kingstone.com.tw/book/images/product/20154/2015410302987/2015410302987b.jpg
21世紀的21堂課,https://www.kingstone.com.tw//basic/2017130026280?zone=book&lid=book_class3_hba&actid=book_class3_hba,哈拉瑞,天下文化  ,9789864795192,https://cdn.kingstone.com.tw/book/images/product/20171/2017130026280/2017130026280b.jpg
見樹又見林（第二版） ：社會學作為一種,https://www.kingstone.com.tw//basic/2015400051369?zone=book&lid=book_class3_hba&actid=book_class3_hba,Allan Johnso,群學      ,9789572899007,https://cdn.kingstone.com.tw/book/images/product/20154/2015400051369/2015400051369b.jpg
傘悔錄,https://www.kingstone.com.tw//basic/2015000046666?zone=book&lid=book_class3_hba&actid=book_class3_hba,岑朗天,花千樹    ,9789888265282,https://cdn.kingstone.com.tw/book/images/product/20150/2015000046666/2015000046666b.jpg
社會學的想像：從「個人的煩惱」連結到「社會的公共議題」，歡迎來到社會學的世界！,https://www.kingstone.com.tw//basic/2015400102207?zone=book&lid=book_class3_hba&actid=book_class3_hba,米爾斯,商業周刊  ,9789865519162,https://cdn.kingstone.com.tw/book/images/product/20154/2015400102207/2015400102207b.jpg
社會學超圖解：古今76名家×135概念，400幅可愛漫畫秒懂社會學，活出獨一無二的自我,https://www.kingstone.com.tw//basic/2015400101125?zone=book&lid=book_class3_hba&actid=book_class3_hba,田中正人,野人文化  ,9789863844112,https://cdn.kingstone.com.tw/book/images/product/20154/2015400101125/2015400101125b.jpg
進擊的社會學家,https://www.kingstone.com.tw//basic/2015400085678?zone=book&lid=book_class3_hba&actid=book_class3_hba,凱薩琳．科根,群學      ,9789866525872,https://cdn.kingstone.com.tw/book/images/product/20154/2015400085678/2015400085678b.jpg
墮落論（完整導讀版，胡晴舫導讀）,https://www.kingstone.com.tw//basic/2018611124754?zone=book&lid=book_class3_hba&actid=book_class3_hba,口安吾、胡晴舫,麥田      ,9789863440932,https://cdn.kingstone.com.tw/book/images/product/20186/2018611124754/2018611124754b.jpg
好研究怎麼做：從理論、方法、證據構思研究問題,https://www.kingstone.com.tw//basic/2015400086750?zone=book&lid=book_class3_hba&actid=book_class3_hba,羅伯特．阿爾弗德,群學      ,9789866525469,https://cdn.kingstone.com.tw/book/images/product/20154/2015400086750/2015400086750b.jpg
新資本主義,https://www.kingstone.com.tw//basic/2015500076217?zone=book&lid=book_class3_hba&actid=book_class3_hba,郭洪紀,揚智文化  ,9789578184060,https://cdn.kingstone.com.tw/book/images/product/20155/2015500076217/2015500076217b.jpg
