書名,書籍網站,作者,出版社,ISBN,圖片網址
人類大歷史：從野獸到扮演上帝（新版）,https://www.kingstone.com.tw//basic/2017100027958?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,哈拉瑞,天下文化  ,4713510945001,https://cdn.kingstone.com.tw/book/images/product/20171/2017100027958/2017100027958b.jpg
槍炮、病菌與鋼鐵：人類社會的命運（25週年暢銷紀念版）,https://www.kingstone.com.tw//basic/2015410285198?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,賈德．戴蒙,時報文化  ,9789571378527,https://cdn.kingstone.com.tw/book/images/product/20154/2015410285198/2015410285198b.jpg
兩種心靈：一個人類學家對精神醫學的觀察,https://www.kingstone.com.tw//basic/2014150511079?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,譚亞．魯爾曼,左岸文化  ,9789860666632,https://cdn.kingstone.com.tw/book/images/product/20141/2014150511079/2014150511079b.jpg
愛的帝國：權力與誘惑，作為感官文本的「法屬太平洋」,https://www.kingstone.com.tw//basic/2017420042990?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,馬特．松田,八旗文化  ,9789860763300,https://cdn.kingstone.com.tw/book/images/product/20174/2017420042990/2017420042990b.jpg
追尋寧靜：一場顛覆聽覺經驗的田野踏查，探索聲音的未知領域,https://www.kingstone.com.tw//basic/2011720041080?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,喬治．普羅契尼克,漫遊者    ,9789864895090,https://cdn.kingstone.com.tw/book/images/product/20117/2011720041080/2011720041080b.jpg
迷因：基因和迷因共謀的人類心智和文化演化史,https://www.kingstone.com.tw//basic/2015010013337?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,蘇珊．布拉克莫,八旗文化  ,9789865524364,https://cdn.kingstone.com.tw/book/images/product/20150/2015010013337/2015010013337b.jpg
人慈：橫跨二十萬年的人性旅程，用更好的視角看待自己,https://www.kingstone.com.tw//basic/2011010049680?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,羅格．布雷格曼,時報文化  ,9789571392110,https://cdn.kingstone.com.tw/book/images/product/20110/2011010049680/2011010049680b.jpg
日本奇妙知識不思議：為什麼餐廳都提供客人冰水但壽司店會給熱茶？平安時代的女性一年只洗一次頭！？超有梗的日本潛規則與豆知識百選,https://www.kingstone.com.tw//basic/2015380132768?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,梅用知世,麥浩斯    ,9789864087419,https://cdn.kingstone.com.tw/book/images/product/20153/2015380132768/2015380132768b.jpg
街頭隱形人：人類學家臥底紐約清潔隊的田野故事（新版）,https://www.kingstone.com.tw//basic/2015410303519?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,羅蘋．奈格爾,左岸文化  ,9789860601619,https://cdn.kingstone.com.tw/book/images/product/20154/2015410303519/2015410303519b.jpg
百工裡的人類學家套書二冊：《百工裡的人類學家》、《【百工裡的人類學家2】厚數據的創新課》,https://www.kingstone.com.tw//basic/2015000048370?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,宋世祥,果力文化  ,2715202200285,https://cdn.kingstone.com.tw/book/images/product/20150/2015000048370/2015000048370b.jpg
品菜單：令人垂涎的經濟與社會變革紀錄,https://www.kingstone.com.tw//basic/2015380128983?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,伊芙．馬洛,時報文化  ,9789571384122,https://cdn.kingstone.com.tw/book/images/product/20153/2015380128983/2015380128983b.jpg
世界文字圖解簡史,https://www.kingstone.com.tw//basic/2018000033148?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,維達利,大塊      ,9789865549183,https://cdn.kingstone.com.tw/book/images/product/20180/2018000033148/2018000033148b.jpg
人類大歷史：知識漫畫1人類誕生（限量加贈主題透卡）,https://www.kingstone.com.tw//basic/2013910011019?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,哈拉瑞、范德穆倫,天下文化  ,4713510947258,https://cdn.kingstone.com.tw/book/images/product/20139/2013910011019/2013910011019b.jpg
人類大歷史：知識漫畫1：人類誕生,https://www.kingstone.com.tw//basic/2013910011149?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,哈拉瑞、范德穆倫,天下文化  ,9789865535810,https://cdn.kingstone.com.tw/book/images/product/20139/2013910011149/2013910011149b.jpg
曼森的頭髮：從都市傳說、靈異事件到未解懸案，從連續殺人狂、吸血鬼到喪屍，為甚麼獵奇的「恐怖文化」既誘人又必要？,https://www.kingstone.com.tw//basic/2015420087928?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,彼得．勞斯,尖端      ,9789571090559,https://cdn.kingstone.com.tw/book/images/product/20154/2015420087928/2015420087928b.jpg
人類大命運：從智人到神人,https://www.kingstone.com.tw//basic/2013620008422?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,哈拉瑞,天下文化  ,9789864791446,https://cdn.kingstone.com.tw/book/images/product/20136/2013620008422/2013620008422b.jpg
如何豢養一隻奴隸：古羅馬管理學聖經,https://www.kingstone.com.tw//basic/2015460024952?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,馬庫斯．希多尼斯．傅可斯,智富      ,9789866151965,https://cdn.kingstone.com.tw/book/images/product/20154/2015460024952/2015460024952b.jpg
百工裡的人類學家：帶你挖掘「厚數據」，以人類學之眼洞悉人性，引領社會創新！,https://www.kingstone.com.tw//basic/2015410248216?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,宋世祥,果力文化  ,9789869299404,https://cdn.kingstone.com.tw/book/images/product/20154/2015410248216/2015410248216b.jpg
新生代的自我追尋,https://www.kingstone.com.tw//basic/2015410099511?zone=book&lid=book_class3_hbb&actid=book_class3_hbb,范雲,前衛      ,9789578994218,https://cdn.kingstone.com.tw/book/images/product/20154/2015410099511/2015410099511b.jpg
