書名,書籍網站,作者,出版社,ISBN,圖片網址
維也納之心：疫情時代的德語筆記,https://www.kingstone.com.tw//basic/2017440018197?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,蔡慶樺,菓子文化,9789860671506,https://cdn.kingstone.com.tw/book/images/product/20174/2017440018197/2017440018197b.jpg
大不列顛小怪癖：讀者太太的英國文化驚奇點評,https://www.kingstone.com.tw//basic/2017410042092?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,讀者太太,時報文化  ,9789571390482,https://cdn.kingstone.com.tw/book/images/product/20174/2017410042092/2017410042092b.jpg
溫柔的心，強大的力量：德國人的日常思考,https://www.kingstone.com.tw//basic/2018551681003?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,鄭華娟,圓神      ,9789861335339,https://cdn.kingstone.com.tw/book/images/product/20185/2018551681003/2018551681003b.jpg
瑞士幸福式：向最富有小國學過精準美好生活，全世界最宜居國度的160個日常觀察,https://www.kingstone.com.tw//basic/2017440018227?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,Ricky,創意市集  ,9789860769197,https://cdn.kingstone.com.tw/book/images/product/20174/2017440018227/2017440018227b.jpg
德，意志,https://www.kingstone.com.tw//basic/2018551725110?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,鄭華娟,圓神      ,9789861335698,https://cdn.kingstone.com.tw/book/images/product/20185/2018551725110/2018551725110b.jpg
法治大國的日常小事,https://www.kingstone.com.tw//basic/2017430022524?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,鄭華娟,圓神      ,9789861337760,https://cdn.kingstone.com.tw/book/images/product/20174/2017430022524/2017430022524b.jpg
獨裁者的廚師,https://www.kingstone.com.tw//basic/2014271540286?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,維特多．沙博爾夫斯基,衛城出版  ,9789860625301,https://cdn.kingstone.com.tw/book/images/product/20142/2014271540286/2014271540286b.jpg
美國的反智傳統：宗教、民主、商業與教育如何形塑美國人對知識的態度？,https://www.kingstone.com.tw//basic/2017520052851?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,理查．霍夫士達特,八旗文化  ,9789578654228,https://cdn.kingstone.com.tw/book/images/product/20175/2017520052851/2017520052851b.jpg
德語是一座原始森林：我的德國觀察筆記,https://www.kingstone.com.tw//basic/2017430022104?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,蔡慶樺,臺灣商務  ,9789570532746,https://cdn.kingstone.com.tw/book/images/product/20174/2017430022104/2017430022104b.jpg
英國哪有什麼好？,https://www.kingstone.com.tw//basic/2017410040128?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,艾莉雅,暖暖書屋  ,9789869750998,https://cdn.kingstone.com.tw/book/images/product/20174/2017410040128/2017410040128b.jpg
跳舞的熊,https://www.kingstone.com.tw//basic/2017490009732?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,維特多．沙博爾夫斯基,衛城出版  ,9789869681797,https://cdn.kingstone.com.tw/book/images/product/20174/2017490009732/2017490009732b.jpg
鋼鐵德國：難民潮下的危機與轉機,https://www.kingstone.com.tw//basic/2015780074675?zone=book&lid=book_class3_hcf&actid=book_class3_hcf,賴麗琇,臺灣商務  ,9789570531107,https://cdn.kingstone.com.tw/book/images/product/20157/2015780074675/2015780074675b.jpg
