書名,書籍網站,作者,出版社,ISBN,圖片網址
天才在左瘋子在右,https://www.kingstone.com.tw//basic/2014150419214?zone=book&lid=book_class3_hda&actid=book_class3_hda,高銘,時報文化  ,9789571371160,https://cdn.kingstone.com.tw/book/images/product/20141/2014150419214/2014150419214b.jpg
真相製造：從聖戰士媽媽、極權政府、網軍教練、境外勢力、打假部隊、內容農場主人到政府小編,https://www.kingstone.com.tw//basic/2015410305643?zone=book&lid=book_class3_hda&actid=book_class3_hda,劉致昕,春山出版  ,9789860659788,https://cdn.kingstone.com.tw/book/images/product/20154/2015410305643/2015410305643b.jpg
地味手帖NO.07 野孩基地：長出地方的歸屬感,https://www.kingstone.com.tw//basic/2015410306855?zone=book&lid=book_class3_hda&actid=book_class3_hda,地味手帖編輯部,裏路出版  ,9789869898072,https://cdn.kingstone.com.tw/book/images/product/20154/2015410306855/2015410306855b.jpg
或許，我就這樣一個人走了：在時光靜止的孤獨死模型屋裡，一位遺物整理師重現「死亡終將造訪」的生命場景,https://www.kingstone.com.tw//basic/2011970006730?zone=book&lid=book_class3_hda&actid=book_class3_hda,小島美羽,麥田      ,9789863448488,https://cdn.kingstone.com.tw/book/images/product/20119/2011970006730/2011970006730b.jpg
游牧人生【電影書衣版】：是四海為家，還是無家可歸？全球金融海嘯後的新生活形態，「以車為家」的銀髮打工客，美國地下經濟最年長的新免洗勞工,https://www.kingstone.com.tw//basic/2015560048308?zone=book&lid=book_class3_hda&actid=book_class3_hda,潔西卡．布魯德,臉譜文化  ,9789862357842,https://cdn.kingstone.com.tw/book/images/product/20155/2015560048308/2015560048308b.jpg
我的幸福在瑞芳學,https://www.kingstone.com.tw//basic/2018630294582?zone=book&lid=book_class3_hda&actid=book_class3_hda,施岑宜,時報文化  ,9789571390659,https://cdn.kingstone.com.tw/book/images/product/20186/2018630294582/2018630294582b.jpg
後疫情時代的未來：未來學家眼中的變化、挑戰和機遇,https://www.kingstone.com.tw//basic/2015410305773?zone=book&lid=book_class3_hda&actid=book_class3_hda,傑森．申克,笛藤出版圖,9789577108203,https://cdn.kingstone.com.tw/book/images/product/20154/2015410305773/2015410305773b.jpg
唐鳳15個關鍵詞,https://www.kingstone.com.tw//basic/2017830171624?zone=book&lid=book_class3_hda&actid=book_class3_hda,唐鳳(口述)、黃亞琪(主筆),商周出版  ,9789864779888,https://cdn.kingstone.com.tw/book/images/product/20178/2017830171624/2017830171624b.jpg
究極一人行,https://www.kingstone.com.tw//basic/2011760342987?zone=book&lid=book_class3_hda&actid=book_class3_hda,劉黎兒,遠流      ,9789573289746,https://cdn.kingstone.com.tw/book/images/product/20117/2011760342987/2011760342987b.jpg
樓鳳，性淘金產業大揭密,https://www.kingstone.com.tw//basic/2015440573364?zone=book&lid=book_class3_hda&actid=book_class3_hda,張榮哲,任性出版  ,9789869946919,https://cdn.kingstone.com.tw/book/images/product/20154/2015440573364/2015440573364b.jpg
